,open,high,low,close,volume
2009-05-20,15.15,17.32,15.15,16.38,5809320.0
2009-05-21,16.73,17.84,16.4,17.3,4975270.0
2009-05-22,17.25,18.69,17.12,17.64,3259030.0
2009-05-25,17.98,18.89,17.58,18.42,2395290.0
2009-05-26,18.57,19.22,17.46,17.79,1555490.0
2009-05-27,17.91,18.37,17.45,17.94,902640.0
2009-05-28,18.16,18.23,17.39,17.65,851780.0
2009-05-29,17.84,18.27,17.68,17.83,668640.0
2009-06-01,18.04,18.63,17.86,18.22,1024650.0
2009-06-02,18.76,21.97,18.68,20.13,6313290.0
2009-06-03,20.59,20.76,19.72,20.13,1487320.0
2009-06-04,20.01,20.67,19.22,20.23,1206740.0
2009-06-05,20.52,20.86,18.67,19.23,1260110.0
2009-06-08,18.07,20.14,18.07,18.36,1236930.0
2009-06-09,18.17,19.35,17.71,19.13,1150780.0
2009-06-10,19.48,20.73,19.35,19.48,2212550.0
2009-06-11,19.42,20.01,19.09,19.31,752380.0
2009-06-12,19.1,20.01,18.7,18.92,779720.0
2009-06-15,18.53,18.83,15.5,18.01,587690.0
2009-06-16,16.93,19.23,16.93,18.72,1424300.0
2009-06-17,18.72,19.54,17.29,17.73,1217010.0
2009-06-18,17.9,18.57,17.07,17.41,795960.0
2009-06-19,17.52,18.15,17.13,17.4,417970.0
2009-06-22,17.45,17.91,17.06,17.16,481840.0
2009-06-23,15.88,17.31,15.88,17.05,513290.0
2009-06-24,17.45,17.64,16.87,17.22,537530.0
2009-06-25,17.22,18.17,16.27,17.42,1247620.0
2009-06-26,17.78,17.98,17.26,17.65,620180.0
2009-06-29,18.11,18.96,18.04,18.41,1143030.0
2009-06-30,18.66,18.66,16.62,16.99,752590.0
2009-07-01,16.92,17.38,16.61,17.09,619240.0
2009-07-02,17.31,20.01,17.16,19.67,15821090.0
2009-07-03,19.48,19.48,18.66,18.89,4343160.0
2009-07-06,18.83,19.31,17.85,18.1,1390330.0
2009-07-07,18.11,18.24,17.19,17.56,695950.0
2009-07-08,16.54,18.11,16.53,16.92,1043290.0
2009-07-09,16.86,17.5,16.73,17.15,809550.0
2009-07-10,14.14,17.45,14.14,16.84,496100.0
2009-07-13,16.4,16.73,15.95,16.43,529450.0
2009-07-14,16.54,17.32,16.54,17.16,325880.0
2009-07-15,17.22,18.3,17.22,18.01,701450.0
2009-07-16,17.23,18.54,17.23,18.12,406930.0
2009-07-17,17.46,18.69,17.46,18.43,491520.0
2009-07-20,18.79,19.03,18.44,18.88,426930.0
2009-07-21,17.62,18.76,17.62,18.55,288320.0
2009-07-22,17.75,19.79,17.75,18.61,1250200.0
2009-07-23,18.76,19.15,18.6,18.73,448160.0
2009-07-24,18.57,20.72,18.57,20.0,5199880.0
2009-07-27,20.01,20.73,19.75,20.35,1638820.0
2009-07-28,20.47,20.66,19.77,20.06,840480.0
2009-07-29,20.34,20.86,19.19,19.57,1981020.0
2009-07-30,19.48,20.0,19.35,19.68,817610.0
2009-07-31,20.29,20.29,19.5,19.66,534040.0
2009-08-03,19.99,20.07,19.44,19.72,469340.0
2009-08-04,20.0,20.1,19.37,19.46,520400.0
2009-08-05,19.49,19.94,19.36,19.44,368370.0
2009-08-06,19.29,19.67,18.83,18.9,420880.0
2009-08-07,18.89,19.03,18.4,18.51,327820.0
2009-08-10,18.7,18.99,17.91,18.1,383140.0
2009-08-11,18.17,18.45,17.91,18.15,305780.0
2009-08-12,19.4,19.69,18.76,19.58,253410.0
2009-08-13,20.17,20.68,19.98,20.53,426300.0
2009-08-14,20.06,21.92,20.06,21.29,1215120.0
2009-08-17,20.92,21.2,20.19,20.22,813710.0
2009-08-18,19.48,20.55,19.48,20.38,285050.0
2009-08-19,19.91,20.91,19.91,19.95,373470.0
2009-08-20,20.12,21.64,20.12,20.58,911730.0
