,open,high,low,close,volume
2009-05-20,25.22,26.64,24.91,26.29,6113832.0
2009-05-21,26.79,27.27,25.4,25.71,3576928.0
2009-05-22,26.01,26.61,25.11,26.31,4355480.0
2009-05-25,26.8,26.8,25.64,25.84,3057460.0
2009-05-26,25.9,26.64,24.75,25.27,3040132.0
2009-05-27,25.84,27.74,25.65,27.58,7749952.0
2009-05-28,27.9,28.36,26.97,27.52,6544316.0
2009-05-29,27.93,28.22,26.01,26.31,6876748.0
2009-06-01,27.11,27.89,26.69,26.92,4992988.0
2009-06-02,27.27,28.52,26.02,28.14,8537508.0
2009-06-03,28.8,28.8,26.73,27.22,7132240.0
2009-06-04,27.22,27.85,27.0,27.44,3862624.0
2009-06-05,27.74,28.04,27.11,27.58,3643360.0
2009-06-08,27.6,28.59,26.81,27.19,4363588.0
2009-06-09,26.59,31.01,26.36,30.64,12562636.0
2009-06-10,30.94,33.57,30.91,32.13,12609688.0
2009-06-11,32.35,32.73,30.75,31.0,5287256.0
2009-06-12,31.27,32.5,30.11,31.02,5743492.0
2009-06-15,30.75,32.08,29.97,31.61,5712784.0
2009-06-16,30.74,33.26,30.58,32.94,8383456.0
2009-06-17,32.63,33.26,30.27,30.9,4442428.0
2009-06-18,30.9,32.32,29.28,29.77,4637756.0
2009-06-19,30.71,30.71,29.25,30.27,2648988.0
2009-06-22,30.27,31.44,28.77,29.22,3508476.0
2009-06-23,29.0,30.42,28.06,30.08,3407152.0
2009-06-24,30.27,30.58,29.56,30.12,4110800.0
2009-06-25,30.82,31.5,28.85,29.38,8076164.0
2009-06-26,29.6,30.57,29.2,30.23,2816356.0
2009-06-29,30.74,30.99,29.73,30.22,2700520.0
2009-06-30,30.5,30.65,29.06,29.31,2288568.0
2009-07-01,29.32,30.39,29.08,29.95,2213968.0
2009-07-02,29.65,30.28,29.41,30.12,1959064.0
2009-07-03,29.56,30.58,29.56,30.16,1734260.0
2009-07-06,31.32,31.32,29.16,29.55,3544428.0
2009-07-07,29.95,30.57,28.55,29.0,3594444.0
2009-07-08,27.94,29.39,26.37,26.58,4529288.0
2009-07-09,25.58,28.3,25.58,27.91,3805888.0
2009-07-10,27.31,29.89,27.31,27.85,7591780.0
2009-07-13,26.81,29.32,26.81,28.8,3073320.0
2009-07-14,28.86,30.66,28.86,30.04,2698240.0
2009-07-15,30.31,31.2,30.31,30.72,8041864.0
2009-07-16,31.51,31.97,29.48,30.62,3312256.0
2009-07-17,31.21,34.49,30.75,33.96,8387992.0
2009-07-20,35.31,37.66,33.26,36.85,14653692.0
2009-07-21,37.82,37.82,35.74,36.18,5946176.0
