,open,high,low,close,volume
2009-05-20,27.26,31.35,27.26,30.88,636674.0
2009-05-21,30.83,35.01,30.17,33.42,997640.0
2009-05-22,32.95,34.45,30.83,33.51,583025.0
2009-05-25,33.51,37.08,32.9,36.0,549337.0
2009-05-26,35.86,38.02,35.25,35.86,775871.0
2009-05-27,37.36,37.6,35.34,35.58,331100.0
2009-05-28,36.66,36.66,34.4,34.78,232181.0
2009-05-29,35.2,38.49,35.2,37.79,866284.0
2009-06-01,38.54,42.49,38.16,41.45,1082003.0
2009-06-02,42.02,44.18,41.08,43.38,642596.0
2009-06-03,44.18,46.43,42.77,45.68,846670.0
2009-06-04,45.12,46.39,43.71,45.87,730533.0
2009-06-05,47.8,47.8,42.86,43.19,627862.0
2009-06-08,44.46,44.46,39.1,39.9,323043.0
2009-06-09,38.68,43.9,36.05,43.1,482583.0
2009-06-10,45.49,46.86,41.83,43.19,1319649.0
2009-06-11,43.19,43.61,40.89,41.17,492449.0
2009-06-12,42.2,42.2,39.52,39.81,282398.0
2009-06-15,40.32,40.32,37.64,37.88,263066.0
2009-06-16,38.44,40.42,36.28,38.91,523462.0
2009-06-17,42.49,42.49,36.42,37.22,544285.0
2009-06-18,37.6,37.6,34.21,34.5,300366.0
2009-06-19,36.28,36.42,33.51,34.36,330236.0
2009-06-22,35.53,35.53,34.03,34.17,167268.0
2009-06-23,33.65,36.14,32.29,35.3,318498.0
2009-06-24,35.72,35.81,34.5,34.87,237327.0
2009-06-25,35.25,37.03,35.2,35.44,276233.0
2009-06-26,36.14,36.47,35.01,35.77,212660.0
2009-06-29,35.72,36.05,35.11,35.67,191060.0
2009-06-30,36.0,36.09,34.03,34.17,115212.0
2009-07-01,34.54,34.54,33.09,33.98,96984.0
2009-07-02,33.98,36.47,33.65,35.3,183349.0
2009-07-03,34.78,35.72,34.54,34.83,117922.0
2009-07-06,34.83,35.95,32.9,33.04,174656.0
2009-07-07,33.37,35.44,33.13,35.01,334991.0
2009-07-08,34.4,37.6,33.09,34.92,1129550.0
2009-07-09,35.01,35.81,34.36,34.68,285189.0
2009-07-10,34.31,35.11,32.9,33.46,223813.0
2009-07-13,33.13,33.6,30.45,32.52,220724.0
2009-07-14,33.37,34.17,32.99,33.79,142880.0
2009-07-15,34.68,35.25,34.07,35.11,193279.0
2009-07-16,35.72,36.52,34.78,34.92,288580.0
2009-07-17,35.53,37.55,35.06,37.13,371957.0
2009-07-20,38.35,40.37,38.16,39.48,761974.0
2009-07-21,39.95,42.77,38.35,42.25,1127620.0
2009-07-22,43.1,44.27,40.7,40.93,1110331.0
2009-07-23,42.3,43.14,40.51,41.36,498024.0
2009-07-24,42.06,42.3,40.93,41.26,422873.0
2009-07-27,41.59,42.72,41.59,42.25,380719.0
2009-07-28,42.58,44.41,41.73,43.1,608260.0
2009-07-29,43.24,44.18,41.36,42.3,430160.0
2009-07-30,43.99,43.99,40.79,41.26,545543.0
2009-07-31,41.92,41.92,40.7,40.84,258103.0
2009-08-03,41.12,41.4,40.18,40.28,253500.0
2009-08-04,40.79,41.73,39.95,40.89,538743.0
2009-08-05,41.31,41.69,40.56,40.84,364316.0
2009-08-06,41.12,42.77,40.09,40.32,704912.0
2009-08-07,40.09,43.14,39.71,41.26,2446998.0
2009-08-10,41.83,42.67,37.88,38.44,576405.0
2009-08-11,38.4,39.95,37.97,38.16,427632.0
2009-08-12,37.69,38.91,36.89,38.4,1095490.0
2009-08-13,39.01,40.61,38.77,39.99,779119.0
2009-08-14,40.37,43.52,39.95,43.05,2364059.0
2009-08-17,41.64,43.43,39.48,39.67,852842.0
2009-08-18,39.81,40.89,39.24,39.76,532448.0
2009-08-19,40.14,40.98,39.24,39.48,331988.0
2009-08-20,39.48,40.61,38.73,39.01,307583.0
2009-08-21,39.24,40.79,38.77,39.67,424237.0
2009-08-24,40.42,41.08,40.04,40.14,304499.0
2009-08-25,39.95,40.37,39.29,39.52,314967.0
2009-08-26,39.95,41.03,39.62,39.85,551378.0
2009-08-27,39.99,40.89,39.62,39.9,378885.0
2009-08-28,40.98,44.41,40.89,42.96,2708484.0
2009-08-31,42.39,44.93,42.2,43.94,1789353.0
2009-09-01,44.55,45.68,41.92,42.25,1662910.0
2009-09-02,42.2,43.05,41.4,41.73,545483.0
2009-09-03,42.25,42.77,41.22,41.5,399956.0
2009-09-04,41.83,41.83,40.61,41.26,228068.0
2009-09-07,41.73,43.0,41.55,42.44,476604.0
2009-09-08,42.86,43.43,41.36,41.59,370504.0
2009-09-09,41.45,41.83,40.32,40.46,474587.0
2009-09-10,42.06,42.06,40.32,40.46,189362.0
2009-09-11,40.75,40.75,39.76,40.32,244313.0
2009-09-14,39.57,41.31,39.57,40.7,337778.0
2009-09-15,41.22,41.73,40.46,40.61,221361.0
2009-09-16,40.98,42.11,40.46,41.22,384358.0
2009-09-17,41.83,43.57,41.17,42.77,1249711.0
2009-09-18,43.19,46.81,43.19,43.66,1750646.0
2009-09-22,43.71,44.13,41.92,42.11,363507.0
2009-09-23,42.67,42.67,41.22,41.5,286259.0
2009-09-24,39.52,41.69,39.52,41.4,165602.0
2009-09-25,41.83,44.98,41.55,42.44,504454.0
2009-09-29,42.3,43.24,41.83,42.02,230587.0
2009-09-30,42.72,42.86,41.73,41.87,226269.0
2009-10-01,42.39,43.43,41.83,42.44,552986.0
2009-10-05,41.83,42.11,41.12,41.26,330307.0
2009-10-06,41.73,42.02,38.63,39.85,265275.0
2009-10-07,40.51,42.11,39.95,40.51,595943.0
2009-10-08,40.65,41.5,39.9,40.56,647494.0
2009-10-09,40.98,41.64,40.14,40.32,240383.0
2009-10-12,40.37,41.03,39.81,39.95,152860.0
2009-10-14,40.51,40.89,39.29,39.48,244087.0
2009-10-15,40.42,40.61,39.38,39.67,196201.0
2009-10-16,39.52,40.18,39.24,39.57,201903.0
2009-10-20,39.85,40.09,38.49,38.63,263072.0
2009-10-21,38.54,39.15,38.02,38.16,161320.0
2009-10-22,38.16,38.4,36.28,36.61,297078.0
2009-10-23,36.85,37.5,36.33,36.66,296072.0
2009-10-26,36.24,37.08,34.78,36.42,239960.0
2009-10-27,36.38,36.52,35.06,35.3,162739.0
2009-10-28,35.15,36.19,34.78,35.44,232296.0
2009-10-29,35.15,37.13,34.92,35.15,717561.0
2009-10-30,36.47,36.47,32.9,33.65,426805.0
2009-11-03,33.56,33.84,32.15,32.38,238955.0
2009-11-04,32.62,33.79,32.19,33.04,188401.0
2009-11-05,33.79,34.83,32.9,34.36,202288.0
2009-11-06,35.25,35.25,34.17,34.45,110644.0
2009-11-09,34.78,34.78,34.21,34.36,115722.0
2009-11-10,35.44,36.38,34.26,34.36,363372.0
2009-11-11,34.54,34.87,33.98,34.21,142102.0
2009-11-12,34.03,36.14,33.89,34.83,415505.0
2009-11-13,35.62,36.38,34.54,34.73,410433.0
