,open,high,low,close,volume
2009-05-20,13.98,13.98,13.98,13.98,41396.0
2009-05-21,13.84,13.84,13.29,13.42,207000.0
2009-05-22,13.43,14.09,12.76,13.52,111336.0
2009-05-25,13.71,14.2,13.63,14.07,2753700.0
2009-05-26,14.2,14.78,14.2,14.78,403352.0
2009-05-27,14.95,15.52,14.87,15.52,264912.0
2009-05-28,15.89,16.18,14.89,15.5,138232.0
2009-05-29,16.28,16.28,16.28,16.28,52088.0
2009-06-01,17.09,17.09,17.09,17.09,43512.0
2009-06-02,17.95,17.95,17.57,17.95,455204.0
2009-06-03,18.85,18.85,18.72,18.85,77520.0
2009-06-04,19.8,19.8,19.0,19.8,174096.0
2009-06-05,20.78,20.79,18.82,18.82,158676.0
2009-06-08,19.0,19.72,17.88,18.24,365192.0
2009-06-09,17.56,19.16,17.56,19.16,142972.0
2009-06-10,19.61,19.62,18.43,18.69,86348.0
2009-06-11,18.49,18.59,17.97,18.21,47760.0
2009-06-12,18.18,19.11,17.3,17.34,74232.0
2009-06-15,17.14,17.35,16.66,17.07,37364.0
2009-06-16,16.34,17.93,16.34,17.83,40336.0
2009-06-17,17.84,18.35,16.94,17.06,62816.0
2009-06-18,16.73,16.93,16.32,16.48,40736.0
2009-06-19,16.32,17.1,16.11,16.86,22836.0
2009-06-22,17.08,17.11,16.52,16.52,21176.0
2009-06-23,16.5,16.5,15.71,16.26,27088.0
2009-06-24,16.01,16.91,15.91,16.41,20220.0
2009-06-25,16.37,16.58,16.15,16.23,14624.0
2009-06-26,16.31,16.71,16.16,16.52,48840.0
2009-06-29,16.53,17.35,16.52,17.2,41304.0
2009-06-30,17.71,17.71,16.52,16.53,28964.0
2009-07-01,15.77,16.85,15.73,16.51,170728.0
2009-07-02,16.52,16.83,16.32,16.65,30208.0
2009-07-03,16.36,16.53,16.07,16.14,25496.0
2009-07-06,16.52,16.52,15.55,15.72,33584.0
2009-07-07,15.44,15.84,14.9,15.4,10276.0
2009-07-08,14.9,15.47,14.16,15.0,38032.0
