,open,high,low,close,volume
2009-05-20,873.24,927.16,863.89,882.79,767022.0
2009-05-21,876.64,882.01,852.85,859.75,251679.0
2009-05-22,856.25,886.8,842.59,882.21,358715.0
2009-05-25,878.13,904.5,873.95,899.81,523194.0
2009-05-26,909.26,919.45,878.0,912.62,698659.0
2009-05-27,937.12,939.16,897.02,923.56,410067.0
2009-05-28,914.76,935.11,890.23,902.12,654393.0
2009-05-29,901.78,919.45,883.43,908.68,966189.0
2009-06-01,917.75,940.18,915.37,928.22,635493.0
2009-06-02,937.8,967.7,931.0,950.85,674446.0
2009-06-03,947.72,968.38,926.62,943.17,903700.0
2009-06-04,937.8,954.75,918.77,930.53,619122.0
2009-06-05,905.52,997.6,905.52,988.05,396946.0
2009-06-08,985.5,1021.72,980.0,993.59,562608.0
2009-06-09,1002.36,1019.35,985.37,1014.38,960448.0
2009-06-10,1019.35,1035.65,989.58,1008.71,682538.0
2009-06-11,1070.11,1070.11,994.2,1001.54,212191.0
2009-06-12,1011.87,1059.44,981.97,997.06,948347.0
2009-06-15,1019.35,1019.35,952.07,975.48,840373.0
2009-06-16,964.98,971.57,941.33,965.29,404898.0
2009-06-17,954.79,991.08,914.08,959.1,809205.0
2009-06-18,936.91,995.56,924.95,981.59,273847.0
2009-06-19,991.48,1004.39,966.34,995.46,168224.0
2009-06-22,1001.68,1007.76,983.67,1002.02,313249.0
2009-06-23,986.39,988.7,967.19,975.0,807592.0
2009-06-24,983.8,991.11,954.38,982.61,216844.0
2009-06-25,990.7,998.96,955.47,959.58,461620.0
2009-06-26,964.98,971.64,947.99,955.6,366668.0
2009-06-29,962.94,968.38,936.51,940.45,199208.0
2009-06-30,947.99,954.58,932.23,949.76,579659.0
2009-07-01,952.75,968.38,948.02,950.88,201239.0
2009-07-02,954.51,955.7,933.86,939.02,387746.0
2009-07-03,939.16,939.16,922.85,931.07,412052.0
2009-07-06,930.87,950.71,891.38,923.7,289507.0
2009-07-07,927.09,984.69,927.09,976.36,717762.0
2009-07-08,972.83,1002.36,931.34,996.17,348820.0
2009-07-09,998.99,1019.34,985.37,1002.83,333291.0
2009-07-10,1005.75,1012.35,973.24,986.9,307317.0
2009-07-13,985.37,985.37,948.03,952.03,198590.0
2009-07-14,954.79,964.98,934.4,951.08,608063.0
2009-07-15,952.75,1024.58,952.75,1012.82,801549.0
2009-07-16,1018.46,1052.54,1003.95,1045.07,960514.0
2009-07-17,1051.96,1121.55,1049.25,1114.69,1070802.0
2009-07-20,1121.28,1139.66,1080.54,1122.43,689260.0
2009-07-21,1111.77,1134.87,1098.24,1117.98,351813.0
2009-07-22,1100.89,1140.92,1081.29,1098.72,381084.0
2009-07-23,1104.29,1138.27,1104.29,1132.53,364685.0
2009-07-24,1141.67,1189.41,1116.93,1179.11,447763.0
2009-07-27,1156.85,1199.43,1118.12,1142.75,1198518.0
2009-07-28,1165.11,1165.11,1122.3,1139.7,670469.0
2009-07-29,1148.46,1173.54,1097.49,1112.17,821094.0
2009-07-30,1121.28,1147.17,1077.62,1113.36,1813255.0
2009-07-31,1127.4,1138.27,1083.97,1090.9,846088.0
2009-08-03,1097.49,1110.41,1087.98,1103.78,391323.0
2009-08-04,1105.65,1120.5,1088.35,1098.89,409521.0
2009-08-05,1104.29,1104.29,1085.94,1089.95,355037.0
2009-08-06,1086.62,1090.63,1026.14,1033.34,796345.0
2009-08-07,1030.9,1030.9,989.44,1005.24,1017965.0
2009-08-10,1020.7,1024.78,952.88,968.65,700804.0
2009-08-11,971.78,996.82,941.2,966.37,1257233.0
2009-08-12,955.81,982.0,942.28,976.19,787438.0
2009-08-13,988.76,1034.3,986.42,1023.32,719222.0
2009-08-14,1036.3,1036.3,996.24,1004.46,347889.0
2009-08-17,978.57,992.06,938.48,944.42,1039472.0
2009-08-18,959.54,965.52,928.35,945.68,752994.0
2009-08-19,951.39,960.77,913.33,923.66,1196421.0
2009-08-20,931.0,969.23,926.99,960.66,541997.0
2009-08-21,964.64,1012.48,951.15,1007.72,693809.0
2009-08-24,1012.55,1044.45,1012.55,1037.73,401646.0
2009-08-25,1028.18,1038.92,1019.34,1029.67,313510.0
2009-08-26,1032.94,1046.19,1013.91,1018.63,355348.0
2009-08-27,1015.27,1015.27,995.66,999.74,531464.0
2009-08-28,1018.24,1046.45,1002.32,1038.29,374791.0
2009-08-31,1029.95,1053.37,1019.68,1040.77,316008.0
2009-09-01,1047.07,1078.17,1034.98,1056.85,817209.0
2009-09-02,1051.58,1093.74,1049.93,1075.11,641505.0
2009-09-03,1082.31,1088.51,1060.95,1066.29,451296.0
2009-09-04,1067.84,1115.03,1043.76,1109.8,600814.0
2009-09-07,1117.1,1129.16,1109.8,1124.71,310705.0
2009-09-08,1129.81,1154.61,1127.09,1149.72,566573.0
2009-09-09,1145.69,1164.22,1118.37,1121.47,353764.0
2009-09-10,1129.09,1136.04,1075.87,1083.75,530168.0
2009-09-11,1090.3,1101.6,1052.06,1079.79,383287.0
2009-09-14,1081.62,1083.69,1063.12,1074.97,176343.0
2009-09-15,1107.25,1118.2,1075.52,1113.07,396087.0
2009-09-16,1129.64,1164.29,1115.38,1159.5,742845.0
2009-09-17,1160.85,1168.22,1136.94,1145.72,296661.0
2009-09-18,1137.42,1160.85,1137.42,1157.19,193972.0
2009-09-22,1138.04,1204.56,1138.04,1168.15,379686.0
2009-09-23,1188.27,1188.27,1144.72,1158.85,284566.0
2009-09-24,1153.27,1160.85,1125.71,1137.7,443328.0
2009-09-25,1134.67,1150.51,1124.68,1138.32,188093.0
2009-09-29,1149.13,1150.51,1133.39,1140.73,171262.0
2009-09-30,1140.87,1160.91,1140.87,1152.17,303594.0
2009-10-01,1157.4,1164.22,1118.27,1125.68,366906.0
2009-10-05,1119.51,1143.62,1113.45,1130.91,599586.0
2009-10-06,1133.29,1140.18,1107.14,1132.32,461358.0
2009-10-07,1222.64,1222.64,1116.79,1129.64,555314.0
2009-10-08,1133.29,1159.19,1133.29,1149.48,411861.0
2009-10-09,1138.04,1150.51,1123.06,1133.67,235319.0
2009-10-12,1136.04,1136.73,1109.35,1123.85,315146.0
2009-10-14,1129.84,1145.45,1123.64,1132.5,275112.0
2009-10-15,1135.36,1150.51,1125.19,1141.14,194330.0
2009-10-16,1134.98,1142.8,1126.64,1132.53,208597.0
2009-10-20,1133.29,1162.91,1123.3,1142.11,523172.0
2009-10-21,1143.55,1158.64,1103.22,1109.49,379835.0
2009-10-22,1116.07,1136.04,1094.71,1098.84,707193.0
2009-10-23,1103.11,1120.75,1068.7,1090.44,519513.0
2009-10-26,1068.74,1116.07,1064.57,1101.25,463621.0
2009-10-27,1082.48,1111.79,1082.48,1093.78,413051.0
2009-10-28,1088.58,1096.71,1074.73,1084.06,261529.0
2009-10-29,1074.73,1094.71,1057.51,1064.29,337488.0
2009-10-30,1071.28,1091.26,1064.77,1078.69,278766.0
2009-11-03,1081.62,1087.78,1016.89,1041.21,772531.0
2009-11-04,1046.38,1058.16,1006.18,1048.0,357350.0
2009-11-05,1039.7,1084.96,1027.88,1080.1,286236.0
2009-11-06,1079.55,1094.02,1048.55,1053.65,395812.0
2009-11-09,1043.73,1078.17,1043.73,1070.8,317369.0
2009-11-10,1074.73,1074.73,1023.06,1031.22,641213.0
