,open,high,low,close,volume
2009-05-20,26.61,31.8,26.61,31.8,132894.0
2009-05-21,33.53,36.81,32.82,33.18,114099.0
2009-05-22,34.51,35.04,32.82,34.86,46616.0
2009-05-25,34.6,34.6,32.82,33.49,70427.0
2009-05-26,35.22,35.22,31.49,31.76,53026.0
2009-05-27,31.94,34.95,30.52,33.75,156496.0
2009-05-28,34.24,37.17,34.24,35.97,157054.0
2009-05-29,37.08,37.26,35.4,35.79,75858.0
2009-06-01,38.15,38.15,33.98,35.26,59638.0
2009-06-02,35.48,36.33,33.71,34.64,59905.0
2009-06-03,34.6,35.44,33.53,33.89,72139.0
2009-06-04,34.51,34.6,33.27,33.71,65878.0
2009-06-05,34.6,34.6,32.29,32.73,63032.0
2009-06-08,32.29,32.82,31.14,31.76,32875.0
2009-06-09,30.34,32.6,29.81,31.98,45700.0
2009-06-10,32.82,34.38,30.61,31.05,128138.0
2009-06-11,31.05,31.8,29.27,30.29,65232.0
2009-06-12,30.16,31.45,29.27,29.54,23765.0
2009-06-15,29.27,30.61,29.27,30.03,24003.0
2009-06-16,27.59,31.05,27.59,30.47,15978.0
2009-06-17,30.16,32.34,30.07,30.47,43124.0
2009-06-18,31.05,31.05,28.83,29.45,14341.0
2009-06-19,30.16,30.16,28.39,28.92,14445.0
2009-06-22,29.94,30.61,28.65,29.19,6787.0
2009-06-23,29.27,29.63,28.03,28.83,5080.0
2009-06-24,28.56,30.07,28.56,29.01,6744.0
2009-06-25,29.27,31.67,29.27,29.67,52961.0
2009-06-26,29.36,30.47,28.96,29.45,29691.0
2009-06-29,29.72,30.96,29.1,30.12,17418.0
2009-06-30,30.29,32.2,29.72,30.03,73292.0
2009-07-01,30.16,30.56,29.5,30.03,12410.0
2009-07-02,30.07,32.38,29.85,31.14,101552.0
2009-07-03,32.38,33.27,30.52,30.87,215389.0
2009-07-06,31.14,32.11,29.01,29.27,43657.0
2009-07-07,29.27,29.27,27.15,27.77,18938.0
2009-07-08,27.15,27.41,26.21,27.01,15037.0
2009-07-09,27.1,27.5,26.26,26.75,6802.0
2009-07-10,26.79,28.21,26.21,26.92,12166.0
2009-07-13,26.04,26.83,26.04,26.52,8052.0
2009-07-14,27.5,28.83,26.26,28.3,12527.0
2009-07-15,27.5,29.14,27.41,27.54,71688.0
2009-07-16,28.3,28.34,27.1,27.54,42393.0
2009-07-17,27.77,28.56,27.06,28.25,14111.0
2009-07-20,28.39,29.98,27.59,28.74,69438.0
2009-07-21,29.1,29.72,28.17,28.39,90900.0
2009-07-22,28.43,29.45,28.43,29.19,42132.0
2009-07-23,29.36,29.72,28.48,29.1,10418.0
2009-07-24,29.45,30.07,28.83,29.67,37666.0
2009-07-27,29.27,32.82,29.01,31.98,124526.0
2009-07-28,32.73,33.53,31.67,32.2,88065.0
2009-07-29,31.67,33.27,29.76,30.78,88014.0
2009-07-30,30.65,31.94,30.65,30.92,31705.0
2009-07-31,32.38,34.51,31.49,32.2,295185.0
2009-08-03,31.05,33.44,31.05,32.56,103625.0
2009-08-04,33.53,34.6,32.65,33.53,130401.0
2009-08-05,33.36,34.29,32.91,33.22,67793.0
2009-08-06,32.47,33.71,31.94,32.11,82679.0
2009-08-07,32.73,33.13,31.49,31.98,56095.0
2009-08-10,32.51,32.82,30.16,30.83,66366.0
2009-08-11,30.38,31.63,29.27,30.38,47312.0
2009-08-12,29.32,30.61,29.32,30.29,26752.0
2009-08-13,31.31,31.89,30.61,30.92,63411.0
2009-08-14,31.05,31.71,30.74,30.92,31388.0
2009-08-17,30.78,30.92,29.27,29.72,41607.0
2009-08-18,30.07,30.61,29.63,30.21,9743.0
2009-08-19,30.03,30.61,29.72,29.76,72457.0
2009-08-20,30.52,30.92,30.07,30.16,27998.0
2009-08-21,29.72,31.4,29.72,30.47,57959.0
2009-08-24,31.45,33.22,31.31,31.45,345733.0
2009-08-25,32.65,33.22,31.94,32.65,673128.0
2009-08-26,33.27,34.86,32.87,33.27,468226.0
2009-08-27,33.62,34.06,32.82,33.13,273875.0
2009-08-28,33.49,33.49,31.98,32.16,100174.0
2009-08-31,32.38,32.38,31.14,31.45,147452.0
2009-09-01,32.34,33.89,31.71,31.94,527898.0
2009-09-02,31.94,32.73,31.76,32.34,99251.0
2009-09-03,32.34,34.33,32.11,32.82,241785.0
2009-09-04,33.58,33.84,32.16,32.51,179812.0
2009-09-07,32.82,34.15,32.82,33.53,224756.0
2009-09-08,34.15,35.93,32.91,33.27,409449.0
2009-09-09,33.36,34.33,32.91,33.13,134762.0
2009-09-10,33.93,34.06,31.98,32.29,146127.0
2009-09-11,32.73,36.73,32.6,34.82,2228436.0
2009-09-14,35.22,41.78,35.04,41.56,6879773.0
2009-09-15,42.27,43.2,38.77,40.5,5331152.0
2009-09-16,41.07,41.47,40.23,40.63,947676.0
2009-09-17,40.81,42.09,40.1,40.9,693395.0
2009-09-18,40.81,42.45,40.36,40.94,902547.0
2009-09-22,42.58,46.13,41.69,42.54,1363633.0
2009-09-23,43.25,43.91,42.14,43.42,770854.0
2009-09-24,43.11,44.31,42.18,43.07,736425.0
2009-09-25,42.58,43.91,41.78,42.14,267814.0
2009-09-29,42.58,42.94,40.81,40.85,191217.0
2009-09-30,41.87,41.87,39.92,40.23,278147.0
2009-10-01,39.92,41.56,39.12,39.65,149932.0
2009-10-05,38.32,41.69,38.32,40.23,282066.0
2009-10-06,40.36,42.27,39.03,40.98,312706.0
2009-10-07,42.14,42.4,39.96,40.5,176682.0
2009-10-08,40.85,40.98,39.3,39.79,80478.0
2009-10-09,40.63,40.81,38.5,38.81,190967.0
2009-10-12,38.81,40.14,38.37,39.83,97786.0
2009-10-14,39.56,40.72,39.56,39.92,102463.0
2009-10-15,40.72,41.47,39.74,40.05,176100.0
2009-10-16,40.1,40.81,39.03,39.39,116953.0
2009-10-20,41.38,42.31,41.07,41.25,264105.0
2009-10-21,41.69,42.98,41.34,41.74,244073.0
2009-10-22,41.92,42.4,39.17,39.7,156343.0
2009-10-23,40.81,41.61,39.83,40.1,163233.0
2009-10-26,39.96,41.34,39.96,40.32,146468.0
2009-10-27,40.81,40.81,37.13,37.7,136381.0
2009-10-28,37.3,37.88,35.48,36.19,120102.0
2009-10-29,35.48,36.81,34.6,35.35,113292.0
2009-10-30,36.28,37.13,34.2,34.6,71218.0
2009-11-03,34.2,35.04,32.65,33.49,54911.0
2009-11-04,33.75,35.17,33.27,34.6,102524.0
2009-11-05,34.6,36.5,33.89,35.88,109876.0
2009-11-06,37.13,39.43,35.75,37.57,383206.0
2009-11-09,37.26,37.48,36.19,36.37,72581.0
2009-11-10,36.99,37.52,36.19,36.42,68817.0
2009-11-11,36.99,38.37,36.5,37.04,102200.0
2009-11-12,37.7,39.03,36.73,37.57,192448.0
2009-11-13,37.92,38.81,37.61,37.88,107134.0
2009-11-16,38.59,38.77,37.17,37.44,77671.0
2009-11-17,36.42,38.54,35.93,36.55,88986.0
2009-11-18,36.33,37.7,35.93,37.08,93359.0
2009-11-19,37.26,38.06,36.81,37.04,84343.0
2009-11-20,36.81,37.26,36.11,36.73,33400.0
2009-11-23,36.99,37.7,36.15,36.59,64049.0
2009-11-24,36.59,36.95,36.37,36.46,27857.0
2009-11-25,36.59,37.61,35.71,35.97,56772.0
2009-11-26,36.28,36.55,35.09,35.4,57029.0
2009-11-27,35.26,35.26,33.8,34.51,58761.0
2009-11-30,34.77,36.37,34.6,35.26,56584.0
2009-12-01,35.31,37.44,35.31,35.53,232063.0
2009-12-02,36.28,36.81,35.48,35.97,137278.0
2009-12-03,36.11,37.44,35.53,36.42,204337.0
2009-12-04,35.75,36.73,35.13,35.44,134151.0
2009-12-07,35.48,35.93,35.35,35.62,65402.0
2009-12-08,35.35,36.28,35.31,36.02,118310.0
2009-12-09,36.37,36.37,35.4,35.53,126576.0
2009-12-10,36.9,38.15,36.59,37.08,673975.0
2009-12-11,37.35,37.88,35.62,36.19,264006.0
2009-12-14,35.57,36.37,35.22,35.35,198692.0
2009-12-15,35.48,36.33,35.09,35.48,100065.0
2009-12-16,35.53,35.79,35.09,35.35,75804.0
2009-12-17,35.48,36.19,35.26,35.79,114142.0
2009-12-18,35.22,35.88,34.77,34.91,86190.0
2009-12-21,35.4,35.57,33.98,34.15,80543.0
2009-12-22,34.6,34.91,34.29,34.55,55377.0
2009-12-23,34.6,34.91,34.29,34.55,55377.0
2009-12-24,34.6,34.91,34.29,34.55,55377.0
2009-12-29,34.6,34.91,34.29,34.55,55377.0
2009-12-30,34.6,34.91,34.29,34.55,55377.0
2009-12-31,34.6,34.91,34.29,34.55,55377.0
2010-01-04,36.81,37.17,36.28,36.73,119183.0
2010-01-05,37.08,38.06,36.81,37.26,225015.0
2010-01-06,37.61,39.83,37.17,38.46,1224256.0
2010-01-07,39.17,39.96,38.23,38.46,791347.0
2010-01-08,38.46,40.36,38.19,38.99,784580.0
2010-01-11,39.65,40.36,39.48,39.74,493078.0
2010-01-12,41.21,41.21,38.46,38.68,628876.0
2010-01-13,38.99,40.27,38.28,39.79,322311.0
2010-01-14,40.36,40.54,39.08,40.1,259319.0
2010-01-15,40.36,46.53,40.36,44.62,4731865.0
2010-01-18,44.62,45.02,42.63,43.47,925588.0
2010-01-19,44.0,44.36,41.74,41.96,386621.0
2010-01-20,43.16,43.91,41.92,42.27,339591.0
2010-01-21,42.14,44.71,41.12,41.65,605857.0
2010-01-22,40.81,40.81,39.56,39.96,107153.0
2010-01-25,39.03,41.65,39.03,40.81,111098.0
2010-01-27,39.21,41.21,38.77,38.77,69914.0
2010-01-28,38.15,38.59,36.86,36.86,87720.0
2010-01-29,37.57,38.15,35.04,36.19,161081.0
2010-02-01,35.93,37.92,35.48,37.26,78901.0
2010-02-02,38.32,39.12,35.4,35.66,118034.0
2010-02-03,35.84,36.99,35.04,35.44,123829.0
2010-02-04,35.48,36.15,34.6,35.04,87308.0
2010-02-05,34.24,35.0,33.8,34.38,67732.0
2010-02-08,35.48,35.79,33.84,34.86,38226.0
2010-02-09,35.26,35.48,34.6,34.86,27661.0
2010-02-10,35.04,35.71,34.73,35.0,26829.0
2010-02-11,34.73,35.4,34.73,34.91,22448.0
2010-02-15,35.13,35.93,33.98,34.51,45186.0
2010-02-16,34.64,34.64,34.15,34.38,47027.0
2010-02-17,34.42,35.71,34.42,34.82,70071.0
2010-02-18,35.44,35.44,34.15,34.46,40987.0
2010-02-19,34.46,34.95,33.98,34.46,72358.0
2010-02-22,34.6,35.04,33.75,33.98,37085.0
2010-02-23,33.8,34.06,33.44,33.67,36540.0
2010-02-24,33.09,33.58,32.51,32.56,61011.0
2010-02-25,32.73,33.67,32.73,33.27,39778.0
2010-02-26,33.0,34.15,33.0,33.67,59631.0
2010-03-02,33.36,34.38,33.36,33.75,21047.0
2010-03-03,34.2,35.44,34.2,35.44,107373.0
2010-03-04,36.81,37.21,36.37,37.21,103201.0
2010-03-05,39.03,39.08,38.5,39.08,514347.0
2010-03-08,41.03,42.58,39.48,40.01,751512.0
2010-03-09,40.23,40.98,38.63,40.45,685864.0
2010-03-10,40.59,40.81,39.48,39.79,492583.0
2010-03-11,39.92,40.81,39.92,40.5,320266.0
2010-03-12,40.54,40.76,39.48,39.56,82564.0
2010-03-15,39.21,39.48,38.59,38.59,36168.0
2010-03-16,38.59,38.94,38.15,38.37,42102.0
2010-03-17,38.37,39.39,38.15,38.32,45695.0
2010-03-18,38.9,40.45,38.37,39.25,200313.0
2010-03-19,39.48,39.79,38.46,38.86,38222.0
2010-03-22,37.66,38.77,37.44,37.61,33753.0
2010-03-23,38.01,39.48,38.01,38.23,70946.0
2010-03-25,38.59,39.03,37.88,38.41,62755.0
2010-03-26,38.32,38.63,38.06,38.28,45388.0
2010-03-29,38.59,38.59,35.31,35.57,98194.0
2010-03-30,36.24,36.24,34.91,35.04,125311.0
2010-03-31,34.91,36.28,34.91,35.71,58375.0
2010-04-01,35.79,37.26,35.13,36.77,131731.0
2010-04-05,36.81,38.06,36.81,37.79,113198.0
2010-04-06,37.57,40.5,37.52,38.99,176740.0
2010-04-07,38.46,39.65,38.19,38.41,64639.0
2010-04-08,37.57,39.79,37.39,37.75,119551.0
2010-04-09,38.23,39.17,36.81,37.75,162231.0
2010-04-12,38.46,38.86,37.7,37.79,48049.0
2010-04-13,39.48,39.48,37.7,38.32,178048.0
2010-04-15,38.46,39.25,37.52,37.66,90711.0
2010-04-16,37.97,39.48,37.26,38.86,178908.0
2010-04-19,38.15,38.9,36.99,37.21,124340.0
2010-04-20,37.26,38.15,37.17,37.57,76839.0
2010-04-21,37.3,38.9,37.3,38.54,113649.0
2010-04-22,38.5,40.19,38.37,39.25,270921.0
2010-04-23,39.43,39.83,38.81,39.12,99355.0
2010-04-26,39.79,39.79,38.32,38.41,47954.0
2010-04-27,38.15,38.5,37.57,37.84,56561.0
2010-04-28,37.26,38.15,37.08,37.26,90970.0
2010-04-29,37.61,37.7,37.08,37.3,32632.0
2010-04-30,36.68,38.06,36.68,37.52,69051.0
2010-05-03,37.57,37.79,37.04,37.26,24810.0
2010-05-04,37.48,37.75,36.55,36.77,68693.0
2010-05-05,36.37,36.55,35.48,36.19,57801.0
2010-05-06,35.79,36.81,35.79,36.15,83333.0
2010-05-07,34.91,35.84,34.51,34.69,75770.0
2010-05-10,34.82,35.97,34.38,35.48,57438.0
2010-05-11,35.4,35.79,35.0,35.17,27414.0
2010-05-12,35.53,35.71,34.15,35.0,69698.0
2010-05-13,35.26,35.48,34.6,34.64,57165.0
2010-05-14,34.64,34.86,33.71,33.84,34483.0
2010-05-17,33.71,33.98,33.36,33.71,55965.0
2010-05-18,34.46,34.46,33.04,33.18,124015.0
2010-05-19,33.58,34.51,32.96,33.4,96523.0
2010-05-20,33.31,33.98,33.31,33.84,29538.0
2010-05-21,32.87,33.84,32.87,33.62,73900.0
2010-05-24,33.8,34.46,33.4,33.53,95047.0
2010-05-25,33.27,33.75,31.94,32.07,85012.0
2010-05-26,32.16,32.91,32.11,32.73,46557.0
2010-05-27,32.82,33.04,32.38,32.78,23031.0
2010-05-28,33.49,34.73,32.87,34.38,71422.0
2010-05-31,35.35,35.35,33.13,33.22,53620.0
2010-06-01,33.71,33.71,32.2,32.29,65036.0
2010-06-02,32.29,32.73,31.94,32.47,8382.0
2010-06-03,32.73,34.15,32.29,32.56,152454.0
