,open,high,low,close,volume
2009-05-20,34.73,36.13,34.68,35.2,455220.0
2009-05-21,35.2,36.45,34.38,34.98,699580.0
2009-05-22,34.44,35.28,33.41,33.75,1221680.0
2009-05-25,34.52,34.98,33.78,33.98,641040.0
2009-05-26,34.08,34.68,33.41,34.17,589170.0
2009-05-27,34.62,35.76,34.42,35.32,1135550.0
2009-05-28,35.28,35.7,34.86,35.12,521230.0
2009-05-29,35.64,36.01,34.62,35.2,1337560.0
2009-06-01,35.4,37.98,35.4,36.69,1563680.0
2009-06-02,37.39,40.71,37.28,39.17,5085350.0
2009-06-03,40.23,40.41,38.72,39.18,1532260.0
2009-06-04,38.96,40.4,37.4,38.19,1793540.0
2009-06-05,38.66,39.12,38.3,38.66,524940.0
2009-06-08,38.72,38.86,36.61,36.83,591400.0
2009-06-09,36.19,37.68,35.88,37.41,624790.0
2009-06-10,38.26,39.07,37.27,37.56,1346180.0
2009-06-11,38.0,38.0,36.61,37.29,652050.0
2009-06-12,38.0,41.54,37.72,40.12,6319100.0
2009-06-15,40.1,42.09,37.46,38.15,2551570.0
2009-06-16,37.09,39.94,36.8,39.7,993070.0
2009-06-17,39.68,40.47,37.15,37.81,1187340.0
2009-06-18,37.39,38.1,34.2,35.24,802920.0
2009-06-19,35.46,37.33,35.35,36.52,495090.0
2009-06-22,37.87,38.0,36.37,36.52,672620.0
2009-06-23,35.46,35.76,31.37,34.41,1542600.0
2009-06-24,34.98,37.08,34.74,36.67,1815930.0
2009-06-25,37.45,37.51,34.99,35.33,2403310.0
2009-06-26,36.0,37.39,35.52,36.42,1284860.0
2009-06-29,36.73,37.57,36.49,36.81,1077820.0
2009-06-30,37.21,37.9,36.07,36.34,1400270.0
2009-07-01,36.72,37.39,35.59,36.19,1072580.0
2009-07-02,36.31,37.69,36.19,36.75,1155720.0
2009-07-03,36.38,37.32,36.19,36.35,577030.0
2009-07-06,36.73,37.09,33.54,33.98,952070.0
2009-07-07,34.38,34.61,32.6,34.39,335280.0
2009-07-08,33.77,34.07,32.27,33.52,1169720.0
2009-07-09,33.76,35.58,33.76,34.95,1733680.0
2009-07-10,34.98,35.43,33.35,33.81,330070.0
2009-07-13,33.89,33.89,32.45,32.91,332730.0
2009-07-14,33.77,35.28,33.67,34.64,681670.0
2009-07-15,34.98,37.56,34.51,37.03,1114550.0
2009-07-16,37.69,39.02,36.73,37.06,2271810.0
2009-07-17,37.39,38.12,37.19,37.5,659130.0
2009-07-20,37.58,42.82,37.58,40.49,6070800.0
2009-07-21,41.13,41.13,39.19,40.31,1867360.0
2009-07-22,40.29,40.83,39.08,39.27,3187540.0
2009-07-23,39.78,41.61,39.52,41.3,3041380.0
2009-07-24,41.92,43.12,40.41,41.56,3166610.0
2009-07-27,41.92,42.82,41.67,42.32,3769990.0
2009-07-28,42.34,42.73,41.5,42.01,2720860.0
2009-07-29,44.53,44.53,41.91,43.56,1109210.0
2009-07-30,43.02,43.51,43.02,43.24,1353240.0
2009-07-31,43.32,45.04,43.32,44.24,2090850.0
2009-08-03,41.19,47.66,41.19,47.25,3595290.0
2009-08-04,47.82,48.31,46.2,47.05,1981550.0
2009-08-05,47.48,48.1,46.96,47.2,679870.0
2009-08-06,47.35,48.04,46.07,46.4,941460.0
2009-08-07,46.0,48.23,45.28,47.4,1313740.0
