,open,high,low,close,volume
2009-05-20,1138.78,1205.02,1138.68,1176.33,3061.0
2009-05-21,1210.86,1256.65,1197.13,1218.66,475.0
2009-05-22,1198.3,1268.34,1198.3,1257.57,318.0
2009-05-25,1243.01,1363.8,1243.01,1342.57,1013.0
2009-05-26,1366.73,1366.73,1277.11,1290.94,510.0
2009-05-27,1305.36,1324.84,1290.74,1307.69,268.0
2009-05-28,1285.87,1314.9,1285.87,1300.58,111.0
2009-05-29,1319.97,1324.79,1290.01,1305.06,439.0
2009-06-01,1327.76,1329.71,1281.05,1328.25,1017.0
2009-06-02,1319.97,1327.76,1295.61,1324.84,283.0
2009-06-03,1412.51,1547.53,1348.32,1407.79,1404.0
2009-06-04,1397.9,1402.77,1344.32,1387.52,956.0
2009-06-05,1379.63,1412.51,1373.55,1373.55,600.0
2009-06-08,1390.11,1390.11,1325.81,1343.44,482.0
2009-06-09,1320.02,1352.11,1308.28,1324.11,718.0
2009-06-10,1362.64,1373.55,1306.91,1327.03,490.0
2009-06-11,1293.67,1318.99,1293.67,1305.84,228.0
2009-06-12,1349.09,1349.09,1276.13,1295.66,477.0
2009-06-15,1344.32,1346.27,1170.49,1235.51,1142.0
2009-06-16,1290.74,1290.74,1246.91,1271.36,414.0
2009-06-17,1266.39,1362.78,1266.39,1285.39,790.0
2009-06-18,1266.68,1542.41,1217.68,1330.29,3793.0
2009-06-19,1339.45,1339.45,1261.52,1272.43,613.0
2009-06-22,1290.74,1406.67,1290.74,1357.81,2173.0
2009-06-23,1363.8,1383.09,1315.1,1355.48,1739.0
2009-06-24,1387.09,1387.18,1339.45,1354.74,306.0
2009-06-25,1346.37,1368.53,1324.84,1332.49,1273.0
2009-06-26,1327.81,1392.98,1253.0,1285.87,2014.0
2009-06-29,1272.77,1305.36,1254.7,1294.4,296.0
2009-06-30,1329.61,1329.61,1269.31,1270.72,279.0
2009-07-01,1271.26,1314.8,1259.77,1266.73,371.0
2009-07-02,1277.11,1285.78,1266.39,1273.89,277.0
2009-07-03,1269.51,1295.57,1248.47,1256.94,137.0
2009-07-06,1271.26,1292.69,1212.03,1221.73,303.0
2009-07-07,1242.04,1261.52,1203.07,1211.3,243.0
2009-07-08,1203.07,1275.16,1203.07,1226.4,1491.0
2009-07-09,1232.29,1280.03,1230.35,1241.79,41109.0
2009-07-10,1242.08,1283.92,1219.63,1231.32,433.0
2009-07-13,1207.94,1254.65,1138.78,1193.18,1854.0
2009-07-14,1285.87,1285.87,1179.93,1260.93,1174.0
2009-07-15,1228.54,1266.39,1228.54,1265.81,312.0
2009-07-16,1266.49,1285.68,1240.09,1265.66,193.0
2009-07-17,1267.36,1285.87,1251.83,1266.39,498.0
2009-07-20,1290.74,1319.97,1290.74,1307.21,377.0
2009-07-21,1281.98,1319.97,1281.98,1300.48,203.0
2009-07-22,1324.84,1328.35,1288.99,1290.69,1259.0
2009-07-23,1290.89,1309.25,1290.16,1296.44,106.0
2009-07-24,1312.17,1322.4,1290.84,1305.26,165.0
2009-07-27,1286.85,1339.45,1286.85,1336.82,506.0
2009-07-28,1339.45,1382.26,1316.56,1346.03,868.0
2009-07-29,1316.07,1404.72,1316.07,1371.94,962.0
2009-07-30,1401.7,1539.15,1371.6,1528.0,4036.0
2009-07-31,1636.57,1648.06,1534.28,1560.24,3111.0
2009-08-03,1647.18,1677.48,1607.34,1651.18,9390.0
2009-08-04,1680.4,1702.81,1621.95,1656.05,2737.0
2009-08-05,1656.05,1695.01,1613.92,1652.83,1288.0
2009-08-06,1620.98,1656.05,1565.45,1581.77,3378.0
2009-08-07,1582.01,1592.39,1539.39,1554.44,1264.0
2009-08-10,1586.88,1586.88,1462.19,1483.82,896.0
2009-08-11,1509.93,1534.28,1467.06,1490.88,1202.0
2009-08-12,1505.06,1514.89,1485.57,1505.25,302.0
2009-08-13,1529.41,1555.71,1514.8,1541.54,1055.0
2009-08-14,1562.53,1562.53,1512.07,1523.66,1723.0
2009-08-17,1509.93,1529.41,1485.57,1493.02,419.0
2009-08-18,1485.57,1558.63,1476.61,1543.63,1396.0
2009-08-19,1567.4,1626.78,1518.21,1608.17,951.0
2009-08-20,1621.95,1654.1,1607.34,1623.27,518.0
2009-08-21,1597.65,1629.75,1597.65,1611.04,203.0
2009-08-24,1582.01,1631.69,1563.55,1570.37,588.0
2009-08-25,1569.11,1602.47,1524.54,1544.95,925.0
2009-08-26,1549.87,1568.38,1539.15,1541.68,210.0
2009-08-27,1519.67,1573.25,1519.67,1551.72,1126.0
2009-08-28,1540.12,1665.79,1540.12,1606.12,2302.0
2009-08-31,1612.21,1648.26,1558.63,1569.59,984.0
2009-09-01,1606.12,1606.12,1544.02,1546.21,1206.0
2009-09-02,1543.53,1597.11,1543.53,1574.17,529.0
2009-09-03,1539.15,1618.06,1539.15,1595.7,905.0
2009-09-04,1611.24,1612.21,1546.02,1554.1,680.0
2009-09-07,1568.38,1607.34,1558.78,1576.02,1242.0
2009-09-08,1586.06,1586.06,1550.84,1563.16,537.0
2009-09-09,1568.38,1580.21,1544.02,1565.84,1341.0
2009-09-10,1612.21,1612.21,1549.04,1562.68,1144.0
2009-09-11,1587.86,1636.57,1568.38,1585.76,1784.0
2009-09-14,1585.76,1587.86,1569.45,1583.86,246.0
2009-09-15,1655.07,1655.07,1558.63,1585.76,1239.0
2009-09-16,1612.21,1626.82,1580.06,1619.96,2184.0
2009-09-17,1625.85,1853.17,1625.85,1783.08,19235.0
2009-09-18,1797.3,1850.88,1753.46,1818.24,5633.0
2009-09-22,1831.39,1831.39,1782.69,1796.62,1492.0
2009-09-23,1796.33,1826.52,1720.34,1733.98,5341.0
2009-09-24,1715.47,1800.22,1704.76,1746.16,784.0
2009-09-25,1743.72,1786.58,1734.17,1781.27,628.0
2009-09-29,1777.82,1811.62,1757.36,1792.23,3127.0
2009-09-30,1773.04,1802.17,1744.21,1781.23,2758.0
2009-10-01,1763.2,1770.95,1750.54,1754.83,745.0
2009-10-05,1753.56,1759.31,1724.43,1741.14,527.0
2009-10-06,1736.07,1751.51,1719.47,1738.51,438.0
2009-10-07,1763.2,1772.95,1719.37,1724.92,503.0
2009-10-08,1750.54,1750.54,1651.18,1670.66,763.0
