,open,high,low,close,volume
2009-05-20,151.72,167.87,151.72,161.06,10147.0
2009-05-21,166.3,193.32,166.3,184.9,16983.0
2009-05-22,191.31,191.75,167.43,180.05,8159.0
2009-05-25,185.98,193.81,182.06,191.6,10570.0
2009-05-26,193.81,200.66,176.68,179.71,21830.0
2009-05-27,190.77,195.76,183.14,193.95,9429.0
2009-05-28,198.6,202.03,191.85,196.4,7709.0
2009-05-29,200.61,204.23,193.85,197.28,9883.0
2009-06-01,204.52,205.45,191.85,199.53,8367.0
2009-06-02,200.66,203.55,194.44,197.23,5765.0
2009-06-03,203.59,216.96,202.47,216.61,35889.0
2009-06-04,214.36,232.96,214.36,226.94,27348.0
2009-06-05,227.09,234.92,220.72,225.57,12252.0
2009-06-08,225.13,236.87,207.71,211.72,10620.0
2009-06-09,205.55,215.34,199.68,206.58,165746.0
2009-06-10,213.38,224.93,206.04,219.06,16019.0
2009-06-11,216.32,218.28,208.49,211.62,16451.0
2009-06-12,215.24,216.81,207.51,215.0,8828.0
2009-06-15,210.4,219.06,207.51,211.38,3335.0
2009-06-16,200.66,216.96,198.36,215.83,7096.0
2009-06-17,205.6,215.14,204.57,206.58,4821.0
2009-06-18,204.62,226.99,201.83,224.1,25692.0
2009-06-19,226.11,236.78,218.28,224.69,26191.0
2009-06-22,220.23,231.98,211.91,229.29,10703.0
2009-06-23,228.85,232.96,220.53,230.76,9440.0
2009-06-24,228.06,253.86,228.06,253.22,14532.0
2009-06-25,259.39,276.52,256.45,270.45,17464.0
2009-06-26,274.51,278.96,268.2,272.31,6225.0
2009-06-29,272.11,291.59,262.32,284.0,7147.0
2009-06-30,274.07,274.07,257.58,264.43,9238.0
2009-07-01,258.6,264.28,242.94,250.53,9529.0
2009-07-02,244.7,275.59,243.73,260.22,10241.0
2009-07-03,268.93,286.26,261.15,279.6,35626.0
2009-07-06,285.81,298.54,267.61,279.16,27323.0
2009-07-07,279.06,293.65,274.31,282.39,7232.0
2009-07-08,281.9,294.43,265.36,287.82,10543.0
2009-07-09,288.65,292.62,279.01,289.34,9964.0
2009-07-10,290.66,297.46,282.93,288.95,13231.0
2009-07-13,283.86,284.35,270.15,278.03,3879.0
2009-07-14,265.26,288.75,265.26,285.77,2789.0
2009-07-15,288.85,294.58,279.94,288.7,3904.0
2009-07-16,288.75,291.69,284.35,285.91,1907.0
2009-07-17,291.69,343.12,287.67,341.95,126640.0
2009-07-20,340.53,368.04,327.9,342.83,21617.0
2009-07-21,351.4,352.37,323.99,334.27,10058.0
2009-07-22,341.41,342.59,318.16,323.01,5864.0
2009-07-23,327.9,347.48,320.12,323.25,9912.0
2009-07-24,325.95,337.59,323.06,327.9,15551.0
2009-07-27,332.7,336.62,313.22,325.95,115020.0
2009-07-28,311.85,332.8,311.85,326.19,7326.0
2009-07-29,331.77,331.77,323.01,328.69,4543.0
2009-07-30,337.69,337.69,315.42,327.71,3653.0
2009-07-31,323.01,331.53,317.33,325.02,2427.0
2009-08-03,315.42,325.8,315.42,320.56,1318.0
2009-08-04,324.97,335.73,318.12,318.12,29991.0
2009-08-05,318.8,338.67,318.16,333.43,300515.0
2009-08-06,340.63,396.42,337.69,348.56,134372.0
2009-08-07,356.73,366.57,335.73,343.66,57457.0
2009-08-10,346.7,363.14,330.84,336.86,87682.0
2009-08-11,334.76,354.28,332.99,340.78,45916.0
2009-08-12,353.26,353.26,323.06,335.34,25673.0
2009-08-13,340.63,346.45,314.2,332.99,26662.0
2009-08-14,335.73,342.44,328.1,331.92,24910.0
2009-08-17,331.62,331.62,320.07,322.52,20253.0
2009-08-18,321.1,339.45,321.1,337.2,16621.0
2009-08-19,341.41,352.28,328.88,347.92,29805.0
2009-08-20,351.2,365.1,351.2,361.18,75557.0
2009-08-21,367.06,371.9,354.33,359.37,36623.0
2009-08-24,369.9,370.97,357.32,364.46,26561.0
2009-08-25,367.94,368.04,359.23,361.62,14242.0
2009-08-26,362.16,366.08,336.08,353.84,24122.0
2009-08-27,357.17,368.04,355.31,358.1,27804.0
2009-08-28,362.11,381.45,355.31,359.23,24976.0
2009-08-31,358.25,375.77,355.31,362.21,88858.0
2009-09-01,363.68,369.99,337.69,358.49,53201.0
2009-09-02,358.25,360.21,352.37,356.44,9760.0
2009-09-03,352.37,360.89,337.89,356.63,5351.0
2009-09-04,360.06,369.01,357.32,364.71,18967.0
2009-09-07,358.25,369.99,358.25,361.82,7952.0
2009-09-08,364.12,364.12,358.25,358.93,4772.0
2009-09-09,357.76,362.02,357.27,357.42,3766.0
2009-09-10,355.8,367.97,351.38,359.92,10350.0
2009-09-11,367.97,368.06,351.38,358.45,4877.0
2009-09-14,358.25,360.11,351.38,355.85,2736.0
2009-09-15,358.25,363.16,353.49,354.37,4304.0
2009-09-16,358.25,361.19,352.85,354.42,2918.0
2009-09-17,353.54,361.1,352.36,353.49,4327.0
2009-09-18,358.25,358.25,352.75,353.39,2685.0
2009-09-22,351.38,360.21,348.43,353.1,4408.0
2009-09-23,350.45,358.25,345.0,350.84,2633.0
2009-09-24,353.29,353.29,341.56,348.14,6474.0
2009-09-25,345.98,353.34,341.86,344.02,5551.0
2009-09-29,348.43,363.06,338.62,348.39,4831.0
2009-09-30,348.43,355.31,345.59,353.0,12088.0
2009-10-01,349.42,358.05,349.42,354.03,20105.0
2009-10-05,348.43,358.05,343.63,352.41,6459.0
2009-10-06,349.42,360.21,347.5,350.35,6029.0
2009-10-07,356.09,356.09,346.47,346.91,1654.0
2009-10-08,343.63,352.36,339.6,345.49,2182.0
2009-10-09,348.43,348.43,339.9,342.69,4376.0
2009-10-12,351.38,351.38,339.6,341.71,1819.0
2009-10-14,344.51,346.77,339.9,340.58,6536.0
2009-10-15,343.53,346.28,340.58,342.1,2421.0
2009-10-16,338.62,346.47,338.62,342.05,7963.0
2009-10-20,352.12,353.2,334.89,337.98,7619.0
2009-10-21,337.64,341.47,332.29,332.63,4801.0
2009-10-22,330.77,338.23,323.9,328.22,5380.0
2009-10-23,343.43,343.43,315.65,319.19,5273.0
2009-10-26,328.8,328.8,305.25,321.3,21265.0
2009-10-27,329.69,329.69,314.08,318.74,25223.0
2009-10-28,328.8,328.8,314.38,318.5,14446.0
2009-10-29,306.23,327.23,306.23,322.77,19139.0
2009-10-30,328.8,345.34,324.93,331.8,8218.0
2009-11-03,316.54,329.79,316.54,320.27,7317.0
2009-11-04,323.9,328.61,315.11,320.41,7681.0
2009-11-05,320.95,325.86,317.17,323.85,7236.0
2009-11-06,333.66,333.66,314.08,323.5,15463.0
2009-11-09,322.92,336.66,322.92,331.21,20293.0
2009-11-10,343.04,343.04,319.48,328.76,12496.0
2009-11-11,333.71,333.71,320.95,330.18,10013.0
2009-11-12,323.9,330.77,323.9,326.99,1648.0
2009-11-13,328.76,328.76,323.01,325.76,2633.0
2009-11-16,327.72,336.17,309.03,328.9,19247.0
2009-11-17,324.98,333.71,324.98,329.3,1920.0
2009-11-18,328.8,333.47,319.09,322.03,12056.0
2009-11-19,329.79,329.88,316.29,318.2,2270.0
2009-11-20,318.01,332.73,318.01,330.82,7767.0
2009-11-23,327.82,332.53,318.99,328.76,22562.0
2009-11-24,325.86,331.75,323.9,326.55,7292.0
2009-11-25,322.92,328.71,322.92,325.37,8287.0
2009-11-26,320.95,328.61,320.95,324.83,2511.0
2009-11-27,319.09,326.84,318.99,324.44,11804.0
2009-11-30,322.03,332.34,322.03,327.38,5659.0
2009-12-01,323.9,328.76,319.14,328.71,3314.0
2009-12-02,328.26,328.8,322.92,324.88,1502.0
2009-12-03,326.3,326.3,322.08,323.95,4313.0
2009-12-04,324.39,329.2,319.97,320.41,3230.0
