,open,high,low,close,volume
2009-05-20,160.67,177.77,159.35,165.53,26287620.0
2009-05-21,168.62,173.04,160.59,165.09,15912864.0
2009-05-22,166.21,171.83,162.68,168.22,10955019.0
2009-05-25,167.01,172.15,163.48,165.37,10237397.0
2009-05-26,166.69,168.9,155.21,159.31,18955616.0
2009-05-27,164.2,166.93,158.99,163.64,18884587.0
2009-05-28,166.85,183.47,165.49,181.23,30998088.0
2009-05-29,185.96,204.27,183.15,199.05,41070044.0
2009-06-01,200.66,209.81,192.63,198.85,19250131.0
2009-06-02,201.7,202.1,181.87,188.21,16761090.0
2009-06-03,192.03,196.64,183.07,188.13,13441540.0
2009-06-04,184.6,198.05,180.79,195.28,19739327.0
2009-06-05,196.72,197.37,184.36,186.25,15506818.0
2009-06-08,187.89,188.73,165.29,167.74,12617679.0
2009-06-09,165.81,173.84,157.46,171.63,22396878.0
2009-06-10,175.04,178.62,168.3,172.43,16136684.0
2009-06-11,170.79,181.19,166.17,177.29,22938762.0
2009-06-12,178.98,187.37,176.13,180.99,22780008.0
2009-06-15,178.01,179.7,168.02,169.86,10074166.0
2009-06-16,165.41,175.24,160.83,173.24,10377265.0
2009-06-17,171.91,174.88,157.78,160.39,11379460.0
2009-06-18,160.67,162.8,143.33,149.99,12318004.0
2009-06-19,151.76,161.19,148.39,159.55,15356410.0
2009-06-22,161.84,165.81,154.73,156.34,10729705.0
2009-06-23,153.2,157.74,147.34,156.09,8777948.0
2009-06-24,158.18,168.62,155.85,166.69,11382587.0
2009-06-25,171.03,171.83,161.88,164.04,8888485.0
2009-06-26,167.82,173.72,165.49,171.55,10001257.0
2009-06-29,173.44,178.34,169.5,171.63,12557282.0
2009-06-30,172.64,174.56,155.01,156.86,11544554.0
2009-07-01,157.38,170.91,156.58,168.78,15334777.0
2009-07-02,170.23,172.8,165.17,171.11,9841817.0
2009-07-03,168.34,175.77,164.61,174.12,9941054.0
2009-07-06,172.64,183.6,157.62,163.04,17123659.0
2009-07-07,165.05,168.54,155.21,165.53,11669949.0
2009-07-08,163.72,163.72,148.02,149.07,9309169.0
2009-07-09,149.35,157.78,143.29,149.75,12700491.0
2009-07-10,147.74,157.22,143.97,146.14,9954723.0
2009-07-13,144.53,147.34,130.88,141.16,15643783.0
2009-07-14,144.53,154.09,144.53,153.24,7031902.0
2009-07-15,156.58,180.66,155.85,173.12,24556731.0
2009-07-16,178.42,182.27,171.27,177.37,15452427.0
2009-07-17,180.66,184.32,177.69,181.43,9717966.0
2009-07-20,184.72,186.69,180.66,183.56,6615900.0
2009-07-21,182.27,184.68,175.24,179.94,8475135.0
2009-07-22,180.5,189.5,176.25,178.42,11817788.0
2009-07-23,181.31,185.48,180.91,184.16,6177243.0
2009-07-24,187.01,189.1,181.47,187.21,8745674.0
2009-07-27,189.5,195.64,184.68,191.34,8263416.0
2009-07-28,193.51,196.64,190.46,194.31,9400076.0
2009-07-29,194.31,199.29,182.71,197.17,17045052.0
2009-07-30,196.64,201.34,190.94,200.02,13878081.0
2009-07-31,201.98,204.71,193.71,197.77,8224867.0
2009-08-03,200.74,212.78,196.76,209.45,8367701.0
2009-08-04,212.7,214.39,200.82,205.8,8026103.0
2009-08-05,206.36,207.16,194.72,197.77,7647231.0
2009-08-06,198.25,198.73,178.34,182.11,13980555.0
2009-08-07,181.47,185.88,176.65,183.76,10572274.0
2009-08-10,187.89,189.3,172.72,179.02,7980769.0
2009-08-11,176.17,185.24,172.03,181.39,8969668.0
2009-08-12,171.91,187.61,171.91,185.4,9573486.0
2009-08-13,189.5,197.85,187.09,196.76,7733302.0
2009-08-14,196.72,198.33,188.77,189.98,4949523.0
2009-08-17,185.68,185.68,174.08,175.45,7238019.0
2009-08-18,175.04,186.29,173.84,185.08,6441377.0
2009-08-19,187.89,190.14,180.87,183.88,9688741.0
2009-08-20,186.37,190.62,185.0,188.01,5612948.0
2009-08-21,190.82,207.16,187.09,205.68,16903639.0
2009-08-24,211.98,222.98,209.65,220.65,16416900.0
2009-08-25,222.38,229.65,215.19,227.92,16199724.0
2009-08-26,228.84,234.78,218.44,224.35,16062997.0
2009-08-27,222.02,223.18,211.34,217.16,11526606.0
2009-08-28,217.24,227.84,213.75,217.48,12874240.0
2009-08-31,215.19,222.3,211.5,220.73,7926756.0
2009-09-01,223.62,225.43,204.67,208.37,12252694.0
2009-09-02,205.56,209.81,197.97,200.9,15687244.0
2009-09-03,203.47,206.8,197.13,198.21,8536658.0
2009-09-04,200.46,206.76,198.13,205.23,11171990.0
2009-09-07,208.61,215.19,205.72,214.07,8986367.0
2009-09-08,215.87,217.84,210.09,212.22,7295863.0
2009-09-09,212.78,213.26,205.56,207.16,6948907.0
2009-09-10,212.7,212.7,201.7,203.15,7990273.0
2009-09-11,202.67,205.56,196.6,200.7,8270914.0
2009-09-14,198.33,212.78,194.72,210.54,12220076.0
2009-09-15,214.71,216.56,211.58,213.23,7447219.0
2009-09-16,215.79,216.8,209.73,215.11,6305993.0
2009-09-17,217.32,220.37,207.72,210.33,8069880.0
2009-09-18,208.69,211.98,202.95,209.77,6359497.0
2009-09-22,210.37,218.4,209.17,216.32,6571044.0
2009-09-23,216.88,216.88,209.65,210.54,3893727.0
2009-09-24,208.57,216.32,204.95,214.75,9002854.0
2009-09-25,212.78,222.26,210.9,217.76,7453159.0
2009-09-29,220.81,223.38,216.0,217.04,4692436.0
2009-09-30,216.72,220.21,214.51,218.24,7009763.0
2009-10-01,216.88,221.98,216.8,218.97,4488118.0
2009-10-05,216.8,218.4,210.9,211.98,4650305.0
2009-10-06,223.22,223.22,205.56,215.87,4711133.0
2009-10-07,216.4,227.24,213.87,224.59,11639321.0
2009-10-08,228.36,232.05,224.35,230.85,12092849.0
2009-10-09,232.62,239.68,231.53,235.79,12626875.0
2009-10-12,236.79,238.16,225.79,230.45,6951484.0
2009-10-14,234.06,234.3,219.65,221.01,7163733.0
2009-10-15,222.42,233.62,217.36,232.21,12232498.0
2009-10-16,233.66,236.79,228.36,233.62,6229409.0
2009-10-20,231.25,234.7,227.64,229.36,3744350.0
2009-10-21,228.84,236.71,227.08,230.61,6356696.0
2009-10-22,230.61,232.86,219.61,222.02,6098875.0
2009-10-23,224.75,228.0,220.65,221.94,3694880.0
2009-10-26,221.94,223.18,210.7,211.9,3592692.0
2009-10-27,210.37,212.62,188.45,206.36,12060141.0
2009-10-28,206.36,214.23,198.33,211.94,7950947.0
2009-10-29,208.77,208.77,189.9,192.31,8310113.0
2009-10-30,196.72,208.65,195.04,200.82,13459389.0
2009-11-03,197.13,202.83,161.07,170.67,13315642.0
2009-11-04,173.72,196.72,173.44,194.68,13336086.0
2009-11-05,194.31,200.66,187.37,196.64,8181618.0
2009-11-06,198.81,206.48,196.4,199.9,6101443.0
2009-11-09,200.98,204.27,193.11,201.5,4685073.0
2009-11-10,204.43,204.75,188.09,192.11,8375599.0
2009-11-11,193.47,198.33,190.38,195.32,5021009.0
2009-11-12,192.71,199.05,184.76,191.67,10179962.0
2009-11-13,186.29,193.03,186.29,188.77,3574107.0
2009-11-16,189.54,194.31,189.5,190.98,4316188.0
2009-11-17,191.91,194.15,187.09,192.59,6792968.0
2009-11-18,190.94,195.92,188.21,189.34,6812400.0
2009-11-19,189.5,190.66,178.01,179.46,8218059.0
2009-11-20,176.41,182.03,174.4,180.38,6814254.0
2009-11-23,179.46,185.56,179.14,180.22,5084973.0
2009-11-24,182.27,182.27,175.49,178.3,4750125.0
2009-11-25,179.78,179.78,167.17,169.06,7841194.0
2009-11-26,170.23,172.47,160.59,162.04,10866056.0
2009-11-27,158.18,165.09,146.46,161.88,14771312.0
2009-11-30,165.41,169.99,164.24,165.89,8424193.0
2009-12-01,168.54,172.15,166.37,171.47,8837044.0
2009-12-02,176.65,182.07,171.83,179.54,9725997.0
2009-12-03,180.54,182.99,174.68,179.82,6183878.0
