,open,high,low,close,volume
2009-05-20,15.22,17.61,15.07,17.61,4934179.0
2009-05-21,18.03,19.38,18.03,19.15,4253209.0
2009-05-22,19.5,21.04,17.89,20.3,5390875.0
2009-05-25,20.94,22.07,19.54,21.77,4635309.0
2009-05-26,22.03,23.03,19.6,19.72,4622975.0
2009-05-27,20.46,21.06,19.4,19.9,3009380.0
2009-05-28,20.42,20.42,19.46,19.66,1763209.0
2009-05-29,19.86,21.63,19.7,21.63,2732999.0
2009-06-01,22.39,22.51,21.1,21.63,2772540.0
2009-06-02,22.11,22.43,20.62,21.49,2077251.0
2009-06-03,22.11,22.67,21.16,21.63,2813252.0
2009-06-04,21.31,22.39,21.14,21.85,2094769.0
2009-06-05,24.04,24.04,20.9,21.12,1877835.0
2009-06-08,21.31,21.45,19.01,19.18,1287598.0
2009-06-09,18.65,19.58,17.27,19.28,2776828.0
2009-06-10,19.86,20.2,18.77,19.2,1283288.0
2009-06-11,19.3,19.4,18.53,18.71,953976.0
2009-06-12,19.09,19.54,18.55,18.69,1061575.0
2009-06-15,18.73,19.86,18.11,19.26,1808565.0
2009-06-16,18.49,20.66,18.17,20.1,1736859.0
2009-06-17,20.44,20.44,18.17,18.51,987592.0
2009-06-18,18.49,18.67,16.88,17.41,1114051.0
2009-06-19,17.61,17.89,17.08,17.45,1014969.0
2009-06-22,17.79,17.95,16.74,17.02,559948.0
2009-06-23,16.48,17.19,16.0,17.0,2668203.0
2009-06-24,17.19,18.71,17.08,18.71,1468988.0
2009-06-25,19.42,19.42,18.09,18.29,1843013.0
2009-06-26,18.29,18.79,17.29,18.25,1832525.0
2009-06-29,18.57,18.57,17.75,18.05,1108368.0
2009-06-30,18.23,18.41,16.28,16.78,2001478.0
2009-07-01,16.88,17.0,15.68,15.94,3780398.0
2009-07-02,16.16,16.6,15.62,15.78,1491432.0
2009-07-03,15.56,15.76,15.2,15.36,1561638.0
2009-07-06,15.28,16.34,14.19,14.67,2237658.0
2009-07-07,14.87,15.28,14.35,14.61,742554.0
2009-07-08,14.43,14.47,13.35,13.53,1104631.0
2009-07-09,13.59,13.65,13.08,13.21,1153869.0
2009-07-10,13.33,13.71,12.68,12.92,1052228.0
2009-07-13,12.48,13.45,11.56,13.06,1989738.0
2009-07-14,13.47,13.97,13.27,13.71,1145543.0
2009-07-15,13.91,15.46,13.67,14.71,2415327.0
2009-07-16,15.07,15.24,14.31,14.41,1704760.0
2009-07-17,14.67,14.97,14.39,14.47,1361699.0
2009-07-20,14.71,15.22,14.67,15.07,1266187.0
2009-07-21,15.03,15.11,14.47,14.57,1342802.0
2009-07-22,14.73,17.49,14.55,16.92,11898253.0
2009-07-23,17.29,17.85,17.12,17.29,5697245.0
2009-07-24,17.57,17.57,16.3,16.42,2404687.0
2009-07-27,16.72,17.06,16.38,16.66,1198314.0
2009-07-28,16.92,17.61,16.56,17.33,2978267.0
2009-07-29,17.17,18.17,16.56,17.45,4248387.0
2009-07-30,17.49,17.85,17.33,17.53,1760455.0
2009-07-31,17.69,17.97,16.7,16.94,3394292.0
2009-08-03,17.02,17.79,16.68,17.53,2605661.0
2009-08-04,17.77,18.49,17.57,17.79,4969669.0
2009-08-05,17.91,19.5,17.89,19.34,7574291.0
2009-08-06,19.48,19.86,18.21,18.39,5601090.0
2009-08-07,18.13,18.47,17.41,17.65,2743763.0
2009-08-10,18.05,18.73,17.69,18.19,3615162.0
2009-08-11,18.29,19.3,17.91,18.75,3174199.0
2009-08-12,18.45,18.67,17.85,18.13,1828645.0
2009-08-13,18.55,18.93,18.29,18.75,1764247.0
2009-08-14,18.69,19.22,18.37,18.59,2098426.0
2009-08-17,18.19,18.45,17.61,17.71,1102804.0
2009-08-18,17.75,18.25,17.35,17.83,1158046.0
2009-08-19,18.01,18.17,17.35,17.55,1026227.0
2009-08-20,17.89,18.27,17.53,17.81,1440532.0
2009-08-21,17.61,18.33,17.61,18.19,1195322.0
2009-08-24,18.49,21.39,18.43,20.82,10174639.0
2009-08-25,20.6,22.27,20.44,21.81,9331479.0
2009-08-26,21.99,22.35,21.16,21.33,4234944.0
2009-08-27,21.31,22.29,20.74,22.09,4497233.0
2009-08-28,22.31,22.61,21.71,21.85,3225308.0
2009-08-31,21.59,22.55,21.1,22.03,2758594.0
2009-09-01,22.11,22.29,20.84,21.04,1610558.0
2009-09-02,20.7,20.86,19.98,20.1,2050688.0
2009-09-03,20.3,20.82,20.18,20.26,1338902.0
2009-09-04,20.58,20.84,20.22,20.56,1773349.0
2009-09-07,20.7,21.67,20.7,21.55,1924257.0
2009-09-08,21.75,21.91,20.86,20.96,1183515.0
2009-09-09,20.94,21.53,20.62,21.06,1454669.0
2009-09-10,21.43,21.49,20.34,20.66,1162177.0
2009-09-11,20.52,20.88,19.9,20.1,1190806.0
2009-09-14,20.1,21.81,19.5,21.35,3814877.0
2009-09-15,21.79,22.07,21.21,21.37,2613571.0
2009-09-16,21.71,21.81,21.31,21.51,1120315.0
2009-09-17,21.71,21.81,21.31,21.49,1794883.0
2009-09-18,21.51,22.31,21.51,22.07,5114080.0
2009-09-22,22.45,22.86,21.95,22.15,1598305.0
2009-09-23,22.53,22.53,21.34,21.61,1138653.0
2009-09-24,21.36,21.92,21.09,21.67,1059512.0
2009-09-25,21.32,22.22,21.32,21.63,1395198.0
