,open,high,low,close,volume
2009-05-20,66.5,66.5,62.1,63.19,78260072.0
2009-05-21,62.13,63.26,59.48,60.0,72714499.0
2009-05-22,59.28,63.61,58.03,62.63,82922944.0
2009-05-25,63.26,63.96,62.01,62.81,44956307.0
2009-05-26,62.84,63.29,58.67,59.37,51311068.0
2009-05-27,60.7,63.68,60.7,63.31,43286221.0
2009-05-28,63.73,65.95,62.42,65.1,75588678.0
2009-05-29,65.42,67.29,65.16,65.98,44991226.0
2009-06-01,67.63,67.81,63.17,64.41,53351573.0
2009-06-02,65.07,66.85,62.74,65.28,62033158.0
2009-06-03,66.41,66.65,63.16,64.13,47039806.0
2009-06-04,63.65,65.85,61.82,65.38,60590090.0
2009-06-05,66.01,68.14,66.01,67.28,55471955.0
2009-06-08,68.99,68.99,64.01,64.6,31803530.0
2009-06-09,64.18,66.74,62.86,65.77,56353099.0
2009-06-10,66.59,67.91,65.61,66.65,67722666.0
2009-06-11,72.71,73.7,71.06,72.77,35067549.0
2009-06-12,74.68,75.61,71.58,72.01,40021316.0
2009-06-15,70.8,72.93,70.07,71.26,27235472.0
2009-06-16,69.09,71.72,69.09,71.23,45355986.0
2009-06-17,70.8,72.69,69.35,70.07,41301766.0
2009-06-18,68.92,71.23,67.25,68.21,45576388.0
2009-06-19,68.05,70.22,66.15,69.25,59281596.0
2009-06-22,69.86,72.74,69.54,70.9,44850900.0
2009-06-23,68.18,69.25,66.19,67.62,68331136.0
2009-06-24,68.09,68.36,65.47,66.86,53093563.0
2009-06-25,67.38,69.31,67.07,67.89,56122006.0
2009-06-26,69.04,73.71,68.62,73.34,57797212.0
2009-06-29,74.17,74.94,71.84,72.61,45488448.0
2009-06-30,72.74,73.12,69.39,70.04,38125527.0
2009-07-01,69.83,71.66,68.21,70.79,45810022.0
2009-07-02,71.47,72.24,69.73,71.14,36291354.0
2009-07-03,69.88,73.71,69.47,73.22,37752957.0
2009-07-06,73.71,75.36,64.5,65.92,79021800.0
2009-07-07,66.92,69.15,66.44,67.39,64419966.0
2009-07-08,66.73,66.81,62.29,63.34,57444558.0
2009-07-09,64.98,64.98,60.14,61.63,62494630.0
2009-07-10,61.68,63.76,60.07,60.99,44425249.0
2009-07-13,60.13,62.46,58.79,61.39,41115525.0
2009-07-14,62.57,66.44,62.57,65.9,41587496.0
2009-07-15,66.92,68.66,64.89,67.54,52595703.0
2009-07-16,68.97,69.82,66.75,67.3,38862076.0
2009-07-17,68.0,72.6,68.0,72.05,55316553.0
2009-07-20,73.13,77.06,71.68,76.11,55446551.0
2009-07-21,77.1,77.11,74.41,74.94,47118583.0
2009-07-22,74.87,78.34,72.96,73.67,63070519.0
2009-07-23,74.73,76.52,73.57,75.24,55353540.0
2009-07-24,75.92,77.08,73.71,74.44,57609409.0
2009-07-27,74.94,75.84,72.4,73.51,61956824.0
2009-07-28,73.68,73.71,71.0,71.8,57014320.0
2009-07-29,71.77,72.23,69.59,71.07,44168680.0
2009-07-30,70.52,74.07,70.03,73.44,46910287.0
2009-07-31,75.07,75.35,72.84,73.57,35803334.0
2009-08-03,74.09,75.17,72.57,75.04,27991018.0
2009-08-04,74.87,76.18,73.08,74.05,48726871.0
2009-08-05,74.68,75.46,73.52,75.01,36683872.0
2009-08-06,74.68,77.97,73.23,74.31,76527226.0
2009-08-07,74.0,74.18,71.09,71.59,39098488.0
2009-08-10,72.32,73.56,69.15,69.71,51778628.0
2009-08-11,71.23,71.23,68.15,69.55,38187188.0
2009-08-12,68.86,69.25,66.94,68.88,38127226.0
2009-08-13,70.22,73.7,70.22,73.44,35109976.0
2009-08-14,74.2,74.2,71.59,72.24,24985483.0
2009-08-17,71.16,71.38,68.1,68.37,30469626.0
2009-08-18,68.88,70.61,67.63,69.84,34215423.0
2009-08-19,70.12,70.32,67.93,69.5,37529608.0
2009-08-20,70.31,71.27,69.26,69.79,20595839.0
2009-08-21,69.82,72.67,68.57,72.29,47251067.0
2009-08-24,72.74,75.06,72.74,74.48,30539031.0
2009-08-25,73.82,74.39,72.77,73.63,28630492.0
2009-08-26,73.71,74.53,72.98,73.89,23269433.0
2009-08-27,73.23,73.71,72.44,72.79,28304898.0
2009-08-28,72.73,74.75,72.73,74.06,26284412.0
2009-08-31,73.18,73.99,72.06,72.85,26119588.0
2009-09-01,72.95,75.22,71.77,72.24,28549279.0
2009-09-02,71.29,72.26,70.12,71.39,21361164.0
2009-09-03,71.87,72.93,70.81,71.38,29277232.0
2009-09-04,71.67,72.98,70.9,72.15,23908632.0
2009-09-07,72.62,77.29,72.61,76.51,36697584.0
2009-09-08,77.11,78.22,75.82,76.62,50940241.0
2009-09-09,76.33,77.49,76.0,76.9,25875966.0
2009-09-10,78.08,80.34,77.93,79.2,37852116.0
2009-09-11,80.5,81.92,79.36,81.0,35905380.0
2009-09-14,79.53,80.98,79.35,79.98,21326349.0
2009-09-15,80.5,82.15,80.4,81.9,19170784.0
2009-09-16,82.44,84.37,82.44,83.85,28691141.0
2009-09-17,85.24,85.75,83.71,84.48,35923750.0
2009-09-18,84.38,84.38,81.32,81.71,33598790.0
2009-09-22,81.66,83.26,81.18,82.63,16267317.0
2009-09-23,82.92,83.5,81.47,81.97,17965030.0
2009-09-24,80.98,89.97,80.53,83.45,35010222.0
2009-09-25,82.44,82.88,81.09,81.37,17814462.0
2009-09-29,86.68,86.68,82.44,84.03,22462187.0
2009-09-30,83.43,88.25,83.43,88.03,45465096.0
2009-10-01,79.34,90.58,79.34,89.87,46686250.0
2009-10-05,87.29,89.32,86.99,88.49,32277498.0
2009-10-06,88.95,91.62,86.62,90.99,40974896.0
2009-10-07,91.65,92.54,88.64,89.07,30668116.0
2009-10-08,89.49,90.67,88.54,89.51,34944371.0
2009-10-09,89.62,89.68,86.82,87.46,23061555.0
2009-10-12,86.76,89.71,86.45,89.25,26540228.0
2009-10-14,89.68,90.58,88.92,89.33,18482937.0
2009-10-15,89.95,91.44,88.67,90.78,31891024.0
2009-10-16,89.83,94.06,89.83,93.02,33702691.0
2009-10-20,92.02,93.69,91.17,91.6,22193320.0
2009-10-21,90.88,91.29,89.45,90.11,21112014.0
2009-10-22,89.03,89.33,85.93,86.46,27866652.0
2009-10-23,87.68,88.44,86.81,87.65,19342763.0
2009-10-26,88.16,89.23,86.03,86.4,19795264.0
2009-10-27,85.83,87.24,80.13,80.93,57013891.0
2009-10-28,80.21,80.5,76.33,78.51,56320363.0
2009-10-29,76.72,78.08,73.39,74.85,57676900.0
2009-10-30,76.14,78.59,74.09,76.7,65643886.0
2009-11-03,76.26,79.89,75.07,76.26,51784783.0
2009-11-04,77.2,80.67,77.1,80.28,36119804.0
2009-11-05,80.69,82.24,78.41,81.92,31882928.0
2009-11-06,83.11,83.67,81.52,82.3,29357279.0
2009-11-09,82.34,86.56,81.92,86.17,37202297.0
2009-11-10,87.28,88.14,86.34,86.95,33055286.0
2009-11-11,87.0,90.1,85.93,89.67,22744386.0
2009-11-12,89.91,90.05,85.64,86.57,28706227.0
2009-11-13,87.21,88.73,86.46,88.16,21123834.0
2009-11-16,88.37,90.39,88.37,89.16,19300606.0
2009-11-17,89.42,89.7,87.29,89.28,19681052.0
2009-11-18,88.74,89.03,87.39,87.82,17739876.0
2009-11-19,87.71,87.76,85.16,85.98,19304214.0
2009-11-20,85.35,87.39,83.22,87.0,27084640.0
2009-11-23,87.29,89.59,86.82,88.96,19699955.0
2009-11-24,88.76,88.84,86.93,88.2,26675171.0
2009-11-25,87.69,88.16,86.05,87.47,24813921.0
2009-11-26,86.95,86.98,83.41,83.94,34519276.0
2009-11-27,82.44,83.11,78.66,82.53,42162918.0
2009-11-30,87.29,87.29,83.41,84.17,28313087.0
2009-12-01,84.96,86.31,83.9,86.05,22969436.0
2009-12-02,86.79,88.98,86.13,86.66,36092732.0
2009-12-03,86.51,87.77,85.08,85.76,27686252.0
2009-12-04,84.86,85.48,83.89,84.52,23213157.0
2009-12-07,84.77,85.48,83.03,83.48,23868312.0
