,open,high,low,close,volume
2009-05-20,606.22,700.35,606.22,676.02,74093.0
2009-05-21,687.1,723.13,636.96,644.63,72107.0
2009-05-22,641.81,684.16,635.66,651.81,14206.0
2009-05-25,662.51,666.8,627.87,642.07,13197.0
2009-05-26,658.18,671.17,627.87,632.63,21511.0
2009-05-27,649.52,653.85,614.96,631.2,12587.0
2009-05-28,632.2,632.24,615.74,621.07,9259.0
2009-05-29,640.6,646.92,612.28,615.7,10910.0
2009-06-01,621.81,637.39,619.21,627.35,5033.0
2009-06-02,627.87,662.51,619.29,654.54,28380.0
2009-06-03,659.65,676.11,641.94,652.33,20479.0
2009-06-04,657.05,691.78,653.42,682.34,15942.0
2009-06-05,678.1,715.25,674.63,701.05,36742.0
2009-06-08,714.47,778.56,685.89,713.08,43761.0
2009-06-09,717.93,720.19,688.49,701.39,13024.0
2009-06-10,701.48,766.43,701.48,722.31,43475.0
2009-06-11,717.76,753.36,705.81,711.92,12213.0
2009-06-12,720.53,727.98,672.9,682.99,8994.0
2009-06-15,676.37,682.43,648.22,654.32,6248.0
2009-06-16,649.52,683.29,629.6,672.55,7578.0
2009-06-17,668.66,671.04,622.11,649.69,5793.0
2009-06-18,650.38,666.84,649.52,655.41,7645.0
2009-06-19,659.91,671.17,641.98,647.87,4702.0
2009-06-22,643.5,655.58,619.21,628.26,6809.0
2009-06-23,601.89,636.53,601.89,633.76,4598.0
2009-06-24,627.0,665.11,627.0,647.35,6439.0
2009-06-25,648.26,662.51,648.22,653.07,2193.0
2009-06-26,666.8,675.46,649.43,659.56,5672.0
2009-06-29,658.18,695.42,655.62,672.34,9609.0
2009-06-30,676.45,687.62,653.85,666.8,4000.0
2009-07-01,665.15,684.16,661.47,680.78,2718.0
2009-07-02,672.47,757.77,672.47,715.03,150037.0
2009-07-03,714.47,731.79,694.21,698.62,34739.0
2009-07-06,704.51,722.26,645.45,655.41,16247.0
2009-07-07,662.6,675.5,658.18,667.27,6623.0
2009-07-08,651.25,679.66,640.86,657.31,10861.0
2009-07-09,662.51,663.33,643.02,648.74,4860.0
2009-07-10,640.86,657.23,619.21,628.99,4460.0
2009-07-13,608.95,649.48,607.95,640.6,13572.0
2009-07-14,637.44,662.51,637.44,658.18,3687.0
2009-07-15,664.93,724.0,659.91,699.83,52456.0
2009-07-16,718.8,718.8,697.15,703.99,8053.0
2009-07-17,700.66,717.07,700.66,711.05,8929.0
2009-07-20,708.88,742.18,708.84,725.9,19306.0
2009-07-21,704.51,727.46,704.51,725.64,5647.0
2009-07-22,725.77,770.76,717.98,746.43,59810.0
2009-07-23,760.37,766.35,744.78,748.29,13417.0
2009-07-24,757.77,766.43,744.74,758.94,21050.0
2009-07-27,766.43,779.42,749.98,770.29,35249.0
2009-07-28,775.09,814.06,765.57,791.03,100575.0
2009-07-29,785.48,805.23,769.03,779.42,24702.0
2009-07-30,785.57,811.24,781.18,783.94,13747.0
2009-07-31,796.98,803.12,772.44,780.17,8142.0
2009-08-03,788.99,795.22,770.64,788.86,9313.0
2009-08-04,777.67,802.11,776.79,788.02,11251.0
2009-08-05,781.22,798.73,773.28,777.54,6386.0
2009-08-06,775.96,794.12,754.89,763.75,8634.0
2009-08-07,748.7,776.79,732.95,748.39,18086.0
2009-08-10,756.6,781.18,715.35,719.87,6219.0
2009-08-11,712.71,728.51,712.71,721.67,2270.0
2009-08-12,715.35,723.42,702.18,708.55,4068.0
2009-08-13,725.05,745.19,724.13,734.31,5211.0
2009-08-14,746.07,746.07,716.23,719.12,3531.0
2009-08-17,704.82,738.17,704.82,716.23,4951.0
2009-08-18,712.71,734.66,712.71,723.16,2465.0
2009-08-19,723.25,789.08,715.44,722.19,6073.0
2009-08-20,724.13,732.9,715.44,717.54,2066.0
2009-08-21,715.52,729.83,705.69,722.72,2800.0
2009-08-24,735.76,744.31,728.51,740.93,3267.0
2009-08-25,731.72,742.56,728.51,732.33,5491.0
2009-08-26,738.17,744.31,715.52,719.96,7938.0
2009-08-27,711.97,754.93,676.82,732.77,38828.0
2009-08-28,729.39,746.07,717.98,721.97,11128.0
