,open,high,low,close,volume
2009-05-20,32.0,33.5,32.0,33.5,4207.0
2009-05-21,35.1,35.2,35.1,35.2,10062.0
2009-05-22,37.0,37.0,35.5,36.15,9337.0
2009-05-25,36.15,38.2,36.15,38.2,1115.0
2009-05-26,40.15,40.15,38.5,40.1,8247.0
2009-05-27,42.15,42.15,41.05,42.15,14311.0
2009-05-28,42.2,43.9,40.0,40.1,17806.0
2009-05-29,40.15,41.7,38.1,38.5,6365.0
2009-06-01,38.2,40.3,37.5,39.0,8648.0
2009-06-02,37.25,40.75,37.15,40.55,5493.0
2009-06-03,42.25,42.25,39.15,41.25,4887.0
2009-06-04,41.5,41.5,39.6,40.6,4834.0
2009-06-05,40.05,42.4,39.0,40.95,15582.0
2009-06-08,39.7,40.9,39.0,39.0,1690.0
2009-06-09,39.0,40.5,37.05,38.3,3070.0
2009-06-10,40.25,40.25,39.2,39.2,54900.0
2009-06-11,39.25,41.2,39.25,40.1,3071.0
2009-06-12,39.25,42.15,39.25,40.05,7051.0
2009-06-15,39.0,41.5,39.0,39.5,2100.0
2009-06-16,38.25,40.9,38.25,40.0,1200.0
2009-06-17,39.5,41.4,38.3,39.7,2761.0
2009-06-18,39.5,39.5,38.5,38.5,3900.0
2009-06-19,38.6,38.6,37.5,38.0,13031.0
2009-06-22,39.5,39.5,37.6,38.15,10600.0
2009-06-23,38.05,39.8,38.05,39.3,2955.0
2009-06-24,40.7,41.0,38.25,40.75,3337.0
2009-06-25,40.1,42.75,39.6,41.95,9159.0
2009-06-26,40.05,44.05,40.05,43.5,30500.0
2009-06-29,45.5,45.7,45.5,45.7,3100.0
2009-06-30,48.0,48.0,48.0,48.0,8600.0
2009-07-01,50.4,50.4,46.05,46.95,40187.0
2009-07-02,45.0,47.9,45.0,46.4,6693.0
2009-07-03,47.35,47.35,44.1,44.6,5964.0
2009-07-06,44.6,46.0,42.4,42.5,6523.0
2009-07-07,38.25,43.95,38.25,41.7,1928.0
2009-07-08,40.5,41.45,38.0,40.0,6200.0
2009-07-09,36.5,42.9,36.5,40.0,2100.0
2009-07-10,38.3,40.1,38.3,40.1,641.0
2009-07-13,36.15,41.5,36.15,38.95,2300.0
2009-07-14,41.0,41.5,41.0,41.5,550.0
2009-07-15,43.95,44.0,39.8,42.45,3800.0
2009-07-16,42.0,42.0,42.0,42.0,1200.0
2009-07-17,41.0,43.5,41.0,41.6,3127.0
2009-07-20,41.2,43.0,41.2,42.15,2900.0
2009-07-21,41.0,42.0,40.0,40.1,3000.0
2009-07-22,40.3,43.9,40.3,41.2,3361.0
2009-07-23,40.6,42.0,40.1,41.8,3705.0
2009-07-24,40.6,42.5,40.6,41.15,3383.0
2009-07-27,42.5,43.0,41.65,41.85,10642.0
2009-07-28,41.5,42.4,38.95,42.0,3299.0
2009-07-29,43.1,43.1,40.6,41.9,4627.0
2009-07-30,42.5,42.5,41.2,42.0,4300.0
2009-07-31,41.5,42.9,41.3,41.55,3500.0
2009-08-03,45.5,45.5,39.5,40.4,11661.0
2009-08-04,44.0,44.0,40.5,40.55,11400.0
2009-08-05,40.15,40.75,39.05,40.1,8942.0
2009-08-06,40.0,44.15,39.25,41.05,46748.0
2009-08-07,39.15,45.0,39.15,40.35,8569.0
2009-08-10,40.5,41.45,38.95,40.0,20908.0
2009-08-11,40.0,40.9,40.0,40.05,77554.0
2009-08-12,38.95,42.5,38.95,40.0,9300.0
2009-08-13,40.0,41.7,40.0,40.15,1883.0
2009-08-14,40.5,41.5,39.5,40.2,8742.0
2009-08-17,41.1,41.1,39.5,40.2,6447.0
2009-08-18,39.5,40.6,36.2,40.05,32489.0
2009-08-19,36.5,41.4,36.5,40.9,889.0
2009-08-20,41.0,42.0,39.55,41.05,4094.0
2009-08-21,41.4,42.4,40.65,41.85,3539.0
2009-08-24,42.45,42.7,41.05,42.5,8100.0
2009-08-25,41.2,43.0,41.2,42.95,10447.0
2009-08-26,41.05,44.5,41.05,43.55,7883.0
2009-08-27,45.0,47.0,44.0,46.4,25129.0
2009-08-28,46.7,49.8,46.25,46.6,19253.0
2009-08-31,47.6,47.6,45.0,46.15,12322.0
2009-09-01,48.35,48.35,43.2,44.2,7403.0
2009-09-02,46.3,46.3,42.25,44.05,9870.0
2009-09-03,43.05,45.9,43.05,44.2,4486.0
2009-09-04,45.8,46.0,43.5,43.9,3954.0
2009-09-07,43.5,46.5,43.1,45.1,14400.0
2009-09-08,46.0,47.0,45.85,46.2,6938.0
2009-09-09,46.65,48.5,46.1,48.15,31854.0
2009-09-10,49.0,57.8,48.5,57.8,203500.0
2009-09-11,60.0,62.3,55.0,56.0,210268.0
2009-09-14,58.0,67.2,54.5,67.2,266200.0
2009-09-15,73.6,73.6,67.1,69.1,478040.0
2009-09-16,68.9,69.1,65.0,65.95,61369.0
2009-09-17,68.0,68.0,62.1,64.75,51537.0
2009-09-18,63.0,64.45,61.6,62.85,36977.0
2009-09-22,62.05,66.85,59.05,64.1,118680.0
2009-09-23,62.1,64.9,61.0,61.85,26124.0
2009-09-24,61.0,62.75,60.2,62.25,8860.0
2009-09-25,61.5,63.5,61.5,62.7,10520.0
2009-09-29,61.0,66.5,57.2,63.25,48820.0
2009-09-30,63.2,64.7,62.6,63.4,11726.0
2009-10-01,63.0,63.4,61.05,61.65,9128.0
2009-10-05,60.1,61.0,56.05,57.2,22514.0
2009-10-06,59.0,59.0,53.35,56.5,28816.0
2009-10-07,54.0,57.9,53.0,56.2,3401.0
2009-10-08,57.45,57.5,55.05,57.5,8400.0
2009-10-09,57.8,57.8,54.75,56.0,7938.0
2009-10-12,56.0,56.9,53.5,56.75,13697.0
2009-10-14,57.8,58.0,55.65,57.8,9296.0
2009-10-15,57.25,60.7,57.0,59.8,11901.0
2009-10-16,58.5,63.5,58.5,62.25,20998.0
2009-10-20,65.0,70.65,64.5,70.65,168500.0
2009-10-21,72.7,74.2,69.0,74.2,116000.0
2009-10-22,76.0,77.95,76.0,77.95,36500.0
2009-10-23,81.85,81.85,74.05,74.05,189000.0
2009-10-26,73.3,74.95,70.35,70.7,131361.0
2009-10-27,70.95,72.0,67.2,67.5,63200.0
2009-10-28,67.0,67.65,64.3,65.7,32958.0
2009-10-29,66.9,66.9,62.5,63.55,20669.0
2009-10-30,65.0,66.4,60.4,61.3,19927.0
2009-11-03,62.75,62.75,58.4,58.85,21179.0
2009-11-04,58.2,61.8,58.2,61.8,13800.0
2009-11-05,62.5,64.5,61.3,64.15,19700.0
2009-11-06,66.85,66.85,62.0,63.2,37046.0
2009-11-09,65.25,67.7,63.0,63.9,11307.0
2009-11-10,65.0,65.0,63.1,64.25,30570.0
2009-11-11,70.7,70.7,63.0,63.8,23898.0
2009-11-12,63.1,64.8,62.1,62.75,6435.0
2009-11-13,61.5,63.8,61.5,62.65,21906.0
2009-11-16,63.75,68.8,61.5,66.35,24267.0
2009-11-17,62.0,66.4,62.0,63.55,10703.0
2009-11-18,65.0,65.45,63.6,64.7,16219.0
2009-11-19,65.0,65.5,63.0,63.15,6077.0
2009-11-20,61.7,63.8,61.0,62.05,14012.0
2009-11-23,62.0,68.3,62.0,68.3,847363.0
2009-11-24,73.3,73.3,66.25,67.1,62567.0
2009-11-25,66.0,68.0,64.55,65.05,6445.0
2009-11-26,66.95,66.95,64.05,66.05,4897.0
2009-11-27,64.25,64.25,61.0,63.55,12574.0
2009-11-30,62.3,65.0,62.3,63.35,11924.0
2009-12-01,62.9,68.5,62.9,67.5,17809.0
2009-12-02,69.95,69.95,66.75,67.35,22048.0
2009-12-03,68.95,68.95,66.0,66.5,17395.0
2009-12-04,66.0,67.9,64.55,65.95,4399.0
2009-12-07,66.5,67.5,64.55,66.0,15100.0
2009-12-08,65.0,72.0,64.45,69.3,57383.0
2009-12-09,70.3,71.9,69.0,69.15,25814.0
2009-12-10,70.45,70.45,67.5,68.15,15088.0
2009-12-11,68.5,69.8,66.0,66.3,7132.0
2009-12-14,68.0,68.45,65.65,66.55,3171.0
2009-12-15,67.5,67.6,65.15,65.45,8721.0
2009-12-16,66.0,66.0,64.15,65.1,3397.0
2009-12-17,66.0,67.5,64.0,66.85,4272.0
2009-12-18,66.0,67.0,64.75,65.05,5460.0
2009-12-21,67.9,67.9,63.0,63.2,3566.0
2009-12-22,64.0,65.7,64.0,65.3,14330.0
2009-12-23,64.0,65.7,64.0,65.3,14330.0
2009-12-24,64.0,65.7,64.0,65.3,14330.0
2009-12-29,64.0,65.7,64.0,65.3,14330.0
2009-12-30,64.0,65.7,64.0,65.3,14330.0
2009-12-31,64.0,65.7,64.0,65.3,14330.0
2010-01-04,69.0,70.75,68.25,69.6,9078.0
2010-01-05,69.25,73.0,69.25,71.15,52796.0
2010-01-06,72.8,72.8,68.1,69.15,22378.0
2010-01-07,68.05,70.2,68.05,69.4,9798.0
2010-01-08,70.0,74.2,69.8,70.95,74544.0
2010-01-11,72.95,72.95,70.3,70.75,13823.0
2010-01-12,71.0,72.5,68.5,69.4,35884.0
2010-01-13,71.0,83.3,69.0,83.3,114663.0
2010-01-14,92.8,100.0,89.7,95.15,2394239.0
2010-01-15,93.6,93.6,81.6,83.9,772253.0
2010-01-18,83.9,85.55,80.0,81.85,133980.0
2010-01-19,83.5,85.25,78.2,79.85,189587.0
2010-01-20,80.95,82.75,79.0,79.5,71087.0
2010-01-21,79.95,79.95,75.0,75.55,65568.0
2010-01-22,75.0,82.55,72.0,79.75,152637.0
2010-01-25,79.05,82.95,77.6,81.0,109104.0
2010-01-27,81.95,81.95,76.1,80.6,103276.0
2010-01-28,80.6,83.0,78.0,80.35,71266.0
2010-01-29,78.25,84.95,78.0,83.5,99871.0
2010-02-01,84.0,92.0,83.0,89.4,147728.0
2010-02-02,91.0,95.75,88.55,89.65,184899.0
2010-02-03,92.9,95.5,89.0,89.8,140932.0
2010-02-04,90.0,91.5,85.2,85.8,37162.0
2010-02-05,84.0,84.75,80.15,84.1,35666.0
2010-02-08,86.0,87.0,82.1,82.9,14655.0
2010-02-09,84.0,84.8,82.25,82.7,22398.0
2010-02-10,85.0,86.0,82.0,83.55,21943.0
2010-02-11,82.0,84.45,81.9,82.6,22561.0
2010-02-15,82.0,86.5,82.0,83.9,32165.0
2010-02-16,83.1,88.2,83.1,84.45,63417.0
2010-02-17,85.0,87.0,83.0,86.0,36661.0
2010-02-18,85.0,86.0,84.25,84.6,11511.0
2010-02-19,84.0,86.0,82.6,83.05,10673.0
2010-02-22,84.0,84.6,81.1,81.6,8998.0
2010-02-23,81.0,82.5,78.25,80.35,7352.0
2010-02-24,80.95,80.95,78.6,79.05,8032.0
2010-02-25,78.0,80.0,77.05,77.3,3118.0
2010-02-26,76.5,83.0,76.5,80.85,15394.0
2010-03-02,81.5,88.9,81.5,87.05,50272.0
2010-03-03,90.1,93.0,86.7,88.0,79927.0
2010-03-04,88.5,88.95,86.0,86.55,24803.0
2010-03-05,86.5,88.6,84.0,85.25,31882.0
2010-03-08,85.1,87.6,84.3,85.35,13525.0
2010-03-09,85.55,93.0,83.0,90.2,146394.0
2010-03-10,93.0,94.8,87.15,88.35,64160.0
2010-03-11,89.0,89.5,86.0,86.9,14791.0
2010-03-12,87.95,88.35,85.5,86.1,11448.0
2010-03-15,86.5,88.0,84.2,85.2,20415.0
2010-03-16,84.8,86.95,84.55,85.2,7590.0
2010-03-17,87.35,94.0,86.05,89.6,188204.0
2010-03-18,91.8,92.0,88.6,89.9,80438.0
2010-03-19,90.6,93.8,90.05,90.95,160775.0
2010-03-22,91.0,92.3,89.0,89.45,100760.0
2010-03-23,90.05,91.45,88.25,88.8,36625.0
2010-03-25,88.3,90.0,88.3,88.85,19214.0
