,open,high,low,close,volume
2009-05-20,30.8766,34.2807,30.3961,33.9202,60218060.0
2009-05-21,34.2406,35.6022,31.8778,33.3195,53994572.0
2009-05-22,33.4797,37.1641,32.1982,36.5233,51322140.0
2009-05-25,37.4044,39.9274,36.0427,39.2065,52577644.0
2009-05-26,39.2466,39.4468,34.9214,35.9627,53164776.0
2009-05-27,37.5646,38.3655,37.0439,37.8849,35614832.0
2009-05-28,37.0439,38.5657,36.5233,37.2442,28029738.0
2009-05-29,37.6447,38.4456,37.2041,37.5646,26003170.0
2009-06-01,38.2854,38.806,37.3243,38.3255,25564572.0
2009-06-02,38.6058,42.8508,38.5657,42.4503,94216432.0
2009-06-03,43.2913,44.653,41.6494,43.011,60297648.0
2009-06-04,43.6518,45.8944,42.0499,45.534,52790488.0
2009-06-05,46.0546,46.2549,42.6906,43.1312,42192640.0
2009-06-08,43.2513,43.7319,38.8861,39.4468,32968256.0
2009-06-09,38.8461,43.1712,36.5233,42.6506,55364160.0
2009-06-10,43.4916,44.0522,40.9285,41.8897,37243172.0
2009-06-11,41.6094,43.1712,39.7271,42.5304,48572952.0
2009-06-12,43.011,44.0122,40.6883,41.1288,40077300.0
2009-06-15,41.2489,42.8108,39.9274,41.2489,41649416.0
2009-06-16,40.1276,44.8532,40.0475,44.3326,68343344.0
2009-06-17,44.8532,45.494,40.3278,40.8885,59988560.0
2009-06-18,40.6482,41.8096,38.5657,40.0475,57468948.0
2009-06-19,41.0487,41.0487,37.6447,39.607,52325552.0
2009-06-22,40.0875,42.5304,39.7271,41.5693,69412512.0
2009-06-23,40.448,43.1712,39.6871,42.7707,58914464.0
2009-06-24,43.2513,44.2124,42.6105,43.1312,42629924.0
2009-06-25,43.8921,43.9722,41.289,41.7695,37062792.0
2009-06-26,42.5304,44.8131,42.2101,44.4527,75319880.0
2009-06-29,44.9333,46.0546,43.9722,44.4928,57738440.0
2009-06-30,45.0134,45.4539,41.5293,41.9297,40523644.0
