,open,high,low,close,volume
2009-05-20,55.14,59.37,53.85,57.44,2918200.0
2009-05-21,59.28,60.61,55.95,57.1,1871435.0
2009-05-22,56.42,57.53,53.6,54.88,2024803.0
2009-05-25,55.52,57.19,54.92,55.44,1673757.0
2009-05-26,55.99,56.67,52.7,53.26,3844765.0
2009-05-27,55.48,55.48,53.38,54.11,2791360.0
2009-05-28,54.11,55.22,52.66,53.17,2517187.0
2009-05-29,53.55,57.57,53.04,55.86,19582311.0
2009-06-01,57.27,66.08,57.27,65.05,14458586.0
2009-06-02,66.68,69.54,65.86,67.62,12851305.0
2009-06-03,68.39,69.15,64.33,65.22,5961882.0
2009-06-04,65.01,67.53,64.45,66.68,2563728.0
2009-06-05,67.45,70.05,66.42,67.02,3916792.0
2009-06-08,67.87,68.21,62.4,62.7,1839127.0
2009-06-09,63.94,64.75,59.41,62.87,3991149.0
2009-06-10,63.51,67.36,63.51,66.29,2758832.0
2009-06-11,66.85,68.3,65.05,66.72,3011307.0
2009-06-12,67.87,68.6,63.43,64.45,1848901.0
2009-06-15,61.55,68.21,60.14,61.12,3513183.0
2009-06-16,60.69,62.27,59.84,60.95,2140523.0
2009-06-17,61.33,61.5,54.71,55.48,3438024.0
2009-06-18,55.56,56.55,51.29,51.67,5718450.0
2009-06-19,53.0,55.91,53.0,55.26,4324743.0
2009-06-22,56.46,56.46,51.97,52.66,2991254.0
2009-06-23,52.14,56.72,50.43,56.25,2980683.0
2009-06-24,56.2,57.53,54.07,56.5,1180088.0
2009-06-25,56.76,57.61,54.71,55.26,2361841.0
2009-06-26,55.39,56.85,54.79,56.33,763482.0
2009-06-29,56.33,58.47,55.86,57.79,983037.0
2009-06-30,58.56,58.81,55.91,56.46,1206965.0
2009-07-01,55.56,58.13,54.84,56.72,879729.0
2009-07-02,57.02,57.49,55.56,55.99,570843.0
2009-07-03,56.2,57.1,54.75,56.63,829207.0
2009-07-06,57.02,58.51,52.14,52.91,1584801.0
2009-07-07,52.91,53.98,51.03,52.44,986182.0
2009-07-08,52.31,52.7,50.22,50.52,1267567.0
2009-07-09,51.03,52.53,49.49,49.67,1741887.0
2009-07-10,47.19,51.63,47.19,50.35,1623824.0
2009-07-13,49.71,50.35,47.87,49.15,653033.0
2009-07-14,49.58,51.03,49.54,50.48,949401.0
2009-07-15,51.97,52.31,50.9,52.1,1502417.0
2009-07-16,53.43,53.43,53.43,53.43,2599280.0
2009-07-17,52.76,54.63,52.1,54.15,2034857.0
2009-07-20,54.98,55.24,54.11,54.85,1047844.0
2009-07-21,54.85,57.77,54.2,57.29,1429711.0
2009-07-22,57.6,58.39,55.85,56.2,1332397.0
2009-07-23,56.68,57.43,55.85,56.6,672159.0
2009-07-24,57.47,61.0,56.55,60.22,1989071.0
2009-07-27,61.09,61.09,58.56,59.87,1119665.0
2009-07-28,60.17,61.31,59.35,60.22,1284831.0
2009-07-29,59.52,61.0,57.03,59.26,833370.0
2009-07-30,60.22,60.57,58.52,60.17,1643943.0
2009-07-31,60.74,61.92,59.0,59.61,1979400.0
2009-08-03,58.34,60.39,53.32,59.96,2531564.0
2009-08-04,61.09,63.49,59.56,62.88,4614781.0
2009-08-05,63.71,64.49,61.27,61.75,3013957.0
2009-08-06,61.75,62.62,58.91,59.87,1228427.0
2009-08-07,59.56,60.31,57.38,57.73,904434.0
2009-08-10,59.04,59.04,52.97,53.41,3040996.0
