,open,high,low,close,volume
2009-05-20,110.71,119.43,110.71,115.88,4620574.0
2009-05-21,117.05,123.47,114.66,116.85,4300409.0
2009-05-22,117.09,121.12,112.2,119.43,1728989.0
2009-05-25,122.66,122.66,117.25,118.82,2481902.0
2009-05-26,117.65,123.26,113.13,114.26,3157106.0
2009-05-27,117.81,118.54,112.32,117.21,2348387.0
2009-05-28,118.62,119.43,114.71,115.23,3077883.0
2009-05-29,116.28,127.06,116.28,124.48,5223729.0
2009-06-01,125.65,131.54,124.76,128.63,6124719.0
2009-06-02,130.33,135.42,123.59,133.56,6459914.0
2009-06-03,135.82,135.86,127.99,133.56,4640846.0
2009-06-04,129.48,136.47,129.48,131.66,2685155.0
2009-06-05,134.04,137.96,130.13,132.31,3386947.0
2009-06-08,133.16,133.96,119.15,121.45,2085514.0
2009-06-09,121.12,130.57,121.12,129.4,3120959.0
2009-06-10,124.44,145.07,124.44,143.33,6300639.0
2009-06-11,145.35,145.35,131.26,132.87,4010652.0
2009-06-12,135.58,136.02,128.8,130.05,1308513.0
2009-06-15,130.73,132.35,119.23,128.68,805387.0
2009-06-16,126.78,131.82,125.24,129.6,1900606.0
2009-06-17,130.01,131.22,118.18,120.24,1295057.0
2009-06-18,119.51,121.77,109.54,112.97,2878145.0
2009-06-19,113.78,115.51,108.37,111.92,3875370.0
2009-06-22,111.43,115.39,109.46,110.59,1179896.0
2009-06-23,108.2,112.77,105.02,111.68,1216654.0
2009-06-24,112.65,114.26,110.83,113.62,1321202.0
2009-06-25,116.36,116.36,112.69,113.49,1652820.0
2009-06-26,114.75,118.86,112.69,118.02,1541221.0
2009-06-29,118.3,118.3,110.79,111.64,2371974.0
2009-06-30,113.05,115.47,104.21,105.78,1171447.0
2009-07-01,107.4,108.93,102.35,105.46,995934.0
2009-07-02,106.51,109.74,104.61,108.77,1486504.0
2009-07-03,107.68,112.97,105.78,111.19,1318740.0
2009-07-06,112.97,114.5,105.42,106.31,773610.0
2009-07-07,107.32,113.78,106.75,112.04,1205612.0
2009-07-08,111.43,119.11,106.59,113.33,3601184.0
2009-07-09,114.66,118.1,111.84,113.05,1560910.0
2009-07-10,113.05,116.48,106.27,108.61,918156.0
2009-07-13,107.4,108.89,98.84,104.77,1318966.0
2009-07-14,105.78,111.27,105.78,109.54,859195.0
2009-07-15,111.68,116.6,110.63,115.88,2285134.0
2009-07-16,117.73,119.19,113.53,114.5,1155699.0
2009-07-17,117.09,120.52,115.47,119.15,1416537.0
2009-07-20,120.4,124.19,116.8,123.14,2516893.0
2009-07-21,125.65,125.65,120.44,122.17,1736989.0
2009-07-22,124.35,124.92,111.27,112.04,4389686.0
2009-07-23,114.66,116.04,109.54,113.98,5636132.0
2009-07-24,115.07,118.1,113.78,114.87,4094022.0
2009-07-27,115.55,117.65,112.65,113.01,2221434.0
2009-07-28,114.58,114.58,110.87,111.96,3418664.0
2009-07-29,112.65,113.29,105.78,109.21,2134639.0
2009-07-30,108.29,114.66,107.56,112.81,3225995.0
2009-07-31,115.92,118.79,113.55,114.73,2821849.0
2009-08-03,115.31,118.13,112.89,117.64,2561079.0
2009-08-04,118.54,127.68,117.15,126.61,8001004.0
2009-08-05,127.64,127.64,122.15,124.56,4150114.0
2009-08-06,124.52,124.52,115.67,116.66,2949332.0
2009-08-07,113.87,120.55,113.46,115.22,4052982.0
