,open,high,low,close,volume
2009-05-20,49.83,54.45,49.46,52.32,1863228.0
2009-05-21,53.39,56.25,50.29,50.76,3459853.0
2009-05-22,50.76,53.75,50.66,52.51,2952361.0
2009-05-25,53.99,56.29,53.52,54.91,4220964.0
2009-05-26,55.28,56.38,51.22,52.19,2653724.0
2009-05-27,53.43,58.97,53.34,56.94,6888346.0
2009-05-28,57.22,61.64,56.29,60.77,6491575.0
2009-05-29,61.69,67.14,61.69,65.94,6155480.0
2009-06-01,66.9,72.72,62.66,72.03,7361891.0
2009-06-02,69.26,73.32,66.07,69.12,2534698.0
2009-06-03,69.77,70.69,65.71,67.46,1841918.0
2009-06-04,66.81,69.21,64.83,68.24,1581182.0
2009-06-05,70.0,70.87,66.67,67.23,1395937.0
2009-06-08,67.83,71.24,62.84,64.0,1923086.0
2009-06-09,63.12,67.23,61.14,66.07,1292748.0
2009-06-10,67.46,72.53,67.09,71.2,3793027.0
2009-06-11,72.72,72.72,67.6,69.3,2179449.0
2009-06-12,70.04,71.84,66.9,67.64,1522457.0
2009-06-15,66.95,67.92,63.58,64.78,1806441.0
2009-06-16,64.09,78.16,63.67,75.99,8965321.0
2009-06-17,77.98,78.53,71.2,72.9,5859424.0
2009-06-18,71.06,77.24,67.55,74.06,5205161.0
2009-06-19,74.7,78.81,69.49,76.83,4249731.0
2009-06-22,80.99,80.99,74.58,76.45,4163591.0
2009-06-23,73.13,85.67,72.19,83.8,7450713.0
2009-06-24,84.41,84.92,79.96,81.88,5232682.0
2009-06-25,82.4,85.49,79.12,80.2,5000868.0
2009-06-26,81.65,85.02,81.04,83.75,4446332.0
2009-06-29,84.18,88.48,81.23,85.58,7066239.0
2009-06-30,86.7,86.98,79.73,80.52,5304717.0
2009-07-01,79.96,81.88,77.29,80.85,2605109.0
2009-07-02,81.37,81.46,77.76,79.92,1595187.0
2009-07-03,78.65,80.99,77.95,79.73,2962379.0
2009-07-06,80.34,84.27,68.68,70.36,4039382.0
2009-07-07,71.07,73.69,67.88,72.61,2999838.0
2009-07-08,72.0,84.83,67.88,77.9,15383514.0
2009-07-09,78.65,79.77,75.84,77.95,6411785.0
2009-07-10,78.56,81.04,73.08,75.42,3335674.0
2009-07-13,78.65,78.65,70.79,72.85,2452112.0
2009-07-14,74.62,81.37,74.02,78.84,2837595.0
2009-07-15,80.15,83.19,78.04,82.02,3008494.0
2009-07-16,83.99,84.55,79.49,80.15,1569842.0
2009-07-17,80.76,83.8,80.57,81.97,1603226.0
2009-07-20,83.33,89.89,81.55,88.81,4239039.0
2009-07-21,88.48,88.48,81.13,84.78,2999119.0
2009-07-22,85.35,87.5,81.55,82.44,1656140.0
2009-07-23,84.13,85.39,81.69,84.78,1808505.0
2009-07-24,85.77,86.89,83.38,85.3,1359536.0
2009-07-27,86.7,86.7,84.27,85.53,795022.0
2009-07-28,85.77,87.41,84.08,84.55,928882.0
2009-07-29,84.08,84.64,79.12,81.69,1228573.0
2009-07-30,81.93,82.16,78.46,79.77,2339050.0
2009-07-31,80.9,83.61,80.48,81.27,758467.0
2009-08-03,81.69,82.86,80.57,81.32,554222.0
2009-08-04,82.07,83.33,80.06,82.77,1092083.0
2009-08-05,83.05,83.8,80.52,82.26,528540.0
2009-08-06,82.12,85.81,79.68,81.32,1547586.0
2009-08-07,80.8,82.77,79.49,80.57,751633.0
2009-08-10,81.55,83.15,79.96,80.9,598450.0
2009-08-11,80.9,82.68,79.59,82.26,534845.0
2009-08-12,74.44,84.92,74.44,84.32,1730776.0
2009-08-13,85.58,88.72,84.92,87.27,1910589.0
2009-08-14,87.92,93.02,86.8,90.03,3037743.0
2009-08-17,88.01,91.06,86.14,86.56,1050674.0
2009-08-18,86.7,88.39,86.14,86.84,464072.0
2009-08-19,87.45,88.76,83.8,86.42,862537.0
2009-08-20,87.08,90.26,87.03,87.97,1062346.0
2009-08-21,87.64,90.07,86.7,89.37,1067241.0
2009-08-24,89.89,96.63,89.89,94.52,2108993.0
2009-08-25,93.54,95.41,93.07,94.62,679170.0
2009-08-26,95.04,97.05,93.63,94.01,641915.0
2009-08-27,93.91,95.46,89.89,92.88,914308.0
