,open,high,low,close,volume
2009-05-20,16.69,17.67,16.69,17.53,1791936.0
2009-05-21,17.63,20.73,17.63,20.02,12307536.0
2009-05-22,20.1,20.18,19.09,19.75,6728392.0
2009-05-25,19.72,21.77,19.72,21.47,8088448.0
2009-05-26,21.54,22.33,21.17,21.42,9102976.0
2009-05-27,21.62,21.97,21.35,21.82,5001776.0
2009-05-28,21.62,21.99,21.39,21.62,8140784.0
2009-05-29,21.81,25.11,21.77,23.1,33939688.0
2009-06-01,23.36,24.01,22.22,22.4,10288672.0
2009-06-02,22.56,22.8,21.29,21.71,9787168.0
2009-06-03,22.0,22.67,21.49,21.77,7447640.0
2009-06-04,21.62,22.34,21.24,21.81,7174560.0
2009-06-05,21.96,23.28,21.24,22.52,10104384.0
2009-06-08,23.51,23.93,21.54,22.0,12082352.0
2009-06-09,22.0,22.37,20.36,20.98,13104984.0
2009-06-10,21.4,21.81,20.71,21.27,8382488.0
2009-06-11,21.39,21.42,20.66,21.0,4927592.0
2009-06-12,21.24,21.61,20.86,21.09,4284832.0
2009-06-15,21.05,21.53,20.71,21.34,4438424.0
2009-06-16,20.86,21.92,20.86,21.73,4269248.0
2009-06-17,21.69,22.0,21.17,21.32,4006856.0
2009-06-18,21.54,21.54,20.33,20.86,4350672.0
2009-06-19,21.09,21.16,20.63,20.91,2564024.0
2009-06-22,20.86,21.16,20.37,20.68,3614320.0
2009-06-23,20.86,21.02,20.52,20.67,2086512.0
2009-06-24,20.86,20.93,20.48,20.6,1419344.0
2009-06-25,20.59,20.92,19.88,20.19,5049520.0
2009-06-26,20.29,20.63,20.18,20.42,1377408.0
2009-06-29,20.54,21.2,20.54,20.69,2907640.0
2009-06-30,20.82,20.86,19.91,20.17,1435144.0
2009-07-01,20.29,20.74,19.8,20.55,3264448.0
2009-07-02,20.86,21.62,20.52,20.84,11411456.0
2009-07-03,20.67,21.43,20.67,21.34,5043752.0
2009-07-06,21.31,21.68,20.27,20.45,2911344.0
2009-07-07,20.67,20.82,20.33,20.58,1802688.0
2009-07-08,20.55,21.81,20.29,21.29,5728424.0
2009-07-09,21.35,21.8,20.93,21.54,4190984.0
2009-07-10,21.31,21.69,20.55,20.81,1363432.0
2009-07-13,20.52,20.86,20.03,20.22,2330480.0
2009-07-14,20.58,20.59,19.99,20.43,3063472.0
2009-07-15,20.48,20.93,20.22,20.57,1924344.0
2009-07-16,20.82,21.03,20.32,20.48,3174112.0
2009-07-17,20.78,21.61,20.44,20.98,2320648.0
2009-07-20,21.01,21.43,19.2,20.71,2341864.0
2009-07-21,20.74,20.74,20.21,20.32,1291728.0
2009-07-22,20.55,20.55,19.95,20.03,4764584.0
2009-07-23,20.25,20.4,19.96,20.09,3142752.0
2009-07-24,20.1,20.24,19.53,19.71,4504864.0
2009-07-27,19.87,19.87,19.45,19.57,4068208.0
2009-07-28,19.57,20.09,19.57,20.01,1952792.0
2009-07-29,20.29,20.48,20.06,20.31,2439592.0
2009-07-30,20.41,21.45,20.41,21.14,9913440.0
2009-07-31,21.43,22.25,20.67,20.76,4046304.0
2009-08-03,20.9,20.93,20.18,20.29,3681928.0
2009-08-04,20.14,21.23,20.14,20.59,9322000.0
2009-08-05,20.85,20.91,20.4,20.52,7458992.0
2009-08-06,20.48,21.66,20.48,20.85,9606904.0
2009-08-07,20.67,21.39,20.48,21.03,5473744.0
2009-08-10,21.24,21.35,20.29,20.48,4643560.0
2009-08-11,20.48,20.85,20.2,20.5,1569464.0
2009-08-12,20.29,20.96,20.25,20.57,4417560.0
2009-08-13,20.69,21.02,20.48,20.9,4768872.0
2009-08-14,20.83,21.88,20.83,21.53,7404680.0
2009-08-17,21.16,22.2,21.16,21.6,9719752.0
2009-08-18,21.62,22.46,21.51,22.37,8832488.0
2009-08-19,22.19,22.56,21.73,22.11,4458496.0
2009-08-20,22.19,22.41,21.96,22.33,2968576.0
2009-08-21,22.3,22.68,22.19,22.43,3206584.0
2009-08-24,22.56,22.56,21.78,21.86,2095352.0
2009-08-25,22.07,22.14,21.39,21.69,5032720.0
2009-08-26,21.92,22.11,21.56,21.65,1797056.0
2009-08-27,21.8,21.95,21.56,21.64,2747568.0
2009-08-28,21.54,21.88,21.54,21.8,4148808.0
2009-08-31,21.62,22.21,21.54,21.92,5257640.0
2009-09-01,22.14,22.45,22.11,22.35,4406368.0
2009-09-02,24.69,26.05,24.57,25.72,13309072.0
2009-09-03,25.75,26.59,25.75,25.97,8792000.0
2009-09-04,26.26,26.38,25.85,26.13,3972568.0
2009-09-07,26.48,29.05,26.48,28.48,15597160.0
2009-09-08,28.94,29.02,27.32,27.62,7362552.0
2009-09-09,27.61,27.61,26.52,26.66,4413552.0
2009-09-10,27.02,27.47,26.82,27.16,3754008.0
2009-09-11,27.34,27.35,25.8,26.07,7052032.0
2009-09-14,26.56,27.31,26.47,26.86,9086976.0
2009-09-15,27.33,27.65,27.11,27.3,5160984.0
2009-09-16,27.74,27.87,27.11,27.54,4778224.0
2009-09-17,27.65,27.78,26.39,26.66,4320720.0
2009-09-18,26.66,27.78,26.43,27.57,6578712.0
2009-09-22,27.78,27.96,27.57,27.75,3653448.0
