,open,high,low,close,volume
2009-05-20,46.35,47.01,45.16,45.49,23612547.0
2009-05-21,45.62,45.85,44.16,44.44,22765959.0
2009-05-22,44.44,45.01,43.98,44.79,21389283.0
2009-05-25,44.99,46.51,44.54,46.31,23727024.0
2009-05-26,46.72,46.84,44.52,44.9,19226745.0
2009-05-27,45.26,45.74,43.8,44.91,48502962.0
2009-05-28,45.5,45.87,44.44,44.87,37397910.0
2009-05-29,45.09,45.99,44.43,44.81,32080227.0
2009-06-01,45.13,47.51,45.01,46.94,40113834.0
2009-06-02,47.57,48.27,46.04,46.89,29326362.0
2009-06-03,47.53,49.87,47.13,49.54,43535106.0
2009-06-04,49.53,51.23,48.33,49.43,37186641.0
2009-06-05,49.53,49.53,46.24,46.68,79065378.0
2009-06-08,49.51,49.51,44.04,44.79,46866480.0
2009-06-09,44.37,46.82,44.26,46.55,25845024.0
2009-06-10,46.6,48.21,46.6,47.65,40273245.0
2009-06-11,47.82,48.75,47.12,48.21,24217650.0
2009-06-12,48.5,49.53,47.7,47.98,22677696.0
2009-06-15,47.57,48.64,47.43,48.18,13502250.0
2009-06-16,47.45,49.45,47.44,48.48,19015803.0
2009-06-17,48.31,48.79,46.96,47.28,15130584.0
2009-06-18,47.33,47.82,46.85,47.17,14099181.0
2009-06-19,47.21,49.06,47.21,48.94,16358256.0
2009-06-22,49.94,50.14,48.92,49.57,21274713.0
2009-06-23,49.4,49.4,47.06,48.16,24736689.0
2009-06-24,48.31,49.14,47.18,48.49,22769808.0
2009-06-25,49.7,49.7,46.49,47.12,40091229.0
2009-06-26,47.57,48.31,46.68,47.99,16617891.0
2009-06-29,48.06,48.27,47.09,47.26,10407240.0
2009-06-30,47.45,47.65,46.16,46.54,13499670.0
2009-07-01,46.43,47.45,46.11,46.67,10257495.0
2009-07-02,47.05,47.21,46.15,46.77,18345201.0
2009-07-03,46.6,47.11,46.15,46.77,16046688.0
2009-07-06,46.96,49.53,45.67,48.23,50752905.0
2009-07-07,48.56,52.43,48.56,51.53,52830534.0
2009-07-08,51.36,52.09,50.5,51.1,20558136.0
2009-07-09,49.4,52.45,49.4,52.06,14893584.0
2009-07-10,52.31,52.43,50.65,51.38,16328262.0
2009-07-13,53.49,55.37,52.54,54.3,17174499.0
2009-07-14,54.6,55.05,53.58,54.7,12129375.0
2009-07-15,54.81,56.3,53.92,55.95,14563743.0
2009-07-16,56.09,57.02,55.46,55.98,10192368.0
2009-07-17,56.61,59.75,55.6,59.04,22368396.0
2009-07-20,59.75,60.01,57.43,58.06,13526664.0
2009-07-21,58.78,58.78,56.08,56.57,12887076.0
2009-07-22,57.61,57.73,55.4,56.14,13149828.0
2009-07-23,56.67,59.75,56.45,59.17,25490247.0
2009-07-24,59.49,60.46,57.52,59.8,17445021.0
2009-07-27,60.27,62.84,58.72,61.51,16503993.0
2009-07-28,61.3,63.18,60.59,62.07,21727779.0
2009-07-29,61.3,62.56,58.75,61.22,14359341.0
2009-07-30,60.78,63.57,59.78,62.51,30970365.0
2009-07-31,63.82,65.16,62.58,64.18,22026114.0
2009-08-03,65.16,65.16,63.16,63.91,6975606.0
2009-08-04,63.91,64.13,61.81,63.48,14635152.0
2009-08-05,63.74,63.82,61.68,62.78,11663328.0
2009-08-06,62.07,63.0,59.25,60.29,16625706.0
2009-08-07,60.39,60.77,58.49,59.13,14959086.0
2009-08-10,59.74,59.98,56.72,57.78,17229852.0
2009-08-11,56.94,58.39,56.2,58.13,15750450.0
2009-08-12,57.43,59.43,56.81,58.68,12509202.0
2009-08-13,59.31,62.29,59.27,61.64,10507827.0
2009-08-14,61.81,62.07,59.39,60.51,8241510.0
2009-08-17,60.01,60.24,56.54,57.32,13905984.0
2009-08-18,57.17,58.66,56.47,57.87,11305536.0
2009-08-19,56.87,57.95,56.16,57.39,17817837.0
2009-08-20,58.08,58.59,57.95,57.99,8018862.0
2009-08-21,58.44,59.24,56.7,58.96,10871055.0
2009-08-24,59.62,62.53,59.24,61.8,14230407.0
2009-08-25,61.04,62.83,60.18,61.94,12206265.0
2009-08-26,62.07,62.07,60.68,61.55,8418567.0
2009-08-27,59.31,62.39,59.31,61.78,15119991.0
2009-08-28,61.94,62.07,60.27,60.93,10044924.0
2009-08-31,60.74,60.91,58.89,59.48,14043750.0
2009-09-01,60.01,60.46,57.84,59.27,12572589.0
2009-09-02,58.78,60.06,58.2,58.73,9007146.0
2009-09-03,58.98,59.39,57.75,58.41,9666138.0
2009-09-04,58.72,60.74,57.86,60.07,9782484.0
2009-09-07,61.01,61.3,58.75,59.51,25204509.0
2009-09-08,59.75,60.52,58.72,58.89,16965531.0
2009-09-09,58.72,58.98,58.05,58.46,44968458.0
2009-09-10,58.85,59.67,58.33,58.99,14199408.0
2009-09-11,59.52,59.63,57.95,58.49,17942307.0
2009-09-14,57.74,58.94,57.28,57.66,10267260.0
2009-09-15,57.95,59.34,57.77,58.99,13712346.0
2009-09-16,59.75,59.89,59.07,59.51,16990293.0
2009-09-17,59.98,60.5,58.48,58.93,28221858.0
2009-09-18,58.72,58.98,58.27,58.44,15994188.0
2009-09-22,58.72,60.27,58.0,60.1,15070641.0
2009-09-23,60.52,60.99,58.93,59.36,12404856.0
2009-09-24,58.98,60.78,58.98,59.89,15966957.0
2009-09-25,59.72,60.82,59.67,60.52,8715120.0
2009-09-29,60.99,61.3,59.94,60.33,8908296.0
2009-09-30,60.27,60.38,59.63,60.02,15631965.0
2009-10-01,59.93,60.14,59.24,59.89,12599235.0
2009-10-05,59.81,61.76,59.24,61.44,23240094.0
2009-10-06,61.81,64.0,61.78,63.76,23303235.0
2009-10-07,64.26,65.03,62.87,63.09,13210656.0
2009-10-08,63.85,65.3,63.36,64.58,19482711.0
2009-10-09,64.82,64.82,62.97,64.3,6461193.0
2009-10-12,65.52,67.17,63.15,66.54,13242399.0
2009-10-14,66.39,67.43,66.1,66.63,8620137.0
2009-10-15,66.96,66.96,64.3,66.03,12285075.0
2009-10-16,66.19,66.3,64.39,65.0,7637457.0
2009-10-20,64.9,65.42,63.9,64.5,9595725.0
2009-10-21,65.03,65.03,62.26,62.76,7981710.0
