,open,high,low,close,volume
2009-05-20,33.3,35.3,32.55,34.8,847626.0
2009-05-21,35.8,37.4,34.1,35.0,686470.0
2009-05-22,35.75,36.4,34.0,35.5,399789.0
2009-05-25,36.05,39.05,35.95,39.05,665894.0
2009-05-26,40.55,40.9,36.5,37.15,910670.0
2009-05-27,37.6,40.9,37.6,40.9,1457508.0
2009-05-28,42.8,43.9,41.25,41.55,1223049.0
2009-05-29,43.0,43.65,42.95,43.4,240762.0
2009-06-01,44.5,45.0,41.25,43.65,299749.0
2009-06-02,44.0,44.3,41.5,42.25,185318.0
2009-06-03,41.95,43.0,40.0,41.6,151864.0
2009-06-04,43.25,43.25,43.25,43.25,63480.0
2009-06-05,45.45,45.45,45.45,45.45,96056.0
2009-06-08,47.75,47.75,43.2,44.2,515218.0
2009-06-09,44.0,45.85,42.15,45.0,265166.0
2009-06-10,45.0,45.05,42.35,42.35,135876.0
2009-06-11,41.0,43.0,40.25,41.85,134205.0
2009-06-12,42.1,42.25,39.8,41.55,73253.0
2009-06-15,40.45,41.0,37.85,37.85,63919.0
2009-06-16,37.0,41.55,36.0,41.55,134930.0
2009-06-17,39.0,41.55,36.95,41.55,63552.0
2009-06-18,37.55,38.85,35.15,37.45,119119.0
2009-06-19,39.35,39.35,36.9,38.95,139484.0
2009-06-22,38.45,38.6,36.55,36.55,53765.0
2009-06-23,35.9,37.9,34.85,34.85,53847.0
2009-06-24,37.3,38.6,37.05,37.05,80216.0
2009-06-25,38.45,38.5,36.5,36.5,57955.0
2009-06-26,37.05,39.15,36.0,38.05,94796.0
2009-06-29,38.5,38.9,37.2,37.2,34837.0
2009-06-30,37.1,38.95,35.8,35.8,50058.0
2009-07-01,37.85,37.85,37.85,37.85,24324.0
2009-07-02,39.75,41.55,39.75,41.55,32417.0
2009-07-03,41.75,41.75,41.55,41.55,175137.0
2009-07-06,43.6,43.85,39.7,39.7,512825.0
2009-07-07,40.25,41.55,37.75,41.55,169635.0
2009-07-08,39.5,41.55,36.1,41.55,168769.0
2009-07-09,39.0,41.55,38.0,41.55,149715.0
2009-07-10,40.05,40.05,37.85,37.95,48243.0
2009-07-13,36.05,37.0,36.05,36.05,16243.0
2009-07-14,37.0,37.2,34.6,34.6,72558.0
2009-07-15,36.25,38.1,36.25,36.25,94286.0
2009-07-16,39.7,41.55,36.5,41.55,85650.0
2009-07-17,37.25,38.95,36.8,37.6,88463.0
2009-07-20,39.25,39.25,36.85,38.1,64583.0
2009-07-21,37.0,39.85,36.8,39.85,115459.0
2009-07-22,41.65,41.7,38.1,38.3,160118.0
2009-07-23,38.15,39.75,38.1,39.2,35478.0
2009-07-24,39.75,40.0,38.3,38.75,36818.0
2009-07-27,39.0,39.0,37.5,38.55,52901.0
2009-07-28,38.95,39.0,37.8,38.6,51465.0
2009-07-29,38.1,39.4,36.85,37.95,61281.0
2009-07-30,37.5,39.0,37.0,38.2,59000.0
2009-07-31,38.0,39.4,37.15,38.0,47145.0
2009-08-03,36.5,38.0,36.5,37.5,35544.0
2009-08-04,37.5,38.2,37.0,37.3,25833.0
2009-08-05,38.2,39.2,37.0,39.2,300583.0
2009-08-06,40.25,40.25,37.5,37.75,91619.0
2009-08-07,37.25,37.8,36.45,36.75,48235.0
2009-08-10,37.0,38.0,35.05,36.1,68959.0
2009-08-11,35.0,36.2,34.0,34.65,40954.0
2009-08-12,34.6,35.3,33.75,35.3,65141.0
2009-08-13,36.0,36.8,34.9,36.8,69754.0
2009-08-14,38.45,38.65,36.75,38.0,110756.0
2009-08-17,36.25,37.0,36.0,36.0,49500.0
2009-08-18,36.0,36.0,36.0,36.0,0.0
2009-08-19,36.5,36.9,35.2,36.0,32440.0
2009-08-20,36.0,37.55,35.5,37.55,58574.0
2009-08-21,37.5,38.4,36.8,37.45,90884.0
2009-08-24,38.0,38.15,37.0,37.2,83292.0
