,open,high,low,close,volume
2009-05-20,45.89,51.89,44.48,50.71,647926.0
2009-05-21,50.71,54.82,49.0,51.6,148100.0
2009-05-22,51.89,58.2,51.15,54.67,274355.0
2009-05-25,55.6,60.49,54.49,56.75,210213.0
2009-05-26,58.42,59.23,51.3,51.89,111241.0
2009-05-27,53.38,54.86,52.15,52.49,39524.0
2009-05-28,53.01,53.34,51.89,52.64,22614.0
2009-05-29,54.04,56.34,51.15,53.27,52795.0
2009-06-01,54.93,54.93,52.34,53.04,29119.0
2009-06-02,53.49,56.42,52.27,55.71,102457.0
2009-06-03,57.75,61.31,55.6,61.31,132650.0
2009-06-04,66.72,67.46,61.16,63.83,82766.0
2009-06-05,63.05,63.94,58.57,60.83,429338.0
2009-06-08,62.2,62.87,58.6,59.23,37397.0
2009-06-09,58.57,60.05,55.75,59.53,21156.0
2009-06-10,63.76,63.76,57.45,57.97,11984.0
2009-06-11,57.2,58.53,56.71,57.53,25851.0
2009-06-12,58.49,60.2,57.08,59.46,32574.0
2009-06-15,59.31,62.2,58.23,58.83,130113.0
2009-06-16,57.83,64.72,57.83,59.64,261667.0
2009-06-17,60.09,62.2,56.12,57.31,168129.0
2009-06-18,57.08,60.31,56.38,56.94,43116.0
2009-06-19,60.05,60.05,55.82,56.34,46852.0
2009-06-22,56.97,61.12,55.9,60.01,70313.0
2009-06-23,56.34,61.16,56.34,58.31,32886.0
2009-06-24,58.38,59.9,57.9,58.2,8948.0
2009-06-25,58.57,60.72,55.9,56.42,14499.0
2009-06-26,58.94,58.94,54.49,55.05,52375.0
2009-06-29,55.6,59.83,55.6,58.31,50770.0
2009-06-30,60.23,60.23,54.12,56.71,98969.0
2009-07-01,55.9,56.53,51.04,54.9,4649546.0
2009-07-02,51.89,56.12,49.41,51.89,10169599.0
2009-07-03,51.52,53.97,49.19,53.49,472073.0
2009-07-06,54.49,55.45,52.27,53.49,242165.0
2009-07-07,54.49,55.45,52.3,54.86,190825.0
2009-07-08,55.23,55.23,52.82,53.41,56459.0
2009-07-09,53.38,56.34,53.04,56.31,748567.0
2009-07-10,55.6,60.35,54.86,57.86,1530535.0
2009-07-13,57.83,60.35,55.05,56.16,43856.0
2009-07-14,56.71,58.94,56.71,58.42,16677.0
2009-07-15,59.31,61.24,57.49,60.12,157406.0
2009-07-16,61.46,61.46,58.57,59.6,412372.0
2009-07-17,61.53,62.27,59.35,59.98,95726.0
2009-07-20,59.49,60.42,57.45,59.98,48732.0
2009-07-21,59.31,60.05,58.72,59.64,93697.0
2009-07-22,59.38,61.12,58.2,58.72,34872.0
2009-07-23,59.72,60.61,58.79,60.12,36236.0
2009-07-24,59.83,67.28,59.79,65.35,348981.0
2009-07-27,65.98,68.13,65.46,66.54,191225.0
2009-07-28,67.39,72.32,67.39,71.61,744107.0
2009-07-29,70.95,75.54,69.54,74.58,1959993.0
2009-07-30,75.4,76.36,70.43,72.17,967961.0
2009-07-31,73.32,74.88,68.46,69.13,83347.0
2009-08-03,69.24,71.1,68.35,68.98,300077.0
2009-08-04,69.46,70.24,66.98,68.2,443179.0
2009-08-05,68.2,69.69,66.8,67.35,43020.0
2009-08-06,59.49,69.13,59.49,66.02,22112.0
2009-08-07,66.02,72.28,62.38,63.57,1530358.0
2009-08-10,65.87,67.17,62.27,63.16,142762.0
2009-08-11,64.13,67.46,63.76,66.72,94891.0
2009-08-12,66.3,71.2,66.19,70.06,1529805.0
2009-08-13,71.16,75.25,70.82,74.49,1131986.0
2009-08-14,75.4,78.47,73.17,76.12,208236.0
2009-08-17,74.3,74.87,69.75,71.88,107336.0
2009-08-18,72.03,73.85,70.89,71.31,37719.0
2009-08-19,73.39,73.39,69.75,70.51,45538.0
2009-08-20,70.17,73.09,70.17,70.93,30236.0
2009-08-21,71.27,73.17,70.97,72.64,29562.0
2009-08-24,70.89,80.45,70.89,76.69,238708.0
2009-08-25,77.26,79.54,74.34,77.45,67207.0
2009-08-26,78.85,84.92,76.09,79.65,307368.0
2009-08-27,80.29,84.16,78.09,81.01,207547.0
2009-08-28,80.56,84.08,79.23,81.24,57094.0
2009-08-31,82.95,82.95,77.49,79.95,60468.0
2009-09-01,78.09,82.64,74.68,79.99,132220.0
2009-09-02,80.22,80.75,70.93,72.6,269787.0
2009-09-03,73.32,77.64,72.79,76.2,255833.0
2009-09-04,77.34,80.37,75.82,76.58,124164.0
2009-09-07,75.82,78.85,75.82,77.34,456811.0
2009-09-08,77.34,78.32,75.86,76.65,35476.0
2009-09-09,77.3,78.09,76.01,77.6,70300.0
2009-09-10,78.09,83.74,77.72,80.45,336493.0
2009-09-11,81.73,82.49,77.79,79.04,131800.0
2009-09-14,79.04,82.26,76.39,79.69,258809.0
2009-09-15,80.03,81.89,78.47,78.74,38986.0
2009-09-16,79.23,80.75,77.49,77.98,47786.0
2009-09-17,81.13,81.13,77.72,78.13,45716.0
2009-09-18,79.69,79.69,76.65,77.26,26721.0
2009-09-22,76.58,80.37,76.58,77.49,492180.0
2009-09-23,78.09,89.47,77.26,79.27,1001328.0
2009-09-24,79.61,83.17,79.23,81.01,558551.0
2009-09-25,80.37,82.42,79.61,80.52,275690.0
2009-09-29,80.52,83.97,79.04,79.57,2142735.0
2009-09-30,79.19,81.51,79.19,79.8,460788.0
2009-10-01,80.6,80.71,78.51,78.93,56293.0
2009-10-05,78.09,79.99,77.34,77.87,64642.0
2009-10-06,78.74,80.37,77.37,77.94,61472.0
2009-10-07,79.76,80.22,77.94,78.89,85574.0
2009-10-08,79.61,82.95,78.89,80.75,474823.0
2009-10-09,81.2,82.64,77.45,78.25,534058.0
2009-10-12,79.46,81.13,78.28,79.69,320305.0
2009-10-14,81.77,81.77,79.69,80.63,474372.0
2009-10-15,80.98,84.12,80.33,82.42,723870.0
2009-10-16,83.4,86.21,82.49,84.35,1399188.0
2009-10-20,84.08,86.06,82.57,85.71,137748.0
2009-10-21,86.21,87.08,83.52,86.55,788293.0
2009-10-22,84.73,89.39,84.73,87.38,261153.0
2009-10-23,87.95,90.61,85.75,86.51,290383.0
2009-10-26,87.19,92.12,86.66,90.49,249571.0
2009-10-27,91.74,94.02,85.98,87.5,414051.0
2009-10-28,87.19,89.47,84.16,85.75,141935.0
2009-10-29,84.92,88.03,84.16,86.17,50680.0
2009-10-30,88.33,89.24,83.4,83.67,59238.0
2009-11-03,79.69,85.53,79.65,83.52,42723.0
2009-11-04,85.07,89.43,79.99,81.77,119022.0
2009-11-05,81.58,81.73,79.61,80.94,45016.0
2009-11-06,81.73,87.12,81.73,86.13,100046.0
2009-11-09,87.95,90.91,87.95,89.09,87755.0
2009-11-10,90.53,90.53,88.03,89.35,41684.0
2009-11-11,90.24,96.49,88.7,94.02,119795.0
2009-11-12,94.1,96.33,89.86,92.48,63091.0
2009-11-13,93.29,93.29,88.97,89.89,41408.0
2009-11-16,90.32,94.1,90.32,92.48,82482.0
2009-11-17,92.9,95.64,91.82,93.48,181480.0
2009-11-18,93.33,94.48,91.86,92.52,151585.0
2009-11-19,92.98,94.48,92.75,93.44,73741.0
2009-11-20,93.33,93.33,90.32,91.4,18999.0
2009-11-23,91.78,95.72,90.86,92.63,76464.0
2009-11-24,93.29,93.29,91.09,91.82,16847.0
2009-11-25,92.52,99.5,92.52,92.9,351465.0
2009-11-26,94.79,94.79,90.32,90.86,79142.0
2009-11-27,90.24,91.78,87.5,89.51,80662.0
2009-11-30,93.33,93.94,91.01,91.44,69537.0
2009-12-01,93.25,93.25,91.09,91.9,50250.0
2009-12-02,92.86,96.03,91.82,92.86,363430.0
2009-12-03,92.52,93.98,88.97,91.28,98981.0
2009-12-04,90.24,92.4,89.47,90.59,331210.0
2009-12-07,91.44,91.44,88.39,88.74,74350.0
2009-12-08,89.66,91.78,88.93,91.32,56748.0
2009-12-09,91.01,94.02,89.97,90.82,123752.0
2009-12-10,91.32,94.95,90.51,94.25,198020.0
2009-12-11,95.49,100.46,95.49,96.87,418743.0
2009-12-14,96.41,99.03,94.98,95.64,141378.0
