,open,high,low,close,volume
2009-05-20,59.55,61.65,52.45,59.03,76020.0
2009-05-21,60.5,64.94,60.5,61.41,62658.0
2009-05-22,63.6,63.84,58.12,61.79,37489.0
2009-05-25,61.79,66.6,60.98,65.27,43403.0
2009-05-26,67.6,68.56,62.03,62.31,52377.0
2009-05-27,64.79,65.46,64.36,65.46,11962.0
2009-05-28,68.75,68.75,67.08,68.75,26786.0
2009-05-29,71.84,72.22,69.84,72.22,12241.0
2009-06-01,75.8,75.85,75.8,75.85,4550.0
2009-06-02,79.66,79.66,76.23,79.66,39654.0
2009-06-03,83.37,83.37,78.61,79.66,31783.0
2009-06-04,76.23,82.28,75.75,79.04,26386.0
2009-06-05,79.04,80.94,75.08,75.56,30869.0
2009-06-08,75.27,78.13,71.8,71.8,13667.0
2009-06-09,68.22,72.41,68.22,72.13,19696.0
2009-06-10,71.46,72.46,68.56,68.6,22835.0
2009-06-11,68.6,68.6,65.17,65.17,10432.0
2009-06-12,63.84,68.46,62.98,65.79,23425.0
2009-06-15,66.51,67.6,62.51,62.51,20647.0
2009-06-16,60.03,65.32,60.03,64.46,7798.0
2009-06-17,65.75,66.22,61.27,61.41,10917.0
2009-06-18,60.98,61.41,59.08,59.46,4632.0
2009-06-19,60.03,61.7,56.79,58.55,6983.0
2009-06-22,58.6,61.46,57.69,59.74,2556.0
2009-06-23,59.08,59.6,56.93,59.27,3415.0
2009-06-24,60.03,62.27,60.03,62.27,4443.0
2009-06-25,63.12,65.41,63.08,63.41,8153.0
2009-06-26,63.93,64.65,61.93,63.84,6105.0
2009-06-29,63.84,64.79,60.65,61.41,13944.0
2009-06-30,61.93,63.84,60.6,60.89,4999.0
2009-07-01,61.93,62.79,57.84,58.31,17485.0
2009-07-02,59.08,60.89,58.17,58.93,9629.0
2009-07-03,59.41,61.46,58.22,60.84,8132.0
2009-07-06,60.5,61.84,57.84,57.84,7614.0
2009-07-07,60.03,60.03,54.55,58.65,3048.0
2009-07-08,57.98,58.07,54.79,55.07,6462.0
2009-07-09,54.31,56.69,53.93,54.6,7489.0
2009-07-10,56.6,57.65,53.69,54.17,11877.0
2009-07-13,52.45,52.45,50.5,52.36,4704.0
2009-07-14,53.36,55.65,52.55,54.74,7113.0
2009-07-15,55.88,59.08,53.5,57.69,8419.0
2009-07-16,58.69,60.5,57.74,58.69,13622.0
2009-07-17,64.6,64.6,59.22,60.84,7802.0
2009-07-20,64.08,64.08,60.22,62.08,9055.0
2009-07-21,61.17,64.51,60.5,60.98,7518.0
2009-07-22,61.46,64.74,61.46,63.08,16285.0
2009-07-23,64.79,69.41,62.89,69.41,83450.0
2009-07-24,72.41,74.8,69.56,72.99,157452.0
2009-07-27,74.7,75.75,72.22,73.22,42422.0
2009-07-28,67.65,73.56,67.65,71.56,15047.0
2009-07-29,70.13,78.13,69.56,72.56,44133.0
2009-07-30,71.75,73.65,71.75,73.03,9335.0
2009-07-31,73.56,74.27,69.13,69.79,18586.0
2009-08-03,70.03,76.8,68.75,76.8,32139.0
2009-08-04,79.08,80.66,79.08,80.66,97370.0
2009-08-05,81.94,83.13,76.65,77.89,98012.0
2009-08-06,78.7,79.37,74.03,74.27,31212.0
2009-08-07,76.23,77.18,71.56,73.13,36035.0
2009-08-10,73.84,76.8,71.65,73.51,98060.0
2009-08-11,72.41,74.75,72.41,73.08,22026.0
2009-08-12,73.37,73.99,70.84,71.46,56135.0
2009-08-13,72.41,75.04,72.03,75.04,59073.0
2009-08-14,76.23,76.23,71.56,72.22,37791.0
2009-08-17,72.75,73.32,71.18,72.32,20544.0
2009-08-18,73.32,75.94,71.22,75.32,19898.0
2009-08-19,76.23,78.99,73.51,74.56,39281.0
2009-08-20,76.32,76.32,73.94,74.42,7993.0
2009-08-21,74.8,75.7,73.51,74.27,7016.0
2009-08-24,77.85,77.99,75.27,77.99,15086.0
2009-08-25,80.94,81.9,76.37,81.9,33744.0
2009-08-26,85.66,85.99,84.13,85.99,13291.0
2009-08-27,88.33,90.33,84.09,88.61,65644.0
2009-08-28,89.57,91.47,84.18,88.95,32669.0
2009-08-31,86.23,93.42,85.75,93.42,24370.0
2009-09-01,98.09,98.09,88.76,89.52,43222.0
2009-09-02,90.52,91.71,85.04,85.95,18294.0
2009-09-03,86.37,90.28,86.37,90.28,23261.0
2009-09-04,93.09,93.09,85.8,87.61,19345.0
2009-09-07,91.0,92.0,87.76,92.0,22761.0
2009-09-08,95.09,95.09,87.66,90.14,21911.0
2009-09-09,87.18,92.38,86.95,88.76,18206.0
2009-09-10,91.09,91.09,86.28,86.99,18636.0
2009-09-11,88.61,89.09,85.8,87.42,11912.0
2009-09-14,90.52,91.8,89.09,91.66,44693.0
2009-09-15,94.04,94.14,89.09,89.76,29901.0
2009-09-16,92.42,92.42,88.61,91.14,20965.0
2009-09-17,92.42,92.42,89.57,90.38,9909.0
2009-09-18,88.61,90.52,86.95,89.18,12348.0
2009-09-22,93.66,93.66,85.99,92.61,14131.0
2009-09-23,91.66,93.66,91.47,92.71,10658.0
2009-09-24,89.33,92.42,89.33,91.8,5176.0
2009-09-25,90.52,94.33,90.52,92.23,13717.0
2009-09-29,92.71,94.81,90.52,91.52,7792.0
2009-09-30,92.9,96.09,92.52,96.09,19909.0
2009-10-01,100.05,100.05,94.47,95.14,26540.0
2009-10-05,93.38,95.76,90.61,91.61,17996.0
2009-10-06,93.38,93.38,87.23,89.42,21952.0
2009-10-07,89.71,92.19,89.57,89.99,7020.0
2009-10-08,90.52,93.85,88.61,91.71,16663.0
2009-10-09,95.33,96.71,91.8,94.19,36285.0
2009-10-12,98.9,98.9,97.52,98.9,15355.0
2009-10-14,103.86,103.86,103.86,103.86,17101.0
2009-10-15,108.05,109.05,104.19,109.05,66933.0
2009-10-16,109.05,114.53,109.05,114.53,69072.0
2009-10-20,124.15,126.34,121.01,126.34,63900.0
2009-10-21,129.3,132.68,121.1,123.87,137556.0
2009-10-22,123.87,125.77,118.87,121.06,34973.0
2009-10-23,123.87,123.87,115.01,116.53,20091.0
2009-10-26,113.86,121.77,113.86,119.58,17914.0
2009-10-27,119.1,120.44,114.34,115.05,20907.0
2009-10-28,115.15,115.72,110.05,112.81,12003.0
2009-10-29,111.48,114.34,108.77,110.1,14424.0
2009-10-30,114.29,115.63,112.67,114.24,11460.0
2009-11-03,110.15,113.86,108.53,108.53,12467.0
2009-11-04,108.62,110.24,106.34,108.24,12590.0
2009-11-05,107.67,112.34,106.72,110.58,9163.0
2009-11-06,112.43,114.15,109.62,111.58,8273.0
2009-11-09,110.58,122.77,110.58,122.77,30379.0
2009-11-10,131.2,131.2,123.01,124.96,52946.0
2009-11-11,126.63,127.01,122.91,123.25,15671.0
2009-11-12,125.73,125.77,119.39,122.53,14009.0
2009-11-13,121.15,122.91,118.82,119.53,8202.0
2009-11-16,118.82,130.54,118.15,123.82,25618.0
2009-11-17,125.73,126.15,123.87,125.77,22084.0
2009-11-18,126.25,134.59,126.25,133.35,37878.0
2009-11-19,130.54,139.97,130.54,138.49,50708.0
2009-11-20,137.25,139.45,135.3,138.02,20977.0
2009-11-23,138.02,142.45,132.59,134.97,23380.0
2009-11-24,134.35,136.25,131.54,133.4,7801.0
2009-11-25,134.35,146.74,134.35,146.02,47678.0
2009-11-26,147.69,147.69,138.4,140.68,44644.0
2009-11-27,136.4,140.07,129.58,136.87,21680.0
2009-11-30,141.97,141.97,137.49,138.59,9570.0
2009-12-01,140.02,140.92,135.73,136.64,9499.0
2009-12-02,138.16,139.11,135.02,138.16,18065.0
2009-12-03,137.25,150.55,135.44,142.21,92171.0
2009-12-04,142.26,144.73,140.16,141.73,15525.0
2009-12-07,143.73,143.78,136.59,137.45,16743.0
2009-12-08,139.88,139.88,136.25,137.92,6514.0
2009-12-09,139.54,139.54,135.68,136.25,10042.0
2009-12-10,142.73,142.73,131.49,134.16,19264.0
2009-12-11,135.78,138.06,133.4,134.25,7262.0
2009-12-14,132.44,135.3,132.44,133.63,7678.0
2009-12-15,132.44,134.02,129.63,129.87,4976.0
2009-12-16,128.63,131.25,128.63,129.25,4295.0
2009-12-17,133.4,133.4,129.2,129.73,4654.0
2009-12-18,128.63,132.92,127.87,130.97,7955.0
2009-12-21,128.63,133.4,127.3,129.87,5234.0
2009-12-22,133.3,137.59,130.59,136.44,12611.0
2009-12-23,133.3,137.59,130.59,136.44,12611.0
2009-12-24,133.3,137.59,130.59,136.44,12611.0
2009-12-29,133.3,137.59,130.59,136.44,12611.0
2009-12-30,133.3,137.59,130.59,136.44,12611.0
2009-12-31,133.3,137.59,130.59,136.44,12611.0
2010-01-04,132.44,135.11,130.54,133.78,7615.0
2010-01-05,134.35,141.49,133.44,137.02,12945.0
2010-01-06,137.97,139.11,134.35,135.3,10421.0
2010-01-07,131.59,137.97,131.54,134.35,4612.0
2010-01-08,134.44,138.16,131.82,132.78,29789.0
2010-01-11,132.2,139.21,132.2,138.3,25921.0
2010-01-12,141.88,158.65,139.59,153.98,745953.0
2010-01-13,153.31,162.36,153.31,159.74,418156.0
2010-01-14,154.45,159.93,153.55,158.22,78203.0
2010-01-15,157.12,158.07,154.45,156.17,24819.0
2010-01-18,156.26,162.6,153.45,157.41,61604.0
2010-01-19,157.22,160.27,153.07,154.36,17761.0
2010-01-20,153.41,158.17,151.98,154.17,21662.0
2010-01-21,152.45,155.98,148.64,149.64,17243.0
2010-01-22,147.69,158.07,143.88,150.45,28717.0
2010-01-25,149.64,157.17,148.64,150.64,18649.0
2010-01-27,147.69,150.17,137.21,142.11,22803.0
2010-01-28,142.92,145.69,135.78,139.78,14669.0
2010-01-29,135.4,142.45,132.44,139.88,16924.0
2010-02-01,141.97,167.89,141.02,167.89,181756.0
2010-02-02,174.61,188.56,164.08,166.17,663298.0
2010-02-03,169.13,176.27,164.36,167.79,109311.0
2010-02-04,166.74,169.13,160.07,161.84,33567.0
2010-02-05,153.41,157.88,150.55,154.64,50607.0
2010-02-08,147.78,161.79,147.78,160.17,33799.0
2010-02-09,157.36,170.22,157.36,160.12,32148.0
2010-02-10,160.07,164.84,156.26,158.5,18108.0
2010-02-11,157.69,164.74,157.22,157.93,25108.0
2010-02-15,160.07,167.22,160.07,163.36,54487.0
2010-02-16,161.08,165.79,157.22,160.27,15681.0
2010-02-17,165.79,166.55,161.98,165.08,26801.0
2010-02-18,165.79,175.84,162.27,168.56,136856.0
2010-02-19,162.89,174.08,162.89,165.03,40907.0
2010-02-22,168.46,168.46,157.36,159.65,14540.0
2010-02-23,159.36,161.84,153.41,155.26,10290.0
