,open,high,low,close,volume
2009-05-20,46.27,51.15,45.11,46.2,3265253.0
2009-05-21,46.66,48.9,45.87,47.11,1884317.0
2009-05-22,47.72,48.47,46.02,47.76,1634804.0
2009-05-25,47.45,50.35,47.45,49.74,1647173.0
2009-05-26,50.77,51.17,44.86,47.04,2407043.0
2009-05-27,48.18,49.17,47.59,48.48,1042352.0
2009-05-28,49.16,50.22,47.22,47.9,2576501.0
2009-05-29,48.89,49.56,47.87,48.27,1159486.0
2009-06-01,48.79,53.25,48.68,52.67,3511581.0
2009-06-02,54.7,56.0,52.11,54.63,4644475.0
2009-06-03,56.6,60.78,55.0,59.32,4721228.0
2009-06-04,59.29,60.64,56.69,58.96,1773333.0
2009-06-05,60.64,60.64,57.09,57.72,993325.0
2009-06-08,58.4,58.49,52.07,53.78,916654.0
2009-06-09,52.73,55.32,50.66,54.76,1341296.0
2009-06-10,55.36,56.93,53.39,53.74,1117176.0
2009-06-11,54.57,55.76,52.87,54.35,1015410.0
2009-06-12,55.1,56.92,53.27,54.05,1749752.0
2009-06-15,58.48,59.36,55.36,55.89,1093624.0
2009-06-16,55.36,57.06,54.65,55.97,994424.0
2009-06-17,56.48,58.19,53.25,54.17,971322.0
2009-06-18,54.36,54.62,48.4,50.08,1535990.0
2009-06-19,50.81,52.49,48.69,51.63,820173.0
2009-06-22,53.08,57.91,51.24,54.36,3417098.0
2009-06-23,53.51,56.21,52.52,55.87,2116861.0
2009-06-24,56.49,58.34,56.08,56.92,2096448.0
2009-06-25,57.77,59.39,55.87,56.65,2076106.0
2009-06-26,57.2,58.19,56.21,57.53,847326.0
2009-06-29,57.53,59.54,57.07,57.7,973596.0
2009-06-30,58.19,58.66,54.23,55.09,619914.0
2009-07-01,54.93,55.91,53.24,54.96,518522.0
2009-07-02,56.63,56.63,54.5,54.91,455898.0
2009-07-03,54.79,55.57,53.37,55.33,507568.0
2009-07-06,55.8,57.17,51.29,53.63,783293.0
2009-07-07,53.94,54.65,52.08,53.12,276409.0
2009-07-08,52.48,52.52,49.71,50.31,401102.0
2009-07-09,49.68,50.38,48.01,48.68,873204.0
2009-07-10,49.24,52.2,48.6,49.43,989707.0
2009-07-13,49.43,49.43,45.14,47.83,759057.0
2009-07-14,49.25,50.95,48.83,50.15,600536.0
2009-07-15,51.1,54.33,42.58,53.33,1533786.0
2009-07-16,54.21,57.06,51.9,52.61,2289850.0
2009-07-17,51.24,55.76,51.24,54.55,1451439.0
2009-07-20,55.36,56.13,54.23,54.88,858076.0
2009-07-21,55.21,58.39,54.38,57.03,1936694.0
2009-07-22,58.17,58.9,55.5,56.09,1634710.0
2009-07-23,57.09,58.69,56.35,58.26,951178.0
2009-07-24,59.22,62.45,58.05,61.59,2126413.0
2009-07-27,61.03,67.91,61.03,65.11,9519717.0
2009-07-28,65.63,68.98,65.43,67.1,4575304.0
2009-07-29,66.71,69.51,63.23,67.22,3830423.0
2009-07-30,67.42,75.23,66.03,68.54,1778606.0
2009-07-31,68.98,70.36,67.14,69.11,2395457.0
2009-08-03,69.96,72.66,68.85,72.31,2647338.0
2009-08-04,72.67,77.2,72.01,73.86,5251325.0
2009-08-05,74.75,75.88,73.32,74.44,1485507.0
2009-08-06,74.66,75.79,70.97,71.59,2223058.0
2009-08-07,70.97,72.36,69.55,71.32,1677757.0
2009-08-10,72.12,72.77,68.21,69.24,1071627.0
2009-08-11,69.53,72.96,68.44,71.91,1234561.0
2009-08-12,70.97,74.23,70.13,73.27,2386636.0
2009-08-13,74.08,81.54,73.98,80.39,3501111.0
2009-08-14,80.19,84.01,79.21,79.83,3225614.0
2009-08-17,78.77,82.32,74.52,75.12,2685077.0
2009-08-18,75.37,78.99,74.52,77.57,2576092.0
2009-08-19,77.78,78.76,74.7,75.89,1369683.0
2009-08-20,77.04,80.27,77.04,78.08,2616666.0
2009-08-21,77.92,81.15,77.36,80.29,2217394.0
2009-08-24,81.29,83.03,81.24,82.15,1676080.0
2009-08-25,81.33,83.97,81.22,81.47,2206872.0
2009-08-26,82.04,82.95,80.27,80.72,929176.0
2009-08-27,80.62,81.57,78.95,79.43,1641059.0
2009-08-28,80.86,80.86,77.54,78.33,1223893.0
2009-08-31,77.36,80.75,76.92,77.73,1389704.0
2009-09-01,78.33,79.77,75.3,75.79,1105222.0
2009-09-02,74.55,76.43,73.82,74.47,1372453.0
2009-09-03,74.8,77.64,74.8,76.43,1439952.0
2009-09-04,77.36,79.2,76.39,78.66,1702572.0
2009-09-07,79.48,81.29,79.13,80.78,2021555.0
2009-09-08,81.61,83.0,79.92,80.56,1946678.0
2009-09-09,80.89,91.13,79.46,90.04,15208690.0
2009-09-10,91.93,99.21,90.16,96.52,24918308.0
2009-09-11,96.89,97.67,92.48,93.76,6323899.0
2009-09-14,93.82,96.42,92.41,93.85,4328012.0
2009-09-15,94.17,100.53,93.89,98.75,10028103.0
2009-09-16,99.21,100.63,96.87,97.87,5077751.0
2009-09-17,98.5,108.16,97.65,105.39,16804621.0
2009-09-18,104.89,106.34,103.33,104.07,5324231.0
2009-09-22,104.47,105.6,100.92,103.99,3228484.0
2009-09-23,104.75,106.62,102.9,103.64,4600259.0
2009-09-24,102.34,104.66,101.48,103.35,4495395.0
2009-09-25,102.48,104.35,100.49,101.81,2156950.0
2009-09-29,102.9,103.6,101.07,101.58,986866.0
2009-09-30,101.48,107.87,101.48,107.07,4006802.0
2009-10-01,108.64,110.63,107.3,108.79,5429423.0
2009-10-05,107.16,108.4,101.67,102.3,3837221.0
2009-10-06,103.03,104.18,96.09,99.63,6382010.0
2009-10-07,100.53,104.18,100.34,101.73,8489103.0
2009-10-08,102.55,102.74,100.49,101.21,3738039.0
2009-10-09,101.83,102.41,97.4,98.11,2324409.0
2009-10-12,98.22,100.63,97.95,100.18,2773603.0
2009-10-14,101.06,106.42,100.86,105.59,5923481.0
2009-10-15,106.74,108.82,103.91,105.29,8349399.0
2009-10-16,105.03,112.84,100.28,112.02,10754016.0
2009-10-20,114.27,118.66,113.55,116.76,8283128.0
2009-10-21,114.42,118.95,114.42,115.92,3713546.0
2009-10-22,115.69,116.77,110.0,111.63,6320748.0
2009-10-23,114.71,115.78,112.85,113.78,3472006.0
2009-10-26,114.26,116.17,110.28,110.97,2230324.0
2009-10-27,110.71,111.68,102.62,103.43,3883232.0
2009-10-28,102.0,103.81,98.23,100.46,3894964.0
2009-10-29,96.55,102.05,96.55,99.28,4499832.0
2009-10-30,101.48,103.87,97.52,98.63,3675591.0
2009-11-03,97.23,99.33,91.69,92.77,2517390.0
2009-11-04,94.39,99.34,91.69,98.33,4164481.0
2009-11-05,97.94,103.9,96.73,103.17,4879889.0
2009-11-06,104.59,107.91,104.33,106.47,4211807.0
2009-11-09,108.5,110.43,105.77,109.76,3205394.0
2009-11-10,111.39,113.66,109.14,111.8,5192974.0
2009-11-11,112.67,113.5,110.59,112.91,2809822.0
2009-11-12,109.61,113.19,108.45,109.11,2003223.0
2009-11-13,107.87,112.13,107.16,111.46,3589485.0
2009-11-16,112.41,115.68,111.87,114.42,6552655.0
2009-11-17,114.87,117.08,113.02,116.63,5313580.0
2009-11-18,117.01,121.46,115.76,119.02,7670240.0
2009-11-19,115.76,121.92,115.03,115.89,7487272.0
2009-11-20,115.18,124.73,114.7,123.83,9874189.0
2009-11-23,124.63,129.78,123.7,128.5,9997554.0
2009-11-24,128.45,129.86,124.9,126.44,7111728.0
2009-11-25,128.31,129.73,126.34,127.12,5875921.0
2009-11-26,127.35,129.73,126.54,127.76,6515143.0
2009-11-27,126.04,126.99,115.86,123.97,7410642.0
2009-11-30,125.65,132.85,125.65,131.82,9317693.0
2009-12-01,133.99,138.51,132.57,136.19,12806429.0
2009-12-02,137.64,137.82,134.2,135.34,6632839.0
2009-12-03,136.77,139.38,135.59,138.07,5849534.0
2009-12-04,137.65,140.13,137.04,138.63,4753420.0
2009-12-07,138.67,139.67,129.87,132.86,4589170.0
2009-12-08,131.58,140.45,130.72,139.53,7799685.0
2009-12-09,139.08,141.04,136.12,136.91,5864084.0
2009-12-10,138.39,138.78,133.56,136.05,2018603.0
2009-12-11,138.39,138.39,132.57,134.09,1686722.0
2009-12-14,132.82,135.44,128.45,129.27,1290969.0
2009-12-15,130.19,130.19,124.3,125.33,1569338.0
2009-12-16,123.87,131.54,123.34,130.37,2898085.0
2009-12-17,130.58,130.94,127.14,127.88,1414784.0
2009-12-18,126.5,129.41,125.44,126.18,1165644.0
2009-12-21,125.61,130.44,124.98,126.75,2300332.0
2009-12-22,128.59,130.79,127.78,129.98,1801612.0
2009-12-23,128.59,130.79,127.78,129.98,1801612.0
2009-12-24,128.59,130.79,127.78,129.98,1801612.0
2009-12-29,128.59,130.79,127.78,129.98,1801612.0
2009-12-30,128.59,130.79,127.78,129.98,1801612.0
2009-12-31,128.59,130.79,127.78,129.98,1801612.0
2010-01-04,133.7,136.54,133.7,134.91,1068209.0
2010-01-05,136.26,138.67,135.55,137.39,2000565.0
2010-01-06,137.75,139.17,136.12,136.86,1094905.0
2010-01-07,137.32,138.53,135.94,137.15,1059186.0
2010-01-08,137.96,137.96,134.91,135.44,710706.0
2010-01-11,137.68,147.37,136.26,146.27,9158954.0
2010-01-12,147.26,148.61,143.92,145.09,4256865.0
2010-01-13,143.92,149.71,142.29,149.25,3496799.0
2010-01-14,150.74,151.45,146.51,147.58,5426572.0
2010-01-15,149.03,149.03,145.34,145.88,1779414.0
2010-01-18,145.49,148.25,144.78,145.88,1457654.0
