,open,high,low,close,volume
2009-05-20,58.52,63.39,55.88,62.83,199726.0
2009-05-21,64.66,69.37,63.87,64.82,173803.0
2009-05-22,64.66,67.9,64.66,66.3,207335.0
2009-05-25,66.46,68.66,64.78,67.82,208393.0
2009-05-26,69.37,71.85,65.46,66.42,164074.0
2009-05-27,68.34,69.45,66.54,67.54,253861.0
2009-05-28,68.58,69.61,67.14,67.78,159742.0
2009-05-29,67.82,74.64,67.82,71.69,551311.0
2009-06-01,75.68,85.34,73.45,83.38,603450.0
2009-06-02,87.1,91.73,86.42,91.73,991792.0
2009-06-03,92.6,95.64,85.22,86.66,568830.0
2009-06-04,87.81,88.61,84.46,85.78,334327.0
2009-06-05,87.34,87.38,83.02,83.7,197883.0
2009-06-08,85.34,86.14,78.24,80.23,174276.0
2009-06-09,78.24,80.23,73.6,79.59,197481.0
2009-06-10,86.22,86.22,80.71,82.03,260444.0
2009-06-11,83.02,83.02,79.27,79.63,132045.0
2009-06-12,81.03,81.03,76.96,77.44,158179.0
2009-06-15,77.44,79.67,75.96,78.12,125772.0
2009-06-16,76.6,80.63,75.84,79.87,92339.0
2009-06-17,79.83,81.35,76.64,77.8,111414.0
2009-06-18,81.43,81.43,76.24,77.8,212113.0
2009-06-19,77.8,79.03,74.84,76.88,58107.0
2009-06-22,79.67,79.83,77.04,78.24,82247.0
2009-06-23,76.64,77.4,75.44,77.08,280445.0
2009-06-24,77.56,79.59,76.64,78.47,26327.0
2009-06-25,78.95,83.5,78.95,79.83,114811.0
2009-06-26,79.83,81.43,79.19,79.79,39974.0
2009-06-29,80.63,80.63,79.07,79.79,41581.0
2009-06-30,79.83,79.83,77.64,78.67,27485.0
2009-07-01,79.03,79.75,76.64,78.51,20996.0
2009-07-02,78.43,80.99,78.43,79.87,38956.0
2009-07-03,79.75,80.63,78.47,79.55,22982.0
2009-07-06,80.63,81.99,75.96,77.6,62144.0
2009-07-07,77.28,80.03,76.0,79.67,52704.0
2009-07-08,79.75,84.22,76.24,79.15,270668.0
2009-07-09,79.59,81.03,68.18,79.67,125351.0
2009-07-10,80.63,82.95,79.27,80.07,155866.0
2009-07-13,79.67,83.58,78.39,79.79,144377.0
2009-07-14,82.23,83.18,79.75,82.31,314760.0
2009-07-15,84.38,87.02,83.46,84.82,194600.0
2009-07-16,85.42,86.22,84.62,85.42,72561.0
2009-07-17,86.22,87.42,85.02,86.86,101122.0
2009-07-20,89.46,91.15,87.43,90.61,105868.0
2009-07-21,90.73,98.69,87.64,95.56,257500.0
2009-07-22,96.51,98.94,90.82,91.89,133126.0
2009-07-23,92.67,96.1,91.89,94.36,68762.0
2009-07-24,96.43,98.82,94.65,96.05,134879.0
2009-07-27,98.98,103.02,95.06,100.88,249326.0
2009-07-28,103.11,105.5,100.63,101.29,78364.0
2009-07-29,101.29,102.12,94.86,98.2,73586.0
2009-07-30,97.33,100.47,95.31,99.56,45432.0
2009-07-31,103.02,103.02,93.74,99.19,103484.0
2009-08-03,100.55,102.24,98.16,99.48,102237.0
2009-08-04,100.63,101.66,98.16,99.93,131956.0
2009-08-05,101.46,102.49,97.0,98.24,147066.0
2009-08-06,97.29,98.32,94.94,95.64,145680.0
2009-08-07,95.11,97.33,93.62,94.98,99261.0
2009-08-10,96.92,97.99,90.82,91.15,69320.0
2009-08-11,91.97,91.97,89.5,90.44,34109.0
2009-08-12,88.38,90.53,84.55,88.75,92538.0
2009-08-13,89.91,93.99,89.08,92.42,163717.0
2009-08-14,93.21,95.77,90.73,92.84,73903.0
2009-08-17,92.3,93.87,90.32,91.02,33052.0
2009-08-18,92.92,92.92,89.17,92.09,27129.0
2009-08-19,92.38,92.38,90.4,90.82,16251.0
2009-08-20,92.3,92.3,89.95,90.98,12530.0
2009-08-21,89.21,92.38,89.21,91.89,15792.0
2009-08-24,92.38,98.78,91.97,96.84,206103.0
2009-08-25,92.34,97.0,84.96,96.34,45360.0
2009-08-26,94.03,97.33,90.73,96.92,42843.0
2009-08-27,95.68,98.16,94.86,96.84,27963.0
2009-08-28,96.67,101.83,96.51,97.95,194308.0
2009-08-31,98.16,100.22,97.33,98.78,98995.0
2009-09-01,97.99,100.63,97.33,97.99,58104.0
2009-09-02,97.33,98.57,95.81,96.26,57578.0
2009-09-03,97.33,97.95,95.27,95.64,166107.0
2009-09-04,95.68,97.66,95.68,97.29,35873.0
2009-09-07,97.99,99.72,97.74,99.11,43600.0
2009-09-08,100.55,102.61,98.16,101.87,151245.0
2009-09-09,102.28,102.28,99.81,101.25,57268.0
2009-09-10,99.97,101.7,99.81,100.96,117521.0
2009-09-11,101.46,101.95,100.67,101.62,55245.0
2009-09-14,101.87,107.23,101.46,105.54,190818.0
2009-09-15,107.23,108.06,105.33,105.75,50466.0
2009-09-16,106.41,107.23,104.76,106.57,74983.0
2009-09-17,105.99,111.35,105.99,108.47,136858.0
2009-09-18,109.71,126.08,107.23,118.37,581917.0
2009-09-22,119.6,122.9,117.13,117.46,110224.0
2009-09-23,115.48,118.16,111.35,113.13,76432.0
2009-09-24,103.11,114.24,103.11,112.39,80808.0
2009-09-25,109.91,118.7,109.91,113.75,95914.0
2009-09-29,115.48,116.3,113.05,113.99,26778.0
2009-09-30,113.29,114.65,112.3,112.67,17126.0
2009-10-01,114.12,121.13,111.81,117.29,192069.0
2009-10-05,116.26,118.37,112.59,113.99,46005.0
2009-10-06,113.87,115.85,107.4,110.53,34815.0
2009-10-07,112.14,113.75,109.75,110.78,20006.0
2009-10-08,111.35,114.65,109.13,109.91,17224.0
2009-10-09,113.33,113.33,108.06,108.63,20629.0
2009-10-12,115.48,115.48,109.62,111.85,33032.0
2009-10-14,111.85,112.59,110.12,110.94,43824.0
2009-10-15,111.77,112.18,109.33,109.83,40834.0
2009-10-16,109.71,111.11,108.14,108.55,50790.0
2009-10-20,110.53,112.1,107.52,107.97,29375.0
2009-10-21,107.68,108.8,104.76,105.13,28932.0
2009-10-22,104.92,106.16,103.11,103.56,23450.0
2009-10-23,103.97,106.74,101.46,101.87,35248.0
2009-10-26,103.89,103.89,100.22,100.38,28321.0
2009-10-27,100.63,101.83,99.06,100.01,51819.0
2009-10-28,102.28,102.28,96.92,97.66,36781.0
2009-10-29,97.33,98.49,94.9,96.67,37875.0
2009-10-30,101.29,101.29,95.35,96.96,30212.0
2009-11-03,102.08,107.07,98.98,100.67,94268.0
2009-11-04,103.93,106.32,99.93,102.82,31173.0
2009-11-05,101.46,104.76,101.46,103.68,22435.0
2009-11-06,104.76,106.41,104.01,106.2,35997.0
2009-11-09,106.41,108.84,105.58,106.98,19607.0
2009-11-10,108.06,108.88,106.82,106.98,32231.0
2009-11-11,109.34,109.34,106.31,106.94,23156.0
2009-11-12,105.97,107.32,101.81,102.44,100387.0
2009-11-13,103.24,103.24,99.58,100.42,34314.0
2009-11-16,103.24,103.24,99.67,100.09,29221.0
2009-11-17,105.97,105.97,99.25,100.8,62022.0
2009-11-18,103.37,108.79,100.55,106.94,120837.0
2009-11-19,107.66,107.66,104.75,105.6,34944.0
2009-11-20,105.13,105.97,102.82,105.43,18064.0
2009-11-23,106.06,109.25,106.06,106.98,30897.0
2009-11-24,105.97,108.08,105.3,105.68,19026.0
2009-11-25,105.17,107.57,104.29,106.69,32143.0
2009-11-26,106.69,114.13,106.69,109.42,165420.0
2009-11-27,108.83,109.21,103.49,106.6,52240.0
2009-11-30,107.66,114.38,107.24,113.63,95627.0
2009-12-01,114.38,116.91,113.67,115.86,76946.0
2009-12-02,116.87,118.59,115.23,117.83,76857.0
2009-12-03,118.3,126.08,116.95,119.35,67222.0
2009-12-04,119.35,130.36,118.38,128.93,175903.0
2009-12-07,127.84,130.28,122.75,126.29,68929.0
2009-12-08,126.16,126.16,123.01,125.23,33053.0
2009-12-09,125.11,125.11,120.27,121.11,49043.0
2009-12-10,123.47,123.8,121.32,122.88,21552.0
2009-12-11,119.73,124.44,119.73,122.5,31969.0
2009-12-14,121.11,128.6,121.11,127.51,136640.0
2009-12-15,127.84,131.63,125.36,126.24,110393.0
2009-12-16,126.16,126.96,122.25,123.76,29294.0
2009-12-17,122.8,127.84,122.8,126.03,38053.0
2009-12-18,124.56,126.96,122.8,124.31,27253.0
2009-12-21,124.01,129.06,124.01,125.65,105543.0
2009-12-22,127.72,128.68,123.64,124.48,26919.0
2009-12-23,127.72,128.68,123.64,124.48,26919.0
2009-12-24,127.72,128.68,123.64,124.48,26919.0
2009-12-29,127.72,128.68,123.64,124.48,26919.0
2009-12-30,127.72,128.68,123.64,124.48,26919.0
