,open,high,low,close,volume
2009-05-20,32.27,35.77,32.27,34.93,714268.0
2009-05-21,35.38,38.1,34.25,34.58,712236.0
2009-05-22,34.79,36.1,34.68,35.71,336264.0
2009-05-25,36.27,38.49,35.96,37.83,605090.0
2009-05-26,38.45,38.78,35.34,35.98,422422.0
2009-05-27,36.78,37.52,36.16,36.6,264398.0
2009-05-28,36.54,37.63,36.54,37.28,216214.0
2009-05-29,37.67,38.49,37.15,38.02,844924.0
2009-06-01,39.65,41.83,38.7,41.7,1715440.0
2009-06-02,43.04,43.74,41.83,43.15,1065320.0
2009-06-03,43.93,45.31,43.04,43.85,624926.0
2009-06-04,43.54,44.13,42.76,43.7,293956.0
2009-06-05,43.93,44.49,41.6,42.3,404660.0
2009-06-08,42.76,42.76,38.25,38.76,327644.0
2009-06-09,38.49,41.6,37.05,40.94,367836.0
2009-06-10,41.6,45.04,40.98,43.62,1620348.0
2009-06-11,44.2,44.2,41.4,41.97,490174.0
2009-06-12,43.93,43.93,40.65,41.02,392508.0
2009-06-15,42.36,43.31,40.9,41.27,467844.0
2009-06-16,40.9,42.12,40.04,41.71,226190.0
2009-06-17,42.18,42.3,39.27,40.08,162568.0
2009-06-18,40.24,40.82,37.48,38.02,381594.0
2009-06-19,38.49,40.24,37.71,39.4,181450.0
2009-06-22,39.65,41.02,39.3,39.98,170814.0
2009-06-23,39.98,39.98,38.22,39.65,173620.0
2009-06-24,39.65,41.71,39.01,41.5,203740.0
2009-06-25,42.8,43.68,40.16,40.61,602042.0
2009-06-26,41.21,41.6,40.49,41.03,108344.0
2009-06-29,42.18,42.34,40.86,41.52,245864.0
2009-06-30,41.6,41.95,41.05,41.33,257756.0
2009-07-01,40.04,42.08,40.04,41.23,175208.0
2009-07-02,41.37,41.93,41.07,41.56,144642.0
2009-07-03,41.58,42.65,40.9,41.71,140602.0
2009-07-06,42.34,42.57,39.27,39.6,298780.0
2009-07-07,40.43,41.99,39.85,41.7,276650.0
2009-07-08,41.56,43.29,40.43,42.22,560474.0
2009-07-09,43.39,43.39,41.66,42.05,253318.0
2009-07-10,42.18,42.76,39.85,40.94,164708.0
2009-07-13,39.27,41.11,38.0,39.65,241042.0
2009-07-14,40.08,41.95,40.08,41.19,174602.0
2009-07-15,41.79,43.89,41.66,43.06,367598.0
2009-07-16,43.62,44.51,42.86,43.15,265888.0
2009-07-17,46.09,46.38,44.91,45.79,183288.0
2009-07-20,46.3,47.55,46.13,46.74,207576.0
2009-07-21,47.59,54.42,46.57,52.37,1679088.0
2009-07-22,53.21,53.5,49.44,50.74,750360.0
2009-07-23,51.11,53.84,51.11,53.25,1051882.0
2009-07-24,54.47,55.72,54.26,55.11,1625596.0
2009-07-27,56.35,58.4,55.51,55.7,1450804.0
2009-07-28,56.56,56.56,54.88,55.16,542644.0
2009-07-29,55.09,56.52,53.42,54.72,611758.0
2009-07-30,54.05,56.52,54.05,55.58,477464.0
2009-07-31,56.31,56.73,54.82,55.41,317484.0
2009-08-03,53.67,56.56,53.67,55.83,333916.0
2009-08-04,55.83,56.35,54.47,55.22,279564.0
2009-08-05,55.2,55.72,54.38,54.72,190150.0
2009-08-06,55.7,55.72,54.3,54.55,286588.0
2009-08-07,54.42,56.14,53.63,54.07,570300.0
2009-08-10,54.97,55.09,52.1,53.19,349414.0
2009-08-11,53.25,54.0,50.76,53.42,331146.0
2009-08-12,53.17,54.34,51.53,53.71,240154.0
2009-08-13,54.47,55.72,53.23,54.7,489066.0
2009-08-14,55.18,57.17,53.86,54.57,480888.0
2009-08-17,54.05,55.47,53.21,53.67,335410.0
2009-08-18,54.03,55.26,53.84,55.05,217930.0
2009-08-19,54.91,55.45,53.48,55.03,307430.0
2009-08-20,55.09,55.09,53.38,53.96,280722.0
2009-08-21,51.99,55.3,51.99,55.07,306836.0
2009-08-24,55.3,55.99,53.86,54.95,352838.0
2009-08-25,54.07,55.39,54.07,55.01,128954.0
2009-08-26,55.3,55.72,55.05,55.43,191872.0
2009-08-27,55.7,55.7,54.4,54.4,93666.0
2009-08-28,54.07,59.45,54.07,57.31,1483794.0
2009-08-31,57.78,59.87,56.56,59.28,1042768.0
2009-09-01,56.67,60.33,56.67,57.21,421218.0
2009-09-02,57.19,57.8,54.95,56.75,198558.0
2009-09-03,58.22,58.22,56.14,56.29,157474.0
2009-09-04,56.25,57.82,55.93,56.77,121300.0
2009-09-07,57.73,58.66,57.0,57.71,233816.0
2009-09-08,57.84,58.59,56.35,56.58,120160.0
2009-09-09,55.81,56.56,55.72,56.25,72654.0
2009-09-10,56.64,57.4,54.49,54.97,227678.0
