,open,high,low,close,volume
2009-05-20,30.17,33.08,29.1,32.85,963605.0
2009-05-21,33.65,35.15,32.93,34.5,710724.0
2009-05-22,34.08,35.99,32.24,34.96,329786.0
2009-05-25,35.99,38.48,35.03,37.9,377613.0
2009-05-26,39.4,40.58,35.22,35.68,330561.0
2009-05-27,37.6,39.28,36.11,39.28,6653051.0
2009-05-28,41.27,41.96,37.75,38.79,568596.0
2009-05-29,40.58,40.58,37.6,38.21,278562.0
2009-06-01,39.44,40.58,37.64,38.13,243059.0
2009-06-02,38.67,39.05,34.77,35.84,261787.0
2009-06-03,36.3,39.44,36.26,39.4,639714.0
2009-06-04,38.29,43.34,38.29,43.34,541614.0
2009-06-05,47.71,47.71,44.34,47.55,521281.0
2009-06-08,48.97,49.97,45.18,45.18,577379.0
2009-06-09,44.41,45.91,42.92,44.3,298287.0
2009-06-10,45.72,46.52,42.12,42.12,347326.0
2009-06-11,41.73,42.12,40.01,40.01,177703.0
2009-06-12,41.35,41.35,38.02,38.02,129213.0
2009-06-15,36.76,37.02,36.14,36.14,77285.0
2009-06-16,34.34,37.98,34.34,37.98,138608.0
2009-06-17,39.9,39.9,36.11,36.45,269099.0
2009-06-18,38.29,38.29,34.65,34.96,123689.0
2009-06-19,36.3,36.3,33.31,34.77,90147.0
2009-06-22,34.5,35.88,33.31,33.69,90420.0
2009-06-23,32.2,33.0,32.01,32.47,93327.0
2009-06-24,33.69,34.11,32.54,34.11,57701.0
2009-06-25,35.76,35.84,33.73,34.0,93422.0
2009-06-26,35.45,35.72,33.81,35.49,98781.0
2009-06-29,35.61,37.14,35.22,36.07,146261.0
2009-06-30,36.07,36.07,34.27,34.27,49253.0
2009-07-01,34.08,34.08,32.58,32.58,58780.0
2009-07-02,32.51,32.54,30.97,30.97,104346.0
2009-07-03,29.52,31.86,29.48,30.48,94758.0
2009-07-06,30.71,30.97,28.98,28.98,89300.0
2009-07-07,28.98,28.98,27.57,27.91,94848.0
2009-07-08,27.57,27.57,26.53,26.53,24274.0
2009-07-09,25.27,27.57,25.23,26.38,93115.0
2009-07-10,27.18,27.72,26.04,26.3,139181.0
2009-07-13,25.65,25.96,25.0,25.54,96754.0
2009-07-14,26.8,26.84,25.42,26.84,56134.0
2009-07-15,27.41,28.18,27.03,28.18,73931.0
2009-07-16,29.1,29.6,28.37,29.21,111447.0
2009-07-17,29.75,30.25,28.75,29.79,126083.0
2009-07-20,31.24,31.24,29.56,30.32,56014.0
2009-07-21,30.55,31.01,29.71,30.32,70220.0
2009-07-22,30.55,31.17,29.37,29.6,103294.0
2009-07-23,30.59,30.63,29.44,29.98,68526.0
2009-07-24,30.25,30.63,29.67,29.98,85631.0
2009-07-27,30.29,31.09,29.52,30.44,161845.0
2009-07-28,30.9,31.01,29.86,30.06,110292.0
2009-07-29,29.14,30.94,28.6,29.75,104016.0
2009-07-30,30.25,30.82,29.56,30.17,185343.0
2009-07-31,29.9,31.59,29.9,30.78,340082.0
2009-08-03,31.4,32.35,30.48,32.16,366285.0
2009-08-04,33.31,33.77,32.54,33.77,218962.0
2009-08-05,34.8,35.15,32.12,32.43,361607.0
2009-08-06,32.7,32.93,30.82,31.01,259688.0
2009-08-07,30.52,31.36,29.48,29.52,137510.0
2009-08-10,30.48,30.48,28.06,28.37,125577.0
2009-08-11,28.68,29.67,28.26,29.06,66405.0
2009-08-12,28.41,29.1,27.61,28.45,100368.0
2009-08-13,29.1,29.9,29.1,29.9,56390.0
2009-08-14,30.48,30.78,29.33,29.9,134466.0
2009-08-17,29.1,29.52,28.41,28.49,56743.0
2009-08-18,28.33,29.37,27.68,28.98,78109.0
2009-08-19,29.1,30.44,28.72,30.36,476959.0
2009-08-20,31.24,31.36,29.67,30.09,174702.0
2009-08-21,29.94,29.94,28.83,29.18,111504.0
2009-08-24,30.25,30.67,29.67,30.67,150421.0
2009-08-25,30.71,31.24,29.56,30.02,192073.0
2009-08-26,30.02,31.55,30.02,31.47,661348.0
2009-08-27,32.09,33.08,31.36,33.08,8720910.0
2009-08-28,34.77,34.77,32.47,34.77,612678.0
2009-08-31,34.23,36.53,33.12,34.73,880983.0
2009-09-01,35.84,36.15,33.0,33.15,346763.0
2009-09-02,31.84,33.27,31.5,31.57,272301.0
