,open,high,low,close,volume
2009-05-20,130.89,134.21,125.96,128.07,62416.0
2009-05-21,128.07,143.24,128.07,138.31,95223.0
2009-05-22,143.28,148.62,136.69,145.97,67790.0
2009-05-25,145.8,157.4,145.8,152.89,57579.0
2009-05-26,155.74,161.5,134.83,143.53,51834.0
2009-05-27,159.89,159.89,145.8,148.12,57048.0
2009-05-28,149.12,152.43,146.18,148.12,25578.0
2009-05-29,149.12,151.6,140.83,142.45,75432.0
2009-06-01,145.89,151.6,140.87,143.28,85212.0
2009-06-02,146.38,148.29,140.83,141.83,44411.0
2009-06-03,142.9,153.01,140.96,148.99,114865.0
2009-06-04,146.88,152.1,146.88,148.33,58008.0
2009-06-05,149.12,163.95,142.07,144.11,67947.0
2009-06-08,144.98,153.18,137.52,139.3,81635.0
2009-06-09,134.16,144.15,134.16,142.16,30182.0
2009-06-10,145.8,147.46,140.0,141.41,26066.0
2009-06-11,144.56,144.98,139.59,140.96,21598.0
2009-06-12,150.53,153.26,142.49,143.11,64325.0
2009-06-15,144.39,145.55,137.73,140.58,27014.0
2009-06-16,157.4,163.78,138.02,139.63,416014.0
2009-06-17,141.95,144.15,136.28,138.06,77593.0
2009-06-18,138.06,141.41,133.38,134.83,51268.0
2009-06-19,139.13,142.49,135.03,137.23,37456.0
2009-06-22,142.41,146.22,138.39,143.07,73916.0
2009-06-23,142.49,142.49,137.02,138.55,29183.0
2009-06-24,142.37,142.37,138.43,140.25,38304.0
2009-06-25,140.92,143.28,137.52,138.6,30870.0
2009-06-26,140.0,141.66,137.56,138.55,43157.0
2009-06-29,142.05,143.8,139.79,140.83,29575.0
2009-06-30,140.5,143.84,137.99,138.32,26902.0
2009-07-01,140.5,140.5,136.4,137.03,17547.0
2009-07-02,136.44,143.01,134.69,140.37,52389.0
2009-07-03,139.54,141.33,137.2,138.83,10662.0
2009-07-06,141.08,141.17,133.81,134.39,17638.0
2009-07-07,134.39,143.59,134.39,142.0,66820.0
2009-07-08,139.66,141.92,135.56,139.58,21579.0
2009-07-09,138.28,143.22,137.15,138.99,23600.0
2009-07-10,137.99,142.76,137.49,138.41,20879.0
2009-07-13,137.15,139.5,129.63,130.97,23325.0
2009-07-14,140.75,144.43,132.97,140.37,536882.0
2009-07-15,141.25,142.84,135.65,137.03,562734.0
2009-07-16,139.45,140.79,133.89,134.56,117843.0
2009-07-17,136.23,138.41,134.81,136.94,146326.0
2009-07-20,138.83,148.61,137.2,142.55,338165.0
2009-07-21,142.97,143.76,140.25,141.38,50471.0
2009-07-22,142.17,143.63,139.24,140.08,63249.0
2009-07-23,137.99,142.26,137.99,140.46,114900.0
2009-07-24,142.17,143.84,139.75,140.5,133790.0
2009-07-27,140.92,149.61,140.92,148.15,167242.0
2009-07-28,142.76,154.55,142.76,152.88,221085.0
2009-07-29,146.94,164.29,146.94,162.03,409695.0
2009-07-30,161.07,166.26,153.0,164.37,117079.0
2009-07-31,163.12,175.62,163.12,171.02,183625.0
2009-08-03,168.1,188.84,168.1,186.04,293770.0
2009-08-04,175.41,192.35,175.41,179.43,145029.0
2009-08-05,181.81,184.57,177.63,179.47,81067.0
2009-08-06,179.81,182.23,165.84,170.44,77069.0
2009-08-07,165.84,168.93,162.7,165.8,73577.0
2009-08-10,171.19,171.19,161.62,163.5,29065.0
2009-08-11,162.41,174.45,153.84,170.44,119499.0
2009-08-12,167.93,168.93,161.41,167.64,47007.0
2009-08-13,173.07,178.97,169.31,172.95,62840.0
2009-08-14,173.11,188.92,173.11,186.91,226109.0
2009-08-17,182.4,192.35,173.53,176.25,176466.0
2009-08-18,177.3,183.99,175.96,181.23,81639.0
2009-08-19,183.99,187.25,178.97,181.73,102298.0
2009-08-20,182.73,186.2,179.05,181.9,40265.0
2009-08-21,181.48,188.13,181.48,185.37,124763.0
2009-08-24,187.33,189.0,183.48,185.03,156350.0
2009-08-25,183.99,214.09,181.48,207.95,490402.0
2009-08-26,217.27,221.2,199.25,202.59,451219.0
2009-08-27,202.22,207.36,199.88,201.09,108143.0
2009-08-28,204.89,204.89,196.61,198.54,62096.0
2009-08-31,196.53,202.8,195.86,196.78,64760.0
2009-09-01,200.71,206.57,198.2,199.33,126901.0
2009-09-02,198.25,203.22,194.94,197.83,46906.0
2009-09-03,198.29,202.3,192.81,193.39,74908.0
2009-09-04,194.23,196.53,188.25,192.06,56006.0
2009-09-07,194.86,203.05,194.02,201.47,82785.0
2009-09-08,200.71,205.73,196.53,198.33,78842.0
2009-09-09,197.37,203.22,197.37,199.33,132912.0
2009-09-10,201.55,213.22,201.55,210.54,287170.0
2009-09-11,211.58,212.42,204.98,207.61,88427.0
2009-09-14,205.77,210.5,201.17,202.43,82176.0
2009-09-15,204.06,205.77,201.55,202.01,30845.0
2009-09-16,204.89,205.48,200.29,203.26,22022.0
2009-09-17,205.73,208.45,200.71,201.3,95376.0
2009-09-18,200.29,204.81,200.25,201.84,16952.0
2009-09-22,202.39,202.39,192.35,194.4,133580.0
2009-09-23,197.37,198.2,179.97,185.7,339083.0
2009-09-24,180.64,189.0,180.64,187.29,83176.0
2009-09-25,183.57,189.0,183.57,186.75,61544.0
2009-09-29,189.0,194.44,189.0,190.8,99892.0
2009-09-30,193.19,199.04,190.68,197.24,230786.0
2009-10-01,198.71,202.93,195.69,199.17,66960.0
2009-10-05,192.77,199.0,191.51,193.1,38946.0
2009-10-06,193.19,194.69,181.44,184.53,107283.0
2009-10-07,187.33,190.93,183.99,187.29,105721.0
2009-10-08,188.17,189.84,184.07,185.12,32398.0
2009-10-09,184.15,187.83,179.89,181.23,44473.0
2009-10-12,183.99,187.0,178.34,179.43,159811.0
2009-10-14,182.31,186.29,179.89,180.6,143894.0
2009-10-15,181.06,185.66,181.06,182.48,114357.0
2009-10-16,182.73,184.4,181.48,182.61,47842.0
2009-10-20,185.66,191.81,183.15,187.46,277323.0
2009-10-21,188.17,192.18,183.15,185.33,175854.0
2009-10-22,186.5,189.0,175.62,176.71,368842.0
2009-10-23,183.99,207.4,179.81,198.5,2423146.0
2009-10-26,196.53,204.81,192.39,199.37,839563.0
2009-10-27,197.37,199.04,184.32,192.47,240077.0
2009-10-28,192.35,199.79,189.34,197.16,198836.0
2009-10-29,197.16,197.16,188.34,190.51,78158.0
2009-10-30,195.65,207.4,193.23,196.66,112274.0
2009-11-03,198.2,199.04,183.19,185.66,100087.0
2009-11-04,197.37,197.37,188.17,189.42,76988.0
2009-11-05,187.33,191.85,184.03,189.09,41512.0
2009-11-06,193.27,196.11,184.95,186.24,96880.0
2009-11-09,189.84,194.86,187.0,190.05,129852.0
2009-11-10,189.42,193.98,185.07,190.63,114589.0
2009-11-11,192.77,228.77,192.77,228.77,1408630.0
2009-11-12,234.17,268.37,213.88,243.03,5665090.0
2009-11-13,234.71,245.46,231.66,233.79,819751.0
2009-11-16,234.17,250.89,234.17,238.39,1094608.0
2009-11-17,238.35,242.44,232.83,234.92,290470.0
2009-11-18,228.31,248.3,227.98,237.93,844638.0
2009-11-19,238.35,242.28,230.11,233.58,283038.0
2009-11-20,229.98,260.84,221.83,254.86,1026141.0
2009-11-23,255.16,264.27,250.89,260.42,973553.0
2009-11-24,260.01,263.18,238.76,248.84,940437.0
2009-11-25,247.55,257.25,242.53,244.07,352541.0
2009-11-26,246.21,249.97,242.53,246.83,208797.0
2009-11-27,247.55,261.68,238.35,253.9,876108.0
2009-11-30,254.24,259.25,248.63,252.56,269305.0
2009-12-01,256.24,265.78,249.47,259.71,753351.0
2009-12-02,263.44,268.2,258.0,265.11,459445.0
2009-12-03,269.29,303.29,262.72,290.78,1868278.0
2009-12-04,287.52,287.52,276.06,278.95,549098.0
2009-12-07,280.25,295.21,277.65,282.96,895293.0
