,open,high,low,close,volume
2009-05-20,9.92,11.71,9.92,11.19,151204.0
2009-05-21,11.33,12.67,11.32,11.66,164456.0
2009-05-22,12.21,12.21,11.33,11.8,124668.0
2009-05-25,11.92,11.92,11.5,11.58,93684.0
2009-05-26,11.63,12.89,11.1,11.45,274560.0
2009-05-27,11.92,12.37,11.49,11.6,69268.0
2009-05-28,11.63,12.15,11.33,11.89,75876.0
2009-05-29,12.22,12.57,11.77,12.39,297764.0
2009-06-01,12.67,12.82,12.2,12.55,269272.0
2009-06-02,12.82,12.96,12.18,12.44,138840.0
2009-06-03,13.56,14.9,12.47,13.06,379912.0
2009-06-04,13.41,14.37,13.08,14.09,355892.0
2009-06-05,14.58,15.5,13.86,14.11,563220.0
2009-06-08,14.63,15.34,13.71,14.17,1090512.0
2009-06-09,13.69,14.16,13.41,13.92,185800.0
2009-06-10,14.61,16.07,14.01,14.79,1093708.0
2009-06-11,15.2,15.93,14.76,15.21,486300.0
2009-06-12,15.65,17.42,15.65,15.9,1148672.0
2009-06-15,16.1,17.84,15.52,17.35,2076600.0
2009-06-16,17.54,18.24,16.99,17.41,1684056.0
2009-06-17,17.44,17.81,15.9,16.23,386832.0
2009-06-18,16.41,16.63,15.28,16.05,379484.0
2009-06-19,16.25,16.9,15.9,16.55,430784.0
2009-06-22,16.87,16.99,15.65,15.72,263688.0
2009-06-23,15.2,15.95,14.9,15.6,194188.0
2009-06-24,15.92,16.17,15.42,15.81,136052.0
2009-06-25,16.09,16.22,14.61,14.74,619268.0
2009-06-26,14.9,15.44,14.76,15.01,188928.0
2009-06-29,15.2,15.26,14.83,14.95,94564.0
2009-06-30,14.9,15.05,14.32,14.4,165772.0
2009-07-01,14.58,14.58,13.56,13.67,104152.0
2009-07-02,13.71,14.46,13.31,13.81,112308.0
2009-07-03,13.43,14.01,13.43,13.79,55904.0
2009-07-06,14.04,14.11,13.15,13.4,125364.0
2009-07-07,13.94,13.94,12.82,13.54,85916.0
2009-07-08,13.49,13.61,12.97,13.45,121436.0
2009-07-09,13.56,13.71,13.13,13.34,40636.0
2009-07-10,13.06,13.49,13.06,13.29,48580.0
2009-07-13,13.12,13.34,12.68,12.91,51600.0
2009-07-14,13.13,13.9,13.12,13.83,57196.0
2009-07-15,13.85,14.61,13.85,14.35,53524.0
2009-07-16,16.26,16.35,15.81,16.11,93884.0
2009-07-17,16.09,16.42,16.09,16.3,83076.0
2009-07-20,16.58,17.15,16.08,16.78,151504.0
2009-07-21,16.74,17.08,15.72,16.3,128596.0
2009-07-22,16.91,16.91,16.11,16.67,103436.0
2009-07-23,16.58,16.92,16.26,16.36,80488.0
2009-07-24,16.73,16.89,16.11,16.36,33580.0
2009-07-27,16.43,16.74,16.43,16.66,39176.0
2009-07-28,16.65,17.38,16.42,16.95,97824.0
2009-07-29,16.99,17.79,16.58,16.83,83108.0
2009-07-30,16.6,17.33,16.6,16.92,80504.0
2009-07-31,16.99,17.38,16.26,16.91,137248.0
2009-08-03,16.78,17.39,16.6,17.21,73328.0
2009-08-04,17.36,18.61,17.36,18.04,359112.0
2009-08-05,17.82,18.69,17.72,18.55,112880.0
2009-08-06,18.53,18.86,18.15,18.31,175864.0
2009-08-07,17.39,18.84,17.39,18.58,195216.0
2009-08-10,17.88,19.48,17.88,18.53,239196.0
2009-08-11,18.29,18.82,18.29,18.48,76492.0
2009-08-12,18.53,18.53,17.57,18.47,36604.0
2009-08-13,18.25,19.51,18.25,19.29,113576.0
2009-08-14,19.75,19.75,19.14,19.35,43468.0
2009-08-17,19.18,21.04,18.38,19.86,778480.0
2009-08-18,19.86,20.31,19.7,19.81,152968.0
2009-08-19,19.83,20.48,19.69,19.99,104152.0
2009-08-20,20.31,20.48,19.34,19.97,137524.0
2009-08-21,20.47,20.64,19.95,20.17,87732.0
2009-08-24,20.24,20.64,20.12,20.31,80956.0
2009-08-25,20.32,22.22,20.13,21.31,528200.0
2009-08-26,21.59,21.59,20.42,20.85,152476.0
2009-08-27,21.14,23.49,21.14,22.29,512040.0
2009-08-28,21.94,23.85,20.64,20.84,807312.0
2009-08-31,20.84,21.28,20.16,20.76,157088.0
2009-09-01,21.05,21.7,20.64,20.73,204756.0
2009-09-02,20.32,21.25,20.32,20.91,113552.0
2009-09-03,20.99,21.25,20.59,20.74,95660.0
2009-09-04,20.58,20.96,20.58,20.81,36644.0
2009-09-07,21.62,21.62,20.81,21.24,248540.0
2009-09-08,21.6,21.7,20.86,21.08,80600.0
2009-09-09,20.81,21.29,20.68,20.75,108544.0
2009-09-10,21.13,21.25,20.16,20.47,308928.0
2009-09-11,20.95,21.92,20.49,21.11,487464.0
2009-09-14,20.97,22.07,20.89,21.64,328296.0
2009-09-15,22.25,22.27,21.51,21.81,1046432.0
2009-09-16,21.94,22.38,21.21,22.08,328876.0
2009-09-17,22.25,22.46,21.16,21.36,118936.0
2009-09-18,21.16,21.54,20.84,20.96,230128.0
2009-09-22,20.85,22.11,20.85,21.46,281440.0
2009-09-23,21.62,21.91,20.69,21.02,130624.0
2009-09-24,21.29,21.43,20.83,21.07,71848.0
2009-09-25,20.64,21.85,20.64,21.03,120284.0
2009-09-29,20.98,23.37,20.97,21.31,2547264.0
2009-09-30,21.75,22.43,21.5,22.1,464744.0
2009-10-01,22.11,22.38,21.62,21.83,241136.0
2009-10-05,21.46,21.83,20.81,21.38,284608.0
2009-10-06,21.86,21.91,21.15,21.65,239012.0
2009-10-07,21.94,22.11,21.46,21.7,170332.0
2009-10-08,22.07,22.08,21.38,21.52,57352.0
2009-10-09,21.7,22.25,21.49,21.78,110380.0
2009-10-12,21.62,21.74,21.29,21.51,72300.0
2009-10-14,21.59,22.92,21.55,22.6,339472.0
2009-10-15,22.6,23.16,21.99,22.12,151524.0
2009-10-16,21.7,23.63,21.7,22.75,901204.0
2009-10-20,22.92,22.92,22.35,22.46,86728.0
2009-10-21,22.28,22.74,22.27,22.45,87404.0
2009-10-22,22.45,22.74,22.11,22.27,131844.0
2009-10-23,22.44,22.76,22.27,22.33,49940.0
