,open,high,low,close,volume
2009-05-20,13.01,13.01,12.25,12.58,63362.0
2009-05-21,12.46,13.21,12.31,12.42,90170.0
2009-05-22,12.52,14.91,12.25,14.91,752696.0
2009-05-25,15.5,17.75,14.54,16.66,963916.0
2009-05-26,18.34,18.34,16.34,16.42,1992322.0
2009-05-27,17.36,17.36,15.72,15.79,509340.0
2009-05-28,15.95,16.03,14.78,15.05,261402.0
2009-05-29,15.19,15.7,14.81,14.93,205524.0
2009-06-01,15.11,15.48,14.83,15.03,146104.0
2009-06-02,14.74,15.11,14.34,14.48,134086.0
2009-06-03,14.68,15.93,14.29,15.83,409972.0
2009-06-04,15.54,16.7,15.54,15.89,407424.0
2009-06-05,15.95,16.09,15.11,15.17,189612.0
2009-06-08,15.15,15.4,13.68,13.97,145158.0
2009-06-09,13.52,15.32,13.27,14.93,267666.0
2009-06-10,14.87,15.72,14.05,14.11,255114.0
2009-06-11,14.01,14.44,13.52,13.85,132882.0
2009-06-12,13.89,14.15,13.17,13.44,138912.0
2009-06-15,13.36,13.66,12.87,13.05,104418.0
2009-06-16,12.35,13.11,12.35,12.78,150236.0
2009-06-17,13.07,13.21,12.56,12.72,89870.0
2009-06-18,12.7,12.76,12.31,12.48,93806.0
2009-06-19,12.66,12.78,12.29,12.52,77890.0
2009-06-22,12.46,13.23,12.46,12.52,46096.0
2009-06-23,11.95,12.64,11.93,12.29,40176.0
2009-06-24,12.33,12.52,12.15,12.35,51868.0
2009-06-25,12.4,12.99,12.27,12.42,37486.0
2009-06-26,12.62,12.64,12.27,12.35,35472.0
2009-06-29,12.62,13.6,12.27,13.31,196648.0
2009-06-30,13.48,13.48,12.38,12.54,44840.0
2009-07-01,12.52,12.72,12.31,12.44,43716.0
2009-07-02,12.82,13.48,12.46,13.38,165118.0
2009-07-03,12.8,13.21,12.7,12.93,30774.0
2009-07-06,13.07,13.68,12.6,12.7,129024.0
2009-07-07,12.74,13.68,12.74,13.31,219008.0
2009-07-08,12.93,13.01,12.52,12.66,63074.0
2009-07-09,13.01,13.01,12.52,12.68,42906.0
2009-07-10,12.87,13.07,12.66,12.66,76568.0
2009-07-13,12.38,12.62,11.74,12.46,118662.0
2009-07-14,12.29,13.19,12.29,13.11,135198.0
2009-07-15,13.46,13.76,12.97,13.68,86666.0
2009-07-16,13.21,13.93,13.21,13.52,74164.0
2009-07-17,13.66,15.44,13.54,14.89,620704.0
2009-07-20,15.36,16.3,15.32,15.42,631522.0
2009-07-21,15.72,15.72,14.62,14.81,153866.0
2009-07-22,15.21,17.34,14.91,16.56,4534860.0
2009-07-23,17.15,17.52,15.83,16.07,4671024.0
2009-07-24,16.17,16.42,15.13,15.77,1390390.0
2009-07-27,15.91,16.28,15.32,15.83,1028872.0
2009-07-28,15.97,16.13,15.52,15.62,462524.0
2009-07-29,15.54,15.93,14.91,15.09,459348.0
2009-07-30,15.11,15.6,15.11,15.4,196678.0
2009-07-31,15.72,15.93,15.4,15.52,412508.0
2009-08-03,15.34,15.81,15.32,15.62,156192.0
2009-08-04,15.56,15.58,15.03,15.11,142872.0
2009-08-05,15.23,16.07,15.05,15.68,472892.0
2009-08-06,15.52,17.05,15.32,15.79,2065640.0
2009-08-07,15.56,16.11,14.76,15.27,443522.0
2009-08-10,15.52,15.7,14.6,14.72,196066.0
2009-08-11,14.74,15.03,14.74,14.91,132300.0
2009-08-12,14.05,15.81,13.56,15.19,569512.0
2009-08-13,15.44,15.93,15.34,15.81,534446.0
2009-08-14,15.83,16.07,15.46,15.54,167998.0
2009-08-17,15.12,15.54,14.82,14.96,173942.0
2009-08-18,15.1,15.72,14.92,15.43,318604.0
2009-08-19,15.27,16.16,15.27,15.46,482338.0
2009-08-20,16.05,16.05,15.17,15.31,134416.0
2009-08-21,15.27,15.99,15.21,15.64,291588.0
2009-08-24,15.93,16.53,15.72,16.01,836434.0
2009-08-25,15.76,16.71,15.76,15.97,1921140.0
2009-08-26,16.26,18.45,15.97,18.08,7182936.0
2009-08-27,18.24,18.24,17.13,17.21,1611402.0
2009-08-28,17.29,17.42,16.61,17.15,999146.0
2009-08-31,16.82,17.54,16.53,17.17,673554.0
2009-09-01,17.33,17.7,16.09,16.51,625714.0
2009-09-02,16.51,16.78,15.93,16.18,322148.0
2009-09-03,16.3,17.42,15.95,16.53,750256.0
2009-09-04,16.69,17.33,16.61,16.82,833862.0
2009-09-07,17.13,17.39,16.82,17.0,404990.0
2009-09-08,17.33,17.54,16.76,16.82,1482076.0
2009-09-09,16.92,17.48,16.71,16.76,499816.0
2009-09-10,16.9,17.13,16.45,16.69,512188.0
2009-09-11,16.63,16.88,16.3,16.49,510254.0
2009-09-14,16.28,16.8,16.09,16.55,818902.0
2009-09-15,16.63,17.75,16.53,17.21,1641384.0
2009-09-16,17.46,17.5,16.82,16.92,495298.0
2009-09-17,17.13,20.3,16.84,17.31,1032896.0
2009-09-18,17.33,17.68,16.94,17.37,1005412.0
2009-09-22,17.5,17.54,17.17,17.25,210432.0
2009-09-23,17.29,17.44,16.71,16.84,180876.0
2009-09-24,16.59,16.9,15.91,16.69,904174.0
2009-09-25,16.55,17.54,16.42,16.86,648154.0
2009-09-29,17.04,17.62,16.92,16.98,566670.0
2009-09-30,17.15,17.27,16.88,16.96,261830.0
2009-10-01,17.04,17.21,16.9,16.98,397070.0
2009-10-05,16.92,17.21,16.51,16.65,342292.0
2009-10-06,16.65,16.86,16.09,16.36,253362.0
2009-10-07,16.67,17.29,16.45,16.55,610752.0
2009-10-08,16.71,17.13,16.61,16.84,304036.0
2009-10-09,17.02,17.11,16.61,16.73,268928.0
2009-10-12,16.9,17.54,16.9,17.09,476442.0
2009-10-14,17.17,17.68,17.02,17.31,1031628.0
2009-10-15,17.46,17.58,17.25,17.35,469272.0
2009-10-16,17.42,18.1,17.33,17.58,621038.0
2009-10-20,17.72,17.93,17.23,17.48,504014.0
2009-10-21,17.54,17.72,17.42,17.52,297462.0
2009-10-22,17.35,17.54,17.29,17.44,422868.0
2009-10-23,17.44,17.7,16.94,17.02,162940.0
2009-10-26,16.98,17.13,16.53,16.67,216444.0
2009-10-27,16.59,16.86,16.14,16.32,230092.0
2009-10-28,16.09,16.71,16.09,16.53,247912.0
2009-10-29,16.3,16.63,16.22,16.36,130174.0
2009-10-30,16.55,17.5,16.34,16.63,315274.0
2009-11-03,16.71,16.92,15.5,15.74,170670.0
2009-11-04,15.76,16.59,15.76,16.51,171056.0
2009-11-05,16.32,17.06,16.32,16.76,248932.0
2009-11-06,17.54,18.36,17.13,17.29,925800.0
2009-11-09,17.54,17.54,16.86,17.09,187960.0
2009-11-10,17.13,17.72,16.84,16.98,1266940.0
2009-11-11,17.06,17.25,16.86,17.11,207060.0
2009-11-12,17.09,17.44,16.96,17.15,357454.0
2009-11-13,17.19,17.52,17.02,17.33,346884.0
2009-11-16,17.37,17.75,17.35,17.5,321722.0
2009-11-17,17.68,17.68,17.33,17.46,116566.0
2009-11-18,17.66,18.24,17.62,17.77,563706.0
2009-11-19,17.62,17.97,17.52,17.62,212696.0
2009-11-20,17.39,18.16,17.37,17.89,294654.0
2009-11-23,18.03,19.15,17.95,18.8,919880.0
2009-11-24,19.15,19.15,18.16,18.32,262266.0
2009-11-25,18.24,18.82,17.97,18.57,338574.0
2009-11-26,18.78,18.98,17.85,17.99,154640.0
2009-11-27,17.37,17.75,16.73,17.52,245984.0
2009-11-30,17.75,18.3,17.75,18.06,146904.0
2009-12-01,17.83,18.84,17.83,18.63,581738.0
2009-12-02,18.63,19.31,18.41,19.11,316214.0
2009-12-03,19.36,19.6,18.98,19.05,314696.0
2009-12-04,18.98,19.56,18.9,19.19,224050.0
2009-12-07,19.48,19.79,18.92,19.36,697532.0
2009-12-08,19.52,19.79,19.31,19.58,413320.0
2009-12-09,19.77,19.81,19.19,19.21,202974.0
2009-12-10,20.12,20.14,19.29,19.79,505930.0
2009-12-11,19.81,19.99,19.09,19.33,1407054.0
2009-12-14,19.4,20.78,19.09,19.77,824162.0
2009-12-15,20.06,20.3,19.42,19.48,185644.0
2009-12-16,19.4,20.12,19.33,19.79,270254.0
2009-12-17,19.73,20.18,19.66,19.81,127672.0
2009-12-18,19.4,20.3,19.4,19.85,169850.0
2009-12-21,19.6,19.89,19.23,19.44,181510.0
2009-12-22,19.44,19.81,18.78,19.52,190052.0
2009-12-23,19.44,19.81,18.78,19.52,190052.0
2009-12-24,19.44,19.81,18.78,19.52,190052.0
2009-12-29,19.44,19.81,18.78,19.52,190052.0
2009-12-30,19.44,19.81,18.78,19.52,190052.0
2009-12-31,19.44,19.81,18.78,19.52,190052.0
2010-01-04,21.5,23.28,21.5,22.29,877408.0
2010-01-05,22.39,23.28,22.18,22.39,508398.0
2010-01-06,22.7,23.44,21.98,22.14,402216.0
2010-01-07,22.49,22.74,22.16,22.37,478980.0
2010-01-08,22.49,23.13,21.89,22.04,366642.0
2010-01-11,22.33,22.64,21.69,21.83,170868.0
2010-01-12,19.97,22.49,19.97,21.87,431248.0
2010-01-13,21.48,22.18,21.46,21.89,108418.0
2010-01-14,22.45,23.3,22.24,22.78,400610.0
2010-01-15,23.52,23.73,22.37,23.13,520882.0
2010-01-18,23.11,24.06,23.11,23.59,4760598.0
2010-01-19,24.7,24.7,23.11,23.28,1457210.0
2010-01-20,23.5,23.65,22.95,23.15,653462.0
2010-01-21,23.11,23.11,21.93,22.16,267918.0
2010-01-22,21.54,22.04,21.25,21.89,395674.0
2010-01-25,21.87,22.2,21.27,21.5,181460.0
2010-01-27,20.72,21.54,20.32,20.96,276674.0
2010-01-28,21.46,22.02,20.24,20.39,368042.0
