,open,high,low,close,volume
2009-05-20,99.52,117.53,97.4,112.72,330885.0
2009-05-21,115.4,124.0,114.57,121.71,817090.0
2009-05-22,120.15,122.75,112.95,114.99,355470.0
2009-05-25,125.75,125.75,113.11,115.28,640115.0
2009-05-26,116.22,119.48,111.54,112.94,785785.0
2009-05-27,114.26,118.74,114.26,115.4,621440.0
2009-05-28,115.57,118.17,105.59,115.67,44415.0
2009-05-29,115.89,119.17,115.73,118.28,145660.0
2009-06-01,118.68,129.32,115.4,126.85,269060.0
2009-06-02,126.04,130.71,119.82,123.17,86560.0
2009-06-03,123.6,129.77,123.59,126.03,325750.0
2009-06-04,127.19,137.75,123.78,135.77,154805.0
2009-06-05,137.5,139.3,134.23,135.69,978405.0
2009-06-08,139.13,139.13,126.04,126.5,87465.0
2009-06-09,122.58,131.77,119.53,129.55,56900.0
2009-06-10,130.61,133.9,124.41,124.95,69600.0
2009-06-11,122.77,128.33,119.49,120.7,68560.0
2009-06-12,121.95,126.04,118.06,119.81,46355.0
2009-06-15,118.27,120.97,115.73,116.35,30535.0
2009-06-16,116.22,120.31,111.35,116.9,421190.0
2009-06-17,118.5,126.81,114.93,118.55,124030.0
2009-06-18,118.84,118.84,106.7,110.89,519405.0
2009-06-19,110.98,120.89,110.98,119.02,232845.0
2009-06-22,120.32,120.96,116.55,118.68,54645.0
2009-06-23,114.75,118.51,111.39,117.74,33335.0
2009-06-24,117.86,124.41,117.2,122.31,233130.0
2009-06-25,121.3,129.97,121.3,122.89,661780.0
2009-06-26,123.1,129.32,120.68,128.96,103285.0
2009-06-29,134.23,135.01,123.59,127.09,58805.0
2009-06-30,128.17,130.13,126.41,127.81,113435.0
2009-07-01,129.15,129.15,121.15,122.62,67040.0
2009-07-02,124.57,129.32,120.33,127.52,50245.0
2009-07-03,128.5,137.16,124.57,128.78,510805.0
2009-07-06,129.32,130.97,123.59,128.06,541355.0
2009-07-07,125.22,128.01,119.66,122.7,38785.0
2009-07-08,121.95,121.95,114.76,119.21,38180.0
2009-07-09,118.02,121.13,112.96,114.4,65485.0
2009-07-10,114.6,117.83,113.45,115.12,79230.0
