,open,high,low,close,volume
2009-05-20,5.82,6.03,5.82,5.92,25060.0
2009-05-21,5.95,6.64,5.95,6.47,51400.0
2009-05-22,6.17,6.45,5.99,6.29,10260.0
2009-05-25,6.28,6.41,6.27,6.37,4240.0
2009-05-26,6.41,7.65,6.25,7.03,263960.0
2009-05-27,7.28,7.57,6.78,7.08,25360.0
2009-05-28,6.99,7.45,6.99,7.1,50640.0
2009-05-29,7.22,7.28,6.93,7.23,26560.0
2009-06-01,7.16,7.26,7.16,7.22,21340.0
2009-06-02,7.34,8.67,7.2,8.47,103480.0
2009-06-03,8.21,8.5,8.04,8.15,14800.0
2009-06-04,8.07,8.07,7.76,7.89,1460.0
2009-06-05,7.92,8.02,7.8,7.84,4160.0
2009-06-08,7.87,8.15,7.06,7.09,17320.0
2009-06-09,7.1,7.5,7.05,7.3,15000.0
2009-06-10,7.45,7.45,7.23,7.27,8440.0
2009-06-11,7.26,7.45,6.55,7.16,2680.0
2009-06-12,7.13,7.31,6.99,7.0,8220.0
2009-06-15,6.76,8.4,6.31,8.1,122960.0
2009-06-16,8.04,8.04,7.37,7.52,32300.0
2009-06-17,7.29,7.63,7.28,7.32,12200.0
2009-06-18,7.32,7.45,7.32,7.37,4580.0
2009-06-19,7.37,7.57,7.34,7.43,3440.0
2009-06-22,11.51,11.76,11.42,11.76,2420.0
2009-06-23,11.76,11.76,11.39,11.65,1000.0
2009-06-24,11.41,11.95,11.41,11.94,19480.0
2009-06-25,11.48,11.85,11.48,11.57,1340.0
2009-06-26,11.57,11.57,10.73,10.94,51220.0
2009-06-29,10.87,11.65,9.52,10.07,109140.0
2009-06-30,10.08,10.36,9.93,10.21,16280.0
2009-07-01,10.44,10.44,10.19,10.39,9560.0
2009-07-02,10.45,10.64,10.29,10.49,4080.0
2009-07-03,11.0,11.0,10.41,10.51,720.0
2009-07-06,10.27,10.83,10.0,10.05,11260.0
2009-07-07,10.06,10.17,9.89,10.11,3360.0
2009-07-08,9.89,9.99,9.73,9.78,1220.0
2009-07-09,9.76,10.02,9.6,10.01,1060.0
2009-07-10,10.17,10.17,9.81,9.9,2180.0
2009-07-13,9.62,9.69,9.28,9.35,13300.0
2009-07-14,9.34,9.95,9.34,9.67,1240.0
2009-07-15,9.6,9.84,9.6,9.71,1160.0
2009-07-16,9.61,10.01,9.61,10.01,640.0
2009-07-17,10.08,12.01,9.61,11.29,257740.0
2009-07-20,11.48,11.65,10.85,11.08,151560.0
2009-07-21,11.39,11.39,10.87,11.24,25000.0
2009-07-22,11.2,11.37,10.92,11.2,64680.0
2009-07-23,11.2,11.2,10.74,11.03,6620.0
2009-07-24,10.74,11.16,10.74,10.94,15320.0
2009-07-27,11.11,11.35,10.96,11.11,21160.0
2009-07-28,11.09,11.37,10.98,11.08,4180.0
2009-07-29,13.06,13.06,11.43,12.1,51580.0
2009-07-30,12.13,12.41,11.61,12.32,28780.0
2009-07-31,11.76,13.44,11.76,12.96,43360.0
2009-08-03,13.07,13.44,12.88,13.21,23300.0
2009-08-04,12.76,13.53,12.76,13.44,12440.0
2009-08-05,13.15,13.65,13.14,13.59,31800.0
2009-08-06,13.09,13.71,12.6,12.77,62960.0
2009-08-07,12.68,12.79,12.18,12.37,22860.0
2009-08-10,13.07,13.72,13.07,13.56,61580.0
2009-08-11,13.27,13.68,13.27,13.49,20560.0
2009-08-12,12.88,14.24,12.88,14.01,46540.0
2009-08-13,13.5,14.49,13.5,14.02,35040.0
2009-08-14,13.33,14.49,13.33,14.33,23640.0
2009-08-17,13.82,14.47,13.82,14.02,13220.0
2009-08-18,14.02,14.19,14.0,14.1,2700.0
2009-08-19,13.84,14.0,13.18,13.32,43180.0
2009-08-20,13.63,14.04,13.38,13.99,13440.0
2009-08-21,13.25,14.24,13.25,13.59,4460.0
2009-08-24,13.72,13.91,13.57,13.65,7520.0
2009-08-25,12.69,13.91,12.69,13.85,16780.0
2009-08-26,13.44,14.0,13.44,13.94,10400.0
2009-08-27,13.98,16.15,13.98,14.17,35520.0
2009-08-28,14.17,14.47,14.17,14.22,9640.0
2009-08-31,14.28,14.28,14.02,14.19,19840.0
2009-09-01,14.02,14.82,14.02,14.64,54220.0
2009-09-02,14.78,15.21,14.25,14.51,44900.0
2009-09-03,14.0,14.84,13.63,14.77,7480.0
2009-09-04,14.71,15.49,14.51,15.18,75380.0
2009-09-07,15.77,15.77,14.8,14.86,34260.0
2009-09-08,14.82,14.82,14.52,14.58,38580.0
2009-09-09,14.51,14.84,13.46,14.62,26520.0
2009-09-10,14.64,16.8,14.49,14.69,1139260.0
2009-09-11,15.76,15.76,14.52,14.94,13560.0
2009-09-14,15.4,15.4,14.93,15.07,22400.0
2009-09-15,15.12,15.27,15.03,15.12,27060.0
2009-09-16,15.18,15.27,14.96,15.16,25260.0
2009-09-17,14.95,15.66,14.93,15.57,40000.0
2009-09-18,15.57,15.57,15.22,15.31,9540.0
2009-09-22,15.49,15.49,15.13,15.17,31840.0
2009-09-23,15.07,15.31,15.07,15.15,10860.0
2009-09-24,15.03,15.21,15.03,15.12,7940.0
2009-09-25,14.99,15.21,14.98,15.18,7480.0
2009-09-29,12.91,15.31,12.91,15.16,20540.0
2009-09-30,14.94,15.14,14.94,14.97,24220.0
2009-10-01,15.1,15.59,15.1,15.43,43940.0
2009-10-05,15.4,15.59,15.38,15.4,24640.0
2009-10-06,15.57,15.57,15.4,15.4,26060.0
2009-10-07,15.4,15.83,15.4,15.41,35020.0
2009-10-08,15.77,15.77,15.4,15.48,15760.0
2009-10-09,15.4,15.53,15.4,15.4,31440.0
2009-10-12,15.41,15.53,15.4,15.43,18680.0
2009-10-14,15.4,15.59,15.4,15.53,11220.0
2009-10-15,15.49,15.57,15.33,15.4,87640.0
2009-10-16,15.44,15.49,15.4,15.4,38520.0
2009-10-20,15.49,15.85,15.49,15.71,15500.0
2009-10-21,15.72,15.77,15.57,15.67,58760.0
2009-10-22,16.05,16.05,15.64,15.77,35120.0
2009-10-23,15.69,16.24,15.69,16.12,44860.0
2009-10-26,16.04,18.67,15.93,17.46,463760.0
2009-10-27,17.45,17.64,16.33,16.53,48360.0
2009-10-28,19.39,19.39,16.89,18.16,153720.0
2009-10-29,17.73,19.06,17.36,18.71,202460.0
2009-10-30,18.84,19.6,17.36,19.37,421140.0
2009-11-03,18.48,20.14,17.83,19.63,392320.0
2009-11-04,19.77,22.21,18.71,21.44,388560.0
2009-11-05,20.53,21.84,20.35,21.48,318560.0
2009-11-06,20.74,22.1,20.74,21.94,159040.0
2009-11-09,22.38,23.15,20.82,22.46,467980.0
2009-11-10,22.4,23.9,22.21,23.52,366540.0
2009-11-11,22.78,24.25,22.65,23.09,397020.0
2009-11-12,22.95,24.04,22.59,23.8,331340.0
2009-11-13,23.8,24.85,23.34,24.73,1030120.0
2009-11-16,24.27,25.13,23.15,23.46,181660.0
2009-11-17,23.35,23.65,22.55,22.93,52760.0
2009-11-18,22.63,23.07,22.03,22.17,27740.0
2009-11-19,21.96,22.31,21.58,21.81,29640.0
2009-11-20,21.11,22.03,21.11,21.53,27160.0
2009-11-23,21.28,21.47,21.19,21.29,17840.0
2009-11-24,21.37,21.47,21.14,21.29,11000.0
2009-11-25,21.28,21.47,21.19,21.29,36280.0
2009-11-26,20.25,21.64,20.25,20.91,8300.0
2009-11-27,21.47,24.01,19.61,20.95,34060.0
2009-11-30,20.91,21.37,20.16,20.8,6480.0
2009-12-01,21.08,21.08,20.55,20.7,12320.0
2009-12-02,20.74,21.35,20.54,20.65,14300.0
2009-12-03,20.63,20.93,20.07,20.18,58340.0
2009-12-04,20.16,20.61,20.07,20.45,54540.0
2009-12-07,20.55,20.89,19.79,19.95,26740.0
2009-12-08,19.97,20.08,19.79,19.97,12980.0
2009-12-09,20.07,20.35,19.73,20.08,14580.0
2009-12-10,20.31,20.51,19.77,19.86,17700.0
2009-12-11,20.33,20.72,19.88,20.14,36920.0
2009-12-14,20.35,20.35,19.44,19.63,23680.0
2009-12-15,19.9,19.94,19.51,19.57,19040.0
2009-12-16,19.45,19.84,19.4,19.62,9460.0
2009-12-17,19.6,19.99,19.6,19.97,6980.0
2009-12-18,19.99,20.16,19.51,19.67,33880.0
2009-12-21,19.58,19.69,19.42,19.51,4740.0
2009-12-22,19.42,19.77,19.25,19.31,32260.0
2009-12-23,19.42,19.77,19.25,19.31,32260.0
2009-12-24,19.42,19.77,19.25,19.31,32260.0
2009-12-29,19.42,19.77,19.25,19.31,32260.0
2009-12-30,19.42,19.77,19.25,19.31,32260.0
2009-12-31,19.42,19.77,19.25,19.31,32260.0
2010-01-04,20.12,20.12,19.43,19.55,66780.0
2010-01-05,19.69,19.88,19.34,19.43,54180.0
2010-01-06,19.51,19.6,19.27,19.37,28260.0
2010-01-07,19.28,19.32,19.12,19.18,151860.0
2010-01-08,19.53,19.53,18.95,19.15,66200.0
2010-01-11,19.23,19.23,18.99,19.02,40240.0
2010-01-12,19.02,19.04,18.76,18.79,306840.0
2010-01-13,18.85,20.76,18.76,19.13,165100.0
2010-01-14,19.13,20.39,19.13,20.09,73240.0
2010-01-15,20.35,21.79,20.16,20.89,147520.0
2010-01-18,21.47,21.84,21.09,21.33,99820.0
2010-01-19,21.64,21.64,20.54,20.69,47240.0
2010-01-20,20.63,21.08,20.42,20.59,35480.0
2010-01-21,20.53,20.72,19.71,20.28,50520.0
2010-01-22,19.6,20.16,19.23,19.81,49580.0
2010-01-25,19.51,20.33,19.51,19.9,20480.0
2010-01-27,19.88,20.53,19.04,19.55,67940.0
2010-01-28,19.64,20.05,19.51,19.58,58600.0
2010-01-29,18.88,20.16,18.86,19.49,47500.0
2010-02-01,19.69,20.07,19.41,19.82,22060.0
2010-02-02,20.16,20.53,19.41,19.81,20860.0
2010-02-03,19.52,19.77,19.36,19.5,31860.0
2010-02-04,19.56,19.6,18.87,19.1,9620.0
2010-02-05,18.48,19.23,18.48,19.06,34480.0
2010-02-08,19.0,19.97,18.89,19.92,126720.0
2010-02-09,20.09,20.12,19.83,20.02,25500.0
2010-02-10,19.79,21.17,19.79,20.33,97540.0
2010-02-11,20.1,20.63,19.81,20.01,48240.0
2010-02-15,19.92,20.25,19.88,19.97,15180.0
2010-02-16,19.79,19.97,19.51,19.78,11780.0
2010-02-17,19.97,20.35,19.66,19.79,22840.0
2010-02-18,19.43,19.79,19.43,19.6,23840.0
2010-02-19,19.43,19.79,19.43,19.76,12940.0
2010-02-22,19.61,19.94,19.42,19.43,2640.0
2010-02-23,19.23,19.88,19.23,19.64,336440.0
2010-02-24,19.53,19.71,19.23,19.42,52080.0
2010-02-25,19.04,19.69,19.04,19.6,143100.0
2010-02-26,19.69,19.69,19.53,19.6,44000.0
2010-03-02,19.69,19.97,19.69,19.75,8480.0
2010-03-03,19.75,20.91,19.75,20.4,175600.0
2010-03-04,20.44,20.44,20.12,20.24,7380.0
2010-03-05,20.33,20.52,20.17,20.33,21100.0
2010-03-08,20.44,20.83,20.33,20.64,68340.0
2010-03-09,20.16,20.72,20.16,20.65,46640.0
2010-03-10,20.44,20.81,20.44,20.66,8940.0
2010-03-11,20.6,20.72,20.59,20.63,14520.0
2010-03-12,20.78,20.78,20.53,20.65,13860.0
2010-03-15,20.44,20.72,19.62,20.63,28360.0
2010-03-16,20.48,20.81,20.48,20.63,21480.0
2010-03-17,20.74,21.18,20.56,21.01,3017520.0
2010-03-18,21.19,21.28,20.64,20.72,120260.0
2010-03-19,20.78,21.06,20.55,20.69,83420.0
2010-03-22,20.72,20.72,20.44,20.53,109620.0
2010-03-23,20.44,21.09,20.44,20.68,119120.0
2010-03-25,20.81,20.81,20.46,20.6,110960.0
2010-03-26,20.39,21.67,20.39,21.47,351140.0
2010-03-29,21.65,21.75,21.47,21.47,35600.0
2010-03-30,21.47,23.34,21.47,22.48,68160.0
2010-03-31,22.46,26.51,22.03,24.48,244960.0
2010-04-01,25.67,26.32,23.91,24.13,180960.0
2010-04-05,24.27,24.64,24.27,24.43,142720.0
2010-04-06,24.65,25.3,24.64,24.87,68460.0
2010-04-07,24.83,25.2,24.75,24.93,27240.0
2010-04-08,24.83,24.83,24.74,24.78,14380.0
2010-04-09,24.64,24.92,24.64,24.76,15080.0
2010-04-12,24.74,24.81,24.73,24.74,405660.0
2010-04-13,24.38,24.83,24.38,24.83,18620.0
2010-04-15,25.0,25.0,22.92,24.81,14200.0
2010-04-16,24.74,24.82,24.74,24.74,31380.0
2010-04-19,24.74,25.02,24.64,24.81,30580.0
2010-04-20,24.83,25.38,24.83,24.89,11660.0
2010-04-21,25.02,25.18,24.81,25.09,7320.0
2010-04-22,25.04,25.2,24.81,24.99,8080.0
2010-04-23,24.92,25.14,24.79,24.8,23560.0
2010-04-26,24.92,25.16,24.81,24.82,12160.0
2010-04-27,25.16,25.16,24.74,24.79,6880.0
2010-04-28,24.74,24.81,24.47,24.77,431640.0
2010-04-29,24.74,25.14,24.74,24.82,3100.0
2010-04-30,24.46,27.98,24.46,26.05,313080.0
2010-05-03,26.32,27.44,26.15,26.95,109400.0
2010-05-04,27.54,29.5,27.37,28.46,544340.0
2010-05-05,28.0,28.47,27.44,27.75,161320.0
2010-05-06,28.0,28.0,27.63,27.95,47180.0
2010-05-07,27.96,27.96,27.55,27.61,44600.0
2010-05-10,28.0,28.0,27.82,27.89,14800.0
2010-05-11,27.63,28.19,27.63,28.05,1242780.0
2010-05-12,35.11,35.59,34.87,35.0,438380.0
2010-05-13,35.22,35.34,35.08,35.21,25200.0
2010-05-14,35.21,35.3,34.99,35.03,35440.0
2010-05-17,35.2,35.22,34.83,35.13,37220.0
2010-05-18,35.01,35.22,34.9,35.08,32060.0
2010-05-19,34.99,36.18,34.76,35.01,31120.0
2010-05-20,34.78,35.45,34.78,35.13,19840.0
2010-05-21,34.08,35.08,34.08,34.99,35140.0
2010-05-24,34.99,35.33,34.8,34.89,27540.0
2010-05-25,34.52,35.01,34.52,34.86,27200.0
2010-05-26,34.59,34.99,34.52,34.81,14860.0
2010-05-27,34.99,35.22,34.87,35.09,29620.0
2010-05-28,35.53,35.53,34.99,34.99,3100.0
2010-05-31,35.11,35.57,34.83,35.36,7760.0
2010-06-01,35.57,35.92,35.27,35.67,26520.0
2010-06-02,35.92,36.13,35.69,35.74,16900.0
2010-06-03,35.57,36.13,35.57,35.93,13380.0
2010-06-04,35.97,36.72,35.81,36.21,29200.0
2010-06-07,35.83,37.79,35.83,37.02,31060.0
2010-06-08,37.32,37.55,35.74,36.02,39080.0
2010-06-09,45.16,46.32,44.58,45.52,50880.0
2010-06-10,46.25,46.9,46.18,46.46,21460.0
2010-06-11,46.61,47.04,46.61,46.75,78960.0
2010-06-14,47.08,49.16,47.08,47.82,54920.0
2010-06-15,48.34,49.22,47.77,47.95,31540.0
2010-06-16,47.48,48.64,46.32,46.74,72800.0
2010-06-17,46.64,47.19,46.35,46.88,109340.0
2010-06-18,46.96,47.02,46.36,46.89,261840.0
2010-06-21,46.9,47.62,46.41,46.9,395080.0
2010-06-22,46.47,53.47,46.47,47.31,258680.0
2010-06-23,47.78,49.03,47.78,48.62,68560.0
2010-06-24,49.21,50.08,48.64,48.83,27670.0
2010-06-25,48.93,49.16,47.48,48.51,58560.0
2010-06-28,48.46,48.93,46.39,46.89,19700.0
2010-06-29,46.44,46.9,45.28,45.87,13090.0
2010-06-30,44.88,46.03,44.01,45.24,1238600.0
2010-07-01,45.16,45.25,44.29,44.32,11730.0
2010-07-02,44.64,44.87,44.08,44.38,10950.0
2010-07-05,44.87,44.99,42.85,43.35,23810.0
2010-07-06,43.33,43.59,42.38,43.23,11660.0
2010-07-07,42.85,44.81,42.85,44.07,7230.0
2010-07-08,43.72,44.81,43.66,44.01,13730.0
2010-07-09,44.06,44.58,44.01,44.1,6750.0
2010-07-12,44.29,44.58,43.72,44.02,19600.0
2010-07-13,44.02,44.87,44.01,44.53,9390.0
2010-07-14,44.48,45.16,44.48,44.8,15170.0
2010-07-15,44.53,47.48,44.53,45.33,21460.0
2010-07-16,46.31,46.32,45.22,45.98,9750.0
2010-07-19,46.28,46.44,46.01,46.21,10880.0
2010-07-20,46.01,46.43,46.01,46.02,4670.0
2010-07-21,46.32,46.9,45.97,46.02,29870.0
2010-07-22,45.97,47.31,45.97,46.45,24780.0
2010-07-23,46.9,47.19,46.01,46.33,5990.0
2010-07-26,46.84,46.84,46.01,46.01,9960.0
2010-07-27,46.03,46.61,45.97,46.02,2010.0
2010-07-28,46.01,46.55,46.01,46.01,19990.0
2010-07-29,46.61,47.19,46.1,46.69,86590.0
2010-07-30,46.01,47.77,46.01,47.07,56190.0
2010-08-02,47.76,49.1,47.48,47.64,77060.0
2010-08-03,47.42,48.12,47.02,47.63,31440.0
2010-08-04,47.2,47.48,46.21,46.43,11740.0
2010-08-05,46.52,47.45,46.52,46.96,74240.0
2010-08-06,47.48,53.56,46.9,47.79,93820.0
2010-08-09,48.63,49.79,47.13,48.07,69610.0
2010-08-10,48.37,48.81,48.23,48.59,164420.0
2010-08-11,48.37,48.92,48.35,48.37,61860.0
2010-08-12,48.92,48.92,48.37,48.37,25710.0
2010-08-13,48.38,48.75,48.06,48.14,40540.0
2010-08-16,48.35,48.51,46.9,47.22,17510.0
2010-08-17,47.36,48.06,47.13,47.37,87110.0
2010-08-18,48.06,48.17,47.48,47.92,179540.0
2010-08-19,48.06,49.22,47.72,48.57,47950.0
2010-08-20,48.92,49.8,47.66,47.85,7340.0
2010-08-23,48.06,48.87,47.59,47.84,8960.0
2010-08-24,47.77,48.63,46.9,47.07,12990.0
2010-08-25,47.42,47.48,45.8,46.27,15480.0
2010-08-26,46.03,47.85,46.03,47.21,57760.0
2010-08-27,46.9,47.19,46.32,46.96,365850.0
2010-08-30,45.74,47.54,45.74,47.27,17890.0
2010-08-31,46.96,47.19,44.99,46.05,180100.0
2010-09-01,46.9,46.9,45.8,46.4,2860.0
2010-09-02,47.13,47.13,46.1,46.41,6820.0
2010-09-03,47.19,47.48,45.74,46.11,8390.0
2010-09-06,46.49,46.49,45.68,46.04,15820.0
2010-09-07,46.61,47.17,46.32,46.58,17540.0
2010-09-08,46.55,48.12,46.55,47.88,329930.0
2010-09-09,47.83,48.65,47.02,47.24,26940.0
2010-09-13,47.51,48.27,47.48,47.62,22620.0
2010-09-14,48.23,48.35,47.77,48.03,39620.0
2010-09-15,47.25,50.66,47.25,49.75,120610.0
2010-09-16,49.44,50.37,48.39,48.69,85220.0
2010-09-17,49.56,50.37,48.75,50.02,39600.0
2010-09-20,50.37,52.08,50.06,51.41,107980.0
2010-09-21,52.0,52.0,50.18,51.22,64100.0
2010-09-22,50.67,53.56,50.37,53.36,155360.0
2010-09-23,53.85,54.14,52.69,53.78,67800.0
2010-09-24,54.08,54.95,53.27,54.57,43410.0
2010-09-27,54.43,55.59,53.39,53.85,66580.0
2010-09-28,54.71,55.47,53.96,54.62,115850.0
2010-09-29,55.57,55.57,52.69,53.87,17370.0
2010-09-30,54.95,61.61,53.27,58.51,119190.0
2010-10-01,59.35,60.79,58.19,58.7,125010.0
2010-10-04,59.93,61.38,59.09,59.42,31620.0
2010-10-05,59.06,60.04,58.02,58.93,23140.0
2010-10-06,58.42,60.16,58.42,59.09,10680.0
2010-10-07,60.28,60.28,58.5,58.92,11720.0
2010-10-08,60.16,60.16,58.77,58.8,9340.0
2010-10-11,59.35,60.68,58.77,58.98,19110.0
2010-10-12,59.0,59.0,58.13,58.3,87900.0
