,open,high,low,close,volume
2009-05-20,3.81,4.11,3.81,3.98,1058911.0
2009-05-21,4.0,4.13,3.95,3.98,2008818.0
2009-05-22,3.95,4.08,3.83,3.96,393907.0
2009-05-25,3.98,4.07,3.98,4.01,303177.0
2009-05-26,4.01,4.1,3.81,3.89,459729.0
2009-05-27,3.96,4.07,3.93,3.99,2420750.0
2009-05-28,4.01,4.21,4.0,4.1,987049.0
2009-05-29,4.12,4.33,4.11,4.23,3062240.0
2009-06-01,4.35,4.47,4.31,4.42,2036656.0
2009-06-02,4.46,4.54,4.27,4.33,314737.0
2009-06-03,4.39,4.4,4.06,4.15,701887.0
2009-06-04,4.14,4.25,4.1,4.2,367253.0
2009-06-05,4.2,4.31,4.2,4.23,2948173.0
2009-06-08,4.16,4.27,4.01,4.05,274746.0
2009-06-09,4.01,4.07,3.95,4.03,197021.0
2009-06-10,4.14,4.27,4.03,4.16,397919.0
2009-06-11,4.16,4.25,4.12,4.19,316982.0
2009-06-12,4.21,4.25,4.15,4.16,377264.0
2009-06-15,4.11,4.23,4.11,4.18,205077.0
2009-06-16,4.11,4.22,4.05,4.09,647395.0
2009-06-17,4.11,4.13,3.96,3.98,467069.0
2009-06-18,4.03,4.03,3.83,3.87,415841.0
2009-06-19,3.93,3.96,3.84,3.88,256451.0
2009-06-22,3.9,3.93,3.83,3.86,178601.0
2009-06-23,3.78,3.99,3.78,3.88,226959.0
2009-06-24,3.96,3.96,3.86,3.87,272740.0
2009-06-25,3.88,3.96,3.86,3.87,193341.0
2009-06-26,3.93,4.0,3.79,3.81,1319593.0
2009-06-29,3.88,3.88,3.8,3.83,1015355.0
2009-06-30,3.85,3.89,3.75,3.77,400591.0
2009-07-01,3.82,3.85,3.77,3.8,535074.0
2009-07-02,3.83,3.83,3.79,3.81,489449.0
2009-07-03,3.85,3.85,3.76,3.78,472911.0
2009-07-06,3.84,3.85,3.67,3.68,395477.0
2009-07-07,3.73,3.81,3.65,3.67,541997.0
2009-07-08,3.72,3.75,3.6,3.63,666771.0
2009-07-09,3.64,3.75,3.59,3.73,9184465.0
2009-07-10,3.81,3.97,3.77,3.85,1238520.0
2009-07-13,3.81,3.87,3.71,3.8,758801.0
2009-07-14,6.61,6.64,6.48,6.54,647582.0
2009-07-15,6.54,6.66,6.48,6.62,526862.0
2009-07-16,6.63,6.73,6.57,6.59,360985.0
2009-07-17,6.61,6.75,6.57,6.69,332928.0
2009-07-20,6.71,6.87,6.69,6.85,371308.0
2009-07-21,6.83,7.03,6.71,6.99,459376.0
2009-07-22,7.04,7.16,6.95,7.09,589857.0
2009-07-23,7.14,7.52,7.07,7.38,800787.0
2009-07-24,7.47,7.54,7.2,7.26,606042.0
2009-07-27,7.45,7.45,7.24,7.29,248270.0
2009-07-28,7.33,7.74,7.23,7.67,2815364.0
2009-07-29,7.59,7.86,7.4,7.48,496290.0
2009-07-30,7.35,7.73,7.31,7.6,451954.0
2009-07-31,7.73,7.76,7.51,7.67,710494.0
2009-08-03,7.71,7.71,7.43,7.49,688986.0
2009-08-04,7.57,7.76,7.52,7.67,507818.0
2009-08-05,7.66,7.76,7.57,7.62,232438.0
2009-08-06,7.63,7.67,7.5,7.53,469137.0
2009-08-07,7.52,7.54,7.28,7.33,229277.0
2009-08-10,7.51,7.51,7.28,7.37,375601.0
2009-08-11,7.28,7.4,7.28,7.31,120710.0
2009-08-12,7.33,7.38,7.22,7.32,138714.0
2009-08-13,7.39,7.47,7.31,7.34,305994.0
2009-08-14,7.47,7.51,7.33,7.35,215441.0
2009-08-17,7.05,7.35,7.05,7.16,333646.0
2009-08-18,7.19,7.21,7.05,7.1,300215.0
2009-08-19,7.16,7.16,7.05,7.08,123849.0
2009-08-20,7.16,7.27,7.09,7.21,117071.0
2009-08-21,7.16,7.21,7.09,7.14,71291.0
2009-08-24,7.28,7.3,7.17,7.21,136375.0
2009-08-25,7.21,7.27,7.19,7.24,125533.0
2009-08-26,7.2,7.31,7.2,7.24,266264.0
2009-08-27,7.27,7.3,7.09,7.15,166106.0
2009-08-28,7.16,7.21,7.08,7.16,393626.0
2009-08-31,7.14,7.94,7.14,7.69,2104714.0
2009-09-01,7.69,7.86,7.5,7.54,1139848.0
2009-09-02,7.52,7.69,7.4,7.48,735338.0
2009-09-03,7.64,7.71,7.29,7.35,705057.0
2009-09-04,7.45,7.54,7.37,7.46,190493.0
2009-09-07,7.48,7.57,7.33,7.4,716398.0
2009-09-08,7.43,8.02,7.42,7.72,1840737.0
2009-09-09,7.74,7.82,7.55,7.67,537725.0
2009-09-10,7.66,7.86,7.66,7.75,642031.0
2009-09-11,7.83,7.86,7.55,7.58,810766.0
2009-09-14,7.57,7.64,7.4,7.45,594577.0
2009-09-15,7.64,7.81,7.52,7.6,1950885.0
2009-09-16,7.64,7.83,7.64,7.68,819997.0
2009-09-17,7.72,7.77,7.6,7.63,463316.0
2009-09-18,7.61,7.69,7.57,7.61,516113.0
2009-09-22,7.76,7.76,7.61,7.63,603693.0
2009-09-23,7.63,7.69,7.5,7.58,294757.0
2009-09-24,7.45,7.88,7.45,7.75,4728109.0
2009-09-25,7.62,8.07,7.54,7.86,1370789.0
2009-09-29,7.93,8.08,7.86,7.93,652166.0
2009-09-30,8.02,8.45,8.0,8.39,4263067.0
2009-10-01,8.54,8.64,8.24,8.3,1758760.0
2009-10-05,8.24,8.55,8.1,8.36,1800372.0
2009-10-06,8.51,8.72,8.24,8.7,3978061.0
2009-10-07,8.81,9.03,8.67,8.74,2480980.0
2009-10-08,8.77,8.88,8.76,8.84,823916.0
2009-10-09,8.72,8.93,8.62,8.65,562486.0
2009-10-12,8.71,8.83,8.6,8.78,395414.0
2009-10-14,8.83,9.12,8.83,9.04,1423015.0
2009-10-15,9.28,9.28,8.95,9.03,770391.0
2009-10-16,9.03,9.12,8.63,8.89,854499.0
2009-10-20,9.05,9.65,8.99,9.47,3335334.0
2009-10-21,9.62,9.79,9.2,9.31,3133562.0
2009-10-22,9.31,9.4,9.03,9.14,1004211.0
2009-10-23,9.29,9.46,9.19,9.27,1416414.0
2009-10-26,9.46,9.67,9.08,9.12,839665.0
2009-10-27,9.07,9.07,8.65,8.76,686949.0
2009-10-28,8.6,9.14,8.42,9.08,1165733.0
2009-10-29,8.95,9.03,8.76,8.95,649349.0
2009-10-30,9.29,9.42,9.08,9.29,2138114.0
2009-11-03,9.21,9.53,8.55,8.79,1966000.0
2009-11-04,8.83,8.91,8.65,8.88,448419.0
2009-11-05,8.83,9.0,8.76,8.96,331421.0
2009-11-06,9.07,9.17,9.0,9.05,491248.0
2009-11-09,8.98,9.18,8.98,9.15,297533.0
2009-11-10,9.17,9.24,9.05,9.07,308094.0
2009-11-11,9.07,9.11,9.01,9.06,286961.0
2009-11-12,9.16,9.16,9.03,9.08,131562.0
2009-11-13,9.07,9.14,9.03,9.09,178569.0
2009-11-16,9.05,9.19,9.04,9.07,212125.0
2009-11-17,9.11,9.14,9.05,9.11,185524.0
2009-11-18,9.17,9.22,9.07,9.1,272761.0
2009-11-19,9.19,9.21,8.98,9.04,320548.0
2009-11-20,9.0,9.09,8.93,9.07,274091.0
2009-11-23,9.1,9.17,8.88,9.07,359935.0
2009-11-24,9.07,9.07,8.93,8.95,195524.0
2009-11-25,8.98,9.1,8.93,8.96,216512.0
2009-11-26,8.84,9.04,8.84,8.91,191875.0
2009-11-27,8.83,8.88,8.31,8.72,833688.0
2009-11-30,8.71,9.07,8.71,8.96,421600.0
2009-12-01,8.96,8.96,8.85,8.9,295162.0
2009-12-02,8.93,9.4,8.92,9.23,3369492.0
2009-12-03,9.31,9.37,9.17,9.2,450613.0
2009-12-04,9.19,9.19,9.0,9.05,312283.0
2009-12-07,9.19,9.24,9.1,9.14,653466.0
2009-12-08,9.17,9.26,9.07,9.17,525271.0
2009-12-09,9.19,9.19,9.09,9.11,201377.0
2009-12-10,9.05,9.19,9.05,9.14,492901.0
2009-12-11,9.22,9.26,9.13,9.17,204121.0
2009-12-14,9.1,9.22,8.91,8.95,555989.0
2009-12-15,8.98,9.0,8.73,8.78,205680.0
2009-12-16,8.76,8.76,8.51,8.62,362108.0
2009-12-17,8.5,8.95,8.5,8.89,384551.0
2009-12-18,8.88,9.02,8.77,8.83,201044.0
2009-12-21,8.91,8.91,8.71,8.79,170794.0
2009-12-22,8.9,8.9,8.7,8.73,351193.0
2009-12-23,8.9,8.9,8.7,8.73,351193.0
2009-12-24,8.9,8.9,8.7,8.73,351193.0
2009-12-29,8.9,8.9,8.7,8.73,351193.0
2009-12-30,8.9,8.9,8.7,8.73,351193.0
2009-12-31,8.9,8.9,8.7,8.73,351193.0
2010-01-04,9.48,9.74,9.48,9.54,661189.0
2010-01-05,9.62,9.71,9.38,9.42,336775.0
2010-01-06,9.5,9.53,9.22,9.29,389946.0
2010-01-07,9.34,9.38,9.2,9.27,278769.0
2010-01-08,9.24,9.37,9.23,9.26,146812.0
2010-01-11,9.29,9.43,9.26,9.38,235920.0
2010-01-12,9.41,9.41,9.24,9.31,205119.0
2010-01-13,9.12,9.53,9.12,9.37,448482.0
2010-01-14,9.34,9.48,9.34,9.43,118204.0
2010-01-15,9.45,9.91,9.39,9.74,1417505.0
2010-01-18,9.67,10.0,9.62,9.89,829031.0
2010-01-19,9.8,10.09,9.8,10.02,803386.0
2010-01-20,10.08,10.24,9.91,9.99,703280.0
2010-01-21,10.03,10.15,9.72,10.03,3633687.0
2010-01-22,9.82,9.96,9.44,9.83,630118.0
2010-01-25,9.77,9.88,9.71,9.83,235390.0
2010-01-27,9.77,9.88,9.49,9.54,385497.0
2010-01-28,9.6,9.74,9.55,9.59,349748.0
2010-01-29,9.57,9.72,9.34,9.55,711367.0
2010-02-01,9.55,9.79,9.49,9.57,373210.0
2010-02-02,9.67,9.67,9.38,9.43,224350.0
2010-02-03,9.48,9.6,9.48,9.52,176667.0
2010-02-04,9.55,9.62,9.2,9.27,268738.0
2010-02-05,9.26,9.26,8.96,9.15,255515.0
2010-02-08,9.19,9.29,9.13,9.2,163548.0
2010-02-09,9.23,9.33,9.12,9.21,254101.0
2010-02-10,9.17,9.36,9.12,9.17,159484.0
2010-02-11,9.24,9.51,9.2,9.45,255411.0
2010-02-15,9.5,9.54,9.26,9.33,129930.0
2010-02-16,9.46,9.46,9.28,9.34,146500.0
2010-02-17,9.43,9.45,9.26,9.29,113183.0
2010-02-18,9.32,9.39,9.23,9.25,98173.0
2010-02-19,9.31,9.33,9.17,9.27,111177.0
2010-02-22,9.34,9.34,9.19,9.22,829488.0
2010-02-23,9.27,9.27,9.15,9.18,119597.0
2010-02-24,9.17,9.25,9.08,9.14,123818.0
2010-02-25,9.19,9.24,9.08,9.17,877795.0
2010-02-26,9.18,9.48,9.14,9.35,277990.0
2010-03-02,9.41,9.67,9.41,9.55,491237.0
2010-03-03,9.55,9.66,9.48,9.58,313780.0
2010-03-04,9.53,9.98,9.53,9.85,610855.0
2010-03-05,9.92,10.05,9.72,9.95,512693.0
2010-03-08,10.1,10.1,9.92,9.96,678955.0
2010-03-09,9.91,10.15,9.84,10.12,1650671.0
2010-03-10,10.05,10.22,10.03,10.21,864427.0
2010-03-11,10.16,10.39,10.15,10.33,573006.0
2010-03-12,10.29,10.5,10.27,10.45,807773.0
2010-03-15,10.57,10.57,10.27,10.38,541634.0
2010-03-16,10.39,10.82,10.39,10.63,3027323.0
2010-03-17,10.72,10.77,10.53,10.66,2691120.0
2010-03-18,10.63,10.72,10.56,10.65,3144789.0
2010-03-19,10.65,10.68,10.43,10.53,2615536.0
2010-03-22,10.5,10.5,10.31,10.37,2062010.0
2010-03-23,10.46,10.72,10.36,10.68,3491085.0
2010-03-25,10.65,10.81,10.6,10.74,3678740.0
2010-03-26,10.82,10.82,10.7,10.71,3959568.0
2010-03-29,10.98,10.98,10.77,10.85,4380596.0
2010-03-30,10.94,11.08,10.71,11.01,3141951.0
2010-03-31,11.1,11.17,10.94,10.99,434625.0
2010-04-01,11.05,11.17,11.03,11.11,502849.0
2010-04-05,11.2,11.25,11.11,11.22,493119.0
2010-04-06,11.23,11.41,11.23,11.35,675108.0
2010-04-07,11.34,11.53,11.34,11.44,369010.0
2010-04-08,11.5,11.5,11.03,11.14,464511.0
2010-04-09,10.98,11.39,10.98,11.16,306961.0
2010-04-12,11.34,11.34,11.1,11.2,186200.0
2010-04-13,11.34,11.34,11.13,11.21,225566.0
2010-04-15,11.22,11.29,11.17,11.24,206709.0
2010-04-16,11.14,11.22,11.12,11.13,148995.0
2010-04-19,11.13,11.13,10.86,11.01,163548.0
2010-04-20,11.02,11.17,11.02,11.04,109763.0
2010-04-21,11.01,11.13,10.94,10.98,179474.0
2010-04-22,11.01,11.03,10.91,10.95,245962.0
2010-04-23,10.96,10.98,10.84,10.87,289216.0
2010-04-26,11.08,11.29,10.82,10.98,295817.0
2010-04-27,10.98,11.07,10.9,10.93,476258.0
