,open,high,low,close,volume
2009-05-20,51.76,59.92,51.76,59.92,495225.0
2009-05-21,59.87,62.92,57.72,59.42,708985.0
2009-05-22,58.86,61.64,56.45,58.81,447505.0
2009-05-25,57.25,60.84,56.51,57.77,618730.0
2009-05-26,55.87,60.67,55.87,59.65,1102235.0
2009-05-27,58.25,62.63,58.25,62.53,279695.0
2009-05-28,63.05,63.99,61.58,62.75,394540.0
2009-05-29,60.54,65.87,60.54,65.1,510265.0
2009-06-01,64.77,68.35,64.77,67.56,531275.0
2009-06-02,68.96,68.96,64.62,65.27,521325.0
2009-06-03,63.68,67.24,63.68,65.79,312475.0
2009-06-04,64.15,67.13,64.15,66.77,185505.0
2009-06-05,64.66,67.54,64.3,64.64,164555.0
2009-06-08,64.3,65.08,61.41,61.77,184220.0
2009-06-09,58.81,63.05,58.81,60.66,224260.0
2009-06-10,58.05,63.52,58.05,61.54,31015.0
2009-06-11,59.8,62.08,59.23,59.6,359405.0
2009-06-12,59.13,61.48,57.42,58.19,321770.0
2009-06-15,56.48,58.03,55.38,56.92,409205.0
2009-06-16,54.28,58.81,54.28,56.56,447800.0
2009-06-17,53.81,58.34,53.81,58.03,396120.0
2009-06-18,59.21,62.03,58.87,60.37,75325.0
2009-06-19,57.37,63.25,57.37,62.61,46640.0
2009-06-22,63.58,65.74,61.39,61.47,306590.0
2009-06-23,58.55,64.55,58.55,64.02,326575.0
2009-06-24,66.42,67.22,64.98,67.22,392900.0
2009-06-25,66.95,69.63,65.99,67.29,83495.0
2009-06-26,68.29,68.96,65.98,67.3,46710.0
2009-06-29,67.31,70.14,67.31,69.02,56190.0
2009-06-30,70.48,70.56,67.45,68.54,62810.0
2009-07-01,68.04,70.31,66.44,69.18,47760.0
2009-07-02,67.48,69.8,67.48,69.41,21915.0
2009-07-03,67.48,70.23,67.48,69.86,775865.0
2009-07-06,69.47,71.49,66.44,66.55,43165.0
2009-07-07,59.04,69.43,59.04,67.67,550295.0
2009-07-08,67.64,69.81,63.11,65.28,72135.0
2009-07-09,65.28,65.94,63.5,64.33,12560.0
2009-07-10,62.16,69.81,62.16,65.01,61230.0
2009-07-13,63.75,68.96,59.9,65.89,74180.0
2009-07-14,66.63,68.62,65.31,66.63,33310.0
2009-07-15,62.24,69.69,62.24,66.79,367615.0
2009-07-16,69.05,69.25,64.76,66.99,592310.0
2009-07-17,64.59,69.67,64.59,68.06,134030.0
2009-07-20,65.94,73.12,65.94,70.9,155280.0
2009-07-21,70.9,71.32,68.64,69.62,75020.0
2009-07-22,67.37,71.49,56.35,71.18,161630.0
2009-07-23,68.46,79.06,68.46,77.71,590295.0
2009-07-24,79.28,84.76,77.88,80.99,402315.0
2009-07-27,78.22,81.92,77.12,77.95,142430.0
2009-07-28,74.94,80.23,74.94,77.44,207045.0
2009-07-29,77.71,80.73,76.53,77.29,159310.0
2009-07-30,77.48,78.55,76.53,77.63,50930.0
2009-07-31,78.32,79.9,77.37,78.56,186205.0
2009-08-03,78.3,83.56,75.72,81.28,115410.0
2009-08-04,83.09,83.09,80.4,80.6,34405.0
2009-08-05,81.57,81.57,77.81,78.76,32670.0
2009-08-06,71.49,79.06,71.49,76.26,44295.0
2009-08-07,75.69,77.69,75.21,76.25,41630.0
2009-08-10,76.07,78.38,71.84,74.14,42290.0
2009-08-11,69.97,82.21,69.97,73.93,65115.0
2009-08-12,74.24,83.22,71.66,79.59,74205.0
2009-08-13,75.7,80.74,75.7,78.15,741150.0
2009-08-14,76.7,79.73,76.19,76.79,29945.0
2009-08-17,76.06,80.74,71.83,77.53,119800.0
2009-08-18,76.53,79.39,75.86,77.0,319790.0
2009-08-19,76.37,77.88,74.2,75.4,84920.0
2009-08-20,75.7,79.39,75.69,77.74,91520.0
2009-08-21,74.18,81.59,74.18,80.14,71065.0
2009-08-24,78.38,82.42,78.38,80.93,523380.0
2009-08-25,79.06,82.76,79.06,80.87,252125.0
2009-08-26,79.9,84.07,79.9,82.86,85395.0
2009-08-27,83.93,83.93,81.59,83.03,137510.0
2009-08-28,77.04,92.5,77.04,90.4,1598355.0
2009-08-31,88.31,93.52,88.31,90.37,393845.0
2009-09-01,84.1,93.35,84.1,89.19,143960.0
2009-09-02,85.62,90.83,85.62,89.5,1112210.0
2009-09-03,88.61,90.82,86.16,86.96,106825.0
2009-09-04,84.44,90.33,84.44,87.11,162610.0
2009-09-07,88.48,89.82,87.48,88.89,258900.0
2009-09-08,89.15,91.66,85.78,90.76,581960.0
2009-09-09,87.47,90.8,86.34,87.3,128690.0
2009-09-10,87.47,89.13,86.21,87.74,352200.0
2009-09-11,89.15,89.48,85.11,85.73,84045.0
2009-09-14,87.8,89.99,83.26,85.72,434685.0
2009-09-15,81.12,88.13,81.12,87.5,51725.0
2009-09-16,87.0,88.98,87.0,88.57,51140.0
2009-09-17,84.54,89.99,84.54,87.86,496395.0
2009-09-18,85.98,94.19,85.78,90.67,87420.0
2009-09-22,91.18,93.35,91.18,92.9,102655.0
2009-09-23,89.48,92.51,89.48,91.33,39735.0
2009-09-24,85.45,89.99,85.45,89.29,45855.0
2009-09-25,86.63,90.32,85.95,86.95,31250.0
2009-09-29,88.28,89.47,87.13,87.63,30810.0
2009-09-30,85.81,101.51,85.81,96.16,87865.0
2009-10-01,95.3,98.4,92.89,94.19,80580.0
2009-10-05,92.85,93.52,87.51,88.26,90045.0
2009-10-06,90.83,91.67,88.31,90.01,67155.0
2009-10-07,87.13,96.72,87.13,93.36,137140.0
2009-10-08,85.96,95.54,85.96,94.36,485690.0
2009-10-09,91.84,96.04,91.84,95.52,433755.0
2009-10-12,92.56,96.55,92.56,95.07,28495.0
2009-10-14,93.86,99.24,93.86,97.26,99350.0
2009-10-15,96.04,99.41,95.88,97.55,97210.0
2009-10-16,97.55,98.34,95.9,97.56,51560.0
2009-10-20,88.69,99.07,88.69,98.26,64615.0
2009-10-21,96.38,100.92,96.38,99.27,41830.0
2009-10-22,98.75,104.62,95.68,96.47,292400.0
2009-10-23,97.56,102.44,97.56,100.11,92465.0
2009-10-26,98.4,100.26,96.69,97.72,36290.0
2009-10-27,92.53,103.45,92.53,98.85,321715.0
2009-10-28,97.14,100.56,97.14,98.9,323010.0
2009-10-29,97.56,98.23,93.9,94.72,51520.0
2009-10-30,95.88,100.38,92.51,93.03,271815.0
2009-11-03,93.29,95.87,86.79,90.69,115090.0
2009-11-04,91.97,92.01,88.39,91.4,60640.0
2009-11-05,91.4,93.32,89.99,91.4,80755.0
2009-11-06,91.67,93.99,88.4,89.6,77170.0
2009-11-09,92.5,92.5,89.99,90.75,254050.0
2009-11-10,92.34,93.35,90.01,90.33,180305.0
2009-11-11,89.17,92.18,89.17,91.18,87995.0
2009-11-12,91.23,91.79,89.32,89.64,50525.0
2009-11-13,90.16,90.16,87.63,88.05,133100.0
2009-11-16,88.98,92.01,87.63,89.27,224660.0
2009-11-17,89.65,91.13,89.15,89.4,70665.0
2009-11-18,89.4,89.65,88.53,89.06,28860.0
2009-11-19,88.33,91.84,88.33,90.94,267355.0
2009-11-20,91.34,94.19,87.47,93.03,146065.0
2009-11-23,92.18,95.54,92.18,94.62,603965.0
2009-11-24,92.89,97.39,92.89,95.79,70670.0
2009-11-25,93.35,100.91,93.35,99.94,632955.0
2009-11-26,99.42,100.25,95.88,96.33,42920.0
2009-11-27,94.19,100.08,89.77,94.86,200820.0
2009-11-30,95.09,97.56,93.59,94.77,82975.0
2009-12-01,93.35,98.4,93.35,95.93,350105.0
2009-12-02,96.21,97.56,95.44,96.04,100285.0
2009-12-03,95.23,96.7,93.35,95.0,62000.0
2009-12-04,96.21,100.07,93.71,97.46,62025.0
