,open,high,low,close,volume
2009-05-20,7.27,7.27,7.21,7.27,28450.0
2009-05-21,8.0,8.0,8.0,8.0,118580.0
2009-05-22,8.4,8.4,8.05,8.4,83045.0
2009-05-25,8.72,8.83,8.45,8.82,503270.0
2009-05-26,9.26,9.26,8.89,9.09,664975.0
2009-05-27,9.34,9.53,9.0,9.39,168510.0
2009-05-28,9.82,9.86,9.01,9.71,130310.0
2009-05-29,10.14,10.2,9.83,10.2,104540.0
2009-06-01,10.71,10.71,10.71,10.71,52530.0
2009-06-02,11.25,11.25,10.45,10.9,176030.0
2009-06-03,11.32,11.44,11.04,11.41,235005.0
2009-06-04,11.41,11.72,10.87,11.17,270580.0
2009-06-05,11.57,11.72,11.19,11.48,193440.0
2009-06-08,11.18,11.65,10.91,10.91,106825.0
2009-06-09,10.87,10.87,10.36,10.57,139465.0
2009-06-10,10.77,11.0,10.06,10.19,66420.0
2009-06-11,10.06,10.09,9.69,9.73,49345.0
2009-06-12,9.95,9.95,9.25,9.25,26015.0
2009-06-15,8.79,9.0,8.79,8.79,16180.0
2009-06-16,8.72,9.74,8.36,9.74,27840.0
2009-06-17,9.5,9.74,8.79,9.74,48040.0
2009-06-18,8.86,8.91,8.62,8.69,32590.0
2009-06-19,8.7,8.95,8.45,8.79,10800.0
2009-06-22,9.13,9.13,8.45,8.45,12545.0
2009-06-23,8.46,8.86,8.45,8.45,25145.0
2009-06-24,8.51,9.21,8.51,8.51,38865.0
2009-06-25,9.13,9.74,9.13,9.74,70870.0
2009-06-26,9.78,9.78,9.41,9.78,171625.0
2009-06-29,10.15,10.22,9.74,9.74,131265.0
2009-06-30,10.09,10.16,9.47,9.74,91820.0
2009-07-01,9.07,9.74,9.07,9.74,163610.0
2009-07-02,9.54,9.83,9.54,9.74,123665.0
2009-07-03,10.22,10.22,9.54,9.74,41365.0
2009-07-06,9.34,10.22,9.34,9.77,75850.0
2009-07-07,9.54,9.74,9.2,9.74,36625.0
2009-07-08,9.54,9.74,8.87,9.74,31075.0
2009-07-09,9.13,9.13,8.83,8.83,31205.0
2009-07-10,8.87,9.13,8.59,8.79,17945.0
2009-07-13,8.86,9.16,8.86,8.86,140960.0
2009-07-14,9.54,9.74,9.37,9.74,52565.0
2009-07-15,10.02,10.07,9.74,9.74,28845.0
2009-07-16,10.54,10.58,9.74,9.74,199470.0
2009-07-17,11.09,11.09,10.24,10.62,102665.0
2009-07-20,10.91,10.91,10.31,10.48,61340.0
2009-07-21,10.77,10.95,10.36,10.91,101040.0
2009-07-22,10.91,11.11,10.65,10.9,122720.0
2009-07-23,10.63,11.02,10.63,10.91,31435.0
2009-07-24,10.9,10.91,10.51,10.9,35145.0
2009-07-27,10.94,10.94,10.63,10.69,78775.0
2009-07-28,10.91,10.97,10.71,10.84,61240.0
2009-07-29,10.77,11.04,10.37,10.91,74835.0
2009-07-30,10.57,11.35,10.57,11.35,155335.0
2009-07-31,11.72,11.72,10.8,11.04,238535.0
2009-08-03,11.45,11.45,10.7,11.3,99795.0
2009-08-04,11.08,11.5,11.08,11.23,119645.0
2009-08-05,11.07,11.85,11.07,11.85,319700.0
2009-08-06,12.0,12.44,11.79,12.01,315415.0
2009-08-07,12.13,12.24,11.55,11.59,56900.0
2009-08-10,11.52,11.59,11.14,11.36,65075.0
2009-08-11,11.72,11.72,11.05,11.23,40300.0
2009-08-12,11.25,11.31,10.71,10.97,28550.0
2009-08-13,11.54,11.57,11.04,11.57,107300.0
2009-08-14,11.72,12.15,11.25,12.0,98885.0
2009-08-17,12.27,12.27,11.55,11.66,64715.0
2009-08-18,11.66,11.66,11.66,11.66,0.0
2009-08-19,11.73,12.27,11.59,12.06,70565.0
2009-08-20,12.26,12.59,11.73,12.59,244405.0
2009-08-21,13.21,13.22,12.77,13.14,350320.0
2009-08-24,13.63,13.8,13.5,13.8,261410.0
2009-08-25,13.92,14.3,13.64,13.89,166565.0
2009-08-26,13.89,14.44,13.5,14.1,342030.0
2009-08-27,14.16,14.18,13.63,13.78,83075.0
2009-08-28,13.84,14.03,13.09,13.73,171110.0
2009-08-31,14.03,14.42,13.84,14.42,121900.0
2009-09-01,15.15,15.15,13.93,14.37,309280.0
2009-09-02,15.66,15.81,15.36,15.57,114745.0
2009-09-03,15.65,15.66,15.15,15.25,67470.0
2009-09-04,15.66,15.66,14.77,15.13,86775.0
2009-09-07,15.06,15.89,15.06,15.89,120245.0
2009-09-08,16.12,16.69,16.12,16.38,354015.0
2009-09-09,16.57,16.66,15.66,15.76,223520.0
2009-09-10,16.26,16.27,15.29,15.47,161765.0
2009-09-11,15.5,15.8,14.81,15.11,111920.0
2009-09-14,14.47,15.33,14.47,14.94,61115.0
2009-09-15,14.47,15.68,14.47,15.18,124610.0
2009-09-16,15.36,15.36,14.91,14.97,92395.0
2009-09-17,15.49,15.66,15.04,15.17,157135.0
2009-09-18,15.06,15.81,15.04,15.53,147100.0
2009-09-22,15.59,16.31,15.49,16.31,126360.0
2009-09-23,16.91,16.91,15.54,15.72,200120.0
2009-09-24,16.0,16.0,15.36,15.81,96695.0
2009-09-25,15.36,16.6,15.36,16.51,341315.0
2009-09-29,16.43,17.16,16.21,16.31,204485.0
2009-09-30,17.02,17.13,16.33,17.13,261655.0
2009-10-01,17.32,17.58,17.09,17.34,242175.0
2009-10-05,17.17,17.23,16.6,16.87,275235.0
2009-10-06,16.87,17.25,16.57,16.91,248685.0
2009-10-07,17.4,17.47,16.88,17.06,142465.0
2009-10-08,17.06,17.43,16.87,17.29,110215.0
2009-10-09,16.73,17.77,16.73,17.4,156275.0
2009-10-12,17.46,17.89,17.06,17.55,183350.0
2009-10-14,17.62,18.43,17.47,18.43,335590.0
2009-10-15,18.53,18.86,18.4,18.62,175060.0
2009-10-16,19.02,19.02,18.2,18.44,141440.0
2009-10-20,19.99,20.08,19.25,20.05,491895.0
2009-10-21,21.04,21.04,19.13,19.47,250800.0
2009-10-22,19.16,20.26,18.57,18.74,177145.0
2009-10-23,19.27,19.53,18.83,19.16,136300.0
2009-10-26,18.6,19.55,18.6,18.8,92335.0
2009-10-27,17.96,18.53,17.87,17.93,154675.0
2009-10-28,17.77,18.35,17.03,17.64,111195.0
2009-10-29,17.62,18.34,17.17,17.53,251760.0
2009-10-30,17.62,17.98,16.73,16.92,91850.0
2009-11-03,17.08,17.08,16.08,16.08,24780.0
2009-11-04,15.39,15.63,15.28,15.28,148670.0
2009-11-05,15.21,16.05,15.05,16.05,193935.0
2009-11-06,16.82,16.85,16.12,16.63,95695.0
2009-11-09,16.87,17.62,16.2,16.97,110995.0
2009-11-10,17.49,17.49,16.57,16.62,101040.0
2009-11-11,16.57,17.17,16.27,16.88,130675.0
2009-11-12,16.72,17.06,16.43,16.61,61330.0
2009-11-13,16.57,17.09,16.57,16.84,58675.0
2009-11-16,16.72,17.47,16.72,17.06,107520.0
2009-11-17,17.47,17.47,16.61,16.82,41695.0
2009-11-18,17.32,17.44,16.87,17.04,60035.0
2009-11-19,17.03,18.51,16.72,17.41,240945.0
2009-11-20,17.02,18.78,17.02,18.46,266065.0
2009-11-23,18.68,18.83,18.38,18.44,127200.0
2009-11-24,18.44,18.66,17.96,18.4,40070.0
2009-11-25,18.64,18.66,18.0,18.08,62425.0
2009-11-26,18.22,18.22,17.32,17.56,38670.0
2009-11-27,18.68,18.68,16.42,17.5,83835.0
2009-11-30,18.0,18.0,17.47,17.53,101235.0
2009-12-01,18.62,18.62,17.48,18.05,110460.0
