,open,high,low,close,volume
2009-05-20,160.25,166.1,157.32,161.7,9250156.0
2009-05-21,160.99,163.9,148.57,151.62,13561496.0
2009-05-22,151.01,158.54,145.87,157.59,9970508.0
2009-05-25,158.52,169.23,153.68,167.52,9470792.0
2009-05-26,170.04,170.04,152.91,154.23,7606352.0
2009-05-27,165.15,166.03,158.69,161.57,6189440.0
2009-05-28,161.43,170.74,156.85,167.59,13949184.0
2009-05-29,168.77,171.91,164.71,166.01,8141524.0
2009-06-01,168.82,178.21,164.29,166.28,6947952.0
2009-06-02,167.64,168.25,157.05,161.09,6819948.0
2009-06-03,162.46,165.37,157.86,162.92,5425856.0
2009-06-04,148.67,168.2,148.67,166.85,7657164.0
2009-06-05,171.29,171.29,163.92,165.73,6363716.0
2009-06-08,166.37,167.08,155.52,157.81,4176732.0
2009-06-09,151.76,168.82,151.76,167.07,5870272.0
2009-06-10,168.82,180.32,168.53,176.88,10757752.0
2009-06-11,178.46,179.58,167.89,171.5,5412308.0
2009-06-12,174.57,174.88,163.69,164.83,5252164.0
2009-06-15,164.53,166.39,159.19,160.99,4241020.0
2009-06-16,161.48,169.06,156.09,168.03,4233880.0
2009-06-17,167.59,171.26,156.0,158.65,4863936.0
2009-06-18,160.2,166.08,149.3,155.74,7790252.0
2009-06-19,159.76,161.12,147.37,154.03,6437492.0
2009-06-22,156.83,158.54,150.47,151.86,5030472.0
2009-06-23,147.25,150.2,143.14,146.92,7088108.0
2009-06-24,146.12,150.43,145.08,148.88,5738264.0
2009-06-25,149.73,155.31,149.3,151.12,7146500.0
2009-06-26,151.93,160.4,151.71,159.32,5791580.0
2009-06-29,160.99,170.46,157.07,164.23,6813228.0
2009-06-30,165.39,166.37,152.95,154.58,6513808.0
2009-07-01,155.73,159.98,151.69,157.29,5920252.0
2009-07-02,158.57,160.23,154.9,158.05,5429764.0
2009-07-03,157.33,159.79,155.42,158.41,3773356.0
2009-07-06,158.66,163.1,143.68,145.95,7279792.0
2009-07-07,148.02,149.73,143.37,146.64,5823768.0
2009-07-08,145.57,145.57,136.99,139.24,6036088.0
2009-07-09,139.58,140.63,133.88,138.8,4642856.0
2009-07-10,140.44,142.52,133.34,135.86,5332556.0
2009-07-13,133.34,138.22,129.5,135.8,5813800.0
2009-07-14,140.01,143.41,139.01,142.45,4858328.0
2009-07-15,143.66,151.78,140.83,148.76,9284000.0
2009-07-16,150.18,155.71,147.59,153.12,6007264.0
2009-07-17,153.25,159.56,153.25,157.85,4143956.0
2009-07-20,158.68,166.76,157.94,165.68,4839152.0
2009-07-21,166.04,168.49,156.99,158.06,5316100.0
2009-07-22,159.82,163.56,152.51,153.54,5836188.0
2009-07-23,156.08,160.56,154.97,157.69,5323788.0
2009-07-24,160.16,160.39,153.46,156.32,4549116.0
2009-07-27,156.94,165.55,156.2,164.51,6104320.0
2009-07-28,165.97,167.69,159.4,162.97,8688872.0
2009-07-29,163.41,164.79,152.51,153.5,7187020.0
2009-07-30,153.58,155.96,151.28,154.67,5921324.0
2009-07-31,157.95,162.86,156.27,161.14,6274768.0
2009-08-03,162.33,165.26,160.14,164.57,3237796.0
2009-08-04,164.42,174.38,164.31,173.03,10110284.0
2009-08-05,173.04,184.37,171.28,183.32,11540600.0
2009-08-06,182.03,189.62,177.61,180.02,13603296.0
2009-08-07,178.34,181.64,172.71,174.95,8725356.0
2009-08-10,178.34,181.53,171.02,177.97,9592652.0
2009-08-11,179.08,182.72,174.79,178.61,9023164.0
2009-08-12,176.84,178.07,169.0,175.8,5861184.0
2009-08-13,178.38,186.45,177.03,185.5,5486952.0
2009-08-14,186.62,186.62,179.84,181.22,3071880.0
2009-08-17,179.25,179.28,166.17,167.72,4608092.0
2009-08-18,168.5,173.62,167.93,170.88,4766276.0
2009-08-19,171.36,172.19,164.09,166.4,4306508.0
2009-08-20,170.2,174.11,168.82,172.59,4958348.0
2009-08-21,171.66,177.97,168.8,177.05,5235056.0
2009-08-24,178.34,182.99,178.34,180.13,3217476.0
2009-08-25,179.6,181.98,174.24,177.41,5187380.0
2009-08-26,178.22,180.68,174.32,178.88,3181168.0
2009-08-27,177.85,178.32,172.56,175.79,5542244.0
2009-08-28,175.64,181.39,174.16,178.26,4483152.0
2009-08-31,174.9,176.99,173.73,176.18,2923616.0
2009-09-01,176.55,180.31,171.87,173.48,3923584.0
2009-09-02,170.96,175.22,169.93,171.27,3671060.0
2009-09-03,172.19,175.63,170.76,172.16,4133556.0
2009-09-04,174.65,177.02,172.51,175.59,2631996.0
2009-09-07,177.06,179.3,175.28,178.47,3560480.0
2009-09-08,181.05,181.49,177.11,177.9,2658016.0
2009-09-09,179.28,180.29,176.26,176.77,2806272.0
2009-09-10,178.34,184.74,177.88,178.91,6568556.0
2009-09-11,180.8,181.79,155.66,178.21,4431920.0
2009-09-14,177.13,182.03,177.11,180.88,2906636.0
