,open,high,low,close,volume
2009-05-20,11.83,12.23,11.83,12.23,20560.0
2009-05-21,12.25,12.84,11.72,11.79,21482.0
2009-05-22,11.83,12.38,11.83,12.38,4582.0
2009-05-25,12.96,13.0,12.46,12.84,6012.0
2009-05-26,13.49,13.49,13.24,13.24,7112.0
2009-05-27,13.87,13.9,13.66,13.9,7056.0
2009-05-28,14.14,14.61,14.14,14.61,13494.0
2009-05-29,15.34,15.34,14.08,15.34,20424.0
2009-06-01,16.11,16.11,15.49,16.11,9180.0
2009-06-02,16.93,16.93,16.76,16.93,29538.0
2009-06-03,17.79,17.79,17.18,17.79,7268.0
2009-06-04,18.59,18.69,18.03,18.59,14876.0
2009-06-05,19.52,19.52,19.03,19.52,13476.0
2009-06-08,19.58,20.51,18.55,18.55,17588.0
2009-06-09,17.75,18.42,17.63,17.94,9410.0
2009-06-10,18.59,18.59,17.06,17.07,8322.0
2009-06-11,16.24,17.15,16.23,16.23,21994.0
2009-06-12,15.61,16.72,15.42,15.42,8016.0
2009-06-15,14.7,16.06,14.7,14.8,3000.0
2009-06-16,14.8,15.55,14.08,15.55,6856.0
2009-06-17,15.49,16.34,15.49,15.79,2986.0
2009-06-18,16.27,16.34,15.21,15.58,3044.0
2009-06-19,16.31,16.31,14.83,15.9,5404.0
2009-06-22,16.34,16.7,15.52,16.08,6226.0
2009-06-23,15.31,16.06,15.31,15.55,2152.0
2009-06-24,15.51,16.03,14.8,15.21,4880.0
2009-06-25,14.7,15.92,14.7,15.89,1612.0
2009-06-26,15.21,16.58,15.21,16.03,2356.0
2009-06-29,15.77,16.83,15.77,16.83,5166.0
2009-06-30,17.65,17.68,16.53,16.58,3928.0
2009-07-01,16.01,16.9,15.84,15.9,1356.0
2009-07-02,16.06,16.7,15.77,15.93,1146.0
2009-07-03,15.49,16.61,15.18,15.94,3596.0
2009-07-06,16.2,16.75,15.24,15.83,5084.0
2009-07-07,15.21,15.21,14.8,14.84,3362.0
