,open,high,low,close,volume
2009-05-20,25.83,26.64,25.07,26.37,121030.0
2009-05-21,26.64,28.83,26.09,26.25,136010.0
2009-05-22,27.11,28.52,26.8,27.57,148285.0
2009-05-25,28.36,31.34,28.05,29.86,285585.0
2009-05-26,30.71,31.02,28.05,28.32,67370.0
2009-05-27,29.93,29.93,28.36,29.31,144825.0
2009-05-28,30.24,30.24,28.83,29.5,117310.0
2009-05-29,29.17,31.34,29.14,30.65,214465.0
2009-06-01,30.4,31.81,29.9,30.57,105265.0
2009-06-02,30.29,30.55,29.18,29.57,78340.0
2009-06-03,31.34,31.34,29.86,30.69,118900.0
2009-06-04,31.02,34.78,30.48,33.26,285845.0
2009-06-05,34.0,35.54,32.28,32.72,262855.0
2009-06-08,34.47,38.29,32.28,32.92,361905.0
2009-06-09,32.9,33.69,31.81,33.17,126120.0
2009-06-10,34.46,36.19,33.53,33.86,373745.0
2009-06-11,32.62,35.16,32.62,34.56,125525.0
2009-06-12,35.25,35.41,33.88,34.46,77370.0
2009-06-15,34.31,34.47,31.53,32.13,30480.0
2009-06-16,32.14,32.75,30.63,32.3,113465.0
2009-06-17,32.24,32.88,29.46,29.72,20480.0
2009-06-18,29.74,29.77,28.32,28.95,61855.0
2009-06-19,29.77,30.13,28.54,29.77,40270.0
2009-06-22,29.77,30.51,28.71,29.06,26180.0
2009-06-23,28.99,28.99,27.5,28.16,100730.0
2009-06-24,28.36,29.69,27.97,29.32,48505.0
2009-06-25,29.93,30.09,28.82,28.97,31295.0
2009-06-26,28.99,30.71,28.99,29.51,93850.0
2009-06-29,29.93,30.71,29.77,30.26,65075.0
2009-06-30,30.4,30.74,29.19,29.99,104080.0
2009-07-01,30.23,30.55,28.2,29.22,68445.0
2009-07-02,29.53,29.77,28.7,28.9,16725.0
2009-07-03,28.99,29.77,28.83,29.38,28690.0
2009-07-06,29.9,30.06,27.58,27.87,36355.0
2009-07-07,28.52,28.52,26.95,27.8,66450.0
2009-07-08,28.99,28.99,26.32,27.12,14610.0
2009-07-09,26.64,27.09,26.42,26.94,45895.0
2009-07-10,26.95,27.26,25.16,25.96,35605.0
2009-07-13,26.94,26.94,23.24,25.95,116370.0
2009-07-14,26.95,27.89,25.92,26.57,42465.0
2009-07-15,27.42,27.42,25.06,25.57,82180.0
2009-07-16,26.17,26.64,25.87,25.98,13245.0
2009-07-17,26.32,27.73,25.87,27.14,58715.0
2009-07-20,28.05,28.05,27.11,27.66,25560.0
2009-07-21,27.73,28.05,26.95,27.4,52650.0
2009-07-22,27.43,27.58,26.95,27.08,12290.0
2009-07-23,27.11,30.49,27.11,29.17,257320.0
2009-07-24,28.2,31.12,28.2,29.42,121255.0
2009-07-27,28.28,30.55,28.28,28.89,163910.0
2009-07-28,30.08,30.08,28.99,29.17,106675.0
2009-07-29,29.77,32.57,29.77,30.69,283930.0
2009-07-30,30.57,32.27,30.57,31.78,331415.0
2009-07-31,32.93,34.31,31.65,33.29,423680.0
2009-08-03,32.13,34.39,31.34,34.22,319600.0
2009-08-04,33.77,35.63,33.73,35.1,407290.0
2009-08-05,34.78,35.69,34.0,35.43,237470.0
2009-08-06,35.1,35.58,34.16,35.24,221980.0
2009-08-07,35.41,37.29,34.31,36.62,711140.0
2009-08-10,34.78,37.92,34.73,35.67,785250.0
2009-08-11,36.62,36.62,34.48,35.6,325155.0
2009-08-12,35.85,35.88,34.79,35.22,383325.0
2009-08-13,36.19,36.19,34.82,34.99,191440.0
2009-08-14,34.73,34.78,33.37,34.41,297875.0
2009-08-17,34.47,34.98,31.79,32.16,107340.0
2009-08-18,33.84,33.84,31.84,32.98,47655.0
2009-08-19,33.53,33.69,32.94,33.2,133105.0
2009-08-20,33.67,34.24,32.77,32.9,111445.0
2009-08-21,33.51,33.67,32.9,32.97,95425.0
2009-08-24,34.0,34.16,32.95,33.08,94215.0
2009-08-25,33.37,33.59,32.59,32.87,90350.0
2009-08-26,33.53,33.53,32.46,32.57,66395.0
2009-08-27,32.9,33.84,32.62,32.84,83965.0
2009-08-28,33.37,35.18,32.78,33.82,119110.0
2009-08-31,34.16,35.96,33.84,35.08,222930.0
2009-09-01,35.69,36.15,33.57,33.77,128655.0
2009-09-02,34.0,34.0,32.95,33.74,66530.0
2009-09-03,34.78,34.78,33.29,33.44,81330.0
2009-09-04,34.78,34.85,33.71,34.52,112355.0
2009-09-07,34.94,35.57,34.33,34.68,238260.0
2009-09-08,35.32,35.32,33.56,33.8,80105.0
2009-09-09,34.27,35.21,33.68,34.78,139255.0
2009-09-10,34.94,35.25,34.47,34.83,34830.0
2009-09-11,35.25,35.25,33.9,35.14,37045.0
2009-09-14,34.34,35.37,34.34,34.66,26540.0
2009-09-15,35.09,35.1,34.46,34.87,79355.0
2009-09-16,37.56,37.56,35.27,35.77,34495.0
2009-09-17,35.6,37.24,35.12,35.6,232760.0
2009-09-18,36.25,36.42,35.29,35.42,132490.0
2009-09-22,35.6,39.04,35.58,37.9,197000.0
2009-09-23,37.75,39.78,37.75,38.41,145115.0
2009-09-24,37.33,38.99,37.33,38.49,85190.0
2009-09-25,39.21,40.36,38.06,39.5,173605.0
2009-09-29,39.7,43.8,39.54,41.46,226625.0
2009-09-30,43.15,44.62,42.36,43.48,73595.0
2009-10-01,43.3,43.3,40.69,41.75,156840.0
2009-10-05,41.01,43.15,40.7,41.42,31495.0
2009-10-06,41.01,41.67,39.37,40.92,21890.0
2009-10-07,41.49,42.49,41.1,42.04,28860.0
2009-10-08,42.16,42.16,40.85,41.56,16175.0
2009-10-09,41.83,41.83,40.52,41.01,10220.0
2009-10-12,42.33,42.33,39.5,40.15,31215.0
2009-10-14,40.19,41.01,39.9,40.0,15115.0
2009-10-15,39.87,40.23,39.41,39.69,8825.0
2009-10-16,40.36,42.49,39.7,41.61,57060.0
2009-10-20,43.31,43.31,42.0,42.08,37830.0
2009-10-21,42.97,43.88,41.83,42.06,84450.0
2009-10-22,41.49,42.79,39.72,39.95,42560.0
2009-10-23,41.75,42.0,39.55,39.78,18970.0
2009-10-26,40.36,41.67,37.57,38.45,90290.0
2009-10-27,38.55,40.32,37.4,39.28,32545.0
2009-10-28,36.78,39.16,36.78,38.6,12900.0
2009-10-29,38.55,39.37,37.4,38.04,46090.0
