,open,high,low,close,volume
2009-05-20,43.68,44.99,42.16,44.4,493456.0
2009-05-21,45.25,48.33,44.22,45.84,1219790.0
2009-05-22,45.76,48.08,45.76,46.48,433300.0
2009-05-25,46.38,47.84,45.76,46.3,335050.0
2009-05-26,46.69,47.25,43.19,43.7,189539.0
2009-05-27,45.25,47.05,44.86,46.1,509863.0
2009-05-28,45.76,46.92,45.53,46.22,283041.0
2009-05-29,46.84,47.3,45.38,45.84,332572.0
2009-06-01,47.3,47.3,44.99,45.63,292560.0
2009-06-02,46.15,46.76,44.58,45.25,122492.0
2009-06-03,46.28,47.3,45.09,45.38,389845.0
2009-06-04,45.76,46.51,45.25,45.56,240559.0
2009-06-05,46.58,49.57,46.02,47.02,2073865.0
2009-06-08,47.95,48.69,44.3,45.25,854169.0
2009-06-09,44.22,45.61,43.4,44.94,270607.0
2009-06-10,46.28,46.69,44.01,44.35,308448.0
2009-06-11,45.71,47.3,43.29,43.94,101142.0
2009-06-12,44.22,44.76,43.01,43.29,153367.0
2009-06-15,43.7,44.17,41.39,41.73,173915.0
2009-06-16,41.21,43.19,41.16,42.68,107216.0
2009-06-17,43.19,43.5,40.62,41.29,136962.0
2009-06-18,40.62,41.39,38.97,40.05,171705.0
2009-06-19,40.88,41.03,39.33,40.05,138817.0
2009-06-22,41.08,41.08,39.64,40.39,135827.0
2009-06-23,40.36,40.36,38.18,39.95,63131.0
2009-06-24,41.13,41.13,39.75,40.36,64065.0
2009-06-25,40.13,41.13,39.67,40.0,56782.0
2009-06-26,40.59,42.16,39.93,41.62,138614.0
2009-06-29,41.65,43.83,40.18,42.63,175043.0
2009-06-30,42.73,43.09,40.62,40.85,75576.0
2009-07-01,41.13,41.57,40.16,41.11,76990.0
2009-07-02,41.13,41.13,40.16,40.54,33273.0
2009-07-03,41.08,42.11,40.18,41.24,91509.0
2009-07-06,42.68,43.16,38.85,39.31,123470.0
2009-07-07,40.05,40.05,39.15,39.9,86320.0
2009-07-08,38.67,39.59,37.69,38.67,72618.0
2009-07-09,39.13,40.36,38.82,40.08,67718.0
2009-07-10,40.11,40.57,39.59,40.0,61572.0
2009-07-13,37.15,40.57,37.15,38.49,81608.0
2009-07-14,40.11,40.11,38.33,39.69,50937.0
2009-07-15,41.08,41.08,39.98,40.54,85217.0
2009-07-16,42.01,42.16,39.98,40.34,68506.0
2009-07-17,40.62,41.52,40.11,40.67,79711.0
2009-07-20,41.13,42.42,40.62,42.11,218172.0
2009-07-21,43.19,43.19,41.19,41.55,69811.0
2009-07-22,41.8,42.57,41.26,41.62,104025.0
2009-07-23,41.91,43.7,41.49,43.45,234874.0
2009-07-24,44.73,45.25,42.93,43.37,367136.0
2009-07-27,43.19,43.96,42.73,43.14,144817.0
2009-07-28,43.27,43.42,42.68,42.96,99286.0
2009-07-29,44.63,44.63,42.01,42.5,109106.0
2009-07-30,41.19,43.6,41.19,42.47,203084.0
2009-07-31,42.7,43.83,42.7,42.91,103773.0
2009-08-03,43.96,45.04,43.83,44.91,346093.0
2009-08-04,45.5,46.12,44.32,45.66,220123.0
2009-08-05,46.17,46.76,45.32,46.3,230899.0
2009-08-06,45.25,47.82,44.4,46.53,525839.0
2009-08-07,45.76,46.89,45.3,45.84,266757.0
2009-08-10,47.2,47.2,44.91,45.79,89452.0
2009-08-11,46.02,46.53,45.32,45.84,90049.0
2009-08-12,45.92,46.25,45.02,46.02,117194.0
2009-08-13,47.14,48.43,47.14,47.89,82459.0
2009-08-14,48.21,48.21,46.12,46.66,95161.0
2009-08-17,46.34,46.79,45.64,46.42,41279.0
2009-08-18,45.32,47.41,45.32,46.37,99824.0
2009-08-19,46.61,47.14,45.96,46.5,365514.0
2009-08-20,46.74,47.09,46.34,46.63,36305.0
2009-08-21,46.87,48.21,46.34,47.6,76692.0
2009-08-24,48.21,49.34,47.81,48.62,259352.0
2009-08-25,48.59,49.55,47.95,48.86,131324.0
2009-08-26,48.86,49.28,48.21,48.24,50147.0
2009-08-27,48.21,49.26,47.68,48.4,77869.0
2009-08-28,48.75,49.23,48.11,48.72,95136.0
2009-08-31,48.72,49.77,48.16,49.15,53830.0
2009-09-01,48.83,50.89,48.78,49.37,154327.0
2009-09-02,48.75,50.62,48.37,49.31,91694.0
2009-09-03,49.55,50.52,49.02,50.22,125018.0
2009-09-04,50.2,51.75,49.37,51.21,301231.0
2009-09-07,51.91,51.94,50.36,50.57,94936.0
2009-09-08,51.37,55.61,51.37,53.36,1091176.0
2009-09-09,53.57,55.31,53.57,53.76,345574.0
2009-09-10,54.64,55.42,53.44,53.68,209225.0
2009-09-11,54.11,59.25,53.22,58.2,1653584.0
2009-09-14,58.71,60.96,57.45,58.02,845695.0
2009-09-15,58.53,66.8,58.53,64.39,4571976.0
2009-09-16,64.82,65.38,61.74,62.52,1585069.0
2009-09-17,62.95,63.59,61.66,62.25,504709.0
2009-09-18,61.34,66.08,61.34,64.23,961940.0
2009-09-22,65.57,66.86,64.61,65.62,809692.0
2009-09-23,66.16,66.37,62.68,63.4,1015841.0
2009-09-24,53.57,53.57,45.27,47.7,1086771.0
2009-09-25,48.21,50.89,47.65,49.02,1233824.0
2009-09-29,49.45,50.14,47.84,48.13,293728.0
2009-09-30,48.21,48.21,46.55,47.09,405605.0
2009-10-01,47.57,47.57,42.0,45.62,453303.0
2009-10-05,44.62,46.34,41.89,42.21,411557.0
2009-10-06,42.8,44.52,42.4,43.53,480054.0
2009-10-07,44.03,44.73,43.82,44.2,284829.0
2009-10-08,44.46,45.53,43.39,44.81,242520.0
2009-10-09,44.57,45.19,44.36,44.49,120931.0
2009-10-12,43.2,45.48,43.2,45.05,142019.0
2009-10-14,45.24,45.53,44.87,45.32,187631.0
2009-10-15,45.8,45.91,45.03,45.56,161102.0
2009-10-16,46.07,46.61,44.87,46.1,228587.0
2009-10-20,48.62,49.02,46.15,47.7,222602.0
2009-10-21,47.41,47.95,47.01,47.2,88094.0
2009-10-22,47.62,47.95,46.07,46.42,94124.0
2009-10-23,47.36,47.46,46.42,46.77,103512.0
2009-10-26,46.61,46.71,45.27,46.04,84228.0
2009-10-27,45.53,46.45,45.0,45.16,190956.0
