,open,high,low,close,volume
2009-05-20,632.97,703.3,628.58,680.36,110939.0
2009-05-21,685.72,773.63,650.56,733.55,120683.0
2009-05-22,751.66,804.4,730.56,792.18,70661.0
2009-05-25,813.19,843.96,794.73,814.34,46527.0
2009-05-26,817.68,830.78,747.26,751.13,34272.0
2009-05-27,778.03,814.07,764.89,807.52,45316.0
2009-05-28,825.5,825.5,760.67,773.5,46270.0
2009-05-29,804.4,821.99,782.42,804.1,26559.0
2009-06-01,821.11,832.54,800.97,806.29,18298.0
2009-06-02,824.58,824.58,782.42,785.72,19674.0
2009-06-03,795.61,857.15,795.61,823.44,52470.0
2009-06-04,831.61,1071.66,830.78,1068.14,280688.0
2009-06-05,1094.52,1109.46,976.71,996.71,131670.0
2009-06-08,1011.0,1090.12,940.67,960.14,77337.0
2009-06-09,967.04,1009.99,915.39,980.67,43907.0
2009-06-10,992.54,1030.34,971.44,989.77,36619.0
2009-06-11,990.82,994.34,927.48,942.65,22151.0
2009-06-12,949.46,991.66,896.76,910.73,26773.0
2009-06-15,906.38,923.96,870.51,875.96,23488.0
2009-06-16,853.63,911.39,844.01,902.38,29885.0
2009-06-17,883.52,909.9,821.99,841.72,31201.0
2009-06-18,844.84,876.01,783.39,799.7,21505.0
2009-06-19,821.99,848.36,795.79,826.07,20517.0
2009-06-22,843.08,843.96,804.93,812.76,17290.0
2009-06-23,808.8,828.98,773.63,812.71,17415.0
2009-06-24,813.19,833.41,799.13,813.33,15679.0
2009-06-25,821.99,931.88,807.92,851.7,176081.0
2009-06-26,874.73,889.15,844.01,858.78,28479.0
2009-06-29,869.46,898.47,862.51,872.58,17682.0
2009-06-30,887.92,889.85,830.86,835.96,15419.0
2009-07-01,848.36,860.67,814.07,833.85,13164.0
2009-07-02,843.96,879.0,830.78,845.5,15393.0
2009-07-03,838.56,857.15,830.91,844.32,13284.0
2009-07-06,870.34,889.63,789.46,797.15,30177.0
2009-07-07,807.04,813.19,747.35,773.5,17747.0
2009-07-08,756.05,769.24,725.28,731.74,14676.0
2009-07-09,732.31,732.31,704.75,715.26,10823.0
2009-07-10,725.28,746.29,690.12,703.26,11707.0
2009-07-13,694.51,694.51,659.35,659.35,8272.0
2009-07-14,690.61,717.66,688.5,698.19,16010.0
2009-07-15,708.69,760.72,708.69,738.11,30110.0
2009-07-16,762.38,771.44,727.93,738.56,14520.0
2009-07-17,755.33,759.77,744.57,752.42,11580.0
2009-07-20,762.51,784.4,756.23,768.25,11070.0
2009-07-21,765.25,830.69,753.54,800.99,36033.0
2009-07-22,803.86,820.82,764.75,771.39,15723.0
2009-07-23,784.04,804.67,782.25,795.07,10385.0
2009-07-24,805.57,829.79,800.59,805.97,18289.0
2009-07-27,803.78,932.77,726.63,905.64,69717.0
2009-07-28,897.07,932.95,862.26,894.02,49702.0
2009-07-29,874.73,915.91,852.22,875.0,24838.0
2009-07-30,872.85,890.79,853.29,866.21,10121.0
2009-07-31,875.54,915.01,875.54,889.62,14814.0
2009-08-03,901.56,920.22,880.03,911.69,17941.0
2009-08-04,923.09,1001.76,898.91,982.65,64653.0
2009-08-05,1000.23,1008.26,946.81,961.61,23059.0
2009-08-06,968.84,1009.34,940.13,952.6,29178.0
2009-08-07,950.85,984.09,915.01,921.47,19861.0
2009-08-10,959.87,964.31,875.54,881.69,10802.0
2009-08-11,869.26,915.91,865.76,878.14,13436.0
2009-08-12,856.7,913.22,852.35,901.42,18288.0
2009-08-13,923.98,941.03,906.04,920.53,11421.0
2009-08-14,941.03,973.32,899.76,920.3,15735.0
2009-08-17,906.04,906.04,870.16,876.03,11926.0
2009-08-18,861.19,959.87,861.19,901.11,13531.0
2009-08-19,894.07,922.14,889.04,900.26,8501.0
2009-08-20,919.5,921.29,889.89,898.28,7125.0
2009-08-21,890.79,913.17,888.1,906.8,8310.0
2009-08-24,923.09,934.57,910.57,916.4,9567.0
2009-08-25,910.53,950.81,906.94,934.12,14485.0
2009-08-26,939.23,1009.11,931.61,965.16,41011.0
2009-08-27,964.35,1037.91,964.35,978.61,35923.0
2009-08-28,986.78,1009.2,975.38,996.06,18661.0
2009-08-31,970.18,1027.15,965.25,985.84,15973.0
2009-09-01,995.75,1018.17,964.35,973.41,13771.0
2009-09-02,952.69,985.88,944.26,968.79,8863.0
2009-09-03,985.88,1000.23,971.89,979.42,9311.0
2009-09-04,994.04,1085.46,986.24,1048.9,52742.0
2009-09-07,1068.37,1238.85,1063.12,1192.92,91083.0
2009-09-08,1197.59,1233.34,1166.28,1185.34,44769.0
2009-09-09,1176.06,1234.37,1166.19,1189.56,52181.0
2009-09-10,1202.97,1227.64,1117.75,1143.45,21575.0
2009-09-11,1176.42,1246.93,1157.49,1199.02,47209.0
2009-09-14,1193.1,1210.96,1152.74,1184.22,14822.0
2009-09-15,1204.14,1298.96,1194.05,1260.97,73551.0
2009-09-16,1287.3,1296.27,1271.96,1277.07,23423.0
2009-09-17,1287.3,1316.9,1256.84,1269.44,31614.0
2009-09-18,1247.06,1296.27,1247.06,1274.69,19671.0
2009-09-22,1282.81,1308.78,1273.84,1285.86,16634.0
2009-09-23,1285.86,1293.44,1233.47,1238.63,14492.0
2009-09-24,1237.96,1273.75,1221.81,1242.85,10839.0
2009-09-25,1233.47,1264.6,1220.02,1228.99,8325.0
2009-09-29,1264.87,1264.87,1211.05,1228.4,5735.0
2009-09-30,1228.4,1239.75,1212.84,1225.67,4321.0
2009-10-01,1224.5,1235.27,1204.32,1210.24,6825.0
2009-10-05,1202.07,1235.27,1179.65,1190.64,7486.0
2009-10-06,1198.49,1211.05,1140.18,1178.12,14140.0
2009-10-07,1199.38,1215.53,1188.62,1194.45,11806.0
2009-10-08,1197.59,1210.15,1167.09,1172.96,5897.0
2009-10-09,1179.65,1211.05,1139.28,1153.09,10166.0
2009-10-12,1175.07,1202.07,1153.63,1188.66,10414.0
