,open,high,low,close,volume
2009-05-20,473.34,508.31,469.85,480.87,14970724.0
2009-05-21,476.87,480.41,431.24,437.42,8622207.0
2009-05-22,434.47,462.5,430.97,459.48,8190389.0
2009-05-25,466.28,471.22,455.72,460.96,4805129.0
2009-05-26,464.51,467.27,439.87,442.54,4124776.0
2009-05-27,451.09,465.08,450.38,463.52,4623885.0
2009-05-28,466.28,485.71,452.25,475.36,11480843.0
2009-05-29,482.53,500.89,478.64,495.31,7212413.0
2009-06-01,499.85,506.44,486.77,494.77,6410167.0
2009-06-02,498.78,504.43,487.95,499.22,7677495.0
2009-06-03,501.6,507.25,489.41,496.43,6108336.0
2009-06-04,491.0,517.82,483.94,514.11,6116033.0
2009-06-05,521.03,547.52,516.67,537.84,8260922.0
2009-06-08,538.69,555.54,514.02,522.9,10661949.0
2009-06-09,519.26,560.56,519.26,555.58,8605282.0
2009-06-10,565.59,593.37,565.59,575.34,10878433.0
2009-06-11,579.35,584.26,560.27,575.43,9711380.0
2009-06-12,592.03,600.05,548.94,558.76,7893763.0
2009-06-15,556.35,560.27,528.11,532.09,6220656.0
2009-06-16,524.56,545.4,516.19,538.87,6641028.0
2009-06-17,536.93,538.27,513.97,518.86,8521549.0
2009-06-18,514.34,522.8,495.38,500.1,6450253.0
2009-06-19,506.88,534.03,505.13,528.82,5325476.0
2009-06-22,535.14,545.4,526.38,534.51,5315672.0
2009-06-23,524.56,528.09,508.67,525.06,7336224.0
2009-06-24,529.51,538.34,525.3,532.9,5615235.0
2009-06-25,535.72,546.82,531.63,540.23,6988970.0
2009-06-26,544.08,571.79,544.08,568.86,8213596.0
2009-06-29,558.56,582.49,558.56,572.89,5011337.0
2009-06-30,582.14,586.38,547.65,553.81,9098784.0
2009-07-01,563.4,566.81,546.46,555.91,5039557.0
2009-07-02,557.77,561.6,543.0,553.55,5237116.0
2009-07-03,547.52,572.25,543.99,567.85,4331034.0
2009-07-06,571.19,587.05,510.43,517.2,10162105.0
2009-07-07,523.5,538.27,519.62,529.91,7719244.0
2009-07-08,525.98,525.98,495.33,499.62,7845548.0
2009-07-09,505.13,508.67,482.95,490.65,5950042.0
2009-07-10,494.54,502.89,473.34,479.19,6619385.0
2009-07-13,472.11,478.5,461.12,469.85,4871529.0
2009-07-14,477.42,489.94,474.54,483.09,6078064.0
2009-07-15,489.24,507.96,487.51,505.36,5571378.0
2009-07-16,508.63,525.27,483.94,487.15,11484562.0
2009-07-17,487.47,505.81,487.47,501.41,6598631.0
2009-07-20,505.84,518.38,505.13,514.99,4977169.0
2009-07-21,515.73,525.62,505.84,520.16,4781302.0
2009-07-22,521.74,529.84,506.28,511.74,4959711.0
