,open,high,low,close,volume
2009-05-20,142.48,154.59,139.01,147.66,1008610.0
2009-05-21,149.3,153.23,148.3,149.66,399175.0
2009-05-22,149.3,151.86,145.04,146.4,332865.0
2009-05-25,149.67,151.68,146.57,147.6,425770.0
2009-05-26,147.6,151.86,145.04,147.8,164445.0
2009-05-27,148.62,151.86,142.48,145.85,1098480.0
2009-05-28,148.95,148.95,142.48,143.48,910020.0
2009-05-29,144.82,145.98,140.88,142.67,865285.0
2009-06-01,141.63,146.57,137.19,137.91,462650.0
2009-06-02,137.96,143.14,135.17,139.13,714125.0
2009-06-03,141.61,145.38,140.62,142.86,440220.0
2009-06-04,141.63,145.38,141.63,144.01,464720.0
2009-06-05,141.63,148.45,141.63,145.87,909065.0
2009-06-08,146.4,148.28,139.77,141.17,274055.0
2009-06-09,141.28,144.85,139.75,143.96,287815.0
2009-06-10,145.04,152.09,144.36,149.9,837890.0
2009-06-11,150.98,153.38,145.4,148.76,630145.0
2009-06-12,149.92,152.96,141.64,143.22,407045.0
2009-06-15,144.01,149.82,141.63,146.72,549295.0
2009-06-16,142.65,148.77,142.1,142.93,499455.0
2009-06-17,142.48,148.08,142.31,145.29,623320.0
2009-06-18,145.04,146.74,139.08,140.71,457990.0
2009-06-19,144.14,144.14,138.18,139.3,320175.0
2009-06-22,141.8,142.99,138.38,141.74,278740.0
2009-06-23,140.09,145.21,139.07,144.59,238645.0
2009-06-24,144.78,149.12,144.61,148.08,278120.0
2009-06-25,149.82,154.42,145.42,152.67,1557245.0
2009-06-26,153.57,153.57,142.99,144.01,1802510.0
2009-06-29,145.89,146.39,138.39,140.59,794730.0
2009-06-30,142.14,142.99,138.38,139.27,572225.0
2009-07-01,140.09,142.3,139.93,141.2,175540.0
2009-07-02,142.14,143.5,140.6,142.23,252240.0
2009-07-03,143.33,145.7,141.65,144.82,586240.0
2009-07-06,146.74,146.92,139.58,141.69,226650.0
2009-07-07,142.65,144.17,141.15,143.13,69655.0
2009-07-08,143.3,144.7,133.67,138.15,839545.0
2009-07-09,133.52,138.21,131.03,136.51,1159390.0
2009-07-10,132.44,138.26,132.44,135.44,1078515.0
2009-07-13,133.09,137.34,131.4,136.29,254815.0
2009-07-14,138.2,142.14,137.02,140.61,380375.0
2009-07-15,139.07,148.62,139.07,147.06,1094325.0
2009-07-16,145.04,153.57,145.04,151.96,513180.0
2009-07-17,152.52,160.4,152.38,153.99,1505795.0
2009-07-20,165.91,173.15,164.45,166.67,1427775.0
2009-07-21,165.0,167.93,162.44,164.75,372500.0
2009-07-22,166.45,173.8,165.18,171.28,1419245.0
2009-07-23,172.88,179.0,171.41,176.94,1711495.0
2009-07-24,174.35,181.49,171.6,173.34,822340.0
2009-07-27,170.5,176.91,169.58,174.88,372485.0
2009-07-28,175.81,177.74,171.96,173.92,224785.0
2009-07-29,177.65,177.65,168.86,172.92,1119005.0
2009-07-30,172.33,177.83,165.0,167.81,1586685.0
2009-07-31,167.75,176.0,167.75,174.24,1115555.0
2009-08-03,176.21,177.45,171.78,172.25,162065.0
2009-08-04,172.33,175.25,168.66,169.81,835865.0
2009-08-05,171.41,173.39,168.94,172.21,663890.0
2009-08-06,171.78,178.75,169.58,171.68,1191825.0
2009-08-07,172.33,180.55,172.33,178.36,2317500.0
2009-08-10,180.58,185.16,178.86,179.75,1132265.0
2009-08-11,182.41,183.86,179.66,182.34,1300870.0
2009-08-12,179.66,185.14,179.66,183.1,845885.0
2009-08-13,182.96,186.81,182.96,183.94,918290.0
2009-08-14,185.17,185.17,178.76,179.68,523935.0
2009-08-17,176.18,182.6,176.01,178.95,878220.0
2009-08-18,181.13,182.27,176.56,178.54,603435.0
2009-08-19,180.52,181.5,172.56,177.61,503025.0
2009-08-20,177.61,184.25,176.18,181.37,563935.0
2009-08-21,181.5,184.76,180.76,181.52,971880.0
2009-08-24,180.4,186.81,180.4,183.37,1202070.0
2009-08-25,181.5,192.31,179.66,190.3,1632895.0
2009-08-26,191.58,194.15,189.01,190.19,996680.0
2009-08-27,192.01,192.01,187.09,190.64,286170.0
2009-08-28,190.6,192.29,187.2,190.42,374000.0
2009-08-31,165.56,191.49,165.56,186.11,286275.0
2009-09-01,188.45,188.81,177.1,178.82,543810.0
2009-09-02,175.08,182.23,175.08,176.95,666465.0
2009-09-03,179.57,181.26,174.35,177.19,810745.0
2009-09-04,181.5,181.5,178.34,180.19,265785.0
2009-09-07,180.58,188.83,180.4,185.8,560695.0
2009-09-08,186.98,188.05,183.8,185.92,508065.0
2009-09-09,171.49,192.48,171.49,191.24,1012260.0
2009-09-10,197.26,197.43,191.4,194.9,689125.0
2009-09-11,195.96,197.08,190.66,191.42,238785.0
2009-09-14,189.56,192.86,187.91,191.84,134625.0
2009-09-15,192.86,199.46,192.57,198.08,805405.0
2009-09-16,200.2,204.23,198.42,202.13,946490.0
2009-09-17,204.41,204.41,195.36,197.92,653115.0
2009-09-18,197.81,202.58,197.81,199.67,687120.0
2009-09-22,198.0,202.58,195.32,196.18,611545.0
2009-09-23,197.08,199.28,192.51,194.5,903810.0
2009-09-24,178.93,208.98,178.93,206.44,1252780.0
2009-09-25,206.25,217.61,206.06,207.76,1261270.0
2009-09-29,212.66,217.87,207.9,209.47,1677095.0
