,open,high,low,close,volume
2009-05-20,119.52,129.96,115.74,128.66,3357328.0
2009-05-21,127.13,128.59,120.85,124.21,2888080.0
2009-05-22,123.32,123.32,117.34,119.58,4375888.0
2009-05-25,119.52,124.22,118.04,120.27,2305180.0
2009-05-26,120.47,122.98,113.64,115.88,2211292.0
2009-05-27,119.42,120.2,116.68,118.78,2286720.0
2009-05-28,120.66,126.33,118.42,120.85,7236896.0
2009-05-29,122.56,132.42,121.99,126.9,6691404.0
2009-06-01,127.87,136.41,125.24,135.21,4687756.0
2009-06-02,135.27,139.82,135.21,137.56,8056700.0
2009-06-03,138.97,140.01,129.77,132.2,5787064.0
2009-06-04,132.2,135.27,129.01,130.73,8826508.0
2009-06-05,131.85,137.53,130.91,134.68,9823896.0
2009-06-08,136.58,136.58,130.91,132.51,4069140.0
2009-06-09,131.66,142.29,127.59,140.97,11131400.0
2009-06-10,142.29,147.22,141.0,145.53,5386988.0
2009-06-11,146.08,155.55,144.47,153.94,8520312.0
2009-06-12,154.81,157.28,147.71,148.7,3672156.0
2009-06-15,147.77,147.77,141.34,143.17,3112920.0
2009-06-16,140.01,148.53,138.59,147.04,2719972.0
2009-06-17,147.03,148.55,140.77,142.22,3589772.0
2009-06-18,142.29,143.89,138.7,140.87,2346688.0
2009-06-19,141.94,143.77,136.88,139.59,3838124.0
2009-06-22,140.39,142.25,132.06,134.86,3470820.0
2009-06-23,132.58,135.46,129.32,133.45,4436548.0
2009-06-24,134.51,139.42,129.58,137.46,4777520.0
2009-06-25,138.54,139.52,131.85,133.12,7231244.0
2009-06-26,134.66,135.53,129.96,132.44,7506648.0
2009-06-29,133.75,134.89,131.74,133.63,5235456.0
2009-06-30,134.72,135.04,129.96,131.14,4668056.0
2009-07-01,132.56,136.79,130.36,135.52,9809512.0
2009-07-02,136.98,137.49,131.98,135.43,4560960.0
2009-07-03,133.94,141.91,133.18,140.14,6005060.0
2009-07-06,140.58,141.34,132.81,135.02,3871256.0
2009-07-07,136.6,144.07,136.22,142.64,6037760.0
2009-07-08,139.44,143.37,138.05,139.9,5884248.0
2009-07-09,146.44,149.13,141.22,144.88,4068132.0
2009-07-10,145.84,145.84,137.41,139.26,5077240.0
2009-07-13,137.61,139.21,129.21,136.06,4519752.0
2009-07-14,137.41,142.83,135.63,141.46,4712460.0
2009-07-15,148.19,148.19,140.42,144.13,3808968.0
2009-07-16,145.03,148.64,141.64,144.54,6188564.0
2009-07-17,145.84,158.47,145.84,156.08,6252024.0
2009-07-20,156.07,162.28,156.07,160.06,3795116.0
2009-07-21,160.08,160.48,153.73,155.71,2980348.0
2009-07-22,156.35,161.77,152.42,153.51,4461700.0
2009-07-23,154.06,162.08,154.06,160.9,5170840.0
2009-07-24,164.12,167.66,161.54,166.68,7988964.0
2009-07-27,168.3,169.51,161.69,163.81,2582176.0
2009-07-28,163.96,168.3,162.6,165.29,4651264.0
2009-07-29,165.49,171.2,161.68,168.96,5492208.0
2009-07-30,169.55,172.31,166.97,171.12,7918308.0
2009-07-31,178.1,178.49,168.0,172.32,8039524.0
2009-08-03,175.86,187.06,172.77,184.33,8284660.0
2009-08-04,184.55,189.36,180.61,185.95,7500924.0
2009-08-05,185.55,188.11,181.94,184.78,4431092.0
2009-08-06,183.55,186.13,170.5,176.63,7155904.0
2009-08-07,175.49,175.52,164.3,167.59,8099124.0
2009-08-10,168.7,170.51,150.25,152.48,15651496.0
2009-08-11,156.23,161.76,152.46,157.68,9891144.0
2009-08-12,155.26,158.27,149.62,156.0,7188964.0
2009-08-13,163.29,163.29,154.96,159.47,10776216.0
2009-08-14,158.69,162.99,157.07,158.49,8381280.0
2009-08-17,156.57,156.57,148.84,149.94,5812500.0
2009-08-18,149.45,154.86,148.69,154.24,3665696.0
2009-08-19,154.46,156.67,147.24,148.47,5508704.0
2009-08-20,150.45,156.46,150.31,155.23,3384280.0
2009-08-21,154.43,161.48,152.72,160.6,6120348.0
2009-08-24,162.45,164.03,160.98,163.17,3005956.0
2009-08-25,161.08,165.25,160.26,162.54,3677076.0
2009-08-26,164.59,165.49,161.68,163.13,3507796.0
2009-08-27,156.94,166.48,156.94,165.08,2455972.0
