,open,high,low,close,volume
2009-05-20,24.01,26.6,23.93,26.37,2361390.0
2009-05-21,26.68,30.07,26.53,28.65,3406382.0
2009-05-22,28.34,28.73,27.16,28.57,1829173.0
2009-05-25,28.73,29.52,28.38,28.89,925686.0
2009-05-26,28.73,29.75,26.76,27.16,1232287.0
2009-05-27,27.9,28.49,27.59,28.22,1392652.0
2009-05-28,28.41,29.83,28.18,29.24,1724958.0
2009-05-29,29.99,30.7,29.28,30.11,2093444.0
2009-06-01,31.09,32.35,30.62,31.88,2158684.0
2009-06-02,32.27,35.07,30.78,33.88,4447942.0
2009-06-03,34.63,34.83,32.7,33.02,1773649.0
2009-06-04,33.14,34.24,32.27,33.61,2006228.0
2009-06-05,35.3,35.3,34.55,34.91,2088004.0
2009-06-08,35.42,36.68,34.71,36.05,3219037.0
2009-06-09,35.42,36.13,34.28,34.67,1318987.0
2009-06-10,35.42,35.58,33.14,33.69,1126015.0
2009-06-11,34.24,34.59,32.27,32.47,680661.0
2009-06-12,33.14,33.26,31.48,31.6,741472.0
2009-06-15,31.88,31.88,30.34,30.62,647027.0
2009-06-16,30.5,31.48,29.83,31.41,710720.0
2009-06-17,31.88,32.51,30.34,30.66,768474.0
2009-06-18,31.09,31.09,29.52,29.71,549765.0
2009-06-19,30.34,31.09,29.75,30.85,603255.0
2009-06-22,31.48,31.48,30.3,30.62,665112.0
2009-06-23,29.91,32.15,29.56,31.96,821347.0
2009-06-24,33.06,33.18,32.0,32.19,939256.0
2009-06-25,32.66,32.9,31.41,31.56,358817.0
2009-06-26,32.04,32.47,31.09,31.88,645806.0
2009-06-29,32.19,32.47,31.6,31.96,570811.0
2009-06-30,32.27,32.35,31.44,31.52,490704.0
2009-07-01,31.64,31.96,31.41,31.8,714740.0
2009-07-02,32.45,32.86,32.04,32.7,780444.0
2009-07-03,32.13,32.98,32.13,32.82,761813.0
2009-07-06,33.52,34.25,31.47,32.29,1539301.0
2009-07-07,32.7,32.78,30.78,31.88,443076.0
2009-07-08,31.06,31.68,29.71,31.06,934908.0
2009-07-09,30.9,31.27,30.33,31.1,458792.0
2009-07-10,31.06,32.13,30.49,31.35,1217209.0
2009-07-13,30.25,30.49,29.06,29.63,398916.0
2009-07-14,30.25,30.74,29.84,30.57,329037.0
2009-07-15,31.06,31.55,30.65,31.23,550295.0
2009-07-16,31.88,32.25,31.19,31.88,528782.0
2009-07-17,31.88,32.78,31.31,32.45,685146.0
2009-07-20,32.9,32.9,31.76,32.62,688266.0
2009-07-21,32.37,33.39,32.29,32.53,1001022.0
2009-07-22,32.78,33.52,32.62,32.74,688088.0
2009-07-23,33.31,34.95,32.86,34.7,1377797.0
2009-07-24,35.76,35.97,34.78,35.11,1939975.0
2009-07-27,35.56,35.8,34.54,34.99,470806.0
2009-07-28,35.11,35.15,33.84,34.05,498801.0
2009-07-29,33.8,34.09,32.7,33.72,665177.0
2009-07-30,33.92,35.64,33.23,34.13,934866.0
2009-07-31,34.74,35.07,34.25,34.37,596310.0
2009-08-03,34.5,34.62,33.88,34.33,384337.0
2009-08-04,34.54,34.62,33.84,34.21,397490.0
2009-08-05,34.33,34.62,33.64,33.76,418547.0
2009-08-06,33.76,34.21,33.11,33.47,1082963.0
2009-08-07,33.11,33.68,32.78,33.11,440846.0
2009-08-10,33.6,33.6,32.58,32.78,354431.0
2009-08-11,33.31,33.31,32.37,32.74,277034.0
2009-08-12,32.37,32.74,31.76,32.13,564242.0
2009-08-13,32.7,33.47,32.7,33.23,316440.0
2009-08-14,33.52,33.76,33.03,33.35,216426.0
2009-08-17,33.11,33.11,32.58,32.7,261724.0
2009-08-18,32.49,33.43,32.33,32.94,250059.0
2009-08-19,33.11,33.43,32.45,32.62,209163.0
2009-08-20,32.7,33.72,32.62,32.98,423067.0
2009-08-21,32.94,33.6,32.74,33.56,511859.0
2009-08-24,33.76,34.13,33.19,33.35,232058.0
2009-08-25,33.35,33.47,32.9,32.94,219539.0
2009-08-26,33.23,33.23,32.7,32.78,332309.0
2009-08-27,32.78,33.23,32.53,32.9,188152.0
2009-08-28,33.11,33.43,32.9,33.19,361228.0
2009-08-31,33.23,33.27,32.78,32.98,224389.0
2009-09-01,32.98,34.33,32.74,32.98,544727.0
2009-09-02,32.7,33.23,32.7,32.74,181820.0
2009-09-03,32.78,33.19,32.7,32.74,214686.0
2009-09-04,33.03,33.23,32.7,33.03,273450.0
2009-09-07,33.07,34.41,33.03,33.68,817771.0
2009-09-08,34.25,34.25,33.19,33.27,478617.0
2009-09-09,33.72,33.72,32.98,33.15,242836.0
2009-09-10,33.52,33.84,33.11,33.19,377568.0
2009-09-11,33.39,35.11,32.9,34.54,1983549.0
2009-09-14,34.58,35.85,34.58,34.99,2072558.0
2009-09-15,35.07,36.17,35.07,35.89,1780480.0
2009-09-16,36.42,37.03,35.89,36.05,1649124.0
2009-09-17,36.5,36.54,34.95,35.52,1294667.0
2009-09-18,35.52,35.72,34.37,34.66,760803.0
2009-09-22,34.66,35.15,33.6,34.74,553394.0
2009-09-23,35.03,36.34,34.78,35.11,1349203.0
2009-09-24,35.11,38.99,34.82,38.5,4882935.0
2009-09-25,37.28,40.46,37.28,37.77,4811090.0
2009-09-29,38.75,39.56,37.24,37.4,1106757.0
2009-09-30,37.52,38.58,37.11,38.34,1585080.0
2009-10-01,38.42,38.58,37.48,37.68,897083.0
2009-10-05,37.6,38.18,36.66,36.87,1145113.0
2009-10-06,37.52,37.52,35.97,37.19,1134605.0
2009-10-07,37.77,38.42,36.99,37.48,1000344.0
2009-10-08,37.44,37.77,36.83,37.32,888523.0
2009-10-09,37.4,37.73,36.54,36.7,680108.0
2009-10-12,36.79,37.93,36.79,37.6,596326.0
2009-10-14,38.01,38.83,37.85,38.46,888615.0
2009-10-15,38.83,39.81,38.26,38.99,1179492.0
