,open,high,low,close,volume
2009-05-20,911.23,972.68,901.49,957.02,1492589.0
2009-05-21,942.46,957.02,879.68,890.33,1440592.0
2009-05-22,883.67,895.52,876.32,883.63,1387314.0
2009-05-25,884.13,905.26,880.0,894.1,553098.0
2009-05-26,894.23,900.21,870.81,879.91,465220.0
2009-05-27,891.2,902.96,869.16,895.15,584867.0
2009-05-28,895.15,945.03,886.7,922.11,1886752.0
2009-05-29,926.84,952.98,902.96,943.47,1690981.0
2009-06-01,941.54,975.53,941.54,957.52,750208.0
2009-06-02,950.73,963.59,937.41,951.69,1394295.0
2009-06-03,946.13,976.72,939.47,959.82,812232.0
2009-06-04,946.13,996.38,946.13,991.05,956533.0
2009-06-05,992.06,1022.19,982.97,998.59,623638.0
2009-06-08,987.52,1013.19,942.6,966.21,751314.0
2009-06-09,945.22,1021.27,923.31,1001.2,560514.0
2009-06-10,1010.44,1027.89,1001.25,1019.02,671173.0
2009-06-11,985.95,1020.54,985.95,1008.09,481712.0
2009-06-12,967.86,1024.08,967.86,996.75,854058.0
2009-06-15,961.15,995.55,961.15,978.7,473583.0
2009-06-16,961.15,1004.83,955.32,987.98,613585.0
2009-06-17,984.07,997.02,964.51,974.66,560998.0
2009-06-18,969.1,973.6,941.68,947.74,474395.0
2009-06-19,950.73,977.37,947.33,964.41,410019.0
2009-06-22,973.69,987.24,953.53,979.39,354924.0
2009-06-23,966.34,980.03,951.65,967.58,806325.0
2009-06-24,969.1,978.19,945.22,973.6,661162.0
2009-06-25,981.04,981.96,927.67,942.28,584588.0
2009-06-26,952.56,977.04,935.2,973.0,441041.0
2009-06-29,972.87,991.88,953.8,980.95,279147.0
2009-06-30,987.47,990.32,964.51,981.91,670630.0
2009-07-01,990.23,997.57,967.26,984.94,425206.0
2009-07-02,992.06,992.06,945.22,966.71,309181.0
2009-07-03,964.23,980.03,955.46,972.54,272949.0
2009-07-06,972.54,986.18,910.77,953.12,801787.0
2009-07-07,944.94,1019.62,936.95,992.2,719619.0
2009-07-08,973.69,1018.15,970.48,1012.5,850417.0
2009-07-09,1017.78,1032.48,1001.34,1009.65,485334.0
2009-07-10,1005.84,1024.21,981.73,1013.74,659226.0
2009-07-13,1001.25,1005.75,955.69,980.12,319362.0
2009-07-14,986.83,1005.84,981.36,997.35,828890.0
2009-07-15,996.66,1026.74,978.61,1019.12,488421.0
2009-07-16,1024.31,1058.57,997.85,1049.02,657947.0
2009-07-17,1064.63,1096.46,1054.53,1085.25,1156812.0
2009-07-20,1091.27,1120.57,1087.6,1111.25,691039.0
2009-07-21,1083.92,1146.84,1083.92,1139.08,591621.0
2009-07-22,1139.95,1148.18,1103.21,1115.43,542016.0
2009-07-23,1120.66,1198.74,1120.66,1190.29,1811332.0
2009-07-24,1195.07,1285.92,1191.49,1266.03,1721907.0
2009-07-27,1274.99,1280.5,1239.8,1258.36,673482.0
2009-07-28,1258.45,1302.54,1235.49,1275.95,972544.0
2009-07-29,1281.42,1303.42,1251.1,1284.22,675425.0
2009-07-30,1268.55,1301.58,1259.37,1283.3,954939.0
2009-07-31,1317.24,1330.7,1287.85,1299.28,577930.0
2009-08-03,1296.11,1363.17,1296.11,1352.05,705685.0
2009-08-04,1350.17,1392.47,1331.94,1371.02,1168701.0
2009-08-05,1391.64,1391.64,1314.76,1324.31,838345.0
2009-08-06,1325.51,1326.24,1232.91,1253.58,1287527.0
2009-08-07,1240.08,1244.67,1177.62,1188.09,1983765.0
2009-08-10,1212.38,1224.28,1125.35,1146.89,2630057.0
2009-08-11,1120.66,1202.88,1120.66,1190.75,1467531.0
2009-08-12,1168.43,1193.14,1153.55,1185.06,917422.0
2009-08-13,1221.71,1273.06,1195.07,1261.3,1546332.0
2009-08-14,1258.45,1272.23,1232.73,1239.39,731351.0
2009-08-17,1217.11,1221.71,1162.51,1171.74,784965.0
2009-08-18,1179.01,1214.94,1166.35,1197.8,770068.0
2009-08-19,1204.8,1225.07,1174.45,1199.14,785510.0
2009-08-20,1215.86,1266.52,1212.45,1262.37,1169291.0
2009-08-21,1258.23,1280.34,1242.34,1278.68,883022.0
2009-08-24,1291.43,1328.14,1284.94,1318.75,860804.0
2009-08-25,1315.34,1333.76,1299.68,1305.9,777467.0
2009-08-26,1321.79,1321.79,1281.3,1294.38,693776.0
2009-08-27,1287.7,1312.57,1274.44,1304.19,1179483.0
2009-08-28,1312.57,1323.63,1280.34,1309.26,543476.0
2009-08-31,1299.82,1343.89,1283.37,1324.32,751627.0
2009-09-01,1332.84,1437.84,1331.59,1418.92,2722272.0
2009-09-02,1423.11,1446.04,1383.5,1390.22,1374367.0
2009-09-03,1407.13,1416.94,1376.22,1388.47,822449.0
