,open,high,low,close,volume
2009-05-20,67.76,70.11,55.45,67.97,454692.0
2009-05-21,68.67,73.97,68.67,69.64,640872.0
2009-05-22,68.86,71.56,67.4,68.3,191772.0
2009-05-25,68.68,70.25,68.67,68.73,179620.0
2009-05-26,69.57,74.54,65.96,67.04,635792.0
2009-05-27,68.85,70.47,67.58,68.25,215192.0
2009-05-28,68.67,70.83,65.96,66.21,751948.0
2009-05-29,67.76,69.33,66.68,67.42,327008.0
2009-06-01,69.21,69.21,66.98,67.72,260188.0
2009-06-02,68.62,81.68,68.62,80.25,3636372.0
2009-06-03,81.68,91.61,80.95,87.81,2898816.0
2009-06-04,88.18,91.25,84.96,89.73,1202508.0
2009-06-05,88.54,90.35,82.45,83.93,472900.0
2009-06-08,84.03,87.64,77.1,79.55,298236.0
2009-06-09,78.6,83.81,76.44,80.32,366392.0
2009-06-10,82.22,87.82,79.87,83.73,683264.0
2009-06-11,83.66,85.42,80.65,81.75,183220.0
2009-06-12,81.88,84.03,78.08,78.87,149844.0
2009-06-15,80.8,83.12,76.27,77.37,223844.0
2009-06-16,75.89,79.27,75.89,77.42,152284.0
2009-06-17,77.74,80.23,73.54,74.44,105432.0
2009-06-18,76.26,86.94,76.26,80.26,2782756.0
2009-06-19,82.04,82.76,75.29,76.94,943428.0
2009-06-22,77.88,81.84,76.19,78.22,532308.0
2009-06-23,76.07,83.47,74.99,81.48,1191444.0
2009-06-24,82.4,84.95,81.54,82.41,425708.0
2009-06-25,83.39,91.58,82.22,89.99,2425344.0
2009-06-26,91.25,93.06,86.63,87.51,1582612.0
2009-06-29,88.34,91.25,87.28,89.36,477356.0
2009-06-30,90.07,90.07,84.21,84.96,142668.0
2009-07-01,85.83,89.27,83.3,83.94,280636.0
2009-07-02,85.11,87.82,84.6,85.87,156708.0
2009-07-03,84.21,86.01,82.89,83.45,105900.0
2009-07-06,84.36,95.73,81.31,86.73,4734780.0
2009-07-07,87.82,93.95,87.68,90.0,1504236.0
2009-07-08,88.2,89.45,84.03,84.66,277484.0
2009-07-09,85.29,90.66,85.11,86.55,869836.0
2009-07-10,87.1,90.86,86.7,88.9,560316.0
2009-07-13,88.18,88.72,83.66,84.85,190268.0
2009-07-14,86.76,90.89,86.76,88.19,743336.0
2009-07-15,89.61,90.71,87.82,89.86,373252.0
2009-07-16,90.53,91.69,86.74,87.51,203416.0
2009-07-17,88.73,90.71,87.64,88.15,229620.0
2009-07-20,90.35,101.52,89.99,99.9,2449448.0
2009-07-21,101.25,106.22,87.1,87.1,6875108.0
2009-07-22,88.9,91.25,83.73,85.18,1946764.0
2009-07-23,87.46,88.33,81.31,81.99,2647788.0
2009-07-24,83.7,84.21,81.55,82.01,1148576.0
2009-07-27,83.12,83.99,80.23,80.86,580108.0
2009-07-28,81.63,82.22,79.76,80.7,837484.0
2009-07-29,80.68,82.1,77.74,78.93,681616.0
2009-07-30,78.24,80.94,76.44,80.06,1279564.0
2009-07-31,81.04,85.81,80.41,83.85,2793620.0
2009-08-03,84.93,84.93,81.51,82.23,496172.0
2009-08-04,83.12,85.29,81.87,82.37,734600.0
2009-08-05,82.76,83.07,80.47,80.93,431800.0
2009-08-06,81.31,82.76,78.6,79.25,497904.0
2009-08-07,79.65,79.83,76.98,77.32,337908.0
2009-08-10,78.06,83.47,77.11,81.68,1292256.0
2009-08-11,82.22,84.73,81.31,82.1,824112.0
2009-08-12,80.61,81.69,79.51,80.03,188636.0
2009-08-13,80.41,82.44,80.41,82.05,247144.0
2009-08-14,82.58,83.97,81.86,83.29,395684.0
2009-08-17,82.58,85.66,80.05,81.65,508656.0
2009-08-18,81.84,83.61,80.41,82.62,254672.0
2009-08-19,82.76,84.75,81.82,83.39,537504.0
2009-08-20,84.03,88.15,83.4,87.25,1827412.0
2009-08-21,83.57,89.39,83.57,87.53,851800.0
2009-08-24,88.0,91.52,87.64,90.69,1003564.0
2009-08-25,90.17,94.51,89.67,93.97,1293932.0
2009-08-26,93.97,100.08,93.96,95.47,4494516.0
2009-08-27,96.67,97.38,92.36,93.29,4078012.0
2009-08-28,93.24,98.79,91.46,96.47,1851492.0
2009-08-31,94.87,97.76,93.06,94.89,679728.0
2009-09-01,95.41,95.77,90.58,92.13,612424.0
2009-09-02,93.06,95.32,91.07,93.73,1058776.0
2009-09-03,94.87,95.05,91.25,92.1,530464.0
2009-09-04,93.96,95.64,93.06,93.71,1723648.0
2009-09-07,94.61,95.59,93.15,94.84,1311656.0
