,open,high,low,close,volume
2009-05-20,5.27,5.6,5.21,5.33,208441.0
2009-05-21,5.21,5.34,4.94,5.26,338256.0
2009-05-22,5.24,5.31,5.07,5.18,60173.0
2009-05-25,5.21,5.27,5.12,5.16,306674.0
2009-05-26,5.33,5.54,4.82,4.89,444971.0
2009-05-27,5.07,5.31,5.07,5.09,346799.0
2009-05-28,5.29,5.29,5.07,5.17,59558.0
2009-05-29,5.11,5.34,5.11,5.27,123231.0
2009-06-01,5.41,5.54,5.17,5.44,315065.0
2009-06-02,5.48,5.68,5.27,5.28,117999.0
2009-06-03,5.47,5.47,5.17,5.2,129868.0
2009-06-04,5.23,5.23,5.14,5.16,68799.0
2009-06-05,5.21,5.3,5.07,5.09,115979.0
2009-06-08,5.04,5.27,4.82,4.9,68344.0
2009-06-09,4.87,5.0,4.79,4.91,60082.0
2009-06-10,5.07,5.14,4.67,4.76,684728.0
2009-06-11,4.96,4.96,4.74,4.81,36184.0
2009-06-12,4.87,4.87,4.63,4.69,40467.0
2009-06-15,4.73,4.73,4.6,4.61,22386.0
2009-06-16,4.6,4.87,4.53,4.76,40118.0
2009-06-17,4.77,4.77,4.47,4.52,43975.0
2009-06-18,4.6,4.67,4.23,4.28,71427.0
2009-06-19,4.33,4.86,4.33,4.66,73788.0
2009-06-22,4.8,4.8,4.56,4.67,15841.0
2009-06-23,4.56,4.83,4.44,4.73,58009.0
2009-06-24,4.9,4.9,4.62,4.71,158436.0
2009-06-25,4.86,4.86,4.53,4.55,37627.0
2009-06-26,4.56,4.7,4.43,4.53,199199.0
2009-06-29,4.5,5.4,4.47,5.06,4097367.0
2009-06-30,5.32,5.32,5.07,5.1,2916699.0
2009-07-01,5.14,5.31,4.96,5.26,675806.0
2009-07-02,5.32,5.39,5.16,5.29,579259.0
2009-07-03,5.27,5.3,5.12,5.21,376513.0
2009-07-06,4.97,5.26,4.77,4.86,428325.0
2009-07-07,4.8,5.17,4.6,4.95,319932.0
2009-07-08,5.0,5.07,4.67,4.96,230060.0
2009-07-09,5.0,5.07,4.83,5.04,170518.0
2009-07-10,4.88,5.1,4.82,4.96,135336.0
2009-07-13,4.83,5.06,4.6,4.88,301669.0
2009-07-14,4.94,5.0,4.81,4.87,79453.0
2009-07-15,4.94,5.07,4.8,5.01,191066.0
2009-07-16,5.14,5.75,4.94,5.03,165597.0
2009-07-17,4.91,5.38,4.91,5.31,262615.0
2009-07-20,5.08,5.4,5.07,5.32,320274.0
2009-07-21,5.3,5.3,5.04,5.23,89340.0
2009-07-22,5.22,5.34,5.17,5.32,320206.0
2009-07-23,5.27,5.37,5.15,5.19,335553.0
2009-07-24,5.27,5.54,5.17,5.26,8774958.0
2009-07-27,5.27,5.38,5.17,5.25,943668.0
2009-07-28,5.34,5.38,5.14,5.3,462710.0
2009-07-29,5.34,5.4,5.0,5.21,478907.0
2009-07-30,5.09,5.41,5.09,5.27,526520.0
2009-07-31,5.34,5.34,5.18,5.25,225527.0
