,open,high,low,close,volume
2009-05-20,134.91,146.92,132.04,146.92,162564.0
2009-05-21,153.1,155.19,139.26,141.44,119558.0
2009-05-22,141.61,143.53,130.73,135.08,56650.0
2009-05-25,134.91,143.44,127.95,138.43,27117.0
2009-05-26,138.83,142.74,128.82,130.91,29841.0
2009-05-27,133.86,138.39,132.3,136.3,36585.0
2009-05-28,142.16,144.79,134.73,136.78,57938.0
2009-05-29,136.87,143.48,134.9,140.11,61659.0
2009-06-01,141.73,153.62,141.73,151.66,179080.0
2009-06-02,153.32,155.72,144.53,149.47,662774.0
2009-06-03,149.47,162.63,145.88,158.65,487923.0
2009-06-04,158.35,162.2,155.29,156.51,96024.0
2009-06-05,160.32,166.92,157.47,159.27,175994.0
2009-06-08,160.97,160.97,143.34,144.18,57503.0
2009-06-09,141.73,143.48,132.19,142.08,95193.0
2009-06-10,144.35,154.85,140.06,141.51,50310.0
2009-06-11,137.53,145.14,136.48,139.84,31645.0
2009-06-12,142.51,142.51,128.6,131.27,34183.0
2009-06-15,129.48,132.8,119.5,120.9,53441.0
2009-06-16,114.56,128.17,111.98,124.14,49454.0
2009-06-17,120.82,126.81,115.09,116.49,36752.0
2009-06-18,116.36,116.79,107.08,109.88,46646.0
2009-06-19,113.73,120.9,109.36,118.76,432208.0
2009-06-22,123.31,126.02,118.19,118.8,112555.0
2009-06-23,117.23,123.35,113.73,120.38,47152.0
2009-06-24,121.17,125.85,119.9,121.78,48105.0
2009-06-25,122.57,125.02,116.36,118.32,23098.0
2009-06-26,120.73,127.55,118.28,124.71,52210.0
2009-06-29,123.35,128.6,123.35,126.94,29041.0
2009-06-30,129.92,131.23,122.52,124.32,39956.0
2009-07-01,120.95,136.78,120.95,135.51,140091.0
2009-07-02,136.48,136.48,126.94,132.54,72572.0
2009-07-03,130.35,133.76,125.54,131.97,32158.0
2009-07-06,123.44,137.35,121.6,125.89,57107.0
2009-07-07,126.81,131.05,122.61,127.38,23176.0
2009-07-08,123.35,127.73,119.46,124.05,24636.0
2009-07-09,130.18,130.18,120.9,126.98,24447.0
2009-07-10,126.85,129.26,119.11,122.22,26032.0
2009-07-13,119.9,125.54,119.42,124.49,57823.0
2009-07-14,127.73,135.43,126.85,130.92,628978.0
2009-07-15,133.06,135.6,129.7,130.62,75581.0
2009-07-16,132.98,134.51,124.45,128.3,51789.0
2009-07-17,128.87,132.98,128.6,130.66,33484.0
2009-07-20,132.98,132.98,125.98,127.51,31356.0
2009-07-21,127.73,129.35,126.24,127.95,17942.0
2009-07-22,130.31,130.31,123.84,125.41,47765.0
2009-07-23,127.16,128.56,125.98,126.94,10860.0
2009-07-24,128.6,128.6,124.8,126.77,22687.0
2009-07-27,127.73,135.6,124.27,128.52,130787.0
2009-07-28,127.86,131.97,126.28,127.73,41190.0
2009-07-29,126.85,130.09,123.79,125.45,27147.0
2009-07-30,123.97,128.21,123.88,127.47,18710.0
2009-07-31,130.18,138.58,128.08,134.68,403981.0
2009-08-03,135.86,137.7,133.55,136.13,97729.0
2009-08-04,139.89,139.93,127.82,130.22,92607.0
2009-08-05,132.54,133.81,126.85,130.22,37898.0
2009-08-06,128.6,133.85,123.35,124.49,69897.0
2009-08-07,125.98,125.98,120.73,122.35,35389.0
2009-08-10,122.57,125.98,114.82,118.59,30469.0
2009-08-11,117.23,122.48,117.23,119.37,18021.0
2009-08-12,115.57,124.1,115.57,122.74,20159.0
