,open,high,low,close,volume
2009-05-20,192.99,207.02,192.25,202.72,1000869.0
2009-05-21,216.0,225.58,202.12,211.77,1598665.0
2009-05-22,214.07,243.99,212.7,235.15,1321027.0
2009-05-25,235.3,244.21,228.92,238.94,461224.0
2009-05-26,244.8,244.8,222.31,224.28,282443.0
2009-05-27,235.3,244.95,230.85,242.8,342720.0
2009-05-28,245.69,253.0,238.34,248.55,580807.0
2009-05-29,253.86,253.86,243.47,250.07,412607.0
2009-06-01,250.89,260.54,248.66,254.64,687716.0
2009-06-02,256.09,258.24,245.32,249.14,230231.0
2009-06-03,256.83,256.83,241.31,250.85,310590.0
2009-06-04,240.87,254.23,239.01,241.65,327925.0
2009-06-05,243.17,246.66,237.53,239.76,219141.0
2009-06-08,239.83,250.07,234.56,237.19,252965.0
2009-06-09,230.55,254.49,210.36,251.15,702345.0
2009-06-10,256.09,274.64,253.86,263.32,938309.0
2009-06-11,263.47,270.04,254.6,262.8,329222.0
2009-06-12,264.25,268.7,258.31,262.62,298623.0
2009-06-15,254.9,265.51,254.9,257.57,88155.0
2009-06-16,251.19,264.18,251.19,259.2,104865.0
2009-06-17,259.76,263.51,253.3,256.57,177588.0
2009-06-18,253.86,280.43,253.86,273.53,761505.0
2009-06-19,278.35,297.84,275.61,290.23,789486.0
2009-06-22,294.68,295.43,278.43,285.07,535852.0
2009-06-23,282.06,296.17,279.91,287.67,435553.0
2009-06-24,294.24,299.14,280.58,290.56,377619.0
2009-06-25,291.79,300.4,286.59,288.45,539705.0
2009-06-26,292.75,306.78,290.23,302.74,287782.0
2009-06-29,303.59,308.82,288.08,291.71,327521.0
2009-06-30,299.81,299.81,285.03,287.37,463099.0
2009-07-01,291.71,296.17,271.97,274.53,367982.0
2009-07-02,278.35,278.35,267.22,273.94,687367.0
2009-07-03,270.93,283.92,269.45,270.75,287623.0
2009-07-06,273.16,273.16,246.44,260.61,454074.0
2009-07-07,266.48,277.61,264.4,272.9,174369.0
2009-07-08,265.07,279.84,262.28,271.23,213418.0
2009-07-09,273.71,282.44,261.99,275.53,316610.0
2009-07-10,279.84,287.89,268.07,272.71,305676.0
2009-07-13,268.63,272.27,264.25,268.56,87793.0
2009-07-14,270.93,278.2,269.63,273.83,1038443.0
2009-07-15,274.64,276.79,268.93,273.16,449003.0
2009-07-16,274.57,282.06,269.52,271.64,248488.0
2009-07-17,273.9,295.43,273.23,286.07,1412440.0
2009-07-20,289.49,315.47,289.49,306.6,1852603.0
2009-07-21,311.68,318.44,305.15,312.65,1924119.0
2009-07-22,313.24,315.47,298.39,308.53,574959.0
2009-07-23,311.16,315.47,302.25,304.11,445235.0
2009-07-24,307.52,324.37,306.19,314.69,710416.0
2009-07-27,315.47,326.6,310.35,313.24,506995.0
2009-07-28,315.47,324.97,312.5,319.66,484208.0
2009-07-29,324.67,329.2,302.85,326.23,536810.0
2009-07-30,327.42,355.85,321.41,351.39,1423827.0
2009-07-31,358.15,374.81,345.23,354.07,1353899.0
2009-08-03,356.29,384.5,353.43,381.68,1372624.0
2009-08-04,378.56,385.98,361.86,368.73,928427.0
2009-08-05,370.4,375.44,357.33,364.94,388648.0
2009-08-06,367.43,367.43,342.19,346.61,687583.0
2009-08-07,345.16,364.38,341.67,354.59,1008978.0
2009-08-10,360.0,380.49,353.32,374.29,1057516.0
2009-08-11,377.82,385.39,364.09,371.18,627010.0
2009-08-12,369.54,387.25,359.78,371.69,1210320.0
2009-08-13,374.85,384.46,371.29,375.96,693742.0
2009-08-14,380.49,395.63,367.2,391.96,1462068.0
2009-08-17,382.27,398.6,363.79,366.83,1482828.0
2009-08-18,363.72,404.99,363.72,399.23,2534141.0
2009-08-19,400.9,410.48,381.46,399.12,2483487.0
