,open,high,low,close,volume
2009-05-20,2306.17,2491.83,2306.17,2478.69,1941.0
2009-05-21,2487.14,2726.36,2474.29,2639.68,5655.0
2009-05-22,2540.69,2784.99,2540.69,2675.89,3455.0
2009-05-25,2784.99,3417.23,2784.99,3205.91,24814.0
2009-05-26,3302.9,3420.16,2980.43,3034.96,17111.0
2009-05-27,3263.81,3263.81,3082.06,3110.34,4647.0
2009-05-28,3126.03,3170.98,3048.83,3067.94,3411.0
2009-05-29,3127.01,3166.09,3029.29,3089.78,4067.0
2009-06-01,3166.09,3332.22,3068.38,3293.32,7446.0
2009-06-02,3307.79,3366.42,3103.07,3151.92,6626.0
2009-06-03,3224.73,3419.19,3151.44,3334.9,8510.0
2009-06-04,3322.44,3395.73,3303.93,3354.01,4149.0
2009-06-05,3312.67,3391.82,3273.58,3304.07,2076.0
2009-06-08,3469.02,3591.17,3332.22,3386.65,9592.0
2009-06-09,3371.3,3492.48,3322.44,3432.92,5749.0
2009-06-10,3454.37,3576.51,3376.19,3404.92,6287.0
2009-06-11,3516.42,3516.42,3362.56,3416.16,5177.0
2009-06-12,3400.67,3467.02,3302.9,3330.6,3499.0
2009-06-15,3362.66,3381.08,3225.7,3232.1,1432.0
2009-06-16,3176.84,3381.56,3175.87,3332.07,6339.0
2009-06-17,3518.86,3811.04,3322.44,3374.97,36864.0
2009-06-18,3298.01,3564.74,3186.61,3293.08,8349.0
2009-06-19,3416.25,3469.02,3249.16,3308.81,7442.0
2009-06-22,3317.56,3370.33,3224.73,3243.63,2883.0
2009-06-23,3175.87,3207.14,3131.89,3156.32,2555.0
2009-06-24,3195.41,3517.88,3151.44,3324.89,5394.0
2009-06-25,3420.16,3615.5,3202.25,3231.22,3059.0
2009-06-26,3229.61,3322.44,3224.73,3287.41,2342.0
2009-06-29,3274.56,3317.27,3249.15,3272.71,1308.0
2009-06-30,3278.47,3329.97,3234.01,3310.62,3144.0
2009-07-01,3339.94,3659.48,3236.45,3565.47,8698.0
2009-07-02,3714.3,4274.23,3506.16,3594.74,42126.0
2009-07-03,3488.03,3593.13,3488.03,3518.91,5561.0
2009-07-06,3556.97,3585.31,3254.19,3302.71,5480.0
2009-07-07,3354.69,3354.69,3235.47,3269.68,2721.0
2009-07-08,3159.25,3241.34,3136.49,3162.87,2560.0
2009-07-09,3146.55,3273.58,3141.66,3223.99,3156.0
2009-07-10,3302.9,3371.3,3156.32,3200.64,5138.0
2009-07-13,3127.01,3172.94,3029.34,3050.0,2028.0
2009-07-14,3126.96,3175.82,3078.2,3125.74,2763.0
2009-07-15,3151.44,3249.16,3142.98,3195.85,5477.0
2009-07-16,3306.81,3306.81,3146.55,3171.42,3180.0
2009-07-17,3224.73,3410.39,3167.12,3318.34,6585.0
2009-07-20,3365.44,3365.44,3287.27,3302.22,3900.0
2009-07-21,3273.58,3360.55,3247.69,3304.46,2438.0
2009-07-22,3346.87,3407.46,3300.99,3317.95,4173.0
2009-07-23,3327.33,3503.23,3322.45,3439.85,7781.0
2009-07-24,3555.02,3769.02,3466.09,3732.67,19734.0
2009-07-27,3762.18,4479.24,3615.65,4359.83,74573.0
2009-07-28,4397.35,4837.09,4377.81,4542.56,42655.0
2009-07-29,4490.19,4543.93,4251.75,4454.37,19534.0
2009-07-30,4617.22,4844.91,4585.95,4614.14,17940.0
2009-07-31,4729.6,4778.41,4504.84,4534.94,8379.0
2009-08-03,4348.49,4680.74,4348.49,4519.11,4408.0
2009-08-04,4534.16,4783.34,4475.58,4556.54,12469.0
2009-08-05,4651.42,4651.42,4511.68,4527.37,3795.0
2009-08-06,4530.3,4747.33,4512.65,4526.05,11140.0
2009-08-07,4493.1,4538.08,4314.15,4357.13,5736.0
2009-08-10,4400.2,4546.29,4204.64,4227.47,5346.0
2009-08-11,4204.64,4273.09,4034.5,4170.37,5290.0
2009-08-12,4106.86,4219.31,4087.3,4130.71,5462.0
2009-08-13,4233.0,4273.09,4165.53,4216.96,4486.0
2009-08-14,4246.68,4249.62,4136.19,4161.66,2828.0
2009-08-17,4155.75,4248.64,4111.74,4140.2,5625.0
2009-08-18,4165.53,4198.77,4108.71,4130.13,3020.0
2009-08-19,4136.19,4170.41,4072.73,4087.49,2872.0
2009-08-20,4116.63,4351.31,4088.28,4207.43,8567.0
2009-08-21,4204.64,4272.11,4116.63,4191.14,4404.0
2009-08-24,4253.53,4361.68,4194.86,4246.24,6543.0
2009-08-25,4145.97,4263.31,4145.97,4211.97,2022.0
2009-08-26,4261.35,4261.35,4189.97,4216.57,2660.0
