,open,high,low,close,volume
2009-05-20,9.64,10.55,9.64,10.27,219135.0
2009-05-21,10.31,10.97,10.25,10.42,206260.0
2009-05-22,10.44,10.63,10.2,10.43,104785.0
2009-05-25,10.69,11.48,9.52,11.47,458365.0
2009-05-26,11.84,11.84,10.44,10.66,223870.0
2009-05-27,10.61,11.73,10.34,11.64,302110.0
2009-05-28,11.38,12.8,10.51,11.78,541055.0
2009-05-29,11.64,12.03,11.38,11.47,241280.0
2009-06-01,11.52,11.8,11.28,11.64,167185.0
2009-06-02,11.78,12.42,11.61,12.13,334975.0
2009-06-03,12.05,12.17,11.84,12.01,147290.0
2009-06-04,12.74,12.98,12.52,12.87,86180.0
2009-06-05,12.95,13.21,12.21,12.44,125165.0
2009-06-08,12.23,12.52,11.52,12.21,234835.0
2009-06-09,12.08,12.08,11.73,11.95,194715.0
2009-06-10,11.94,12.49,11.87,12.11,138275.0
2009-06-11,11.98,12.07,11.88,12.04,99490.0
2009-06-12,12.52,13.21,12.34,12.5,584450.0
2009-06-15,12.66,13.06,12.16,12.3,238705.0
2009-06-16,12.08,12.43,12.03,12.31,73540.0
2009-06-17,12.32,12.36,11.8,11.85,139480.0
2009-06-18,11.65,11.94,11.08,11.42,71210.0
2009-06-19,11.33,11.93,11.22,11.43,55915.0
2009-06-22,11.8,11.8,11.15,11.23,75050.0
2009-06-23,11.02,11.51,10.89,11.26,26835.0
2009-06-24,11.22,11.8,11.22,11.71,73655.0
2009-06-25,11.78,12.83,11.65,12.6,484795.0
2009-06-26,12.82,13.08,12.08,12.21,524125.0
2009-06-29,12.08,12.59,12.08,12.35,120345.0
2009-06-30,12.34,12.34,11.77,11.8,60495.0
2009-07-01,11.91,12.18,11.23,11.48,98125.0
2009-07-02,11.65,12.08,11.3,11.8,96360.0
2009-07-03,11.51,11.8,11.39,11.51,102225.0
2009-07-06,11.7,11.8,10.85,11.06,141670.0
2009-07-07,11.23,11.65,10.93,11.47,100570.0
2009-07-08,10.98,11.48,10.85,11.29,93105.0
2009-07-09,11.08,11.36,10.93,11.02,59565.0
2009-07-10,10.99,11.27,10.97,11.14,73815.0
2009-07-13,10.74,11.29,10.74,11.11,100275.0
2009-07-14,10.99,11.39,10.99,11.21,63005.0
2009-07-15,11.23,11.57,11.23,11.41,128615.0
2009-07-16,11.64,12.08,11.51,11.77,138025.0
2009-07-17,11.57,12.05,11.57,11.8,87445.0
2009-07-20,9.45,11.65,9.45,11.49,2173125.0
2009-07-21,11.51,11.64,11.08,11.22,178280.0
2009-07-22,11.51,11.58,10.93,10.99,143805.0
2009-07-23,10.65,11.51,10.65,11.24,113775.0
2009-07-24,11.24,11.46,11.11,11.19,189530.0
2009-07-27,11.22,11.5,11.13,11.4,94960.0
2009-07-28,11.51,11.52,11.26,11.31,116065.0
2009-07-29,11.36,11.8,11.26,11.57,211430.0
2009-07-30,11.76,12.18,11.53,11.74,263135.0
2009-07-31,11.8,11.85,11.13,11.24,186240.0
2009-08-03,11.41,11.43,11.13,11.36,81150.0
2009-08-04,11.42,11.52,11.14,11.15,65120.0
2009-08-05,11.22,11.54,11.11,11.47,126535.0
2009-08-06,11.44,12.04,11.23,11.38,206530.0
2009-08-07,11.26,11.54,11.11,11.17,81670.0
2009-08-10,11.36,12.28,11.12,11.52,635575.0
2009-08-11,12.23,13.82,11.91,13.63,8461260.0
2009-08-12,13.59,16.36,13.54,16.29,24272105.0
2009-08-13,16.97,17.92,16.61,17.12,14986600.0
2009-08-14,17.22,17.26,15.41,15.46,5116955.0
2009-08-17,14.67,16.02,14.15,14.62,5837245.0
2009-08-18,14.63,15.45,14.42,14.64,2197885.0
2009-08-19,14.69,15.05,13.84,14.08,1237760.0
2009-08-20,14.35,14.5,13.34,13.46,951540.0
2009-08-21,13.31,13.95,13.03,13.76,1881965.0
2009-08-24,13.85,14.51,13.67,14.0,830175.0
2009-08-25,14.13,14.52,14.05,14.13,1501435.0
2009-08-26,14.3,14.53,14.16,14.27,894115.0
2009-08-27,14.28,14.53,13.98,14.04,575525.0
2009-08-28,14.21,15.45,13.95,15.45,3199390.0
2009-08-31,15.78,16.18,15.04,15.17,2379360.0
2009-09-01,15.38,15.46,14.37,14.61,903595.0
