,open,high,low,close,volume
2009-05-20,54.28,56.51,52.95,54.55,2411916.0
2009-05-21,54.58,55.59,52.79,54.14,1905520.0
2009-05-22,53.98,54.71,51.01,53.14,1370580.0
2009-05-25,54.65,55.01,50.6,51.66,1326468.0
2009-05-26,51.3,52.46,49.3,50.21,1306344.0
2009-05-27,50.49,53.53,50.41,53.19,1457940.0
2009-05-28,52.79,54.24,50.63,52.44,3085480.0
2009-05-29,53.24,53.68,52.12,52.66,928684.0
2009-06-01,53.24,54.58,51.17,52.62,1539860.0
2009-06-02,52.79,55.02,50.86,52.01,938428.0
2009-06-03,52.79,53.97,51.39,52.88,1750192.0
2009-06-04,52.05,52.05,50.32,51.1,1835568.0
2009-06-05,52.05,52.72,51.05,51.78,1153984.0
2009-06-08,51.6,51.75,48.06,48.66,1006632.0
2009-06-09,48.33,51.23,46.84,49.74,3647724.0
2009-06-10,49.83,52.9,49.83,51.27,4122976.0
2009-06-11,52.33,54.35,51.16,53.44,3483108.0
2009-06-12,54.13,54.97,53.09,53.94,4361384.0
2009-06-15,54.28,54.72,52.94,54.0,2556668.0
2009-06-16,53.37,55.53,52.49,54.39,2212964.0
2009-06-17,53.39,54.79,52.94,53.48,1638996.0
2009-06-18,53.48,54.87,52.05,52.66,1996436.0
2009-06-19,52.98,54.13,49.83,51.48,2560896.0
2009-06-22,51.3,52.46,48.27,49.82,2431844.0
2009-06-23,49.07,49.07,45.89,46.66,2929680.0
2009-06-24,47.59,48.09,45.53,45.82,3002756.0
2009-06-25,46.4,47.19,44.63,45.36,4761676.0
2009-06-26,45.76,46.67,45.36,45.8,2552480.0
2009-06-29,45.8,47.44,45.28,46.52,2588548.0
2009-06-30,47.31,47.88,44.02,45.51,2691736.0
2009-07-01,45.77,45.77,43.82,44.61,1239080.0
2009-07-02,45.07,46.36,44.61,44.7,2235516.0
2009-07-03,44.7,45.0,43.82,44.44,1569812.0
2009-07-06,44.61,45.21,41.79,42.39,1704080.0
2009-07-07,43.11,43.79,41.79,43.28,965116.0
2009-07-08,43.28,43.79,41.66,41.81,1234760.0
2009-07-09,42.31,42.68,41.04,41.81,735068.0
2009-07-10,41.95,42.38,39.14,40.57,507988.0
2009-07-13,40.14,40.14,36.45,37.88,1644428.0
2009-07-14,38.52,39.97,37.99,39.27,1110456.0
2009-07-15,39.91,42.83,39.91,41.36,1150472.0
2009-07-16,42.29,43.48,40.41,41.87,1301504.0
2009-07-17,42.14,43.71,42.14,43.26,1045204.0
2009-07-20,44.17,45.33,42.83,43.62,555020.0
2009-07-21,43.87,44.59,43.3,43.42,615308.0
2009-07-22,43.99,44.89,42.55,42.88,1043340.0
2009-07-23,43.2,44.31,43.2,43.95,664232.0
2009-07-24,44.52,45.36,44.32,44.75,785284.0
2009-07-27,44.91,45.72,44.47,45.03,665296.0
2009-07-28,43.32,45.58,43.32,44.91,568152.0
2009-07-29,45.06,45.8,42.84,44.48,1092224.0
2009-07-30,40.45,44.39,40.45,43.39,1132584.0
2009-07-31,44.17,46.4,43.72,45.89,4019692.0
2009-08-03,45.95,48.78,45.95,48.23,2280648.0
2009-08-04,48.48,51.53,48.23,49.62,4924184.0
2009-08-05,49.76,50.26,47.6,48.42,1594124.0
2009-08-06,47.6,49.67,47.05,47.45,2349296.0
2009-08-07,46.75,47.41,45.88,47.0,827704.0
2009-08-10,46.13,48.9,45.36,46.0,1173676.0
2009-08-11,45.21,46.84,44.69,46.11,1308396.0
2009-08-12,45.36,46.66,44.91,45.76,948400.0
2009-08-13,46.83,48.32,46.69,47.58,973260.0
2009-08-14,47.58,48.88,46.86,47.17,810112.0
2009-08-17,46.43,46.82,45.06,45.35,876960.0
2009-08-18,45.52,47.48,45.36,47.17,842608.0
2009-08-19,47.29,48.79,46.84,48.4,1836296.0
2009-08-20,48.84,49.62,48.34,49.16,1304064.0
2009-08-21,48.61,50.15,48.18,49.27,1041136.0
2009-08-24,49.88,50.63,49.37,50.24,921176.0
2009-08-25,50.11,50.41,49.51,49.98,957680.0
2009-08-26,50.1,50.56,49.82,50.37,611276.0
2009-08-27,50.37,52.35,49.84,51.89,2074416.0
2009-08-28,51.82,52.18,50.58,51.86,855368.0
2009-08-31,52.79,52.79,50.71,51.36,804700.0
2009-09-01,51.53,52.27,50.87,51.36,820884.0
2009-09-02,49.82,51.3,48.78,49.17,773252.0
2009-09-03,50.1,50.1,48.78,48.91,375300.0
2009-09-04,49.91,51.32,49.53,50.62,364540.0
2009-09-07,51.44,51.44,49.91,50.27,601212.0
2009-09-08,51.17,52.64,50.44,52.18,1540840.0
2009-09-09,52.98,54.53,51.88,52.79,2687548.0
2009-09-10,51.52,54.23,50.35,50.99,956092.0
2009-09-11,51.28,52.33,50.95,51.91,816936.0
2009-09-14,51.35,51.58,48.71,50.64,457880.0
2009-09-15,51.05,52.38,50.74,51.38,707076.0
2009-09-16,53.92,53.92,51.8,52.73,1065480.0
2009-09-17,53.32,54.96,52.33,53.48,1360404.0
2009-09-18,53.53,55.29,53.17,54.29,2138532.0
2009-09-22,54.49,55.95,54.26,55.25,1243936.0
2009-09-23,56.77,56.77,53.04,53.86,614876.0
2009-09-24,53.01,54.41,51.52,51.95,1769568.0
2009-09-25,51.8,52.7,50.83,52.39,924628.0
2009-09-29,53.01,53.59,52.11,52.65,893700.0
2009-09-30,53.61,53.61,52.62,52.72,517592.0
2009-10-01,51.05,52.71,51.05,52.14,505616.0
2009-10-05,52.11,52.85,50.77,51.03,861780.0
2009-10-06,51.2,52.23,50.15,51.98,637484.0
2009-10-07,52.26,53.0,50.97,51.55,522124.0
2009-10-08,52.15,53.23,52.08,52.87,863428.0
2009-10-09,53.32,53.48,51.65,52.26,438924.0
2009-10-12,52.24,53.32,51.51,52.71,786736.0
2009-10-14,53.32,54.41,53.0,53.93,806692.0
2009-10-15,53.94,54.65,52.13,53.39,637256.0
2009-10-16,53.38,53.99,51.97,53.42,1054144.0
2009-10-20,54.49,54.61,53.64,54.28,764420.0
2009-10-21,54.38,55.09,54.04,54.61,1792020.0
2009-10-22,54.83,56.11,53.64,54.04,1861792.0
2009-10-23,54.68,55.44,54.1,55.14,462252.0
