,open,high,low,close,volume
2009-05-20,142.91,148.88,137.67,143.05,41944.0
2009-05-21,144.35,171.67,140.77,161.13,113268.0
2009-05-22,166.44,172.98,154.91,167.84,46868.0
2009-05-25,167.02,172.98,157.47,166.92,9068.0
2009-05-26,168.21,171.78,155.09,158.28,14044.0
2009-05-27,168.92,168.92,160.1,163.09,4660.0
2009-05-28,161.78,166.54,158.9,161.79,3316.0
2009-05-29,161.77,183.24,159.38,161.66,23772.0
2009-06-01,163.91,169.38,163.41,164.94,8692.0
2009-06-02,167.04,167.25,161.79,162.45,4628.0
2009-06-03,168.92,169.16,162.72,164.06,4604.0
2009-06-04,162.29,166.04,162.29,164.33,3784.0
2009-06-05,166.28,193.26,166.28,168.85,165472.0
2009-06-08,170.59,178.23,167.02,168.73,59852.0
2009-06-09,169.16,171.78,153.07,166.81,10248.0
2009-06-10,172.98,174.15,162.0,163.45,25932.0
2009-06-11,165.82,168.69,159.88,161.97,11824.0
2009-06-12,166.54,169.16,150.31,153.15,30424.0
2009-06-15,154.25,160.33,150.31,153.0,6988.0
2009-06-16,151.51,152.77,146.97,151.5,6692.0
2009-06-17,150.43,156.04,141.28,144.85,6332.0
2009-06-18,145.57,151.27,140.79,142.91,22976.0
2009-06-19,149.84,153.89,143.22,144.81,10672.0
2009-06-22,146.73,148.4,144.41,145.16,7156.0
2009-06-23,144.35,156.99,143.17,151.97,16488.0
2009-06-24,150.79,151.46,146.75,147.65,5040.0
2009-06-25,146.73,153.89,146.73,152.06,8396.0
2009-06-26,149.03,171.55,149.03,163.17,149744.0
2009-06-29,168.21,168.21,157.48,159.66,18080.0
2009-06-30,157.71,161.53,146.02,147.83,12944.0
2009-07-01,151.46,151.47,145.06,146.14,17468.0
2009-07-02,151.98,151.98,144.37,145.53,67516.0
2009-07-03,144.13,147.93,144.13,147.24,4108.0
2009-07-06,147.93,149.12,144.59,146.94,30464.0
2009-07-07,149.12,150.08,146.26,147.02,6300.0
2009-07-08,145.54,147.78,143.31,145.92,13508.0
2009-07-09,145.06,146.73,143.39,144.71,30152.0
2009-07-10,144.35,147.45,144.35,145.09,3896.0
2009-07-13,145.54,157.47,143.87,146.9,284432.0
2009-07-14,149.12,150.08,145.06,146.68,29660.0
2009-07-15,149.61,149.61,147.21,147.78,171740.0
2009-07-16,149.6,153.45,146.02,146.35,84952.0
2009-07-17,146.62,147.45,143.4,144.48,27516.0
2009-07-20,147.43,148.17,143.98,145.63,21848.0
2009-07-21,147.69,151.05,146.03,146.33,16372.0
2009-07-22,147.26,153.01,146.76,148.99,19152.0
2009-07-23,155.61,161.12,148.89,154.96,72376.0
2009-07-24,155.85,158.24,150.67,151.49,9844.0
2009-07-27,141.12,153.45,141.12,151.17,5592.0
2009-07-28,149.61,152.62,149.61,151.47,7684.0
2009-07-29,151.17,153.93,146.26,148.77,7524.0
2009-07-30,146.5,149.22,145.06,145.73,21440.0
2009-07-31,147.47,150.32,141.52,145.06,52172.0
2009-08-03,147.21,149.61,146.42,147.96,9972.0
2009-08-04,148.65,156.78,148.09,149.8,42508.0
2009-08-05,151.54,155.61,147.6,149.13,12108.0
2009-08-06,150.09,152.49,145.1,146.29,85888.0
2009-08-07,148.17,154.64,146.5,151.47,38352.0
2009-08-10,153.21,153.21,146.26,146.74,4464.0
2009-08-11,145.3,149.8,141.69,147.14,9880.0
2009-08-12,145.13,147.43,145.13,145.52,6140.0
2009-08-13,148.37,152.96,146.26,149.01,11320.0
2009-08-14,151.05,151.53,147.96,149.76,6468.0
2009-08-17,148.65,151.29,143.88,145.34,5988.0
2009-08-18,146.26,150.07,145.78,145.97,3152.0
2009-08-19,148.13,148.13,144.1,145.39,6804.0
2009-08-20,140.8,160.64,140.8,149.38,58944.0
2009-08-21,151.05,152.2,147.98,149.78,19628.0
2009-08-24,151.05,153.21,147.5,148.51,7816.0
2009-08-25,148.7,150.31,146.3,146.93,9556.0
2009-08-26,148.46,158.24,148.4,155.99,83052.0
2009-08-27,158.24,173.83,157.04,167.86,272652.0
2009-08-28,170.23,175.05,163.28,165.64,51076.0
2009-08-31,158.87,168.79,158.87,167.11,24816.0
2009-09-01,168.55,168.55,161.24,162.54,25776.0
2009-09-02,160.88,167.35,158.28,162.22,6144.0
2009-09-03,162.1,166.37,158.72,160.05,6300.0
2009-09-04,166.11,166.16,160.64,161.26,4204.0
2009-09-07,163.04,166.52,161.96,163.1,11620.0
2009-09-08,162.08,165.44,162.08,162.8,8856.0
2009-09-09,162.32,164.21,161.84,162.9,8328.0
2009-09-10,164.23,164.24,161.84,162.4,24532.0
2009-09-11,165.15,165.15,156.6,157.45,7092.0
2009-09-14,164.21,164.23,158.3,159.36,2816.0
2009-09-15,157.09,161.94,157.04,160.71,124900.0
2009-09-16,163.04,171.43,160.91,167.58,526876.0
2009-09-17,168.55,170.23,166.64,166.64,58872.0
2009-09-18,167.81,170.23,166.19,168.04,9640.0
2009-09-22,164.5,171.99,164.5,167.99,24840.0
2009-09-23,166.64,170.95,164.25,166.01,12624.0
2009-09-24,165.68,166.46,163.04,164.26,34088.0
2009-09-25,160.88,166.88,148.25,158.75,23508.0
2009-09-29,172.85,172.85,145.55,158.99,143012.0
2009-09-30,164.18,164.18,149.34,160.71,24424.0
2009-10-01,162.8,166.98,151.41,163.22,49976.0
2009-10-05,165.92,165.92,163.1,163.12,6728.0
2009-10-06,163.1,177.42,163.1,169.55,83224.0
2009-10-07,173.83,173.83,163.1,168.61,94312.0
2009-10-08,171.43,171.43,167.35,167.81,150060.0
2009-10-09,170.23,174.55,168.31,170.78,24072.0
2009-10-12,167.83,176.23,167.83,175.0,39104.0
2009-10-14,177.42,180.06,175.03,177.13,45860.0
2009-10-15,178.38,179.82,175.99,175.99,10500.0
2009-10-16,176.95,178.62,172.97,173.61,17236.0
2009-10-20,172.63,175.51,171.54,174.58,7296.0
2009-10-21,173.35,175.0,172.63,173.19,8712.0
2009-10-22,174.12,175.27,164.5,166.72,26240.0
2009-10-23,168.31,179.8,167.83,177.14,305528.0
2009-10-26,175.03,175.87,169.03,170.05,12492.0
2009-10-27,169.51,171.43,167.97,169.19,23764.0
2009-10-28,146.32,176.23,146.32,174.06,7520.0
2009-10-29,169.78,173.44,169.78,171.42,2572.0
2009-10-30,172.89,174.51,169.63,171.71,3980.0
2009-11-03,169.54,174.07,169.06,170.42,16944.0
2009-11-04,168.07,175.99,167.83,172.68,76412.0
