,open,high,low,close,volume
2009-05-20,77.19,89.57,75.9,88.52,527410.0
2009-05-21,88.76,91.98,86.19,87.59,117062.0
2009-05-22,87.48,92.3,85.26,91.68,190114.0
2009-05-25,91.98,94.54,89.41,90.82,152174.0
2009-05-26,92.14,92.14,82.01,83.86,116910.0
2009-05-27,87.19,89.99,84.29,85.93,41954.0
2009-05-28,87.16,87.48,83.97,86.48,112076.0
2009-05-29,85.34,89.97,85.34,87.48,143258.0
2009-06-01,93.27,100.66,90.37,92.56,552132.0
2009-06-02,94.07,96.32,90.07,94.67,672460.0
2009-06-03,95.52,98.06,90.53,91.42,344388.0
2009-06-04,92.78,98.04,90.39,96.52,481170.0
2009-06-05,98.06,105.75,96.81,101.84,701056.0
2009-06-08,102.27,104.33,97.45,99.23,271476.0
2009-06-09,96.52,99.06,91.34,98.04,134890.0
2009-06-10,99.38,101.24,93.75,96.89,191766.0
2009-06-11,97.13,97.45,91.51,94.49,95674.0
2009-06-12,96.13,96.16,90.45,91.29,56538.0
2009-06-15,88.48,94.39,82.38,91.77,77192.0
2009-06-16,88.28,92.95,88.28,92.19,78294.0
2009-06-17,92.93,94.88,90.08,90.84,681106.0
2009-06-18,90.69,93.22,89.09,89.49,87080.0
2009-06-19,90.69,91.66,86.87,90.53,100558.0
2009-06-22,90.53,91.0,89.41,89.55,42938.0
2009-06-23,87.8,88.12,84.91,85.92,75036.0
2009-06-24,86.84,88.41,83.94,87.49,227048.0
2009-06-25,87.93,92.27,87.93,88.8,202208.0
2009-06-26,90.69,94.88,89.73,92.59,102370.0
2009-06-29,92.62,94.23,90.57,93.01,80600.0
2009-06-30,93.3,94.88,91.98,92.0,77044.0
2009-07-01,93.25,95.81,90.81,94.51,63154.0
2009-07-02,97.77,97.77,92.69,93.97,24390.0
2009-07-03,92.66,98.41,92.62,96.29,127578.0
2009-07-06,96.48,98.03,91.35,92.72,179242.0
2009-07-07,94.22,95.2,92.37,94.41,172996.0
2009-07-08,92.62,92.62,87.48,89.87,924898.0
2009-07-09,91.66,91.66,88.14,88.52,49990.0
2009-07-10,90.07,90.07,84.1,85.84,90480.0
2009-07-13,86.5,87.8,82.67,86.56,50048.0
2009-07-14,88.12,91.63,87.83,89.68,42100.0
2009-07-15,90.37,94.07,89.09,92.98,53096.0
2009-07-16,94.55,95.42,92.69,93.14,110690.0
2009-07-17,91.98,99.06,91.98,97.32,188934.0
2009-07-20,99.68,102.56,98.09,101.31,155128.0
2009-07-21,105.03,105.71,103.0,104.36,97268.0
2009-07-22,106.05,107.75,103.0,103.53,94858.0
2009-07-23,106.05,109.1,105.03,107.27,126016.0
2009-07-24,108.76,114.0,108.76,112.08,186858.0
2009-07-27,113.51,115.2,107.42,109.88,107486.0
2009-07-28,108.46,110.46,108.12,109.15,31270.0
2009-07-29,109.44,111.81,108.08,110.44,74514.0
2009-07-30,112.12,125.36,110.12,118.55,557552.0
2009-07-31,120.23,121.98,114.79,115.5,189360.0
2009-08-03,114.86,120.77,112.49,118.13,138406.0
2009-08-04,118.84,126.45,117.91,123.28,450510.0
2009-08-05,124.35,125.36,120.32,123.47,112242.0
2009-08-06,125.03,126.35,120.62,121.94,262866.0
2009-08-07,110.17,123.67,110.17,115.13,113908.0
2009-08-10,115.2,118.59,109.3,111.07,198178.0
2009-08-11,110.12,115.2,110.12,113.44,142494.0
2009-08-12,112.83,115.2,109.95,112.57,99430.0
2009-08-13,115.2,118.84,112.68,117.88,277174.0
2009-08-14,117.91,120.96,115.91,120.03,143056.0
2009-08-17,116.89,123.97,114.71,118.67,333172.0
2009-08-18,121.98,128.41,119.43,126.4,637576.0
2009-08-19,126.38,130.75,125.03,125.94,225988.0
2009-08-20,128.41,130.11,125.36,125.47,117760.0
2009-08-21,123.36,134.75,123.33,129.38,297630.0
2009-08-24,131.7,143.64,128.41,141.81,969900.0
2009-08-25,145.08,155.65,139.26,141.12,1157054.0
2009-08-26,140.61,147.39,139.26,140.14,655526.0
2009-08-27,141.63,142.31,132.17,132.75,337988.0
2009-08-28,116.89,138.0,116.89,132.41,393274.0
2009-08-31,131.46,138.24,131.46,135.66,423634.0
2009-09-01,136.87,138.58,130.45,131.45,300652.0
