,open,high,low,close,volume
2009-05-20,60.17,65.36,58.71,63.19,9895299.0
2009-05-21,64.94,67.85,57.92,60.12,9431728.0
2009-05-22,60.75,66.26,58.71,65.05,6034442.0
2009-05-25,65.52,69.4,65.52,68.35,6410938.0
2009-05-26,68.93,70.76,61.93,64.11,6169770.0
2009-05-27,66.05,69.14,65.15,68.04,4013062.0
2009-05-28,69.64,69.66,65.08,66.15,6209580.0
2009-05-29,67.36,76.0,66.07,72.91,10020799.0
2009-06-01,73.38,74.96,68.72,69.82,9663802.0
2009-06-02,72.26,72.34,63.69,67.51,11474394.0
2009-06-03,68.4,70.21,65.78,68.61,5324150.0
2009-06-04,66.75,72.89,66.05,72.07,6355169.0
2009-06-05,72.34,74.77,70.34,72.1,8535056.0
2009-06-08,72.81,72.86,65.89,67.88,6449570.0
2009-06-09,67.62,70.76,64.24,69.4,5405451.0
2009-06-10,70.45,73.38,65.78,72.02,4661314.0
2009-06-11,72.39,73.04,69.51,71.31,2875610.0
2009-06-12,71.99,72.7,68.27,70.84,2529551.0
2009-06-15,70.24,73.33,66.78,67.96,4443100.0
2009-06-16,65.52,71.03,64.47,69.79,3333142.0
2009-06-17,69.19,71.73,65.18,66.39,3268355.0
2009-06-18,67.09,67.57,60.33,64.34,2278638.0
2009-06-19,65.13,66.78,60.91,63.4,4421501.0
2009-06-22,64.97,65.94,63.19,63.82,2079602.0
2009-06-23,62.22,64.21,60.86,63.29,2929612.0
2009-06-24,63.95,66.78,63.45,65.39,3341171.0
2009-06-25,65.94,69.66,65.84,67.51,4464723.0
2009-06-26,69.14,72.34,65.84,71.29,4319335.0
2009-06-29,71.86,77.05,71.86,74.96,8522748.0
2009-06-30,75.9,76.0,69.53,70.58,4543280.0
2009-07-01,70.76,73.52,68.88,72.07,4077089.0
2009-07-02,73.23,73.23,70.0,72.23,2445287.0
2009-07-03,71.76,74.43,70.24,73.75,4258337.0
2009-07-06,74.96,75.69,65.7,68.06,4008263.0
2009-07-07,66.91,70.97,66.57,69.45,2192493.0
2009-07-08,69.45,69.45,63.22,66.26,5094799.0
2009-07-09,65.76,70.66,65.55,68.33,2906394.0
2009-07-10,67.62,68.4,63.48,65.18,3984613.0
2009-07-13,62.9,65.0,59.39,59.39,2271893.0
2009-07-14,66.58,67.11,64.21,66.36,2344403.0
2009-07-15,67.11,68.76,65.94,68.36,2924096.0
2009-07-16,69.77,69.77,65.11,66.6,2120811.0
2009-07-17,68.71,72.89,68.12,71.66,2824231.0
2009-07-20,72.68,75.05,70.84,74.57,3238467.0
2009-07-21,75.63,75.85,70.84,71.69,1888705.0
2009-07-22,72.78,73.85,68.26,68.97,1496728.0
2009-07-23,69.8,73.08,68.6,72.52,1628145.0
2009-07-24,72.54,73.98,71.42,72.49,2029984.0
2009-07-27,73.5,76.54,71.1,74.89,1737572.0
2009-07-28,76.8,81.7,75.63,81.01,7254321.0
2009-07-29,81.22,84.82,74.06,77.18,10435916.0
2009-07-30,77.5,79.09,74.65,76.38,2751005.0
2009-07-31,77.76,79.07,75.1,75.87,2011500.0
2009-08-03,76.24,78.43,75.23,77.44,2822762.0
2009-08-04,77.92,80.91,75.31,79.81,5777819.0
2009-08-05,80.43,80.48,76.86,77.42,2785454.0
2009-08-06,77.76,79.04,74.22,74.94,2860146.0
2009-08-07,74.03,74.57,71.69,72.38,1717960.0
2009-08-10,73.98,74.43,66.95,67.56,2566372.0
2009-08-11,67.14,69.51,66.28,67.7,2049312.0
2009-08-12,66.58,70.79,66.31,69.67,2261157.0
2009-08-13,71.82,72.7,70.44,71.96,2175333.0
2009-08-14,72.38,72.65,69.03,69.53,1850857.0
2009-08-17,68.18,68.71,64.98,65.22,2649910.0
2009-08-18,64.45,68.65,63.46,68.31,3166069.0
2009-08-19,66.58,70.09,65.7,68.97,2975870.0
2009-08-20,69.99,71.1,68.44,70.41,1396717.0
2009-08-21,70.57,71.85,69.03,71.61,1136612.0
2009-08-24,72.7,76.7,72.44,75.58,2294483.0
2009-08-25,74.57,75.9,71.24,72.62,2779042.0
2009-08-26,73.5,74.22,71.82,72.44,1690932.0
2009-08-27,71.96,74.51,70.44,71.0,3222404.0
2009-08-28,72.97,72.97,71.1,71.77,2941149.0
2009-08-31,71.32,74.38,70.57,72.54,3072360.0
2009-09-01,73.85,74.49,71.32,71.77,4047132.0
2009-09-02,71.61,73.45,70.6,71.02,1022298.0
2009-09-03,71.45,73.98,71.45,73.34,4300193.0
2009-09-04,74.03,74.57,71.48,74.3,2064149.0
2009-09-07,75.63,76.32,75.23,75.87,2175887.0
2009-09-08,76.4,77.18,74.67,76.38,3339011.0
