,open,high,low,close,volume
2009-05-20,460.35,460.35,460.35,460.35,0.0
2009-05-21,460.35,460.35,460.35,460.35,0.0
2009-05-22,460.35,460.35,460.35,460.35,0.0
2009-05-25,460.35,460.35,460.35,460.35,0.0
2009-05-26,460.35,460.35,460.35,460.35,0.0
2009-05-27,460.35,460.35,460.35,460.35,0.0
2009-05-28,460.35,460.35,460.35,460.35,0.0
2009-05-29,460.35,460.35,460.35,460.35,0.0
2009-06-01,460.35,460.35,460.35,460.35,0.0
2009-06-02,460.35,460.35,460.35,460.35,0.0
2009-06-03,460.35,460.35,460.35,460.35,0.0
2009-06-04,460.35,460.35,460.35,460.35,0.0
2009-06-05,460.35,460.35,460.35,460.35,0.0
2009-06-08,460.35,460.35,460.35,460.35,0.0
2009-06-09,460.35,460.35,460.35,460.35,0.0
2009-06-10,460.35,460.35,460.35,460.35,0.0
2009-06-11,460.35,460.35,460.35,460.35,0.0
2009-06-12,460.35,460.35,460.35,460.35,0.0
2009-06-15,460.35,460.35,460.35,460.35,0.0
2009-06-16,460.35,460.35,460.35,460.35,0.0
2009-06-17,460.35,460.35,460.35,460.35,0.0
2009-06-18,460.35,460.35,460.35,460.35,0.0
2009-06-19,460.35,460.35,460.35,460.35,0.0
2009-06-22,460.35,460.35,460.35,460.35,0.0
2009-06-23,460.35,460.35,460.35,460.35,0.0
2009-06-24,460.35,460.35,460.35,460.35,0.0
2009-06-25,460.35,460.35,460.35,460.35,0.0
2009-06-26,460.35,460.35,460.35,460.35,0.0
2009-06-29,460.35,460.35,460.35,460.35,0.0
2009-06-30,460.35,460.35,460.35,460.35,0.0
2009-07-01,460.35,460.35,460.35,460.35,0.0
2009-07-02,460.35,460.35,460.35,460.35,0.0
2009-07-03,460.35,460.35,460.35,460.35,0.0
2009-07-06,460.35,460.35,460.35,460.35,0.0
2009-07-07,460.35,460.35,460.35,460.35,0.0
2009-07-08,460.35,460.35,460.35,460.35,0.0
2009-07-09,460.35,460.35,460.35,460.35,0.0
2009-07-10,460.35,460.35,460.35,460.35,0.0
