,open,high,low,close,volume
2009-05-20,102.41,116.8,101.46,113.81,280193.0
2009-05-21,117.5,123.87,110.53,113.46,216529.0
2009-05-22,115.4,135.82,113.56,131.63,1149226.0
2009-05-25,138.85,140.4,126.95,128.75,470245.0
2009-05-26,130.09,131.09,112.52,117.1,240946.0
2009-05-27,121.43,133.38,119.54,130.99,466656.0
2009-05-28,132.13,133.92,121.08,125.46,304911.0
2009-05-29,127.9,131.43,124.66,126.51,262526.0
2009-06-01,129.89,134.27,125.36,130.39,337339.0
2009-06-02,131.38,133.13,125.11,130.79,188440.0
2009-06-03,133.43,159.21,133.43,153.84,1145797.0
2009-06-04,155.33,165.99,145.57,159.76,912028.0
2009-06-05,161.31,165.29,147.32,149.71,297139.0
2009-06-08,148.36,154.14,140.6,145.87,175773.0
2009-06-09,149.31,152.35,135.96,150.35,201724.0
2009-06-10,152.49,157.02,143.88,145.13,482857.0
2009-06-11,147.37,155.73,144.38,147.47,489561.0
2009-06-12,149.36,153.74,140.5,142.44,370317.0
2009-06-15,141.39,144.08,139.4,140.55,78802.0
2009-06-16,135.52,140.4,135.42,139.05,74704.0
2009-06-17,140.79,144.98,133.48,136.16,130043.0
2009-06-18,133.53,136.41,121.98,128.75,128081.0
2009-06-19,131.43,132.43,127.6,129.74,73755.0
2009-06-22,129.44,132.43,126.95,127.35,44827.0
2009-06-23,123.77,124.46,117.5,119.93,265621.0
2009-06-24,120.98,122.87,117.69,118.74,263388.0
2009-06-25,120.48,124.46,110.72,113.21,1629087.0
2009-06-26,116.5,134.42,116.5,126.31,3047566.0
2009-06-29,126.46,130.44,122.27,123.52,459769.0
2009-06-30,127.45,127.45,115.5,116.3,231345.0
2009-07-01,118.49,119.14,107.64,110.43,329813.0
2009-07-02,112.32,114.41,108.53,109.78,168169.0
2009-07-03,108.53,113.96,108.53,112.96,144975.0
2009-07-06,115.3,115.4,103.85,105.94,137249.0
2009-07-07,107.04,107.04,99.62,103.95,113216.0
2009-07-08,102.51,102.51,98.58,100.12,148533.0
2009-07-09,99.57,102.56,98.58,98.97,190381.0
2009-07-10,98.68,99.47,94.1,96.83,62806.0
2009-07-13,94.59,94.59,90.61,92.05,64882.0
2009-07-14,98.43,98.43,90.76,92.8,184289.0
2009-07-15,94.1,96.58,93.4,95.69,998347.0
2009-07-16,98.58,99.07,95.69,96.93,258148.0
2009-07-17,97.58,101.41,95.59,98.48,572490.0
2009-07-20,99.57,100.07,97.58,98.48,172849.0
2009-07-21,97.58,99.22,95.69,97.13,89391.0
2009-07-22,97.58,98.58,94.59,95.89,181263.0
2009-07-23,95.94,98.53,95.09,96.53,104261.0
2009-07-24,98.53,101.31,97.78,99.62,278846.0
2009-07-27,100.07,105.55,99.62,105.4,578174.0
2009-07-28,106.54,109.03,104.05,105.75,209462.0
2009-07-29,104.55,106.54,97.58,104.2,189522.0
2009-07-30,104.75,104.8,100.57,101.86,77361.0
2009-07-31,103.8,106.44,100.57,101.26,163423.0
2009-08-03,101.61,101.61,98.58,100.12,319366.0
2009-08-04,101.07,106.94,99.97,104.35,313625.0
2009-08-05,105.55,110.23,101.26,107.29,654809.0
2009-08-06,107.04,108.43,100.67,101.61,555348.0
2009-08-07,102.51,104.0,101.07,101.71,197993.0
2009-08-10,103.5,104.0,96.78,97.68,145720.0
2009-08-11,97.58,102.51,97.28,98.92,262909.0
2009-08-12,98.97,99.62,95.94,97.23,272309.0
2009-08-13,100.02,100.47,98.18,99.27,325306.0
2009-08-14,100.47,100.47,97.33,97.93,182939.0
2009-08-17,95.59,96.68,91.86,92.6,147035.0
2009-08-18,93.5,95.29,91.9,93.1,156706.0
2009-08-19,94.39,94.59,91.61,92.35,69517.0
2009-08-20,94.19,95.09,92.65,93.75,105940.0
2009-08-21,93.6,96.53,92.85,93.95,205251.0
2009-08-24,95.59,96.09,94.59,94.84,104620.0
2009-08-25,95.24,96.78,93.75,94.39,178465.0
2009-08-26,94.84,100.37,94.84,98.97,1606020.0
2009-08-27,100.32,102.76,98.58,99.97,487515.0
2009-08-28,98.48,101.56,97.88,98.63,247333.0
2009-08-31,98.53,102.46,95.79,97.93,415375.0
2009-09-01,99.02,101.26,96.49,96.83,342564.0
2009-09-02,96.58,100.02,95.94,98.78,440596.0
2009-09-03,99.07,101.51,96.63,96.98,213205.0
2009-09-04,98.28,98.58,96.09,96.78,138530.0
2009-09-07,97.58,98.83,96.78,97.73,628567.0
2009-09-08,98.58,101.56,97.23,97.98,542620.0
2009-09-09,99.47,105.55,98.08,104.3,1946326.0
2009-09-10,105.6,107.99,102.26,102.86,817613.0
2009-09-11,104.35,104.45,99.57,100.52,327564.0
2009-09-14,99.57,101.07,97.18,98.33,252370.0
2009-09-15,98.97,101.46,97.38,99.32,464517.0
2009-09-16,100.57,106.39,100.57,105.85,1125985.0
2009-09-17,106.54,107.49,104.1,104.85,372888.0
2009-09-18,104.55,105.45,102.51,102.86,227632.0
2009-09-22,102.06,103.65,101.07,101.36,271799.0
2009-09-23,101.96,102.46,98.58,99.47,118607.0
2009-09-24,99.07,99.47,97.58,98.23,141009.0
2009-09-25,97.58,102.46,97.58,99.02,165567.0
2009-09-29,100.57,100.92,97.78,98.43,212276.0
2009-09-30,98.87,100.17,97.83,98.08,138406.0
2009-10-01,99.02,99.02,96.58,97.73,115443.0
2009-10-05,97.58,99.37,94.19,94.69,160131.0
2009-10-06,94.69,95.74,90.71,93.2,132743.0
2009-10-07,93.65,95.49,92.1,93.35,97163.0
2009-10-08,93.9,94.24,92.8,93.3,53637.0
2009-10-09,92.7,94.59,92.1,92.35,65005.0
2009-10-12,93.45,93.6,91.76,92.05,73295.0
2009-10-14,93.35,93.35,91.51,91.71,123500.0
2009-10-15,93.1,93.1,90.76,91.76,150387.0
2009-10-16,91.61,95.09,91.61,92.5,134819.0
2009-10-20,94.59,97.48,92.65,93.05,360153.0
2009-10-21,93.0,93.0,88.32,88.82,175883.0
2009-10-22,88.62,91.06,85.43,86.33,107278.0
2009-10-23,87.18,89.52,86.68,87.03,102328.0
2009-10-26,87.57,89.52,84.44,84.79,204908.0
2009-10-27,84.14,84.79,79.66,81.35,323807.0
2009-10-28,81.65,81.65,77.47,78.96,149712.0
2009-10-29,77.67,78.01,73.38,74.13,685141.0
2009-10-30,75.82,76.12,72.19,72.64,364151.0
2009-11-03,72.64,72.64,64.72,65.82,296710.0
2009-11-04,66.71,70.05,66.71,68.31,229109.0
2009-11-05,68.8,70.55,65.92,68.26,400866.0
2009-11-06,69.6,75.03,68.7,73.38,267591.0
2009-11-09,79.66,79.66,73.98,74.73,217856.0
2009-11-10,75.67,76.12,72.44,72.79,113827.0
2009-11-11,72.89,76.17,71.09,75.33,187822.0
2009-11-12,76.37,77.07,72.89,74.03,338320.0
2009-11-13,73.98,88.87,73.98,85.68,2064541.0
2009-11-16,87.52,87.52,79.96,81.8,675361.0
2009-11-17,82.05,84.19,80.9,81.45,216590.0
2009-11-18,81.45,82.15,78.16,78.61,157794.0
2009-11-19,79.26,80.75,75.82,76.22,191945.0
2009-11-20,75.23,82.05,74.88,80.65,436612.0
2009-11-23,81.25,82.59,78.51,80.35,281557.0
2009-11-24,80.4,83.04,78.66,81.1,289770.0
2009-11-25,80.5,81.35,78.66,78.96,172167.0
2009-11-26,78.66,80.9,77.32,77.82,153224.0
2009-11-27,76.67,77.57,74.78,76.37,110310.0
2009-11-30,77.47,79.11,76.82,78.16,93952.0
2009-12-01,79.06,80.21,77.96,79.26,172667.0
2009-12-02,79.76,84.84,79.61,82.2,282947.0
2009-12-03,82.64,86.98,82.0,85.08,532829.0
2009-12-04,83.64,91.31,83.64,88.37,772041.0
2009-12-07,89.37,95.79,88.47,91.95,1179097.0
2009-12-08,92.55,95.94,90.31,92.95,542630.0
2009-12-09,91.9,97.88,91.86,94.84,650242.0
2009-12-10,95.29,96.44,93.15,93.55,169132.0
2009-12-11,94.49,97.78,93.6,96.09,484430.0
2009-12-14,95.59,103.56,95.59,97.58,1719660.0
2009-12-15,98.58,99.17,90.61,92.2,290157.0
2009-12-16,91.61,93.65,91.61,92.65,139177.0
2009-12-17,92.6,95.09,92.3,93.0,106929.0
2009-12-18,91.95,94.79,90.16,91.51,480475.0
2009-12-21,90.61,94.0,88.02,89.47,562879.0
2009-12-22,91.41,91.41,88.62,89.61,71166.0
2009-12-23,91.41,91.41,88.62,89.61,71166.0
2009-12-24,91.41,91.41,88.62,89.61,71166.0
2009-12-29,91.41,91.41,88.62,89.61,71166.0
2009-12-30,91.41,91.41,88.62,89.61,71166.0
2009-12-31,91.41,91.41,88.62,89.61,71166.0
2010-01-04,89.61,90.61,88.87,89.76,70596.0
2010-01-05,91.01,92.55,90.11,90.31,264560.0
2010-01-06,91.61,103.85,91.51,100.27,3417827.0
2010-01-07,101.56,103.26,97.73,99.62,1896170.0
2010-01-08,100.97,102.26,98.58,99.32,700020.0
2010-01-11,99.37,101.56,98.58,100.52,467433.0
2010-01-12,100.77,105.05,99.12,104.1,860417.0
2010-01-13,103.4,105.55,102.06,103.46,421653.0
2010-01-14,104.55,105.05,101.66,102.21,226265.0
2010-01-15,102.56,103.56,101.56,101.81,254399.0
2010-01-18,100.32,102.01,100.32,100.77,208191.0
2010-01-19,101.51,102.06,100.22,100.62,241986.0
2010-01-20,100.07,103.11,99.72,101.02,269596.0
2010-01-21,101.07,103.85,96.19,100.87,1229916.0
2010-01-22,99.57,101.26,96.09,98.53,353076.0
2010-01-25,96.78,99.17,93.3,94.54,146151.0
2010-01-27,94.99,95.49,91.61,92.55,185111.0
2010-01-28,93.05,97.08,93.05,95.09,531359.0
2010-01-29,92.8,98.78,89.71,96.53,450012.0
2010-02-01,96.19,101.07,96.19,99.62,447071.0
2010-02-02,100.97,102.56,99.12,99.52,216354.0
2010-02-03,100.47,100.57,99.12,99.62,75035.0
2010-02-04,100.32,103.9,99.37,100.67,298402.0
2010-02-05,97.08,100.07,94.59,98.08,169656.0
2010-02-08,100.32,102.06,100.07,101.11,94826.0
2010-02-09,101.07,101.56,99.57,100.02,37780.0
2010-02-10,100.77,101.36,98.87,99.47,41663.0
2010-02-11,99.07,104.05,99.07,103.31,139132.0
2010-02-15,103.26,108.33,101.56,105.7,758398.0
2010-02-16,106.54,107.44,103.75,105.0,116661.0
2010-02-17,105.55,107.49,105.05,106.79,373038.0
2010-02-18,106.54,106.54,105.05,105.35,109190.0
2010-02-19,105.3,105.35,102.81,103.56,69431.0
2010-02-22,103.7,104.25,99.22,100.52,81720.0
2010-02-23,103.06,103.06,99.07,101.46,81146.0
2010-02-24,99.77,100.77,99.57,99.67,38556.0
2010-02-25,100.52,105.05,99.12,103.8,162120.0
2010-02-26,103.21,107.44,101.76,105.0,246223.0
2010-03-02,105.45,105.94,104.1,105.25,220870.0
2010-03-03,106.04,107.14,104.3,105.79,130046.0
2010-03-04,105.79,109.23,105.6,106.99,119630.0
2010-03-05,107.94,107.94,105.4,105.85,294330.0
2010-03-08,106.54,107.89,106.09,107.19,139301.0
2010-03-09,107.94,107.94,105.7,106.29,127912.0
2010-03-10,106.04,107.94,105.89,107.54,101056.0
2010-03-11,108.53,111.22,107.04,108.04,252096.0
2010-03-12,107.49,107.99,106.79,106.94,102165.0
2010-03-15,106.09,107.54,105.1,107.14,99388.0
2010-03-16,108.48,108.73,105.65,108.33,96601.0
2010-03-17,107.14,108.78,106.09,108.28,239464.0
2010-03-18,109.43,109.43,106.54,106.69,78182.0
2010-03-19,106.54,108.04,106.44,107.64,92309.0
2010-03-22,104.8,108.14,104.8,106.69,75525.0
2010-03-23,106.99,107.04,103.56,104.0,281853.0
2010-03-25,103.8,103.8,99.17,99.57,305664.0
2010-03-26,100.67,100.67,96.73,97.28,571876.0
2010-03-29,97.58,100.97,96.24,98.43,626503.0
2010-03-30,99.52,105.65,98.18,104.4,297484.0
2010-03-31,104.55,114.16,104.55,112.22,959459.0
2010-04-01,113.51,124.91,112.52,123.52,1266627.0
2010-04-05,125.36,126.46,119.98,123.47,364006.0
2010-04-06,123.47,127.65,122.47,123.67,835332.0
2010-04-07,124.96,127.35,121.98,125.51,560607.0
2010-04-08,125.46,134.42,123.77,130.84,812262.0
2010-04-09,132.13,139.9,131.09,139.15,929870.0
2010-04-12,140.4,145.03,136.96,140.74,418906.0
2010-04-13,140.99,141.89,138.55,139.8,365888.0
2010-04-15,141.39,145.27,140.94,141.79,385699.0
2010-04-16,140.55,142.89,138.5,139.35,278189.0
2010-04-19,133.62,140.4,133.62,136.01,224872.0
2010-04-20,137.31,146.57,131.93,144.88,329923.0
2010-04-21,144.38,152.84,143.38,149.36,379956.0
2010-04-22,145.57,152.15,145.57,146.37,624767.0
2010-04-23,149.16,155.78,145.43,146.37,242848.0
2010-04-26,147.86,148.76,142.44,143.33,318025.0
2010-04-27,141.14,147.76,141.14,143.04,69235.0
2010-04-28,139.4,141.89,138.46,139.45,325752.0
2010-04-29,143.78,165.49,140.4,145.52,516197.0
2010-04-30,145.38,147.37,141.54,142.59,79914.0
2010-05-03,141.59,148.76,118.09,146.32,218837.0
2010-05-04,144.38,149.86,144.38,147.81,1418084.0
2010-05-05,144.38,151.35,142.39,150.85,212889.0
2010-05-06,150.35,154.24,149.41,152.29,180722.0
2010-05-07,149.36,152.35,147.96,151.4,99458.0
2010-05-10,154.74,158.82,150.35,157.62,106822.0
2010-05-11,158.42,160.01,156.53,157.22,435823.0
2010-05-12,155.43,161.9,155.43,159.56,289365.0
2010-05-13,159.32,162.1,156.88,157.07,66788.0
2010-05-14,157.27,160.11,156.43,158.27,39807.0
2010-05-17,158.77,167.18,153.44,161.01,334768.0
2010-05-18,159.32,164.29,157.47,158.82,281128.0
2010-05-19,161.01,163.0,151.15,152.35,266485.0
2010-05-20,148.36,154.74,147.42,148.71,1874229.0
2010-05-21,146.32,168.57,142.39,161.9,207490.0
2010-05-24,164.19,167.13,157.42,159.17,149684.0
2010-05-25,155.03,158.97,151.45,152.59,265751.0
2010-05-26,146.87,158.27,146.87,155.43,125173.0
2010-05-27,154.34,160.51,153.49,159.21,248361.0
2010-05-28,159.32,165.04,155.58,158.32,506886.0
2010-05-31,158.32,162.8,156.48,158.62,148132.0
2010-06-01,157.32,160.71,150.9,151.95,69805.0
2010-06-02,154.34,159.56,150.95,158.37,141733.0
2010-06-03,159.32,159.32,155.33,157.47,57246.0
2010-06-04,153.34,158.72,153.34,157.77,54408.0
2010-06-07,152.59,158.22,152.59,157.32,57528.0
2010-06-08,156.48,160.11,155.88,157.72,234471.0
2010-06-09,160.31,161.31,154.34,155.98,123000.0
2010-06-10,157.17,161.31,157.17,159.37,83416.0
2010-06-11,161.31,167.68,157.42,166.09,648634.0
2010-06-14,164.29,167.93,161.31,162.35,186221.0
2010-06-15,163.6,163.99,161.31,162.85,355843.0
2010-06-16,162.8,165.59,161.9,162.55,114659.0
2010-06-17,164.29,165.24,162.8,164.49,387379.0
2010-06-18,164.39,165.24,162.8,164.59,97255.0
2010-06-21,169.27,169.27,163.3,165.79,25713.0
2010-06-22,168.77,169.02,164.64,165.79,44208.0
2010-06-23,164.29,168.77,164.29,164.79,113405.0
2010-06-24,166.93,168.97,164.54,165.29,100077.0
2010-06-25,167.08,168.28,164.29,165.24,62290.0
2010-06-28,165.14,167.03,161.36,162.3,328179.0
2010-06-29,164.19,164.69,157.57,159.07,66321.0
2010-06-30,158.82,165.54,156.33,163.15,601265.0
2010-07-01,164.29,165.99,159.61,160.36,23779.0
2010-07-02,163.25,163.25,153.54,154.98,25762.0
2010-07-05,156.48,161.6,155.33,155.88,51755.0
2010-07-06,169.37,173.65,159.46,159.56,277311.0
2010-07-07,160.31,164.19,155.53,162.75,87073.0
2010-07-08,167.73,174.15,136.71,140.25,804842.0
2010-07-09,140.45,146.17,128.1,129.44,1509856.0
2010-07-12,133.43,133.82,128.99,129.39,192231.0
2010-07-13,130.44,137.91,129.44,134.57,672350.0
2010-07-14,136.61,141.19,135.52,139.85,469305.0
2010-07-15,140.4,146.12,138.4,142.34,246200.0
2010-07-16,142.39,143.88,138.55,139.25,109117.0
2010-07-19,138.4,140.45,138.4,139.3,275479.0
2010-07-20,138.4,142.29,138.4,139.95,115601.0
2010-07-21,138.65,141.39,138.65,139.15,96908.0
2010-07-22,139.15,140.2,135.62,136.66,100891.0
2010-07-23,138.16,139.35,135.47,135.77,80342.0
2010-07-26,134.42,138.3,134.42,137.76,37947.0
2010-07-27,138.3,140.5,136.41,139.25,62067.0
2010-07-28,139.4,142.39,139.35,139.7,92744.0
2010-07-29,140.99,142.34,138.46,140.0,128645.0
2010-07-30,140.0,142.29,139.5,141.49,67631.0
2010-08-02,142.39,143.38,138.46,140.94,84530.0
2010-08-03,142.39,142.39,138.55,139.85,43765.0
2010-08-04,138.46,143.28,138.46,141.19,297689.0
2010-08-05,141.39,142.34,138.6,140.0,96892.0
2010-08-06,139.4,144.38,139.4,142.89,533999.0
2010-08-09,142.89,144.33,142.89,143.88,74377.0
2010-08-10,142.89,145.08,141.89,142.79,95290.0
2010-08-11,142.69,143.88,139.4,143.13,79000.0
2010-08-12,143.28,149.06,141.89,146.97,620357.0
2010-08-13,145.47,157.32,145.47,156.38,403822.0
2010-08-16,159.21,169.27,158.32,161.71,314076.0
2010-08-17,163.1,166.83,154.83,162.3,493129.0
2010-08-18,162.55,169.37,160.36,164.79,318721.0
2010-08-19,164.79,169.17,164.79,167.48,103331.0
2010-08-20,169.12,171.51,167.28,168.43,95586.0
2010-08-23,170.17,170.17,167.33,168.18,19058.0
2010-08-24,168.18,169.72,164.89,166.24,134796.0
2010-08-25,165.34,165.34,157.47,159.56,52995.0
2010-08-26,162.15,163.8,158.32,161.55,10739.0
2010-08-27,159.81,160.71,157.42,158.17,95058.0
2010-08-30,159.32,159.32,155.83,157.32,26659.0
2010-08-31,154.68,157.32,152.49,155.98,18250.0
2010-09-01,155.33,158.82,154.34,157.52,33744.0
2010-09-02,158.92,159.17,156.43,156.98,7006.0
2010-09-03,155.33,162.8,155.33,159.61,120882.0
2010-09-06,162.15,162.3,159.46,159.56,31905.0
2010-09-07,159.32,162.1,159.32,159.91,14391.0
2010-09-08,159.51,161.21,159.46,160.01,358446.0
2010-09-09,158.52,162.2,158.52,159.71,37534.0
2010-09-13,159.37,161.31,159.37,159.51,44352.0
2010-09-14,158.47,161.31,155.38,156.88,93470.0
2010-09-15,155.38,160.21,155.38,157.87,25921.0
2010-09-16,156.93,158.92,156.83,157.37,54241.0
2010-09-17,157.52,158.22,154.44,156.03,34211.0
2010-09-20,155.38,156.08,149.71,153.24,85225.0
2010-09-21,156.03,156.08,146.92,148.71,45336.0
2010-09-22,152.05,152.05,142.93,146.27,32482.0
2010-09-23,148.16,149.31,145.92,146.52,20232.0
2010-09-24,148.86,151.8,145.92,149.26,99078.0
2010-09-27,149.36,154.19,146.52,146.87,71415.0
2010-09-28,150.8,150.8,143.48,144.38,17988.0
2010-09-29,154.34,160.36,144.03,149.11,111895.0
2010-09-30,149.26,150.85,147.91,149.56,61988.0
2010-10-01,148.36,154.19,148.36,149.51,45201.0
2010-10-04,159.41,169.27,149.46,150.35,99135.0
2010-10-05,150.35,153.14,149.36,152.0,24441.0
2010-10-06,156.83,156.83,150.45,150.55,19244.0
2010-10-07,154.24,154.24,151.35,151.7,51048.0
2010-10-08,153.14,153.14,151.65,151.8,17853.0
2010-10-11,150.35,153.84,150.35,153.34,194811.0
2010-10-12,151.45,155.28,151.35,154.24,71784.0
2010-10-13,154.34,155.33,154.29,154.49,52652.0
2010-10-14,154.39,156.73,152.4,152.69,44806.0
2010-10-15,152.35,154.24,151.75,152.1,54749.0
2010-10-18,152.35,152.35,151.35,151.55,12849.0
2010-10-19,151.35,152.35,149.36,151.4,4374.0
2010-10-20,150.85,151.85,148.36,149.66,22145.0
2010-10-21,146.57,151.85,146.57,150.2,5484.0
2010-10-22,150.35,156.23,150.35,152.84,281429.0
2010-10-25,151.35,152.35,150.4,151.45,14353.0
2010-10-26,156.23,156.23,149.61,151.45,17050.0
2010-10-27,151.4,153.24,151.4,152.74,12202.0
2010-10-28,151.35,167.28,151.35,159.81,1008080.0
2010-10-29,159.41,162.2,155.88,160.66,39802.0
2010-11-01,160.31,161.31,157.32,159.51,38386.0
2010-11-02,160.81,162.65,157.32,157.47,12532.0
2010-11-03,154.44,160.21,154.44,158.42,26281.0
2010-11-04,158.82,159.32,157.82,158.37,30521.0
2010-11-05,158.82,159.32,157.82,158.37,30521.0
2010-11-08,157.32,163.2,157.32,162.6,18821.0
2010-11-09,162.55,167.28,162.45,165.49,31456.0
2010-11-10,162.3,171.16,162.3,169.37,38579.0
2010-11-11,169.37,178.23,169.27,177.79,134200.0
2010-11-12,178.23,182.07,176.24,179.23,166532.0
2010-11-15,182.22,182.22,175.35,178.33,133747.0
2010-11-16,176.24,180.23,173.3,179.43,38449.0
2010-11-18,176.34,181.22,175.35,180.47,78756.0
2010-11-19,179.23,190.18,166.68,171.86,34861.0
2010-11-22,170.27,177.93,169.32,175.89,46583.0
2010-11-23,175.89,176.24,145.87,156.33,175723.0
2010-11-24,167.13,167.13,149.36,152.24,23642.0
2010-11-25,154.34,157.12,148.96,150.9,16372.0
2010-11-26,150.9,153.34,145.87,148.26,8164.0
2010-11-29,146.52,149.36,145.87,146.37,2050.0
2010-11-30,144.38,158.02,144.38,155.28,35088.0
2010-12-01,150.01,159.21,150.01,158.82,8392.0
2010-12-02,159.32,159.32,153.44,154.29,9857.0
2010-12-03,153.84,159.21,152.35,158.92,12018.0
2010-12-06,157.37,159.32,143.98,148.51,16685.0
2010-12-07,144.38,154.14,137.41,142.09,49817.0
2010-12-08,145.27,145.38,139.3,140.94,9072.0
2010-12-09,139.4,146.17,128.7,134.47,34983.0
2010-12-10,131.43,145.32,131.43,141.84,52218.0
2010-12-13,143.38,147.37,138.4,144.28,20058.0
2010-12-14,146.22,151.35,143.48,148.86,23096.0
2010-12-15,147.37,151.25,140.4,141.29,24330.0
2010-12-16,139.4,159.12,133.97,148.06,313129.0
2010-12-20,142.39,151.15,140.25,145.32,43669.0
2010-12-21,141.39,148.16,137.21,140.25,87835.0
2010-12-22,138.4,143.38,138.4,138.4,16803.0
2010-12-23,140.1,140.1,136.86,137.11,12022.0
2010-12-24,136.61,138.26,135.52,136.91,24245.0
2010-12-27,135.57,139.3,134.42,135.77,31050.0
2010-12-28,136.41,140.3,134.42,138.65,45662.0
2010-12-29,139.4,141.29,133.87,139.6,125592.0
2010-12-30,137.56,142.39,137.36,139.65,28332.0
2010-12-31,140.4,159.71,128.55,132.63,121636.0
2011-01-03,132.93,136.31,131.63,133.58,48985.0
2011-01-04,134.97,139.85,133.53,136.41,95882.0
2011-01-05,137.91,137.91,133.48,135.32,65274.0
