,open,high,low,close,volume
2009-05-20,38.79,45.29,37.17,44.73,635891.0
2009-05-21,48.36,52.48,46.95,47.88,724083.0
2009-05-22,49.86,50.42,46.95,49.17,293762.0
2009-05-25,49.29,54.1,49.29,54.1,680903.0
2009-05-26,56.32,56.32,48.69,49.17,263571.0
2009-05-27,52.08,54.1,49.33,53.9,424536.0
2009-05-28,54.14,54.14,51.31,51.63,183400.0
2009-05-29,51.92,56.81,51.31,55.67,463117.0
2009-06-01,57.17,61.25,56.56,61.25,293744.0
2009-06-02,62.22,67.39,62.22,67.39,455988.0
2009-06-03,68.68,69.82,64.04,64.12,471521.0
2009-06-04,64.64,67.35,63.03,66.34,272253.0
2009-06-05,67.07,68.6,63.03,63.03,162433.0
2009-06-08,65.29,65.29,59.88,59.88,59686.0
2009-06-09,56.97,62.62,56.89,59.72,197630.0
2009-06-10,60.52,61.01,56.73,56.73,89624.0
2009-06-11,55.76,58.95,54.14,57.82,188514.0
2009-06-12,58.58,59.35,54.95,54.95,124058.0
2009-06-15,53.37,56.16,52.2,54.46,316744.0
2009-06-16,53.53,55.55,53.41,54.79,144699.0
2009-06-17,55.51,55.51,52.08,52.12,40536.0
2009-06-18,54.14,54.14,49.53,49.53,53223.0
2009-06-19,51.15,51.15,47.07,48.44,84775.0
2009-06-22,49.86,49.86,46.62,47.15,46894.0
2009-06-23,45.7,48.89,45.25,48.6,40627.0
2009-06-24,48.73,50.42,48.64,49.37,54965.0
2009-06-25,49.86,51.11,48.89,49.45,78188.0
2009-06-26,50.18,51.15,48.89,49.37,42303.0
2009-06-29,50.02,50.91,49.57,50.02,39620.0
2009-06-30,50.3,51.63,47.51,47.63,62496.0
2009-07-01,47.88,49.7,47.68,48.4,52278.0
2009-07-02,48.89,50.83,48.48,50.83,67462.0
2009-07-03,50.1,53.25,48.93,52.28,122798.0
2009-07-06,53.09,54.46,49.7,49.7,150340.0
2009-07-07,45.33,48.73,44.89,45.25,97451.0
2009-07-08,43.63,45.25,41.37,42.18,82432.0
2009-07-09,41.21,43.23,38.95,39.55,49728.0
2009-07-10,38.99,40.81,36.52,37.29,42096.0
2009-07-13,37.29,37.29,35.43,35.64,23142.0
2009-07-14,35.76,37.41,35.76,37.01,63454.0
2009-07-15,37.94,38.87,37.37,38.87,41906.0
2009-07-16,40.4,40.81,39.19,39.68,52277.0
2009-07-17,40.12,41.41,39.84,40.69,29808.0
2009-07-20,42.58,42.75,41.21,42.71,27816.0
2009-07-21,42.02,43.39,41.7,42.02,40870.0
2009-07-22,42.02,43.07,40.2,40.44,29704.0
2009-07-23,41.21,41.61,40.4,41.41,13685.0
2009-07-24,41.61,43.23,40.85,42.26,26624.0
2009-07-27,41.66,43.23,41.66,42.3,17384.0
2009-07-28,43.47,44.44,42.1,44.24,51611.0
2009-07-29,43.63,44.44,42.06,42.22,31682.0
2009-07-30,42.22,43.15,41.25,42.1,19114.0
2009-07-31,43.03,44.12,42.83,43.55,45927.0
2009-08-03,44.44,45.57,43.63,45.01,49033.0
2009-08-04,45.57,46.75,43.96,44.24,33385.0
2009-08-05,44.24,45.49,43.88,44.77,23973.0
2009-08-06,44.77,44.97,42.91,43.23,13540.0
2009-08-07,42.42,44.44,41.09,41.13,24677.0
2009-08-10,41.45,42.18,39.07,39.07,23251.0
2009-08-11,37.33,38.79,37.33,38.3,20990.0
2009-08-12,37.98,38.46,37.21,37.33,15363.0
2009-08-13,38.38,39.23,37.98,38.95,25289.0
2009-08-14,40.36,40.93,39.03,40.12,67148.0
2009-08-17,39.19,39.59,38.14,38.5,21130.0
2009-08-18,38.38,39.43,37.78,38.22,10174.0
2009-08-19,39.11,39.84,37.41,38.3,19019.0
2009-08-20,39.35,39.35,37.61,37.9,8488.0
2009-08-21,38.34,39.8,36.97,39.47,54561.0
2009-08-24,40.56,40.81,38.87,39.43,56720.0
2009-08-25,39.59,40.16,38.87,39.35,15082.0
2009-08-26,40.69,40.69,39.39,39.72,14646.0
2009-08-27,39.35,41.09,39.27,40.56,22768.0
2009-08-28,41.14,41.63,39.75,40.24,19381.0
2009-08-31,40.48,41.55,39.38,40.11,39642.0
2009-09-01,41.67,41.67,39.26,39.58,24665.0
2009-09-02,39.58,40.07,39.05,39.5,16256.0
2009-09-03,40.07,40.93,39.34,39.83,38210.0
2009-09-04,40.11,41.46,40.07,40.2,45249.0
2009-09-07,41.1,43.34,40.89,42.57,116400.0
2009-09-08,43.34,44.82,42.2,42.94,80622.0
2009-09-09,42.94,46.62,42.28,44.9,149578.0
2009-09-10,46.37,46.7,44.37,44.78,122714.0
2009-09-11,45.39,45.39,42.85,43.14,25429.0
2009-09-14,42.94,47.76,42.73,44.57,124190.0
2009-09-15,45.19,46.86,44.33,44.65,54408.0
2009-09-16,45.8,45.96,43.67,43.84,30411.0
2009-09-17,44.65,45.14,42.69,43.92,155479.0
2009-09-18,44.29,45.96,43.59,44.33,104478.0
2009-09-22,43.55,45.39,43.55,44.33,57559.0
2009-09-23,44.57,44.98,42.73,43.26,85741.0
2009-09-24,42.57,43.06,42.24,42.77,43788.0
2009-09-25,42.12,50.87,42.12,50.05,919657.0
2009-09-29,51.36,51.4,47.07,47.72,407827.0
2009-09-30,47.72,49.81,46.74,48.82,321356.0
2009-10-01,49.07,49.07,46.62,46.86,91197.0
2009-10-05,46.21,47.27,45.35,45.76,44814.0
2009-10-06,46.53,46.62,42.69,43.92,73756.0
2009-10-07,44.74,46.0,43.75,44.2,84635.0
2009-10-08,44.57,45.14,43.75,44.37,63689.0
2009-10-09,44.98,45.35,43.14,43.55,44339.0
2009-10-12,43.79,44.94,43.59,43.79,36424.0
2009-10-14,44.0,45.47,43.84,44.9,62366.0
2009-10-15,45.8,51.52,45.76,46.29,164566.0
2009-10-16,47.52,49.72,46.0,48.78,251859.0
2009-10-20,49.07,49.19,47.07,47.43,127597.0
2009-10-21,47.35,49.56,47.15,47.68,192806.0
2009-10-22,47.43,48.25,45.51,45.96,50898.0
2009-10-23,47.31,48.25,46.04,46.58,89558.0
2009-10-26,47.11,47.11,44.57,45.06,26520.0
2009-10-27,45.35,45.96,42.53,43.06,37514.0
2009-10-28,42.94,43.55,40.93,42.28,42967.0
2009-10-29,40.4,42.65,40.4,41.38,18093.0
2009-10-30,42.45,49.56,41.75,42.49,69699.0
2009-11-03,42.94,42.94,39.42,39.83,21282.0
2009-11-04,41.3,42.12,39.26,41.01,45154.0
2009-11-05,41.71,45.51,41.63,44.9,98630.0
2009-11-06,51.2,53.0,46.25,49.44,1172693.0
2009-11-09,50.46,59.21,48.74,49.19,388117.0
2009-11-10,49.72,55.82,47.43,54.96,1236812.0
2009-11-11,52.01,60.68,52.01,58.07,2138330.0
2009-11-12,58.27,58.39,54.96,56.02,346859.0
2009-11-13,56.1,59.29,55.45,56.35,423550.0
2009-11-16,53.2,58.03,53.2,54.43,134889.0
2009-11-17,54.18,56.68,53.57,54.92,119646.0
2009-11-18,55.61,56.59,53.98,54.39,87114.0
2009-11-19,54.06,55.53,53.08,53.28,97603.0
2009-11-20,53.16,54.63,52.42,52.79,50070.0
2009-11-23,53.24,56.31,52.91,54.59,83373.0
2009-11-24,55.12,55.16,52.42,53.94,83156.0
2009-11-25,54.06,54.55,52.1,52.46,31479.0
2009-11-26,53.0,53.16,50.34,50.91,37863.0
2009-11-27,49.07,50.71,46.29,48.37,67291.0
2009-11-30,48.82,50.71,48.82,49.27,36946.0
2009-12-01,49.97,53.2,49.85,52.22,99494.0
2009-12-02,52.75,53.16,51.16,51.28,74008.0
2009-12-03,52.1,52.75,50.62,51.07,39239.0
2009-12-04,50.99,53.0,50.87,51.61,52084.0
2009-12-07,52.75,52.75,50.91,51.16,22307.0
2009-12-08,51.16,52.91,51.16,51.85,49770.0
2009-12-09,52.22,54.3,51.2,52.38,96944.0
2009-12-10,51.61,55.04,51.61,54.06,130357.0
2009-12-11,54.71,55.08,51.93,53.2,123667.0
2009-12-14,53.49,53.73,52.01,52.18,51168.0
2009-12-15,52.18,52.87,50.46,50.79,19919.0
2009-12-16,51.44,52.34,50.09,50.99,73770.0
2009-12-17,51.85,52.18,50.99,51.11,35804.0
2009-12-18,50.91,52.18,50.38,50.46,29228.0
2009-12-21,50.42,51.48,49.07,49.19,21207.0
2009-12-22,50.21,54.14,50.05,53.24,174365.0
2009-12-23,50.21,54.14,50.05,53.24,174365.0
2009-12-24,50.21,54.14,50.05,53.24,174365.0
2009-12-29,50.21,54.14,50.05,53.24,174365.0
2009-12-30,50.21,54.14,50.05,53.24,174365.0
2009-12-31,50.21,54.14,50.05,53.24,174365.0
2010-01-04,52.1,57.58,51.93,56.51,446304.0
2010-01-05,57.66,57.86,54.88,55.37,182371.0
2010-01-06,55.29,57.74,55.08,56.43,204494.0
2010-01-07,56.47,56.84,55.33,55.57,39143.0
2010-01-08,55.65,57.08,54.75,55.33,67024.0
2010-01-11,55.2,57.58,55.2,56.43,113554.0
2010-01-12,57.13,60.48,56.02,57.29,608197.0
2010-01-13,56.43,58.47,56.1,57.17,141840.0
2010-01-14,57.86,58.39,56.51,56.88,86843.0
2010-01-15,56.92,66.65,56.76,65.3,1571906.0
2010-01-18,63.67,73.97,61.62,72.75,3669401.0
2010-01-19,73.11,87.3,71.6,87.3,8165648.0
2010-01-20,90.86,94.87,84.24,85.5,6421184.0
2010-01-21,85.05,94.09,80.23,93.03,10635395.0
2010-01-22,93.07,102.15,84.32,100.14,9993081.0
2010-01-25,98.79,107.79,94.62,104.93,13681965.0
2010-01-27,101.17,109.18,94.46,95.65,14840339.0
2010-01-28,96.09,99.16,91.39,93.81,8568421.0
2010-01-29,95.28,103.21,90.78,102.11,6142037.0
2010-02-01,102.96,111.47,101.53,109.14,8999107.0
2010-02-02,109.59,120.06,107.34,115.44,14531575.0
2010-02-03,116.13,122.02,114.78,118.83,13746074.0
2010-02-04,118.99,120.88,111.72,114.29,5681050.0
2010-02-05,110.41,111.96,103.5,105.21,3801297.0
2010-02-08,107.95,111.63,103.62,109.3,4308498.0
2010-02-09,109.59,119.16,107.42,117.64,5865105.0
2010-02-10,118.3,120.55,111.31,112.78,6310714.0
2010-02-11,115.07,117.15,111.8,112.62,3089041.0
2010-02-15,113.68,115.56,109.1,110.41,1451850.0
2010-02-16,112.04,118.83,108.93,117.32,4391751.0
2010-02-17,118.05,119.24,114.62,115.64,3357043.0
2010-02-18,115.97,118.75,113.88,117.4,3870958.0
2010-02-19,118.09,119.65,111.63,112.7,4365173.0
2010-02-22,113.6,114.82,104.19,104.97,1846429.0
2010-02-23,102.23,104.27,99.37,100.27,2525743.0
2010-02-24,98.06,99.98,93.4,95.44,2391415.0
2010-02-25,96.34,98.43,94.54,95.32,1508969.0
2010-02-26,95.93,102.47,92.82,97.89,4205549.0
2010-03-02,99.0,99.0,94.87,96.09,1179853.0
2010-03-03,96.09,98.3,94.95,95.52,858722.0
2010-03-04,95.77,99.69,95.44,97.81,1405239.0
2010-03-05,98.96,99.28,95.2,95.77,975370.0
2010-03-08,96.59,97.65,94.13,94.79,451923.0
2010-03-09,95.15,96.67,91.43,92.41,536866.0
2010-03-10,92.17,93.23,88.53,89.06,592700.0
2010-03-11,88.24,88.24,82.72,84.03,550491.0
2010-03-12,83.09,87.83,83.09,85.01,950690.0
2010-03-15,84.48,85.26,81.05,81.7,288734.0
2010-03-16,81.74,87.06,80.31,85.63,1346116.0
2010-03-17,85.54,91.11,84.4,90.04,2614654.0
2010-03-18,90.78,92.82,87.22,88.28,2479233.0
2010-03-19,88.65,90.21,87.18,87.75,764450.0
2010-03-22,86.28,88.33,83.91,85.99,909078.0
2010-03-23,86.44,87.26,84.28,84.93,277835.0
2010-03-25,86.2,86.2,81.95,82.6,321034.0
2010-03-26,83.66,85.26,80.6,81.09,462958.0
2010-03-29,81.78,82.81,77.2,78.43,357372.0
2010-03-30,78.51,85.05,78.23,82.64,1687316.0
2010-03-31,83.34,83.99,80.02,80.47,476239.0
2010-04-01,81.37,82.4,80.64,81.62,291740.0
2010-04-05,82.6,84.73,81.78,82.44,463550.0
2010-04-06,83.42,84.07,81.82,82.6,324978.0
2010-04-07,83.13,84.52,81.17,82.4,335321.0
2010-04-08,83.42,83.83,80.8,81.33,318061.0
2010-04-09,81.78,82.85,80.97,81.37,192061.0
2010-04-12,82.76,84.24,81.95,83.75,488969.0
2010-04-13,84.4,85.67,83.42,83.66,528700.0
2010-04-15,84.81,84.81,80.97,81.95,196329.0
2010-04-16,81.99,82.52,80.23,80.88,166167.0
2010-04-19,79.74,80.35,78.51,79.17,138304.0
2010-04-20,79.74,82.56,79.41,80.64,308893.0
2010-04-21,81.54,82.07,80.15,80.68,124346.0
2010-04-22,80.15,84.85,79.21,82.97,884209.0
2010-04-23,84.15,86.16,83.54,84.48,452937.0
2010-04-26,86.28,87.06,85.26,86.28,500624.0
2010-04-27,86.69,91.88,85.54,91.02,1736206.0
2010-04-28,88.33,89.88,84.65,85.42,713840.0
2010-04-29,86.28,87.75,85.87,86.61,303971.0
2010-04-30,87.51,89.43,86.28,87.02,436699.0
2010-05-03,85.87,87.1,85.05,86.08,179599.0
2010-05-04,86.2,86.94,82.19,82.68,194505.0
2010-05-05,80.15,81.99,77.78,81.37,258006.0
2010-05-06,81.01,84.56,80.97,83.54,319917.0
2010-05-07,80.15,82.11,79.66,79.94,276269.0
2010-05-10,81.37,83.01,80.15,81.95,146574.0
2010-05-11,82.6,94.87,81.78,92.17,6247925.0
2010-05-12,93.23,95.93,91.8,92.33,3283255.0
2010-05-13,93.23,94.05,89.39,90.82,863676.0
2010-05-14,87.71,94.3,87.71,90.66,997607.0
2010-05-17,89.14,90.33,86.69,88.45,429996.0
2010-05-18,89.14,92.66,88.53,89.31,605165.0
2010-05-19,88.33,90.53,83.99,85.01,582520.0
2010-05-20,85.87,87.88,81.86,83.26,432667.0
2010-05-21,80.47,82.89,80.15,81.09,277953.0
2010-05-24,83.42,83.83,80.6,81.29,192442.0
2010-05-25,80.56,83.01,78.72,79.62,255460.0
2010-05-26,82.19,82.19,78.1,79.57,141576.0
2010-05-27,79.7,81.7,79.45,80.76,262869.0
2010-05-28,81.78,83.91,81.46,82.72,317734.0
2010-05-31,84.56,89.84,84.24,89.18,1579063.0
2010-06-01,90.29,93.15,89.63,90.25,1358316.0
2010-06-02,90.78,91.56,88.08,89.88,504032.0
2010-06-03,91.43,91.6,89.31,90.49,360932.0
2010-06-04,90.78,91.19,88.12,88.82,234160.0
2010-06-07,84.4,87.92,84.24,86.12,383284.0
2010-06-08,87.43,89.76,84.32,86.04,418327.0
2010-06-09,87.26,89.1,84.65,86.73,523998.0
2010-06-10,88.16,88.24,85.95,87.51,208050.0
2010-06-11,89.31,89.31,85.95,86.49,169563.0
2010-06-14,87.47,89.47,86.94,88.12,290942.0
2010-06-15,88.33,96.01,87.71,93.93,2419550.0
2010-06-16,95.2,97.65,94.05,94.54,997562.0
2010-06-17,95.28,95.48,91.76,92.7,236018.0
2010-06-18,93.19,95.56,85.3,90.33,511466.0
2010-06-21,91.43,92.58,90.25,90.94,179699.0
2010-06-22,90.78,93.6,90.37,91.96,433205.0
2010-06-23,91.6,94.38,91.19,93.36,510147.0
2010-06-24,94.01,94.01,91.68,92.37,190454.0
2010-06-25,92.74,94.7,91.39,91.8,483431.0
2010-06-28,92.41,95.69,92.25,94.21,459302.0
2010-06-29,94.05,95.56,92.25,92.82,391473.0
2010-06-30,92.01,94.46,91.6,93.27,396330.0
