,open,high,low,close,volume
2009-05-20,59.03,67.49,59.03,65.82,325757.0
2009-05-21,65.57,71.9,65.57,68.55,593163.0
2009-05-22,67.91,76.24,67.77,73.07,790064.0
2009-05-25,73.25,76.8,72.54,76.13,402861.0
2009-05-26,76.91,78.65,71.11,73.89,711421.0
2009-05-27,76.09,77.87,74.67,75.28,379239.0
2009-05-28,76.73,78.12,75.03,75.45,246422.0
2009-05-29,76.09,80.25,75.42,77.69,308377.0
2009-06-01,79.58,80.22,74.32,76.38,428455.0
2009-06-02,77.87,81.43,75.88,77.76,582406.0
2009-06-03,79.04,80.72,76.8,77.62,462301.0
2009-06-04,77.62,78.94,76.16,77.62,392620.0
2009-06-05,78.87,78.94,76.24,76.59,306026.0
2009-06-08,76.09,79.29,73.6,74.99,455272.0
2009-06-09,73.96,79.97,73.6,77.94,545001.0
2009-06-10,78.97,80.72,76.8,78.87,558123.0
2009-06-11,78.87,79.65,76.09,77.94,391820.0
2009-06-12,81.78,85.2,74.1,75.28,1361682.0
2009-06-15,73.96,75.38,71.11,71.65,341764.0
2009-06-16,71.11,72.82,69.02,72.15,366823.0
2009-06-17,72.54,74.21,69.76,70.3,263742.0
2009-06-18,71.04,71.04,65.78,66.92,311643.0
2009-06-19,68.55,69.27,66.39,68.06,256939.0
2009-06-22,68.95,70.37,67.84,68.55,210441.0
2009-06-23,66.31,69.27,65.43,68.87,139559.0
2009-06-24,69.34,71.68,68.38,71.04,179608.0
2009-06-25,70.72,73.89,69.05,71.61,258420.0
2009-06-26,73.11,73.11,71.86,72.47,142567.0
2009-06-29,72.54,73.6,71.9,73.28,107425.0
2009-06-30,73.25,74.14,70.62,71.11,146243.0
2009-07-01,71.83,77.16,70.44,75.88,800600.0
2009-07-02,76.73,78.58,74.39,75.38,762599.0
2009-07-03,75.35,75.95,73.6,74.99,229227.0
2009-07-06,75.7,77.16,71.15,72.0,342743.0
2009-07-07,73.25,73.75,70.23,71.11,170216.0
2009-07-08,71.11,71.11,69.27,69.66,142221.0
2009-07-09,69.66,70.76,67.67,68.31,277173.0
2009-07-10,69.02,70.01,67.67,68.38,185697.0
2009-07-13,68.38,68.91,67.06,67.63,170274.0
2009-07-14,68.98,71.4,68.52,71.01,204289.0
2009-07-15,72.54,75.92,71.47,75.45,288045.0
2009-07-16,76.73,78.16,74.78,75.7,381771.0
2009-07-17,77.56,80.62,74.68,79.19,866122.0
2009-07-20,80.13,83.31,79.45,82.75,861771.0
2009-07-21,84.3,85.66,80.59,82.97,378551.0
2009-07-22,83.69,84.07,79.53,81.53,253815.0
2009-07-23,82.48,82.48,80.47,82.18,139096.0
2009-07-24,81.8,84.45,81.04,83.65,269539.0
2009-07-27,83.62,86.53,82.59,83.73,382711.0
2009-07-28,82.63,84.03,79.38,82.67,188684.0
2009-07-29,80.66,83.28,71.95,73.96,1074138.0
2009-07-30,75.74,76.46,73.47,74.94,861321.0
2009-07-31,75.29,78.39,74.98,75.93,395493.0
2009-08-03,76.88,77.48,75.25,77.25,236006.0
2009-08-04,78.39,80.66,76.27,79.94,553183.0
2009-08-05,81.04,81.8,79.22,80.21,275986.0
2009-08-06,80.81,82.86,79.64,80.59,503558.0
2009-08-07,79.64,80.66,78.16,79.34,291926.0
2009-08-10,79.34,80.81,76.38,79.53,123957.0
2009-08-11,81.8,81.8,77.63,78.92,96389.0
