,open,high,low,close,volume
2009-05-20,63.46,69.23,62.94,68.62,4572505.0
2009-05-21,69.23,75.28,68.59,71.1,6125340.0
2009-05-22,72.05,73.09,68.19,71.62,2355141.0
2009-05-25,72.05,78.14,71.59,77.65,5054539.0
2009-05-26,78.69,80.99,73.81,75.6,3819366.0
2009-05-27,77.88,80.71,76.47,80.19,3786048.0
2009-05-28,79.93,80.99,76.52,79.78,3222725.0
2009-05-29,80.19,82.44,79.46,80.5,2572705.0
2009-06-01,83.01,84.45,80.91,82.81,2771265.0
2009-06-02,83.62,84.17,77.94,79.93,2223446.0
2009-06-03,81.05,81.69,76.61,78.86,2442446.0
2009-06-04,78.37,83.65,77.33,83.36,4339939.0
2009-06-05,84.86,84.86,79.64,80.68,2293875.0
2009-06-08,79.32,81.34,72.69,74.27,1373073.0
2009-06-09,72.69,76.67,70.81,75.2,2603706.0
2009-06-10,76.12,79.61,75.74,77.85,2641591.0
2009-06-11,77.88,78.46,74.47,74.91,2179186.0
2009-06-12,76.09,77.21,71.42,72.02,1610018.0
2009-06-15,70.96,72.63,69.89,70.75,1191775.0
2009-06-16,69.8,76.67,68.71,75.89,1819259.0
2009-06-17,77.88,78.14,69.34,70.29,3272309.0
2009-06-18,70.96,73.12,66.69,69.17,2486267.0
2009-06-19,71.82,72.11,66.98,70.09,1425497.0
2009-06-22,72.46,72.46,66.92,68.04,1691736.0
2009-06-23,66.4,71.16,65.53,70.58,1581903.0
2009-06-24,71.5,74.65,69.31,74.1,2159475.0
2009-06-25,74.99,75.97,70.49,71.53,2552219.0
2009-06-26,73.84,74.42,70.96,72.74,1804051.0
2009-06-29,72.05,74.3,71.16,72.77,2173079.0
2009-06-30,73.52,74.13,69.4,69.95,1805445.0
2009-07-01,70.49,75.8,69.23,75.05,3242311.0
2009-07-02,75.57,77.01,73.55,75.66,3946681.0
2009-07-03,74.99,76.7,73.61,75.43,2003443.0
2009-07-06,76.15,76.67,69.34,71.1,3084316.0
2009-07-07,71.24,72.11,67.7,70.38,1316986.0
2009-07-08,69.28,69.28,65.76,67.32,1095455.0
2009-07-09,68.01,69.46,66.34,67.81,1001265.0
2009-07-10,68.65,70.32,65.91,67.61,1260464.0
2009-07-13,66.05,66.92,62.71,66.23,1168378.0
2009-07-14,67.78,69.43,66.92,68.62,851013.0
2009-07-15,69.8,74.13,69.31,73.52,1598249.0
2009-07-16,75.66,81.34,72.17,73.23,3379929.0
2009-07-17,74.13,76.0,73.87,75.25,1971763.0
2009-07-20,76.52,76.67,73.18,74.62,855910.0
2009-07-21,74.99,76.06,73.0,74.56,1041766.0
2009-07-22,75.34,76.61,72.4,73.18,1548871.0
2009-07-23,73.98,75.31,73.35,74.94,643530.0
2009-07-24,75.97,75.97,73.32,74.47,934464.0
2009-07-27,74.47,79.26,73.84,78.95,3241652.0
2009-07-28,79.9,79.96,76.61,77.16,2251239.0
2009-07-29,77.3,77.85,72.54,75.02,1393718.0
2009-07-30,75.02,77.01,73.84,75.2,1969869.0
2009-07-31,77.76,80.13,77.01,79.32,3320625.0
2009-08-03,79.9,81.63,78.92,80.47,3028293.0
2009-08-04,81.05,83.19,79.09,80.79,2914552.0
2009-08-05,81.34,81.97,79.84,80.79,1349937.0
2009-08-06,82.29,84.22,79.09,80.13,4234612.0
2009-08-07,80.13,81.31,76.87,77.47,1616680.0
2009-08-10,79.32,79.61,73.61,74.5,1258977.0
2009-08-11,74.88,76.72,73.44,75.08,1127281.0
2009-08-12,72.89,74.97,72.74,74.71,831575.0
2009-08-13,76.06,78.11,75.66,77.71,947641.0
2009-08-14,78.46,78.95,77.01,77.73,926550.0
2009-08-17,76.23,76.7,73.06,73.61,668732.0
2009-08-18,73.61,76.12,72.63,75.11,729419.0
2009-08-19,75.83,75.97,72.83,73.75,590665.0
2009-08-20,74.9,76.19,74.05,74.93,971719.0
2009-08-21,75.01,75.25,74.13,74.84,541629.0
2009-08-24,75.78,76.3,74.96,75.34,761610.0
2009-08-25,75.01,77.36,74.6,76.92,1099505.0
2009-08-26,77.42,77.8,76.22,76.45,675812.0
2009-08-27,76.19,77.56,75.89,76.1,748176.0
2009-08-28,76.71,77.36,75.42,76.57,626872.0
2009-08-31,75.31,77.71,75.31,76.3,647859.0
2009-09-01,77.06,77.65,73.7,75.8,804239.0
2009-09-02,77.62,77.62,75.01,75.37,800675.0
2009-09-03,76.65,76.65,74.19,74.46,677977.0
2009-09-04,75.01,75.48,73.87,74.96,599420.0
2009-09-07,75.78,79.09,75.34,78.68,1915500.0
2009-09-08,77.94,83.19,77.94,81.52,3398311.0
2009-09-09,82.34,84.01,80.11,80.64,2505243.0
2009-09-10,82.63,83.16,80.0,80.67,1365692.0
2009-09-11,80.82,81.43,78.71,80.02,901834.0
2009-09-14,78.68,80.23,78.24,79.12,647833.0
2009-09-15,79.7,80.87,79.17,80.46,727806.0
2009-09-16,80.93,81.67,78.97,79.85,546796.0
2009-09-17,80.55,80.87,78.12,78.74,905475.0
2009-09-18,78.74,79.58,78.0,79.29,599033.0
2009-09-22,79.64,81.11,79.15,80.17,862575.0
2009-09-23,79.79,80.52,77.59,77.91,485506.0
2009-09-24,77.77,78.32,76.27,77.77,898786.0
2009-09-25,77.94,78.5,76.89,77.21,545716.0
2009-09-29,77.91,78.47,75.89,77.36,595354.0
2009-09-30,76.95,79.41,76.95,78.27,842211.0
2009-10-01,78.44,78.76,76.95,77.5,524734.0
2009-10-05,76.77,77.21,74.96,75.51,671799.0
2009-10-06,75.51,76.19,73.46,75.48,486727.0
2009-10-07,76.16,77.12,75.1,75.48,527495.0
2009-10-08,76.19,79.35,75.13,78.47,2114409.0
2009-10-09,79.12,81.26,78.56,80.46,2576775.0
2009-10-12,80.99,81.26,79.06,79.58,647977.0
2009-10-14,80.29,84.8,79.88,82.84,2858749.0
2009-10-15,82.66,83.75,80.87,81.61,911326.0
2009-10-16,81.46,84.19,81.17,82.05,1400454.0
2009-10-20,82.46,83.42,80.73,81.78,864469.0
2009-10-21,81.46,82.52,80.82,81.58,776485.0
2009-10-22,80.87,83.51,80.29,80.79,1454147.0
2009-10-23,81.4,81.93,80.9,81.43,579802.0
2009-10-26,83.16,83.16,79.41,81.14,818980.0
2009-10-27,82.57,83.1,77.94,79.32,1886721.0
2009-10-28,78.53,80.52,76.22,77.94,711513.0
2009-10-29,77.06,77.65,73.2,74.4,1059089.0
2009-10-30,76.6,77.21,73.67,75.63,883730.0
2009-11-03,74.96,75.95,71.94,72.87,809153.0
2009-11-04,75.01,75.01,71.5,74.37,381891.0
2009-11-05,74.72,77.12,72.99,76.77,732047.0
2009-11-06,78.47,80.87,77.94,79.35,1045773.0
2009-11-09,80.23,81.4,78.59,80.84,579960.0
2009-11-10,82.05,82.05,79.64,80.23,1088360.0
2009-11-11,80.79,94.24,79.85,92.1,18018025.0
2009-11-12,91.36,93.71,89.02,89.58,6334677.0
2009-11-13,90.13,95.35,89.17,89.99,10804107.0
2009-11-16,90.84,92.3,88.93,89.34,2302480.0
2009-11-17,90.19,90.75,87.38,88.29,2309908.0
