,open,high,low,close,volume
2009-05-20,119.88,122.8,118.77,121.95,12590578.0
2009-05-21,121.98,130.4,120.58,124.06,14206224.0
2009-05-22,124.55,129.64,123.56,126.66,11134016.0
2009-05-25,126.31,128.0,123.38,124.2,5643518.0
2009-05-26,124.55,124.7,116.37,117.89,6970219.0
2009-05-27,119.76,120.99,115.37,118.15,11333730.0
2009-05-28,119.76,123.79,118.12,121.51,16407470.0
2009-05-29,122.86,126.81,121.19,125.96,16723727.0
2009-06-01,127.95,135.37,126.95,134.12,15697688.0
2009-06-02,134.55,136.25,128.76,130.84,6443054.0
2009-06-03,131.98,133.91,129.23,129.96,6158200.0
2009-06-04,129.47,133.85,128.94,130.08,9808494.0
2009-06-05,131.57,131.57,127.77,128.41,10339766.0
2009-06-08,128.94,130.34,124.03,125.34,6775703.0
2009-06-09,124.38,125.55,121.86,124.55,10903051.0
2009-06-10,125.72,130.66,125.17,128.27,31565504.0
2009-06-11,129.23,133.73,128.06,131.98,16145173.0
2009-06-12,131.92,135.11,127.65,129.52,9953972.0
2009-06-15,131.16,135.61,126.75,129.35,14565337.0
2009-06-16,129.14,132.45,127.68,131.66,6013501.0
2009-06-17,131.63,131.86,123.56,124.96,9787346.0
2009-06-18,125.72,126.25,117.54,118.03,21584282.0
2009-06-19,119.82,119.82,112.86,115.78,17799949.0
2009-06-22,116.54,119.85,111.22,111.72,15755310.0
2009-06-23,106.43,115.58,106.43,114.67,16396709.0
2009-06-24,115.31,117.8,112.27,116.05,11846624.0
2009-06-25,116.08,117.19,111.69,113.47,24594200.0
2009-06-26,114.91,116.31,112.68,114.0,9230606.0
2009-06-29,114.61,116.66,114.09,115.37,7417686.0
2009-06-30,116.37,117.71,113.27,114.06,8221162.0
2009-07-01,116.19,116.19,112.36,114.53,4835124.0
2009-07-02,115.2,118.09,114.53,117.04,8563190.0
2009-07-03,117.54,120.69,115.96,119.53,9101245.0
2009-07-06,121.05,123.09,111.69,112.98,14183012.0
2009-07-07,114.58,114.85,111.28,113.03,5430660.0
2009-07-08,112.86,115.37,110.23,113.85,7562797.0
2009-07-09,114.09,114.32,112.63,113.53,3314713.0
2009-07-10,115.78,131.57,111.84,112.92,4530082.0
2009-07-13,111.13,112.86,111.13,112.19,3612949.0
2009-07-14,112.27,115.29,112.16,114.29,4998325.0
2009-07-15,115.2,117.13,114.64,116.37,7620328.0
2009-07-16,117.83,122.1,116.84,120.08,9578538.0
2009-07-17,120.46,121.51,119.09,120.02,6833267.0
2009-07-20,121.22,121.84,119.47,121.54,6109843.0
2009-07-21,122.01,122.01,117.92,118.59,5202404.0
2009-07-22,118.71,120.31,117.24,119.0,6954335.0
2009-07-23,119.73,121.98,119.29,121.63,6327270.0
2009-07-24,122.74,124.2,120.61,123.18,5800706.0
2009-07-27,123.41,125.69,123.41,125.43,4954694.0
2009-07-28,125.72,128.85,125.17,127.45,7893880.0
2009-07-29,126.89,127.62,122.8,125.26,4309837.0
2009-07-30,125.43,127.48,123.74,126.98,6351548.0
2009-07-31,128.41,128.65,125.29,126.07,4783577.0
