,open,high,low,close,volume
2009-05-20,669.78,744.95,669.78,719.66,101232.0
2009-05-21,724.64,738.18,694.4,704.19,38053.0
2009-05-22,731.41,731.41,690.78,711.13,30361.0
2009-05-25,751.73,751.73,695.04,729.01,27221.0
2009-05-26,731.41,744.28,684.04,694.37,25677.0
2009-05-27,700.97,769.34,700.97,755.28,137205.0
2009-05-28,779.43,812.0,755.11,768.83,185564.0
2009-05-29,772.04,792.33,759.85,784.47,41243.0
2009-06-01,795.75,826.22,786.94,817.69,65003.0
2009-06-02,826.22,828.93,782.88,787.18,57820.0
2009-06-03,799.13,839.77,799.13,828.39,58390.0
2009-06-04,812.68,828.25,801.84,810.14,41016.0
2009-06-05,825.55,829.61,802.52,810.71,42102.0
2009-06-08,824.66,824.66,786.27,794.7,46606.0
2009-06-09,795.75,891.88,786.98,875.63,203050.0
2009-06-10,900.72,923.74,877.01,905.76,197238.0
2009-06-11,897.4,910.88,858.73,866.15,67506.0
2009-06-12,874.98,900.65,860.76,881.38,88372.0
2009-06-15,866.86,880.4,829.68,838.11,24897.0
2009-06-16,819.48,858.73,812.68,831.44,55032.0
2009-06-17,826.22,865.37,820.8,828.73,38879.0
2009-06-18,828.25,838.41,780.34,798.73,64824.0
2009-06-19,805.91,852.63,805.91,833.37,69203.0
2009-06-22,846.54,853.31,810.17,820.91,21697.0
2009-06-23,812.75,826.22,799.81,818.77,60945.0
2009-06-24,880.4,931.19,816.17,856.56,37054.0
2009-06-25,865.5,898.96,846.61,859.81,99330.0
2009-06-26,868.89,883.79,832.93,876.71,69985.0
2009-06-29,879.08,882.43,866.86,874.07,22074.0
2009-06-30,893.88,893.88,838.41,846.1,21357.0
2009-07-01,853.24,856.7,829.61,835.87,19908.0
2009-07-02,843.15,856.7,836.38,840.58,7120.0
2009-07-03,826.9,849.86,826.9,838.95,9209.0
2009-07-06,844.51,856.7,785.59,801.84,21026.0
2009-07-07,803.2,844.51,802.52,817.28,7783.0
2009-07-08,812.68,818.77,793.92,807.73,15115.0
2009-07-09,809.29,811.32,783.56,785.76,30237.0
2009-07-10,802.52,805.19,786.94,790.74,18188.0
2009-07-13,794.32,794.32,746.31,751.86,12291.0
2009-07-14,765.27,792.33,765.27,778.85,12269.0
2009-07-15,789.52,829.51,772.04,809.26,53679.0
2009-07-16,843.15,877.01,820.53,844.37,46592.0
2009-07-17,853.31,875.59,846.54,854.4,36254.0
