,open,high,low,close,volume
2009-05-20,56.09,66.14,54.73,66.14,1859859.0
2009-05-21,68.7,72.76,65.02,68.42,1459358.0
2009-05-22,71.79,72.72,65.83,69.55,974202.0
2009-05-25,71.17,74.85,69.28,73.88,1080223.0
2009-05-26,74.88,79.53,73.3,74.38,1536881.0
2009-05-27,77.36,79.37,75.12,76.43,483251.0
2009-05-28,77.82,77.82,74.38,75.15,372842.0
2009-05-29,76.59,81.81,73.65,79.22,1129944.0
2009-06-01,80.45,83.47,79.1,82.16,948547.0
2009-06-02,82.93,84.98,78.13,80.3,694701.0
2009-06-03,81.61,86.49,80.07,83.51,1055403.0
2009-06-04,83.24,91.21,81.73,88.69,1166716.0
2009-06-05,89.89,97.59,89.74,94.07,1478286.0
2009-06-08,95.62,97.47,84.67,84.67,931352.0
2009-06-09,88.96,93.14,77.55,92.13,1778628.0
2009-06-10,93.53,97.16,88.46,89.12,996781.0
2009-06-11,89.66,89.74,85.1,85.48,717912.0
2009-06-12,87.73,88.46,82.0,83.32,439828.0
2009-06-15,78.13,83.55,78.13,79.95,338603.0
2009-06-16,78.91,83.08,76.2,81.07,524897.0
2009-06-17,81.85,85.64,77.51,78.83,796712.0
2009-06-18,79.29,82.77,74.57,75.35,595794.0
2009-06-19,76.59,78.91,73.88,76.55,420108.0
2009-06-22,78.56,78.56,72.1,74.07,300773.0
2009-06-23,73.49,73.57,69.66,72.72,356506.0
2009-06-24,75.81,77.28,72.76,74.69,303399.0
2009-06-25,76.51,77.59,74.65,75.19,215072.0
2009-06-26,76.59,79.6,75.23,77.86,371857.0
2009-06-29,81.0,82.39,79.68,80.72,693051.0
2009-06-30,82.77,82.77,76.2,76.9,321782.0
2009-07-01,76.59,76.59,72.79,75.08,372331.0
2009-07-02,76.28,76.78,74.69,75.7,229829.0
2009-07-03,75.35,75.73,74.65,75.46,210170.0
2009-07-06,76.93,78.48,69.7,71.05,389045.0
2009-07-07,71.94,72.21,67.77,70.28,318219.0
2009-07-08,69.62,69.62,63.43,64.05,237615.0
2009-07-09,65.29,69.62,60.34,62.89,306092.0
2009-07-10,63.43,65.33,60.34,61.35,232147.0
2009-07-13,60.57,60.57,57.25,58.17,303041.0
2009-07-14,59.18,62.43,58.79,61.81,379623.0
2009-07-15,62.85,66.1,62.24,65.64,273072.0
2009-07-16,66.92,68.85,64.63,65.52,219089.0
2009-07-17,66.53,67.3,65.99,66.57,190871.0
2009-07-20,68.08,69.58,66.92,69.24,293455.0
