,open,high,low,close,volume
2009-05-20,174.3,181.76,172.26,174.91,29594.0
2009-05-21,174.98,181.79,169.54,172.7,308587.0
2009-05-22,175.66,178.28,170.22,174.1,93875.0
2009-05-25,174.3,188.09,174.3,181.93,535443.0
2009-05-26,186.56,188.6,168.17,171.85,196030.0
2009-05-27,180.43,185.54,177.64,183.32,46198.0
2009-05-28,180.7,185.16,178.22,181.35,97723.0
2009-05-29,181.11,183.15,175.66,176.99,214419.0
2009-06-01,175.66,180.33,171.58,178.01,219596.0
2009-06-02,182.47,193.3,178.76,186.05,633828.0
2009-06-03,188.19,197.11,187.75,190.3,395922.0
2009-06-04,190.64,192.69,185.98,188.16,51560.0
2009-06-05,191.6,193.68,185.79,188.8,62877.0
2009-06-08,188.83,190.8,178.56,183.44,72400.0
2009-06-09,181.05,188.49,177.08,185.51,76821.0
2009-06-10,189.49,203.36,186.76,190.25,168140.0
2009-06-11,200.45,208.2,189.01,191.53,54081.0
2009-06-12,197.07,197.07,186.86,188.76,16346.0
2009-06-15,193.54,193.61,181.92,189.8,130206.0
2009-06-16,189.53,194.92,182.12,186.0,863735.0
2009-06-17,186.76,196.41,186.76,192.29,84375.0
2009-06-18,190.22,195.75,189.18,194.96,87833.0
2009-06-19,194.96,208.75,194.96,204.19,196107.0
2009-06-22,204.74,228.12,204.74,214.53,3453401.0
2009-06-23,213.74,214.53,202.67,206.37,37049.0
2009-06-24,211.66,215.74,203.64,211.28,70751.0
2009-06-25,214.29,216.5,207.61,210.1,197520.0
2009-06-26,218.99,218.99,202.01,209.17,67195.0
2009-06-29,204.85,210.97,204.85,209.83,21113.0
2009-06-30,210.97,219.23,207.51,215.43,84481.0
2009-07-01,209.79,229.82,209.79,221.27,342769.0
2009-07-02,219.96,227.08,217.19,221.03,109140.0
2009-07-03,219.96,224.8,216.26,218.09,206146.0
2009-07-06,217.88,217.88,201.73,212.8,47041.0
2009-07-07,216.5,231.65,212.45,217.82,266869.0
2009-07-08,211.04,217.82,207.86,211.94,24462.0
2009-07-09,208.89,219.27,208.41,213.67,78893.0
2009-07-10,215.12,223.56,215.12,220.24,80053.0
2009-07-13,218.65,220.65,211.18,214.39,40757.0
2009-07-14,213.74,225.84,213.22,215.4,326802.0
2009-07-15,215.84,223.07,215.81,219.65,640649.0
2009-07-16,217.19,222.04,214.63,216.29,149920.0
2009-07-17,221.24,221.24,213.67,215.53,227622.0
2009-07-20,207.68,231.58,207.68,225.84,336031.0
2009-07-21,228.47,228.47,219.96,222.1,245221.0
2009-07-22,240.71,240.71,216.29,230.34,453374.0
2009-07-23,230.37,230.37,217.95,219.23,915897.0
2009-07-24,224.66,224.8,218.23,219.89,462149.0
2009-07-27,220.82,221.69,217.88,219.13,20193.0
2009-07-28,219.96,221.27,213.74,215.91,338604.0
2009-07-29,217.88,219.79,213.98,216.43,216764.0
2009-07-30,217.88,217.88,215.12,216.19,907965.0
2009-07-31,219.93,221.34,209.58,216.47,198621.0
2009-08-03,219.96,233.14,219.96,229.96,260245.0
2009-08-04,221.34,232.55,215.5,230.3,1082743.0
2009-08-05,231.03,233.79,220.65,221.62,45151.0
2009-08-06,224.73,230.99,221.34,225.36,346900.0
2009-08-07,226.19,226.19,214.6,216.54,17644.0
2009-08-10,220.65,221.27,211.66,214.67,11047.0
2009-08-11,218.92,219.89,213.39,215.12,22135.0
2009-08-12,219.61,219.61,211.49,215.46,291203.0
2009-08-13,218.82,232.96,218.82,228.19,82058.0
2009-08-14,227.91,229.64,223.42,224.98,105452.0
2009-08-17,221.0,227.85,214.08,217.78,84535.0
2009-08-18,219.34,231.03,219.34,224.59,215768.0
2009-08-19,228.26,230.34,224.11,226.01,334964.0
2009-08-20,229.06,229.06,218.33,222.38,461136.0
2009-08-21,222.38,226.15,221.34,224.77,219752.0
2009-08-24,226.81,229.64,222.1,224.59,20161.0
2009-08-25,224.91,228.95,221.79,223.63,92125.0
2009-08-26,224.18,227.53,220.65,221.69,43559.0
2009-08-27,221.34,233.76,220.65,231.55,142338.0
2009-08-28,234.83,236.42,228.26,230.78,89095.0
2009-08-31,228.95,233.17,226.22,228.92,30398.0
2009-09-01,231.65,232.41,224.8,227.08,108313.0
2009-09-02,226.46,227.5,221.34,225.56,15021.0
2009-09-03,224.87,226.98,222.69,223.94,15440.0
2009-09-04,224.8,226.81,220.38,223.35,417940.0
2009-09-07,226.84,226.84,218.58,221.59,110507.0
2009-09-08,221.34,226.6,220.96,222.62,82575.0
2009-09-09,224.08,224.8,219.61,223.8,109334.0
2009-09-10,226.88,232.07,224.11,230.3,230133.0
2009-09-11,235.18,276.33,224.53,227.02,222262.0
2009-09-14,228.26,230.68,222.04,229.51,76592.0
2009-09-15,232.41,233.93,228.26,230.89,27010.0
2009-09-16,231.03,235.14,222.14,228.5,85724.0
2009-09-17,235.18,235.18,228.26,231.55,31371.0
2009-09-18,229.64,245.55,229.12,243.41,218659.0
2009-09-22,243.48,258.0,243.48,245.52,270494.0
2009-09-23,247.32,264.92,245.55,259.35,495310.0
2009-09-24,235.18,266.3,235.18,254.3,354274.0
2009-09-25,254.55,267.55,245.55,264.51,361549.0
2009-09-29,268.03,273.91,258.0,264.16,268173.0
2009-09-30,262.81,268.34,261.53,265.2,355964.0
2009-10-01,264.92,266.3,255.34,260.56,212340.0
